,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,別館,変なものを見るような目をする。「何を大騒ぎしてるのよ。別館って、あの大きな公民館みたいなありがちな建物でしょ？」ママの台詞にわたしは,"['変', 'な', 'もの', 'を', '見る', 'よう', 'な', '目', 'を', 'する', '。', '「', '何', 'を', '大騒ぎ', 'し', 'てる', 'の', 'よ', '。', '別館', 'って', '、', 'あの', '大きな', '公民館', 'みたい', 'な', 'あり', 'がち', 'な', '建物', 'でしょ', '？', '」', 'ママ', 'の', '台詞', 'に', 'わたし', 'は']",['別館'],NO,別館,NO,NO
1,別館,）へは、福祉バスも利用してください。また、平日の午後６時以降や土・日曜日、祝日は別館の北側の入口から入ってください期日前投票の手続きは１投票所入場案内券を持って市役所別館６階会議室（期日前投票所,"['）', 'へ', 'は', '、', '福祉', 'バス', 'も', '利用', 'し', 'て', 'ください', '。', 'また', '、', '平日', 'の', '午後', '６', '時', '以降', 'や', '土', '・', '日曜日', '、', '祝日', 'は', '別館', 'の', '北側', 'の', '入口', 'から', '入っ', 'て', 'ください', '期日', '前', '投票', 'の', '手続き', 'は', '１', '投票', '所', '入場', '案内', '券', 'を', '持っ', 'て', '市役所', '別館', '６', '階', '会議', '室', '（', '期日', '前', '投票', '所']",['別館'],NO,別館,NO,NO
2,別館,）へは、福祉バスも利用してください。また、平日の午後６時以降や土・日曜日、祝日は別館の北側の入口から入ってください期日前投票の手続きは１投票所入場案内券を持って市役所別館６階会議室（期日前投票所,"['）', 'へ', 'は', '、', '福祉', 'バス', 'も', '利用', 'し', 'て', 'ください', '。', 'また', '、', '平日', 'の', '午後', '６', '時', '以降', 'や', '土', '・', '日曜日', '、', '祝日', 'は', '別館', 'の', '北側', 'の', '入口', 'から', '入っ', 'て', 'ください', '期日', '前', '投票', 'の', '手続き', 'は', '１', '投票', '所', '入場', '案内', '券', 'を', '持っ', 'て', '市役所', '別館', '６', '階', '会議', '室', '（', '期日', '前', '投票', '所']",['別館'],NO,別館,NO,NO
3,別館,は奇岩が続く景勝地のただ中にあり、緑美しい渓谷に囲まれている。はづ別館はその宇連川に臨む一風変わった宿である。この宿では宿代は客が,"['は', '奇岩', 'が', '続く', '景勝', '地', 'の', 'ただ中', 'に', 'あり', '、', '緑', '美しい', '渓谷', 'に', '囲ま', 'れ', 'て', 'いる', '。', 'は', 'づ', '別館', 'は', 'その', '宇連', '川', 'に', '臨む', '一風', '変わっ', 'た', '宿', 'で', 'ある', '。', 'この', '宿', 'で', 'は', '宿', '代', 'は', '客', 'が']",['別館'],NO,別館,NO,NO
4,別館,ぜひご利用ください。■受付開始日＝２月十二日火。■使用料など＝下表参照。■予約方法＝本庁（別館）・商工観光課に備え付けの仮申請書に必要事項を記入し、同課へ提出してください。※４月１日,"['ぜひ', 'ご', '利用', 'ください', '。', '■', '受付', '開始', '日', '＝', '２月', '十', '二', '日', '火', '。', '■', '使用', '料', 'など', '＝', '下表', '参照', '。', '■', '予約', '方法', '＝', '本庁', '（', '別館', '）', '・', '商工', '観光', '課', 'に', '備え付け', 'の', '仮', '申請', '書', 'に', '必要', '事項', 'を', '記入', 'し', '、', '同', '課', 'へ', '提出', 'し', 'て', 'ください', '。', '※', '４月', '１', '日']",['別館'],NO,別館,NO,NO
5,別館,にご回答なさってください。よろしくお願いします。よくぞ、聞いてくださいました。二子玉川の高島屋の別館、瀬田温泉の前にあるガーデンアイランドはビル内ペットＯＫ．屋上にあるレストランは庭園の中でわんこも一緒,"['に', 'ご', '回答', 'なさっ', 'て', 'ください', '。', 'よろしく', 'お願い', 'し', 'ます', '。', 'よく', 'ぞ', '、', '聞い', 'て', 'ください', 'まし', 'た', '。', '二子', '玉川', 'の', '高島屋', 'の', '別館', '、', '瀬田', '温泉', 'の', '前', 'に', 'ある', 'ガーデンアイランド', 'は', 'ビル', '内', 'ペット', 'ＯＫ', '．', '屋上', 'に', 'ある', 'レストラン', 'は', '庭園', 'の', '中', 'で', 'わん', 'こ', 'も', '一緒']",['別館'],NO,別館,NO,NO
6,別館,別館で絵描いてたら２回も消えたんで、ご機嫌斜めですよ！！！！ムカつくなぁ,"['別館', 'で', '絵', '描い', 'て', 'たら', '２', '回', 'も', '消え', 'た', 'んで', '、', 'ご', '機嫌', '斜め', 'です', 'よ', '！', '！', '！', '！', 'ムカ', 'つく', 'なぁ']",['別館'],NO,別館,NO,NO
7,別館,約七千三百点、民俗資料約一万七千点を京都府から保管委託されている他、古文書、典籍、出土遺物等がある。別館は旧日本銀行京都支店（重文）。展観は有料。京都府立総合資料館〔住所〕〒６０６京都市左京区下鴨半,"['約', '七', '千', '三', '百', '点', '、', '民俗', '資料', '約', '一', '万', '七', '千', '点', 'を', '京都', '府', 'から', '保管', '委託', 'さ', 'れ', 'て', 'いる', '他', '、', '古文書', '、', '典籍', '、', '出土', '遺物', '等', 'が', 'ある', '。', '別館', 'は', '旧', '日本銀行', '京都', '支店', '（', '重文', '）', '。', '展観', 'は', '有料', '。', '京都', '府立', '総合', '資料', '館', '〔', '住所', '〕', '〒', '６', '０', '６', '京都', '市', '左京', '区', '下鴨', '半']",['別館'],NO,別館,NO,NO
8,別館,近くの清流で捕れたアユの塩焼きは泳ぐ姿を模して、腹が下向き「別館」の名は自分の別荘のように過ごしてほしいという願いから（右上）宿泊料金,"['近く', 'の', '清流', 'で', '捕れ', 'た', 'アユ', 'の', '塩焼き', 'は', '泳ぐ', '姿', 'を', '模', 'し', 'て', '、', '腹', 'が', '下向き', '「', '別館', '」', 'の', '名', 'は', '自分', 'の', '別荘', 'の', 'よう', 'に', '過ごし', 'て', 'ほしい', 'という', '願い', 'から', '（', '右上', '）', '宿泊', '料金']",['別館'],NO,別館,NO,NO
9,別館,に建てられた本館の客室。部屋ごとに造りが異なる。法師川を挟んで本館と別館が建ち、その間は渡り廊下によってつながっている（右）玄関脇にある火鉢は樹齢,"['に', '建て', 'られ', 'た', '本館', 'の', '客室', '。', '部屋', 'ごと', 'に', '造り', 'が', '異なる', '。', '法師', '川', 'を', '挟ん', 'で', '本館', 'と', '別館', 'が', '建ち', '、', 'その間', 'は', '渡り廊下', 'によって', 'つながっ', 'て', 'いる', '（', '右', '）', '玄関', '脇', 'に', 'ある', '火鉢', 'は', '樹齢']",['別館'],NO,別館,NO,NO
