,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,博物館,約四十点を展示。☆第二十回書き初め作品展（十三日まで９―十七時・いの町紙の博物館）土佐市中央公民館といの町紙の博物館で開催された「土佐和紙書き初め大会」に参加した全員の作品を展示。☆第３回高知出身まんが家展「タマリンたんまり展,"['約', '四', '十', '点', 'を', '展示', '。', '☆', '第', '二', '十', '回', '書き初め', '作品', '展', '（', '十', '三', '日', 'まで', '９', '―', '十', '七', '時', '・', 'い', 'の', '町', '紙', 'の', '博物館', '）', '土佐', '市', '中央', '公民館', 'とい', 'の', '町', '紙', 'の', '博物館', 'で', '開催', 'さ', 'れ', 'た', '「', '土佐', '和紙', '書き初め', '大会', '」', 'に', '参加', 'し', 'た', '全員', 'の', '作品', 'を', '展示', '。', '☆', '第', '３', '回', '高知', '出身', 'まんが', '家', '展', '「', 'タマリン', 'たんまり', '展']",['博物館'],NO,博物館,NO,NO
1,博物館,約四十点を展示。☆第二十回書き初め作品展（十三日まで９―十七時・いの町紙の博物館）土佐市中央公民館といの町紙の博物館で開催された「土佐和紙書き初め大会」に参加した全員の作品を展示。☆第３回高知出身まんが家展「タマリンたんまり展,"['約', '四', '十', '点', 'を', '展示', '。', '☆', '第', '二', '十', '回', '書き初め', '作品', '展', '（', '十', '三', '日', 'まで', '９', '―', '十', '七', '時', '・', 'い', 'の', '町', '紙', 'の', '博物館', '）', '土佐', '市', '中央', '公民館', 'とい', 'の', '町', '紙', 'の', '博物館', 'で', '開催', 'さ', 'れ', 'た', '「', '土佐', '和紙', '書き初め', '大会', '」', 'に', '参加', 'し', 'た', '全員', 'の', '作品', 'を', '展示', '。', '☆', '第', '３', '回', '高知', '出身', 'まんが', '家', '展', '「', 'タマリン', 'たんまり', '展']",['博物館'],NO,博物館,NO,NO
2,博物館,Ｆｉｎｄｌｅｎの研究によれば、近代のヨーロッパにおいて、当時のパドヴァはきわめて早い段階から、「博物館」（Ｍｕｓｅｕｍ）が数多く建てられていた事実がある。これは、自然界に存在する,"['Ｆｉｎｄｌｅｎ', 'の', '研究', 'に', 'よれ', 'ば', '、', '近代', 'の', 'ヨーロッパ', 'において', '、', '当時', 'の', 'パドヴァ', 'は', 'きわめて', '早い', '段階', 'から', '、', '「', '博物館', '」', '（', 'Ｍｕｓｅｕｍ', '）', 'が', '数多く', '建て', 'られ', 'て', 'い', 'た', '事実', 'が', 'ある', '。', 'これ', 'は', '、', '自然', '界', 'に', '存在', 'する']",['博物館'],NO,博物館,NO,NO
3,博物館,立派なものであった。暫くして、石坂さんが、「あの放送のあと、ある博物館の人が来て、千五百万円は安い。二千五百万円で売ってくれませんか」と言っ,"['立派', 'な', 'もの', 'で', 'あっ', 'た', '。', '暫く', 'し', 'て', '、', '石坂', 'さん', 'が', '、', '「', 'あの', '放送', 'の', 'あと', '、', 'ある', '博物館', 'の', '人', 'が', '来', 'て', '、', '千', '五', '百', '万', '円', 'は', '安い', '。', '二', '千', '五', '百', '万', '円', 'で', '売っ', 'て', 'くれ', 'ませ', 'ん', 'か', '」', 'と', '言っ']",['博物館'],NO,博物館,NO,NO
4,博物館,体験学習で製作したものに関連した博物館資料を見せるなどして，体験を広げることが博物館でしかできない教育と考えられる。〈体験学習と感動〉体験学習でものを作る,"['体験', '学習', 'で', '製作', 'し', 'た', 'もの', 'に', '関連', 'し', 'た', '博物館', '資料', 'を', '見せる', 'など', 'し', 'て', '，', '体験', 'を', '広げる', 'こと', 'が', '博物館', 'で', 'しか', 'でき', 'ない', '教育', 'と', '考え', 'られる', '。', '〈', '体験', '学習', 'と', '感動', '〉', '体験', '学習', 'で', 'もの', 'を', '作る']",['博物館'],NO,博物館,NO,NO
5,博物館,体験学習で製作したものに関連した博物館資料を見せるなどして，体験を広げることが博物館でしかできない教育と考えられる。〈体験学習と感動〉体験学習でものを作る,"['体験', '学習', 'で', '製作', 'し', 'た', 'もの', 'に', '関連', 'し', 'た', '博物館', '資料', 'を', '見せる', 'など', 'し', 'て', '，', '体験', 'を', '広げる', 'こと', 'が', '博物館', 'で', 'しか', 'でき', 'ない', '教育', 'と', '考え', 'られる', '。', '〈', '体験', '学習', 'と', '感動', '〉', '体験', '学習', 'で', 'もの', 'を', '作る']",['博物館'],NO,博物館,NO,NO
6,博物館,のどこかが不自然で、彼女を苛立たせる。それがどこからくるのか、博物館に来てから一時間して、ようやくその理由を突き止めた。二人は、ネルソン提督直筆の,"['の', 'どこ', 'か', 'が', '不自然', 'で', '、', '彼女', 'を', '苛立た', 'せる', '。', 'それ', 'が', 'どこ', 'から', 'くる', 'の', 'か', '、', '博物館', 'に', '来', 'て', 'から', '一', '時間', 'し', 'て', '、', 'ようやく', 'その', '理由', 'を', '突き止め', 'た', '。', '二', '人', 'は', '、', 'ネルソン', '提督', '直筆', 'の']",['博物館'],NO,博物館,NO,NO
7,博物館,をまとめ，深める３まとめたことを発表して話し合い，理解を深めよう。博物館に行ってみよう。インターネットで調べてみよう。町を歩いて，実地調査をしよう。,"['を', 'まとめ', '，', '深める', '３', 'まとめ', 'た', 'こと', 'を', '発表', 'し', 'て', '話し合い', '，', '理解', 'を', '深めよ', 'う', '。', '博物館', 'に', '行っ', 'て', 'みよ', 'う', '。', 'インターネット', 'で', '調べ', 'て', 'みよ', 'う', '。', '町', 'を', '歩い', 'て', '，', '実地', '調査', 'を', 'しよ', 'う', '。']",['博物館'],NO,博物館,NO,NO
8,博物館,は、住吉大社の夏祭りや開口神社の秋祭りで曳（ひ）かれた鉾（ほこ）の一つを博物館で復元したものです。江戸時代に、大小路（おおしょうじ）付近の町から曳（ひ,"['は', '、', '住吉', '大社', 'の', '夏', '祭り', 'や', '開口', '神社', 'の', '秋祭り', 'で', '曳', '（', 'ひ', '）', 'かれ', 'た', '鉾', '（', 'ほこ', '）', 'の', '一つ', 'を', '博物館', 'で', '復元', 'し', 'た', 'もの', 'です', '。', '江戸', '時代', 'に', '、', '大小路', '（', 'おお', 'しょうじ', '）', '付近', 'の', '町', 'から', '曳', '（', 'ひ']",['博物館'],NO,博物館,NO,NO
9,博物館,サーカス、菊人形、花火、アイスショー、ファッションショーまた、同通達によると、「常設の美術館、博物館、資料館、宝物館等において主としてその所蔵品（保管の委託を受けたものを含む）,"['サーカス', '、', '菊', '人形', '、', '花火', '、', 'アイス', 'ショー', '、', 'ファッションショー', 'また', '、', '同', '通達', 'に', 'よる', 'と', '、', '「', '常設', 'の', '美術館', '、', '博物館', '、', '資料', '館', '、', '宝物', '館', '等', 'において', '主として', 'その', '所蔵', '品', '（', '保管', 'の', '委託', 'を', '受け', 'た', 'もの', 'を', '含む', '）']",['博物館'],NO,博物館,NO,NO
10,博物館,の名前がつけられ、前王国時代には牢獄として使用されたが、現在は改装され博物館になっている。カブース港マトラ地区にはカブース港が完成し、大型コンテナ船が利用できるようになり、マスカット,"['の', '名前', 'が', 'つけ', 'られ', '、', '前', '王国', '時代', 'に', 'は', '牢獄', 'として', '使用', 'さ', 'れ', 'た', 'が', '、', '現在', 'は', '改装', 'さ', 'れ', '博物館', 'に', 'なっ', 'て', 'いる', '。', 'カブース', '港', 'マトラ', '地区', 'に', 'は', 'カブース', '港', 'が', '完成', 'し', '、', '大型', 'コンテナ', '船', 'が', '利用', 'できる', 'よう', 'に', 'なり', '、', 'マスカット']",['博物館'],NO,博物館,NO,NO
