,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,夏場,でしょう。留袖も親族に失礼となるので、避けたほうがいいと思います。夏場は暑いですので、洋装で行き、会場で着付けしてもらうと良いですよ。受付は,"['でしょ', 'う', '。', '留袖', 'も', '親族', 'に', '失礼', 'と', 'なる', 'ので', '、', '避け', 'た', 'ほう', 'が', 'いい', 'と', '思い', 'ます', '。', '夏場', 'は', '暑い', 'です', 'ので', '、', '洋装', 'で', '行き', '、', '会場', 'で', '着付け', 'し', 'て', 'もらう', 'と', '良い', 'です', 'よ', '。', '受付', 'は']",['夏場'],NO,夏場,NO,NO
1,夏場,は赤ちゃんの時からよつばで購入する有機栽培ルイボス茶です。体にもいいしおいしいです。夏場もこれを冷やしてます。赤ちゃんだったら番茶もいいとおもいますよ。,"['は', '赤ちゃん', 'の', '時', 'から', 'よ', 'つば', 'で', '購入', 'する', '有機', '栽培', 'ルイボス', '茶', 'です', '。', '体', 'に', 'も', 'いい', 'し', 'おいしい', 'です', '。', '夏場', 'も', 'これ', 'を', '冷やし', 'て', 'ます', '。', '赤ちゃん', 'だっ', 'たら', '番茶', 'も', 'いい', 'と', 'おもい', 'ます', 'よ', '。']",['夏場'],NO,夏場,NO,NO
2,夏場,おいしいものですよ。しその香りはとりわけ涼しげで、香りの切れがいい。夏場に使うと、口当たりのさわやかさがまるで違います。そうめんの薬味には細く刻むでしょう,"['おいしい', 'もの', 'です', 'よ', '。', 'しそ', 'の', '香り', 'は', 'とりわけ', '涼しげ', 'で', '、', '香り', 'の', '切れ', 'が', 'いい', '。', '夏場', 'に', '使う', 'と', '、', '口当たり', 'の', 'さわやかさ', 'が', 'まるで', '違い', 'ます', '。', 'そう', 'めん', 'の', '薬味', 'に', 'は', '細く', '刻む', 'でしょ', 'う']",['夏場'],NO,夏場,NO,NO
3,夏場,２から約一万六千ｍ２に大幅に増やし，作物選定の幅を広げた。具体的には，夏場のスイカ・メロン・ラッカセイ栽培に加えて冬場のカスミソウ・トルコギキョウ・ユリ・エンドウなどが作られている。このような新しい農業を,"['２', 'から', '約', '一', '万', '六', '千', 'ｍ', '２', 'に', '大幅', 'に', '増やし', '，', '作物', '選定', 'の', '幅', 'を', '広げ', 'た', '。', '具体', '的', 'に', 'は', '，', '夏場', 'の', 'スイカ', '・', 'メロン', '・', 'ラッカセイ', '栽培', 'に', '加え', 'て', '冬場', 'の', 'カスミソウ・トルコギキョウ・ユリ・エンドウ', 'など', 'が', '作ら', 'れ', 'て', 'いる', '。', 'この', 'よう', 'な', '新しい', '農業', 'を']",['夏場'],NO,夏場,NO,NO
4,夏場,神棚にお供えしてある榊が、すぐにダメになってしまいます。（夏場だからでしょうか？）長持ちさせる方法はありますか？榊の水に、市販,"['神棚', 'に', 'お供え', 'し', 'て', 'ある', '榊', 'が', '、', 'すぐ', 'に', 'ダメ', 'に', 'なっ', 'て', 'しまい', 'ます', '。', '（', '夏場', 'だ', 'から', 'でしょ', 'う', 'か', '？', '）', '長持ち', 'さ', 'せる', '方法', 'は', 'あり', 'ます', 'か', '？', '榊', 'の', '水', 'に', '、', '市販']",['夏場'],NO,夏場,NO,NO
5,夏場,「冬場の月牙泉がこんなに素敵だとは思いもしませんでした。夏場は人混みが激しく、ラクダの順番待ちで、ラクダもこんなにゆっくり歩いてくれません。,"['「', '冬場', 'の', '月', '牙', '泉', 'が', 'こんなに', '素敵', 'だ', 'と', 'は', '思い', 'も', 'し', 'ませ', 'ん', 'でし', 'た', '。', '夏場', 'は', '人混み', 'が', '激しく', '、', 'ラクダ', 'の', '順番', '待ち', 'で', '、', 'ラクダ', 'も', 'こんなに', 'ゆっくり', '歩い', 'て', 'くれ', 'ませ', 'ん', '。']",['夏場'],NO,夏場,NO,NO
6,夏場,を辿るしかない。海岸から離れると、雪に覆われた小高い山々が連なっており、夏場でも山を越えるのは並大抵の苦労ではない。ましてや冬場の山越えなど自殺行為であろう,"['を', '辿る', 'しか', 'ない', '。', '海岸', 'から', '離れる', 'と', '、', '雪', 'に', '覆わ', 'れ', 'た', '小高い', '山々', 'が', '連なっ', 'て', 'おり', '、', '夏場', 'で', 'も', '山', 'を', '越える', 'の', 'は', '並大抵', 'の', '苦労', 'で', 'は', 'ない', '。', 'ましてや', '冬場', 'の', '山越え', 'など', '自殺', '行為', 'で', 'あろ', 'う']",['夏場'],NO,夏場,NO,NO
7,夏場,下向きに咲くのが特徴。球根というよりは宿根草に近く、肥料を好み、夏場の乾燥を嫌いますので、そこを注意すれば毎年開花します。自社契約農場にて栽培した新潟県産球根,"['下向き', 'に', '咲く', 'の', 'が', '特徴', '。', '球根', 'と', 'いう', 'より', 'は', '宿根草', 'に', '近く', '、', '肥料', 'を', '好み', '、', '夏場', 'の', '乾燥', 'を', '嫌い', 'ます', 'ので', '、', 'そこ', 'を', '注意', 'すれ', 'ば', '毎年', '開花', 'し', 'ます', '。', '自社', '契約', '農場', 'にて', '栽培', 'し', 'た', '新潟', '県', '産', '球根']",['夏場'],NO,夏場,NO,NO
8,夏場,は駄目と言ってました。夜露が付くから、と言う理由もあるそうです。夏場なんかは夜のほうが紫外線で服の生地の傷みが少なくてよさそうですが,"['は', '駄目', 'と', '言っ', 'て', 'まし', 'た', '。', '夜露', 'が', '付く', 'から', '、', 'と', '言う', '理由', 'も', 'ある', 'そう', 'です', '。', '夏場', 'なんか', 'は', '夜', 'の', 'ほう', 'が', '紫外線', 'で', '服', 'の', '生地', 'の', '傷み', 'が', '少なく', 'て', 'よ', 'さ', 'そう', 'です', 'が']",['夏場'],NO,夏場,NO,NO
9,夏場,暑いですね。夏場は電気代や水道代が掛かりがち、みなさんは、何か節約の工夫をされています,"['暑い', 'です', 'ね', '。', '夏場', 'は', '電気', '代', 'や', '水道', '代', 'が', '掛かり', 'がち', '、', 'みなさん', 'は', '、', '何', 'か', '節約', 'の', '工夫', 'を', 'さ', 'れ', 'て', 'い', 'ます']",['夏場'],NO,夏場,NO,NO
