,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,彫師,では表現できなかった題材をとりあげることが可能になったのである。その他、彫師、摺師の卓越した技術と力量を見逃がしてはならない。絵双六の場合には、どのよう,"['では', '表現', 'でき', 'なかっ', 'た', '題材', 'を', 'とりあげる', 'こと', 'が', '可能', 'に', 'なっ', 'た', 'の', 'で', 'ある', '。', 'その他', '、', '彫', '師', '、', '摺', '師', 'の', '卓越', 'し', 'た', '技術', 'と', '力量', 'を', '見', '逃がし', 'て', 'は', 'なら', 'ない', '。', '絵', '双六', 'の', '場合', 'に', 'は', '、', 'どの', 'よう']","['彫', '師']",YES,彫師,NO,NO
1,彫師,、先の、あれ、亀頭にも彫れるぐらいだから…」先輩もおれも彫師の説明にただ頷くばかりだった。やがて、御開帳となった。ぱらりと開げ,"['、', '先', 'の', '、', 'あれ', '、', '亀', '頭', 'に', 'も', '彫れる', 'ぐらい', 'だ', 'から', '…', '」', '先輩', 'も', 'おれ', 'も', '彫', '師', 'の', '説明', 'に', 'ただ', '頷く', 'ばかり', 'だっ', 'た', '。', 'やがて', '、', '御', '開帳', 'と', 'なっ', 'た', '。', 'ぱらりと', '開', 'げ']","['彫', '師']",YES,彫師,NO,NO
2,彫師,は仏教にとりいれられて不動明王と名をかえたそうだ」鉄男は講釈好きの彫師、彫清を思いかえした。彫清は神奈川県登戸に住む腕のいい彫師で、鉄男が,"['は', '仏教', 'に', 'とりいれ', 'られ', 'て', '不動明王', 'と', '名', 'を', 'かえ', 'た', 'そう', 'だ', '」', '鉄男', 'は', '講釈', '好き', 'の', '彫', '師', '、', '彫', '清', 'を', '思いかえし', 'た', '。', '彫', '清', 'は', '神奈川', '県', '登戸', 'に', '住む', '腕', 'の', 'いい', '彫', '師', 'で', '、', '鉄男', 'が']","['彫', '師']",YES,彫師,NO,NO
3,彫師,は仏教にとりいれられて不動明王と名をかえたそうだ」鉄男は講釈好きの彫師、彫清を思いかえした。彫清は神奈川県登戸に住む腕のいい彫師で、鉄男が,"['は', '仏教', 'に', 'とりいれ', 'られ', 'て', '不動明王', 'と', '名', 'を', 'かえ', 'た', 'そう', 'だ', '」', '鉄男', 'は', '講釈', '好き', 'の', '彫', '師', '、', '彫', '清', 'を', '思いかえし', 'た', '。', '彫', '清', 'は', '神奈川', '県', '登戸', 'に', '住む', '腕', 'の', 'いい', '彫', '師', 'で', '、', '鉄男', 'が']","['彫', '師']",YES,彫師,NO,NO
4,彫師,「よし、これだ」当時まだ三十三。客気にまかせて寅吉は吉原弁財天近くに住む彫師を訪ねた。「やめたほうがいいよ」その頃もう五十は越し,"['「', 'よし', '、', 'これ', 'だ', '」', '当時', 'まだ', '三', '十', '三', '。', '客気', 'に', 'まかせ', 'て', '寅吉', 'は', '吉原', '弁財天', '近く', 'に', '住む', '彫', '師', 'を', '訪ね', 'た', '。', '「', 'やめ', 'た', 'ほう', 'が', 'いい', 'よ', '」', 'その', '頃', 'もう', '五', '十', 'は', '越し']","['彫', '師']",YES,彫師,NO,NO
5,彫師,のおのぶという平凡な女と、よりを戻して女の子までつくり、彼は腕利きの彫師であるまえに、子どもにからまれるおやじにもなりきっていた。ときは天保四,"['の', 'お', 'のぶ', 'という', '平凡', 'な', '女', 'と', '、', 'より', 'を', '戻し', 'て', '女の子', 'まで', 'つくり', '、', '彼', 'は', '腕利き', 'の', '彫', '師', 'で', 'ある', 'ま', 'え', 'に', '、', '子ども', 'に', 'からま', 'れる', 'おやじ', 'に', 'も', 'なり', 'きっ', 'て', 'い', 'た', '。', 'とき', 'は', '天保', '四']","['彫', '師']",YES,彫師,NO,NO
6,彫師,が女になにかいった。すると、女はやおら腰を立てた。彫師が立てた女の股間をのぞき、寅吉も身を乗り出したが、寅吉の目,"['が', '女', 'に', 'なにか', 'いっ', 'た', '。', 'する', 'と', '、', '女', 'は', 'やおら', '腰', 'を', '立て', 'た', '。', '彫', '師', 'が', '立て', 'た', '女', 'の', '股間', 'を', 'のぞき', '、', '寅吉', 'も', '身', 'を', '乗り出し', 'た', 'が', '、', '寅吉', 'の', '目']","['彫', '師']",YES,彫師,NO,NO
7,彫師,とした細面のお姐さんがおれと先輩の前に現われた。この時二人は彫師の奥さんからすすめられた昆布茶を飲んでいた。部屋の中には電気ストーブの温気,"['と', 'し', 'た', '細面', 'の', 'お', '姐さん', 'が', 'おれ', 'と', '先輩', 'の', '前', 'に', '現われ', 'た', '。', 'この', '時', '二', '人', 'は', '彫', '師', 'の', '奥さん', 'から', 'すすめ', 'られ', 'た', '昆布', '茶', 'を', '飲ん', 'で', 'い', 'た', '。', '部屋', 'の', '中', 'に', 'は', '電気', 'ストーブ', 'の', '温気']","['彫', '師']",YES,彫師,NO,NO
8,彫師,人の表情がわかりました。下絵を描いた絵師、それを版木に彫った彫師、いずれも一人一人の表情をないがしろにはしていません。左隅、小屋掛け芝居の,"['人', 'の', '表情', 'が', 'わかり', 'まし', 'た', '。', '下絵', 'を', '描い', 'た', '絵師', '、', 'それ', 'を', '版木', 'に', '彫っ', 'た', '彫', '師', '、', 'いずれ', 'も', '一', '人', '一', '人', 'の', '表情', 'を', 'ないがしろ', 'に', 'は', 'し', 'て', 'い', 'ませ', 'ん', '。', '左隅', '、', '小屋掛け', '芝居', 'の']","['彫', '師']",YES,彫師,NO,NO
9,彫師,にぎりの部分と針の取り付け部分をネジ式に切り離して、どちらも熱処理できるようにしている彫師もいる（二代目彫長）。刺青用の針鋼鉄の針は非常に優れている。弾力,"['にぎり', 'の', '部分', 'と', '針', 'の', '取り付け', '部分', 'を', 'ネジ', '式', 'に', '切り離し', 'て', '、', 'どちら', 'も', '熱処理', 'できる', 'よう', 'に', 'し', 'て', 'いる', '彫', '師', 'も', 'いる', '（', '二', '代目', '彫', '長', '）', '。', '刺青', '用', 'の', '針', '鋼鉄', 'の', '針', 'は', '非常', 'に', '優れ', 'て', 'いる', '。', '弾力']","['彫', '師']",YES,彫師,NO,NO
10,彫師,彫師の職業は絵描きになるんですか？彫師の職業は彫師ですよ。絵描きでは,"['彫', '師', 'の', '職業', 'は', '絵描き', 'に', 'なる', 'ん', 'です', 'か', '？', '彫', '師', 'の', '職業', 'は', '彫', '師', 'です', 'よ', '。', '絵描き', 'で', 'は']","['彫', '師']",YES,彫師,NO,NO
11,彫師,彫師の職業は絵描きになるんですか？彫師の職業は彫師ですよ。絵描きでは,"['彫', '師', 'の', '職業', 'は', '絵描き', 'に', 'なる', 'ん', 'です', 'か', '？', '彫', '師', 'の', '職業', 'は', '彫', '師', 'です', 'よ', '。', '絵描き', 'で', 'は']","['彫', '師']",YES,彫師,NO,NO
12,彫師,彫師の職業は絵描きになるんですか？彫師の職業は彫師ですよ。絵描きでは,"['彫', '師', 'の', '職業', 'は', '絵描き', 'に', 'なる', 'ん', 'です', 'か', '？', '彫', '師', 'の', '職業', 'は', '彫', '師', 'です', 'よ', '。', '絵描き', 'で', 'は']","['彫', '師']",YES,彫師,NO,NO
13,彫師,カネもかかる。だからやめたがいいといっている」彫蝶とかいう初老の彫師はそういったが、いったんこうときめて彫師を訪ねた寅吉だった。,"['カネ', 'も', 'かかる', '。', 'だから', 'やめ', 'た', 'が', 'いい', 'と', 'いっ', 'て', 'いる', '」', '彫', '蝶', 'とかいう', '初老', 'の', '彫', '師', 'は', 'そう', 'いっ', 'た', 'が', '、', 'いったん', 'こう', 'と', 'きめ', 'て', '彫', '師', 'を', '訪ね', 'た', '寅吉', 'だっ', 'た', '。']","['彫', '師']",YES,彫師,NO,NO
14,彫師,カネもかかる。だからやめたがいいといっている」彫蝶とかいう初老の彫師はそういったが、いったんこうときめて彫師を訪ねた寅吉だった。,"['カネ', 'も', 'かかる', '。', 'だから', 'やめ', 'た', 'が', 'いい', 'と', 'いっ', 'て', 'いる', '」', '彫', '蝶', 'とかいう', '初老', 'の', '彫', '師', 'は', 'そう', 'いっ', 'た', 'が', '、', 'いったん', 'こう', 'と', 'きめ', 'て', '彫', '師', 'を', '訪ね', 'た', '寅吉', 'だっ', 'た', '。']","['彫', '師']",YES,彫師,NO,NO
15,彫師,人それぞれの形をしているから、それぞれの体にあてはめなければならない。だが、絵の描ける彫師の少ない現状では無理だろうから、図柄の概念をもつという意味で、基本的図柄を,"['人', 'それぞれ', 'の', '形', 'を', 'し', 'て', 'いる', 'から', '、', 'それぞれ', 'の', '体', 'に', 'あてはめ', 'なけれ', 'ば', 'なら', 'ない', '。', 'だが', '、', '絵', 'の', '描ける', '彫', '師', 'の', '少ない', '現状', 'で', 'は', '無理', 'だろ', 'う', 'から', '、', '図柄', 'の', '概念', 'を', 'もつ', 'という', '意味', 'で', '、', '基本', '的', '図柄', 'を']","['彫', '師']",YES,彫師,NO,NO
16,彫師,「殿方の想像はみんな一緒ですよねえ、師匠…」姐さんは、艶然として彫師の顔を見た。すると彫師は、姐さんに、先ずは入門の彫から見せ,"['「', '殿方', 'の', '想像', 'は', 'みんな', '一緒', 'です', 'よ', 'ねえ', '、', '師匠', '…', '」', '姐さん', 'は', '、', '艶', '然', 'として', '彫', '師', 'の', '顔', 'を', '見', 'た', '。', 'すると', '彫', '師', 'は', '、', '姐さん', 'に', '、', '先ず', 'は', '入門', 'の', '彫', 'から', '見せ']","['彫', '師']",YES,彫師,NO,NO
17,彫師,「殿方の想像はみんな一緒ですよねえ、師匠…」姐さんは、艶然として彫師の顔を見た。すると彫師は、姐さんに、先ずは入門の彫から見せ,"['「', '殿方', 'の', '想像', 'は', 'みんな', '一緒', 'です', 'よ', 'ねえ', '、', '師匠', '…', '」', '姐さん', 'は', '、', '艶', '然', 'として', '彫', '師', 'の', '顔', 'を', '見', 'た', '。', 'すると', '彫', '師', 'は', '、', '姐さん', 'に', '、', '先ず', 'は', '入門', 'の', '彫', 'から', '見せ']","['彫', '師']",YES,彫師,NO,NO
