,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,札所,山に向かって大声を出してから、山のスケッチをしてくる。４札所三十番で、おさいせんをいれてからねがいごとをする。５藤ヅルのロープで、一人,"['山', 'に', '向かっ', 'て', '大声', 'を', '出し', 'て', 'から', '、', '山', 'の', 'スケッチ', 'を', 'し', 'て', 'くる', '。', '４', '札所', '三', '十', '番', 'で', '、', 'お', 'さいせん', 'を', 'いれ', 'て', 'から', 'ねがい', 'ごと', 'を', 'する', '。', '５', '藤', 'ヅル', 'の', 'ロープ', 'で', '、', '一', '人']",['札所'],NO,札所,NO,NO
1,札所,山形県最上郡鮭川村、庭月（にはつき）観音。最上三十三観音最後の札所。「おかげさま門」をくぐり、一直線の石段を一歩一歩確かめながら観音堂へ。自己満足ながら,"['山形', '県', '最上', '郡', '鮭川', '村', '、', '庭月', '（', 'に', 'は', 'つき', '）', '観音', '。', '最上', '三', '十', '三', '観音', '最後', 'の', '札所', '。', '「', 'おかげ', 'さま', '門', '」', 'を', 'くぐり', '、', '一直線', 'の', '石段', 'を', '一', '歩', '一', '歩', '確かめ', 'ながら', '観音堂', 'へ', '。', '自己', '満足', 'ながら']",['札所'],NO,札所,NO,NO
2,札所,を子ノ聖の山岳霊場これまで、比較的平坦な里寺が続いていた武蔵野の札所だったが、最後にきて山深い霊場となる。子ノ権現、竹寺とも,"['を', '子', 'ノ', '聖', 'の', '山岳', '霊場', 'これ', 'まで', '、', '比較的', '平坦', 'な', '里', '寺', 'が', '続い', 'て', 'い', 'た', '武蔵野', 'の', '札所', 'だっ', 'た', 'が', '、', '最後', 'に', 'き', 'て', '山', '深い', '霊場', 'と', 'なる', '。', '子', 'ノ', '権現', '、', '竹', '寺', 'とも']",['札所'],NO,札所,NO,NO
3,札所,は剣山へ。なだらかな山でした。そこから、平家の落人の部落や、札所などを通って、山また山の狭い道をさんざんに駆け抜けて、石鎚山の国民宿舎,"['は', '剣山', 'へ', '。', 'なだらか', 'な', '山', 'でし', 'た', '。', 'そこ', 'から', '、', '平家', 'の', '落人', 'の', '部落', 'や', '、', '札所', 'など', 'を', '通っ', 'て', '、', '山', 'また', '山', 'の', '狭い', '道', 'を', 'さんざん', 'に', '駆け抜け', 'て', '、', '石鎚山', 'の', '国民', '宿舎']",['札所'],NO,札所,NO,NO
4,札所,千九百六十五）五月、新たに北法相宗をたて本山となった（興福寺の南円堂は第九番の札所であり、不空羂索観音を祀る。興福寺が藤原氏一族の氏寺であったことから、清水寺創建に藤原氏の,"['千', '九', '百', '六', '十', '五', '）', '五月', '、', '新た', 'に', '北', '法相', '宗', 'を', 'たて', '本山', 'と', 'なっ', 'た', '（', '興福寺', 'の', '南', '円堂', 'は', '第', '九', '番', 'の', '札所', 'で', 'あり', '、', '不空', '羂索', '観音', 'を', '祀る', '。', '興福寺', 'が', '藤原', '氏', '一族', 'の', '氏', '寺', 'で', 'あっ', 'た', 'こと', 'から', '、', '清水寺', '創建', 'に', '藤原', '氏', 'の']",['札所'],NO,札所,NO,NO
5,札所,（高麗坂東観音霊場、高麗郡三十三か所霊場）（高麗郡三十三箇所の札所）（標石、丁石）,"['（', '高麗', '坂', '東観音', '霊場', '、', '高麗', '郡', '三', '十', '三', 'か所', '霊場', '）', '（', '高麗', '郡', '三', '十', '三', '箇所', 'の', '札所', '）', '（', '標', '石', '、', '丁', '石', '）']",['札所'],NO,札所,NO,NO
6,札所,、元禄十五（千七百二）年に制定された「足立三十三所札所」では、第二十六番の札所になっている。ところで境内には馬頭観世音碑が多いが、明治二十二（千八百八十九）年七月,"['、', '元禄', '十', '五', '（', '千', '七', '百', '二', '）', '年', 'に', '制定', 'さ', 'れ', 'た', '「', '足立', '三十三所', '札所', '」', 'で', 'は', '、', '第', '二', '十', '六', '番', 'の', '札所', 'に', 'なっ', 'て', 'いる', '。', 'ところで', '境内', 'に', 'は', '馬頭', '観世音', '碑', 'が', '多い', 'が', '、', '明治', '二', '十', '二', '（', '千', '八', '百', '八', '十', '九', '）', '年', '七月']",['札所'],NO,札所,NO,NO
7,札所,、元禄十五（千七百二）年に制定された「足立三十三所札所」では、第二十六番の札所になっている。ところで境内には馬頭観世音碑が多いが、明治二十二（千八百八十九）年七月,"['、', '元禄', '十', '五', '（', '千', '七', '百', '二', '）', '年', 'に', '制定', 'さ', 'れ', 'た', '「', '足立', '三十三所', '札所', '」', 'で', 'は', '、', '第', '二', '十', '六', '番', 'の', '札所', 'に', 'なっ', 'て', 'いる', '。', 'ところで', '境内', 'に', 'は', '馬頭', '観世音', '碑', 'が', '多い', 'が', '、', '明治', '二', '十', '二', '（', '千', '八', '百', '八', '十', '九', '）', '年', '七月']",['札所'],NO,札所,NO,NO
8,札所,の倍近い参加希望者を集めている。ところが難点は民泊協力者。特に本県の場合、札所から札所への距離が遠い場所があり「宿泊地に困っている」という。同事務局は「,"['の', '倍', '近い', '参加', '希望', '者', 'を', '集め', 'て', 'いる', '。', 'ところが', '難点', 'は', '民泊', '協力', '者', '。', '特に', '本県', 'の', '場合', '、', '札所', 'から', '札所', 'へ', 'の', '距離', 'が', '遠い', '場所', 'が', 'あり', '「', '宿泊', '地', 'に', '困っ', 'て', 'いる', '」', 'と', 'いう', '。', '同', '事務', '局', 'は', '「']",['札所'],NO,札所,NO,NO
9,札所,の倍近い参加希望者を集めている。ところが難点は民泊協力者。特に本県の場合、札所から札所への距離が遠い場所があり「宿泊地に困っている」という。同事務局は「,"['の', '倍', '近い', '参加', '希望', '者', 'を', '集め', 'て', 'いる', '。', 'ところが', '難点', 'は', '民泊', '協力', '者', '。', '特に', '本県', 'の', '場合', '、', '札所', 'から', '札所', 'へ', 'の', '距離', 'が', '遠い', '場所', 'が', 'あり', '「', '宿泊', '地', 'に', '困っ', 'て', 'いる', '」', 'と', 'いう', '。', '同', '事務', '局', 'は', '「']",['札所'],NO,札所,NO,NO
