,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,案内所,れた。唯一の解決策は食堂つきの安い宿泊所を探すことだった。駅の案内所で二十分過ごしたあげく、彼は広州作家協会会長の楊軻女史に電話をかけることにした。,"['れ', 'た', '。', '唯一', 'の', '解決', '策', 'は', '食堂', 'つき', 'の', '安い', '宿泊', '所', 'を', '探す', 'こと', 'だっ', 'た', '。', '駅', 'の', '案内', '所', 'で', '二', '十', '分', '過ごし', 'た', 'あげく', '、', '彼', 'は', '広州', '作家', '協会', '会長', 'の', '楊軻', '女史', 'に', '電話', 'を', 'かける', 'こと', 'に', 'し', 'た', '。']","['案内', '所']",YES,案内所,NO,NO
1,案内所,祝）〜４日（日）の午前十一時十分〜※先着三十組。午前９時から案内所で整理券を配布。２ペンギンとダイバーのふれあいランチタイム日時＝１月１日（祝）〜,"['祝', '）', '〜', '４', '日', '（', '日', '）', 'の', '午前', '十', '一', '時', '十', '分', '〜', '※', '先着', '三', '十', '組', '。', '午前', '９', '時', 'から', '案内', '所', 'で', '整理', '券', 'を', '配布', '。', '２', 'ペンギン', 'と', 'ダイバー', 'の', 'ふれあい', 'ランチタイム', '日時', '＝', '１月', '１', '日', '（', '祝', '）', '〜']","['案内', '所']",YES,案内所,NO,NO
2,案内所,になりますからね。病院に行くなら、内科か消化器科ですね。大きな病院なら案内所があるので、症状を言えば、教えてもらえますよ。,"['に', 'なり', 'ます', 'から', 'ね', '。', '病院', 'に', '行く', 'なら', '、', '内科', 'か', '消化', '器', '科', 'です', 'ね', '。', '大きな', '病院', 'なら', '案内', '所', 'が', 'ある', 'ので', '、', '症状', 'を', '言え', 'ば', '、', '教え', 'て', 'もらえ', 'ます', 'よ', '。']","['案内', '所']",YES,案内所,NO,NO
3,案内所,てきて事なきを得たが、帰りの航空券等もろもろのはいったバッグを、案内所のカウンターに置き忘れかけたらしい。フィナーレ間近で、そろそろ疲れ、かつ、たるんできたよう,"['て', 'き', 'て', '事なき', 'を', '得', 'た', 'が', '、', '帰り', 'の', '航空', '券', '等', 'もろもろ', 'の', 'はいっ', 'た', 'バッグ', 'を', '、', '案内', '所', 'の', 'カウンター', 'に', '置き', '忘れかけ', 'た', 'らしい', '。', 'フィナーレ', '間近', 'で', '、', 'そろそろ', '疲れ', '、', 'かつ', '、', 'たるん', 'で', 'き', 'た', 'よう']","['案内', '所']",YES,案内所,NO,NO
4,案内所,７日（水）の午後０時十五分〜０時五十分※先着十五人。午前十一時三十分から案内所で整理券を配布。■新春折り紙教室お正月飾りやお魚の折り紙を作ります。ペンギンの折り方,"['７', '日', '（', '水', '）', 'の', '午後', '０', '時', '十', '五', '分', '〜', '０', '時', '五', '十', '分', '※', '先着', '十', '五', '人', '。', '午前', '十', '一', '時', '三', '十', '分', 'から', '案内', '所', 'で', '整理', '券', 'を', '配布', '。', '■', '新春', '折り紙', '教室', 'お正月', '飾り', 'や', 'お', '魚', 'の', '折り紙', 'を', '作り', 'ます', '。', 'ペンギン', 'の', '折り', '方']","['案内', '所']",YES,案内所,NO,NO
5,案内所,からお昼ごろ、こちらに向かって発って来ました。新幹線に乗る前に駅の案内所で、今度の列車で大丈夫ですかと聞いたんです。新花巻まで行きたいんだ,"['から', 'お昼', 'ごろ', '、', 'こちら', 'に', '向かっ', 'て', '発っ', 'て', '来', 'まし', 'た', '。', '新幹線', 'に', '乗る', '前', 'に', '駅', 'の', '案内', '所', 'で', '、', '今度', 'の', '列車', 'で', '大丈夫', 'です', 'か', 'と', '聞い', 'た', 'ん', 'です', '。', '新花巻', 'まで', '行き', 'たい', 'ん', 'だ']","['案内', '所']",YES,案内所,NO,NO
6,案内所,、各支所地域振興課、中央公民館、中条・川治・吉田・下条・水沢の各地区公民館、市役所本庁舎売店、クロス十、キナーレ、ほっくほく何でも案内所、ブックス平沢（妻有ＳＣ店・シルクモール店）、サウンドエース（リオンドール店）、オプト・ニワノ、野上書店、共立観光（株）、文具館タキザワ,"['、', '各', '支所', '地域', '振興', '課', '、', '中央', '公民館', '、', '中条', '・', '川治', '・', '吉田', '・', '下条', '・', '水沢', 'の', '各', '地区', '公民館', '、', '市役所', '本庁', '舎', '売店', '、', 'クロス', '十', '、', 'キナーレ', '、', 'ほっ', 'く', 'ほ', 'く', '何', 'でも', '案内', '所', '、', 'ブックス', '平沢', '（', '妻有', 'ＳＣ', '店', '・', 'シルク', 'モール', '店', '）', '、', 'サウンド', 'エース', '（', 'リオンドール', '店', '）', '、', 'オプト・ニワノ', '、', '野上', '書店', '、', '共立', '観光', '（株）', '、', '文具', '館', 'タキザワ']","['案内', '所']",YES,案内所,NO,NO
7,案内所,洗う。缶ジュースを買う。もう一本の煙草に火を点けてベンチに腰を降ろし案内所でもらったロードマップに目など通しているうちに、いつの間にか「ハイ」,"['洗う', '。', '缶', 'ジュース', 'を', '買う', '。', 'もう', '一', '本', 'の', '煙草', 'に', '火', 'を', '点け', 'て', 'ベンチ', 'に', '腰', 'を', '降ろし', '案内', '所', 'で', 'もらっ', 'た', 'ロード', 'マップ', 'に', '目', 'など', '通し', 'て', 'いる', 'うち', 'に', '、', 'いつの間にか', '「', 'ハイ', '」']","['案内', '所']",YES,案内所,NO,NO
8,案内所,は、どこも安心できるはずなのだが、きょうはたっぷりと時間もあるのだから、案内所に頼らずに、自分の目で確かめて確保しよう。もっとも当てずっぽうに探したのでは,"['は', '、', 'どこ', 'も', '安心', 'できる', 'はず', 'な', 'の', 'だ', 'が', '、', 'きょう', 'は', 'たっぷり', 'と', '時間', 'も', 'ある', 'の', 'だ', 'から', '、', '案内', '所', 'に', '頼ら', 'ず', 'に', '、', '自分', 'の', '目', 'で', '確かめ', 'て', '確保', 'しよ', 'う', '。', 'もっとも', '当てずっぽう', 'に', '探し', 'た', 'の', 'で', 'は']","['案内', '所']",YES,案内所,NO,NO
9,案内所,つかない。やせても枯れても、ここはオリエント急行の国際的な駅なのだ。案内所ぐらいはあってもよさそうなものだが、だれに聞いても首を振る,"['つか', 'ない', '。', 'やせ', 'て', 'も', '枯れ', 'て', 'も', '、', 'ここ', 'は', 'オリエント', '急行', 'の', '国際', '的', 'な', '駅', 'な', 'の', 'だ', '。', '案内', '所', 'ぐらい', 'は', 'あっ', 'て', 'も', 'よ', 'さ', 'そう', 'な', 'もの', 'だ', 'が', '、', 'だれ', 'に', '聞い', 'て', 'も', '首', 'を', '振る']","['案内', '所']",YES,案内所,NO,NO
