,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,正室,家というものが何よりも大事だった時代においては動かすべからざる不文律で、そこに正室の誇りも喜びもあったのです。まつの場合は、十一人も産んで八人,"['家', 'という', 'もの', 'が', '何', 'より', 'も', '大事', 'だっ', 'た', '時代', 'において', 'は', '動かす', 'べから', 'ざる', '不文', '律', 'で', '、', 'そこ', 'に', '正室', 'の', '誇り', 'も', '喜び', 'も', 'あっ', 'た', 'の', 'です', '。', 'まつ', 'の', '場合', 'は', '、', '十', '一', '人', 'も', '産ん', 'で', '八', '人']",['正室'],NO,正室,NO,NO
1,正室,、正室をないがしろにして夜離れしてしまったり、愛人を屋敷に住まわせたあげく正室を追い出してしまうという、聞くに堪えない醜聞も少なくはなかった。それを思え,"['、', '正室', 'を', 'ないがしろ', 'に', 'し', 'て', '夜', '離れ', 'し', 'て', 'しまっ', 'たり', '、', '愛人', 'を', '屋敷', 'に', '住まわせ', 'た', 'あげく', '正室', 'を', '追い出し', 'て', 'しまう', 'という', '、', '聞く', 'に', '堪え', 'ない', '醜聞', 'も', '少なく', 'は', 'なかっ', 'た', '。', 'それ', 'を', '思え']",['正室'],NO,正室,NO,NO
2,正室,、正室をないがしろにして夜離れしてしまったり、愛人を屋敷に住まわせたあげく正室を追い出してしまうという、聞くに堪えない醜聞も少なくはなかった。それを思え,"['、', '正室', 'を', 'ないがしろ', 'に', 'し', 'て', '夜', '離れ', 'し', 'て', 'しまっ', 'たり', '、', '愛人', 'を', '屋敷', 'に', '住まわせ', 'た', 'あげく', '正室', 'を', '追い出し', 'て', 'しまう', 'という', '、', '聞く', 'に', '堪え', 'ない', '醜聞', 'も', '少なく', 'は', 'なかっ', 'た', '。', 'それ', 'を', '思え']",['正室'],NO,正室,NO,NO
3,正室,中央の政治機構も変わり、真田左衛門佐幸村は上田へ引きあげることになった。そのかわり、幸村の正室は大坂屋敷に残る。これは豊臣家への忠誠のしるしであり、いわば一種の〔,"['中央', 'の', '政治', '機構', 'も', '変わり', '、', '真田', '左衛門', '佐', '幸', '村', 'は', '上田', 'へ', '引きあげる', 'こと', 'に', 'なっ', 'た', '。', 'その', 'かわり', '、', '幸', '村', 'の', '正室', 'は', '大坂', '屋敷', 'に', '残る', '。', 'これ', 'は', '豊臣', '家', 'へ', 'の', '忠誠', 'の', 'しるし', 'で', 'あり', '、', 'いわば', '一種', 'の', '〔']",['正室'],NO,正室,NO,NO
4,正室,なく死んでしまう。しかし、彼はその後、他の将軍たちのようにまた京都から正室を迎えることをしなかった。このため側室の大久保氏が長福丸（後の九代将軍家重）,"['なく', '死ん', 'で', 'しまう', '。', 'しかし', '、', '彼', 'は', 'その後', '、', '他', 'の', '将軍', 'たち', 'の', 'よう', 'に', 'また', '京都', 'から', '正室', 'を', '迎える', 'こと', 'を', 'し', 'なかっ', 'た', '。', 'この', 'ため', '側室', 'の', '大久保', '氏', 'が', '長福', '丸', '（', '後', 'の', '九', '代', '将軍', '家重', '）']",['正室'],NO,正室,NO,NO
5,正室,東照宮（家康）と大猷院（家光）霊廟への御成しかない。将軍は、たとえ正室や将軍の生母といえども、その霊廟に参詣することは絶対になかったから,"['東照宮', '（', '家康', '）', 'と', '大', '猷院', '（', '家光', '）', '霊廟', 'へ', 'の', '御成', 'しか', 'ない', '。', '将軍', 'は', '、', 'たとえ', '正室', 'や', '将軍', 'の', '生母', 'と', 'いえ', 'ども', '、', 'その', '霊廟', 'に', '参詣', 'する', 'こと', 'は', '絶対', 'に', 'なかっ', 'た', 'から']",['正室'],NO,正室,NO,NO
6,正室,頼重・光圀を生んだことから側室の上位となり、死後は靖定夫人の諡号をうけ、正室ではないものの、頼房の隣に葬られている。徳川光圀略系図数字は水戸藩の代数＝,"['頼', '重', '・', '光圀', 'を', '生ん', 'だ', 'こと', 'から', '側室', 'の', '上位', 'と', 'なり', '、', '死後', 'は', '靖', '定', '夫人', 'の', '諡号', 'を', 'うけ', '、', '正室', 'で', 'は', 'ない', 'ものの', '、', '頼房', 'の', '隣', 'に', '葬ら', 'れ', 'て', 'いる', '。', '徳川', '光圀', '略', '系図', '数字', 'は', '水戸', '藩', 'の', '代数', '＝']",['正室'],NO,正室,NO,NO
7,正室,た私こそ、政事の大道を知らぬ阿呆者じゃ。それにしても、近衛尚通公の姫御が正室として入内される噂が流れるや、宣賢は、娘を岡崎のお方の実家三淵の縁者,"['た', '私', 'こそ', '、', '政事', 'の', '大道', 'を', '知ら', 'ぬ', '阿呆', '者', 'じゃ', '。', 'それにしても', '、', '近衛', '尚', '通', '公', 'の', '姫', '御', 'が', '正室', 'として', '入内', 'さ', 'れる', '噂', 'が', '流れる', 'や', '、', '宣', '賢', 'は', '、', '娘', 'を', '岡崎', 'の', 'お方', 'の', '実家', '三', '淵', 'の', '縁者']",['正室'],NO,正室,NO,NO
8,正室,自覚はしていなかったでしょうが、もうこのころの彼女は性根が坐って、正室としての重みが自然と感じられるような貫禄ある女房になっていたのではあり,"['自覚', 'は', 'し', 'て', 'い', 'なかっ', 'た', 'でしょ', 'う', 'が', '、', 'もうこ', 'の', 'ころ', 'の', '彼女', 'は', '性根', 'が', '坐っ', 'て', '、', '正室', 'として', 'の', '重み', 'が', '自然', 'と', '感じ', 'られる', 'よう', 'な', '貫禄', 'ある', '女房', 'に', 'なっ', 'て', 'い', 'た', 'の', 'で', 'は', 'あり']",['正室'],NO,正室,NO,NO
9,正室,。『源氏物語』正篇の「若菜」の巻に登場するヒロイン、光源氏がその晩年に、正室として迎えた若い皇女、女三の宮。彼女は、ひそかに通じた恋人の,"['。', '『', '源氏物語', '』', '正篇', 'の', '「', '若菜', '」', 'の', '巻', 'に', '登場', 'する', 'ヒロイン', '、', '光源氏', 'が', 'その', '晩年', 'に', '、', '正室', 'として', '迎え', 'た', '若い', '皇女', '、', '女', '三', 'の', '宮', '。', '彼女', 'は', '、', 'ひそか', 'に', '通じ', 'た', '恋人', 'の']",['正室'],NO,正室,NO,NO
10,正室,を読む前に知っている人は稀ではないだろうか。斎藤道三の娘で、信長の正室となった帰蝶（お濃の方）を取り上げた「奇蝶・美濃御前」は有名かもしれないが、,"['を', '読む', '前', 'に', '知っ', 'て', 'いる', '人', 'は', '稀', 'で', 'は', 'ない', 'だろ', 'う', 'か', '。', '斎藤', '道三', 'の', '娘', 'で', '、', '信長', 'の', '正室', 'と', 'なっ', 'た', '帰', '蝶', '（', 'お', '濃', 'の', '方', '）', 'を', '取り上げ', 'た', '「', '奇', '蝶', '・', '美濃', '御前', '」', 'は', '有名', 'かも', 'しれ', 'ない', 'が', '、']",['正室'],NO,正室,NO,NO
