,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,消防士,と、ダニーはいった。「間もなく、警官はいなくなって、消防士だけがビルに入りこむはずだ。やっと静かになるだろう」「集団ヒステリーだって？,"['と', '、', 'ダニー', 'は', 'いっ', 'た', '。', '「', '間もなく', '、', '警官', 'は', 'い', 'なく', 'なっ', 'て', '、', '消防', '士', 'だけ', 'が', 'ビル', 'に', '入りこむ', 'はず', 'だ', '。', 'やっと', '静か', 'に', 'なる', 'だろ', 'う', '」', '「', '集団', 'ヒステリー', 'だって', '？']","['消防', '士']",YES,消防士,NO,NO
1,消防士,て、現在は消防士を志しています。テレビドラマで自分の危険を顧みない勇気ある消防士の姿を見て、感動したことがきっかけです。以前、消火器を扱う機会,"['て', '、', '現在', 'は', '消防', '士', 'を', '志し', 'て', 'い', 'ます', '。', 'テレビ', 'ドラマ', 'で', '自分', 'の', '危険', 'を', '顧み', 'ない', '勇気', 'ある', '消防', '士', 'の', '姿', 'を', '見', 'て', '、', '感動', 'し', 'た', 'こと', 'が', 'きっかけ', 'です', '。', '以前', '、', '消火', '器', 'を', '扱う', '機会']","['消防', '士']",YES,消防士,NO,NO
2,消防士,て、現在は消防士を志しています。テレビドラマで自分の危険を顧みない勇気ある消防士の姿を見て、感動したことがきっかけです。以前、消火器を扱う機会,"['て', '、', '現在', 'は', '消防', '士', 'を', '志し', 'て', 'い', 'ます', '。', 'テレビ', 'ドラマ', 'で', '自分', 'の', '危険', 'を', '顧み', 'ない', '勇気', 'ある', '消防', '士', 'の', '姿', 'を', '見', 'て', '、', '感動', 'し', 'た', 'こと', 'が', 'きっかけ', 'です', '。', '以前', '、', '消火', '器', 'を', '扱う', '機会']","['消防', '士']",YES,消防士,NO,NO
3,消防士,わかってもらえるだろうか。というわけで、こうした装備に金を使えるような消防士は一人もいないし、かといって装備を携帯しなければ仕事にならない,"['わかっ', 'て', 'もらえる', 'だろ', 'う', 'か', '。', 'という', 'わけ', 'で', '、', 'こうした', '装備', 'に', '金', 'を', '使える', 'よう', 'な', '消防', '士', 'は', '一', '人', 'も', 'い', 'ない', 'し', '、', 'か', 'と', 'いっ', 'て', '装備', 'を', '携帯', 'し', 'なけれ', 'ば', '仕事', 'に', 'なら', 'ない']","['消防', '士']",YES,消防士,NO,NO
4,消防士,などがつかわれたが、現在では「駅員」「漁師」「農民」「消防士」というようにかわってきた。これからは「弁護士」「栄養士」「看護士,"['など', 'が', 'つかわ', 'れ', 'た', 'が', '、', '現在', 'で', 'は', '「', '駅員', '」', '「', '漁師', '」', '「', '農民', '」', '「', '消防', '士', '」', 'という', 'よう', 'に', 'かわっ', 'て', 'き', 'た', '。', 'これから', 'は', '「', '弁護士', '」', '「', '栄養士', '」', '「', '看護', '士']","['消防', '士']",YES,消防士,NO,NO
5,消防士,郵送による申込み８月十五日（金）必着詳しくはお問い合わせください。平成二十一年度採用消防士（伊那市職員）募集消防士（伊那市職員）を募集します。■試験区分・募集人員上級、中級、初級若干名■第一次試験日・場所,"['郵送', 'による', '申込み', '８月', '十', '五', '日', '（', '金', '）', '必着', '詳しく', 'は', 'お', '問い合わせ', 'ください', '。', '平成', '二', '十', '一', '年度', '採用', '消防', '士', '（', '伊那', '市', '職員', '）', '募集', '消防', '士', '（', '伊那', '市', '職員', '）', 'を', '募集', 'し', 'ます', '。', '■', '試験', '区分', '・', '募集', '人員', '上級', '、', '中級', '、', '初級', '若干', '名', '■', '第', '一', '次', '試験', '日', '・', '場所']","['消防', '士']",YES,消防士,NO,NO
6,消防士,郵送による申込み８月十五日（金）必着詳しくはお問い合わせください。平成二十一年度採用消防士（伊那市職員）募集消防士（伊那市職員）を募集します。■試験区分・募集人員上級、中級、初級若干名■第一次試験日・場所,"['郵送', 'による', '申込み', '８月', '十', '五', '日', '（', '金', '）', '必着', '詳しく', 'は', 'お', '問い合わせ', 'ください', '。', '平成', '二', '十', '一', '年度', '採用', '消防', '士', '（', '伊那', '市', '職員', '）', '募集', '消防', '士', '（', '伊那', '市', '職員', '）', 'を', '募集', 'し', 'ます', '。', '■', '試験', '区分', '・', '募集', '人員', '上級', '、', '中級', '、', '初級', '若干', '名', '■', '第', '一', '次', '試験', '日', '・', '場所']","['消防', '士']",YES,消防士,NO,NO
7,消防士,それもちっこい方の―を彷彿させる十三歳のチビ・裕孝。そして身の丈ほぼ二メートルの消防士の俺。誰が見ても関係を見抜けない、はちゃめちゃな四人。血の,"['それ', 'も', 'ちっ', 'こい', '方', 'の', '―', 'を', '彷彿', 'さ', 'せる', '十', '三', '歳', 'の', 'チビ', '・', '裕孝', '。', 'そして', '身の丈', 'ほぼ', '二', 'メートル', 'の', '消防', '士', 'の', '俺', '。', '誰', 'が', '見', 'て', 'も', '関係', 'を', '見抜け', 'ない', '、', 'は', 'ちゃめ', 'ちゃ', 'な', '四', '人', '。', '血', 'の']","['消防', '士']",YES,消防士,NO,NO
8,消防士,。「多数の負傷者が出た。死者も何人か出たらしい。警官や消防士の間にパニックが起こっている。特にビルの中に入った警官は様子がおかしい,"['。', '「', '多数', 'の', '負傷', '者', 'が', '出', 'た', '。', '死者', 'も', '何', '人', 'か', '出', 'た', 'らしい', '。', '警官', 'や', '消防', '士', 'の', '間', 'に', 'パニック', 'が', '起こっ', 'て', 'いる', '。', '特に', 'ビル', 'の', '中', 'に', '入っ', 'た', '警官', 'は', '様子', 'が', 'おかしい']","['消防', '士']",YES,消防士,NO,NO
9,消防士,と日常的に接するような職場の人―ＩＣＵー（集中治療室）の看護婦、救急隊員、消防士、警察官、記者、災害救助の専門家なども、バーンアウトの危険性にさらされます（表,"['と', '日常', '的', 'に', '接する', 'よう', 'な', '職場', 'の', '人', '―', 'ＩＣＵ', 'ー', '（', '集中', '治療', '室', '）', 'の', '看護', '婦', '、', '救急', '隊員', '、', '消防', '士', '、', '警察官', '、', '記者', '、', '災害', '救助', 'の', '専門', '家', 'など', 'も', '、', 'バーン', 'アウト', 'の', '危険', '性', 'に', 'さらさ', 'れ', 'ます', '（', '表']","['消防', '士']",YES,消防士,NO,NO
10,消防士,ハリガンと呼ばれているのだ。これで開けられないドアや鍵はほとんどないので、消防士が必ず携帯する道具だ。ここでも使う機会があるだろうと考えた。「ラビット・ツール,"['ハリ', 'ガン', 'と', '呼ば', 'れ', 'て', 'いる', 'の', 'だ', '。', 'これ', 'で', '開け', 'られ', 'ない', 'ドア', 'や', '鍵', 'は', 'ほとんど', 'ない', 'ので', '、', '消防', '士', 'が', '必ず', '携帯', 'する', '道具', 'だ', '。', 'ここ', 'でも', '使う', '機会', 'が', 'ある', 'だろ', 'う', 'と', '考え', 'た', '。', '「', 'ラビット・ツール']","['消防', '士']",YES,消防士,NO,NO
11,消防士,ショーカンパニー）」（大阪府八尾市）が神戸で上演するミュージカルのテーマソングで、阪神・淡路大震災で活躍した消防士にささげた歌を、米中枢同時テロの救助にあたったニューヨーク（ＮＹ）の消防士のため,"['ショー', 'カンパニー', '）', '」', '（', '大阪', '府', '八尾', '市', '）', 'が', '神戸', 'で', '上演', 'する', 'ミュージカル', 'の', 'テーマ', 'ソング', 'で', '、', '阪神', '・', '淡路', '大震災', 'で', '活躍', 'し', 'た', '消防', '士', 'に', 'ささげ', 'た', '歌', 'を', '、', '米', '中枢', '同時', 'テロ', 'の', '救助', 'に', 'あたっ', 'た', 'ニューヨーク', '（', 'ＮＹ', '）', 'の', '消防', '士', 'の', 'ため']","['消防', '士']",YES,消防士,NO,NO
12,消防士,ショーカンパニー）」（大阪府八尾市）が神戸で上演するミュージカルのテーマソングで、阪神・淡路大震災で活躍した消防士にささげた歌を、米中枢同時テロの救助にあたったニューヨーク（ＮＹ）の消防士のため,"['ショー', 'カンパニー', '）', '」', '（', '大阪', '府', '八尾', '市', '）', 'が', '神戸', 'で', '上演', 'する', 'ミュージカル', 'の', 'テーマ', 'ソング', 'で', '、', '阪神', '・', '淡路', '大震災', 'で', '活躍', 'し', 'た', '消防', '士', 'に', 'ささげ', 'た', '歌', 'を', '、', '米', '中枢', '同時', 'テロ', 'の', '救助', 'に', 'あたっ', 'た', 'ニューヨーク', '（', 'ＮＹ', '）', 'の', '消防', '士', 'の', 'ため']","['消防', '士']",YES,消防士,NO,NO
13,消防士,ば「避難完了」の設計で、火災や非常時には、部屋で待っていれば、消防士が助けに来てくれるものと考えている。「炎上するビルを見上げ、消防士たちはみんな,"['ば', '「', '避難', '完了', '」', 'の', '設計', 'で', '、', '火災', 'や', '非常時', 'に', 'は', '、', '部屋', 'で', '待っ', 'て', 'いれ', 'ば', '、', '消防', '士', 'が', '助け', 'に', '来', 'て', 'くれる', 'もの', 'と', '考え', 'て', 'いる', '。', '「', '炎上', 'する', 'ビル', 'を', '見上げ', '、', '消防', '士', 'たち', 'は', 'みんな']","['消防', '士']",YES,消防士,NO,NO
