,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,球場,ています。オープン球場を作るのに二百億、ドーム球場三百億。とても現在生きている人たちが新しい球場を拝む事は出来ません。これは、もたもたしている官財に「作ってくれ！」,"['て', 'い', 'ます', '。', 'オープン', '球場', 'を', '作る', 'の', 'に', '二', '百', '億', '、', 'ドーム', '球場', '三', '百', '億', '。', 'とても', '現在', '生き', 'て', 'いる', '人', 'たち', 'が', '新しい', '球場', 'を', '拝む', '事', 'は', '出来', 'ませ', 'ん', '。', 'これ', 'は', '、', 'もたもた', 'し', 'て', 'いる', '官', '財', 'に', '「', '作っ', 'て', 'くれ', '！', '」']",['球場'],NO,球場,NO,NO
1,球場,ています。オープン球場を作るのに二百億、ドーム球場三百億。とても現在生きている人たちが新しい球場を拝む事は出来ません。これは、もたもたしている官財に「作ってくれ！」,"['て', 'い', 'ます', '。', 'オープン', '球場', 'を', '作る', 'の', 'に', '二', '百', '億', '、', 'ドーム', '球場', '三', '百', '億', '。', 'とても', '現在', '生き', 'て', 'いる', '人', 'たち', 'が', '新しい', '球場', 'を', '拝む', '事', 'は', '出来', 'ませ', 'ん', '。', 'これ', 'は', '、', 'もたもた', 'し', 'て', 'いる', '官', '財', 'に', '「', '作っ', 'て', 'くれ', '！', '」']",['球場'],NO,球場,NO,NO
2,球場,ています。オープン球場を作るのに二百億、ドーム球場三百億。とても現在生きている人たちが新しい球場を拝む事は出来ません。これは、もたもたしている官財に「作ってくれ！」,"['て', 'い', 'ます', '。', 'オープン', '球場', 'を', '作る', 'の', 'に', '二', '百', '億', '、', 'ドーム', '球場', '三', '百', '億', '。', 'とても', '現在', '生き', 'て', 'いる', '人', 'たち', 'が', '新しい', '球場', 'を', '拝む', '事', 'は', '出来', 'ませ', 'ん', '。', 'これ', 'は', '、', 'もたもた', 'し', 'て', 'いる', '官', '財', 'に', '「', '作っ', 'て', 'くれ', '！', '」']",['球場'],NO,球場,NO,NO
3,球場,必要以上に「人気が無い」ことを強調する報道が目立つように思います。実際に球場に足を運ぶ人の数は、私が子供の頃より増えていると思います,"['必要', '以上', 'に', '「', '人気', 'が', '無い', '」', 'こと', 'を', '強調', 'する', '報道', 'が', '目立つ', 'よう', 'に', '思い', 'ます', '。', '実際', 'に', '球場', 'に', '足', 'を', '運ぶ', '人', 'の', '数', 'は', '、', '私', 'が', '子供', 'の', '頃', 'より', '増え', 'て', 'いる', 'と', '思い', 'ます']",['球場'],NO,球場,NO,NO
4,球場,これって日本ではファイターズがやってますが、日本だけじゃなくて他のチームや球場でもやってる（た）んですか？発祥はメジャーですか？それともただの,"['これ', 'って', '日本', 'で', 'は', 'ファイターズ', 'が', 'やっ', 'て', 'ます', 'が', '、', '日本', 'だけ', 'じゃ', 'なく', 'て', '他', 'の', 'チーム', 'や', '球場', 'でも', 'やっ', 'てる', '（', 'た', '）', 'ん', 'です', 'か', '？', '発祥', 'は', 'メジャー', 'です', 'か', '？', 'それとも', 'ただ', 'の']",['球場'],NO,球場,NO,NO
5,球場,緊迫した雰囲気の中でまわりから見つめられ、期待されている空気と視線。ビジターの球場なら、この野郎と思われている、打たれろ打たれろ打たれろという視線のほうが,"['緊迫', 'し', 'た', '雰囲気', 'の', '中', 'で', 'まわり', 'から', '見つめ', 'られ', '、', '期待', 'さ', 'れ', 'て', 'いる', '空気', 'と', '視線', '。', 'ビジター', 'の', '球場', 'なら', '、', 'この', '野郎', 'と', '思わ', 'れ', 'て', 'いる', '、', '打た', 'れろ', '打た', 'れろ', '打た', 'れろ', 'という', '視線', 'の', 'ほう', 'が']",['球場'],NO,球場,NO,NO
6,球場,自由見学となっている。その為、色んな所を、それなりの時間を掛けて見学できる。球場へ飲食物を持ち込む事は禁止されている。多分、球場内の飲食店は、開いているのではない,"['自由', '見学', 'と', 'なっ', 'て', 'いる', '。', 'その', '為', '、', '色んな', '所', 'を', '、', 'それなり', 'の', '時間', 'を', '掛け', 'て', '見学', 'できる', '。', '球場', 'へ', '飲食', '物', 'を', '持ち込む', '事', 'は', '禁止', 'さ', 'れ', 'て', 'いる', '。', '多分', '、', '球場', '内', 'の', '飲食', '店', 'は', '、', '開い', 'て', 'いる', 'の', 'で', 'は', 'ない']",['球場'],NO,球場,NO,NO
7,球場,自由見学となっている。その為、色んな所を、それなりの時間を掛けて見学できる。球場へ飲食物を持ち込む事は禁止されている。多分、球場内の飲食店は、開いているのではない,"['自由', '見学', 'と', 'なっ', 'て', 'いる', '。', 'その', '為', '、', '色んな', '所', 'を', '、', 'それなり', 'の', '時間', 'を', '掛け', 'て', '見学', 'できる', '。', '球場', 'へ', '飲食', '物', 'を', '持ち込む', '事', 'は', '禁止', 'さ', 'れ', 'て', 'いる', '。', '多分', '、', '球場', '内', 'の', '飲食', '店', 'は', '、', '開い', 'て', 'いる', 'の', 'で', 'は', 'ない']",['球場'],NO,球場,NO,NO
8,球場,を球場の名前に持ってきましたか〜。このキャッチフレーズ自体は結構好きなので、球場の名前も早く耳になじむようになるといいな♪,"['を', '球場', 'の', '名前', 'に', '持っ', 'て', 'き', 'まし', 'た', 'か', '〜', '。', 'この', 'キャッチフレーズ', '自体', 'は', '結構', '好き', 'な', 'ので', '、', '球場', 'の', '名前', 'も', '早く', '耳', 'に', 'なじむ', 'よう', 'に', 'なる', 'と', 'いい', 'な', '♪']",['球場'],NO,球場,NO,NO
9,球場,を球場の名前に持ってきましたか〜。このキャッチフレーズ自体は結構好きなので、球場の名前も早く耳になじむようになるといいな♪,"['を', '球場', 'の', '名前', 'に', '持っ', 'て', 'き', 'まし', 'た', 'か', '〜', '。', 'この', 'キャッチフレーズ', '自体', 'は', '結構', '好き', 'な', 'ので', '、', '球場', 'の', '名前', 'も', '早く', '耳', 'に', 'なじむ', 'よう', 'に', 'なる', 'と', 'いい', 'な', '♪']",['球場'],NO,球場,NO,NO
10,球場,それにさすが、みなさん野球をよく知っていますよ。興奮しました」試合後も球場に残り、日本から運び込んだウエイトトレーニング・マシーンで、黙々と汗を流すイチロー。百六十二試合という長丁場,"['それに', 'さすが', '、', 'みなさん', '野球', 'を', 'よく', '知っ', 'て', 'い', 'ます', 'よ', '。', '興奮', 'し', 'まし', 'た', '」', '試合', '後', 'も', '球場', 'に', '残り', '、', '日本', 'から', '運び込ん', 'だ', 'ウエイトトレーニング・マシーン', 'で', '、', '黙々と', '汗', 'を', '流す', 'イチロー', '。', '百', '六', '十', '二', '試合', 'という', '長丁場']",['球場'],NO,球場,NO,NO
11,球場,ているときのような表情だ。新しいグローブを胸にしっかりと抱えている。「球場まで、いったいどのくらいかかったんだ？」彼は肩をすぼめ、ため息交じりに言っ,"['て', 'いる', 'とき', 'の', 'よう', 'な', '表情', 'だ', '。', '新しい', 'グローブ', 'を', '胸', 'に', 'しっかり', 'と', '抱え', 'て', 'いる', '。', '「', '球場', 'まで', '、', 'いったい', 'どの', 'くらい', 'かかっ', 'た', 'ん', 'だ', '？', '」', '彼', 'は', '肩', 'を', 'すぼめ', '、', 'ため息', '交じり', 'に', '言っ']",['球場'],NO,球場,NO,NO
12,球場,ことになる。「偶然とはいえ、光栄です」と松井。そんなことが素直に喜べるような球場である。（シカゴ共同＝神田洋）シカゴのリグリー・フィールドでカブスと対戦し、センターの守備に就く,"['ことに', 'なる', '。', '「', '偶然', 'と', 'は', 'いえ', '、', '光栄', 'です', '」', 'と', '松井', '。', 'そんな', 'こと', 'が', '素直', 'に', '喜べる', 'よう', 'な', '球場', 'で', 'ある', '。', '（', 'シカゴ', '共同', '＝', '神田', '洋', '）', 'シカゴ', 'の', 'リグリー・フィールド', 'で', 'カブス', 'と', '対戦', 'し', '、', 'センター', 'の', '守備', 'に', '就く']",['球場'],NO,球場,NO,NO
13,球場,は、私の車の隣に止まっていた古いジャガーのトランクに腰を掛け、球場から出てくる私を待っていた。彼が誰であるかを、私は知っ,"['は', '、', '私', 'の', '車', 'の', '隣', 'に', '止まっ', 'て', 'い', 'た', '古い', 'ジャガー', 'の', 'トランク', 'に', '腰', 'を', '掛け', '、', '球場', 'から', '出', 'て', 'くる', '私', 'を', '待っ', 'て', 'い', 'た', '。', '彼', 'が', '誰', 'で', 'ある', 'か', 'を', '、', '私', 'は', '知っ']",['球場'],NO,球場,NO,NO
14,球場,赤と黒のプラスチック・スパイクの付いた、ナイキ社製の本格的な野球シューズだった。ティモシーは球場に来るなり、私に駆け寄ってきて言ったものだ。「監督、見,"['赤', 'と', '黒', 'の', 'プラスチック', '・', 'スパイク', 'の', '付い', 'た', '、', 'ナイキ', '社', '製', 'の', '本格', '的', 'な', '野球', 'シューズ', 'だっ', 'た', '。', 'ティモシー', 'は', '球場', 'に', '来る', 'なり', '、', '私', 'に', '駆け寄っ', 'て', 'き', 'て', '言っ', 'た', 'もの', 'だ', '。', '「', '監督', '、', '見']",['球場'],NO,球場,NO,NO
15,球場,に。嫁台風が来てたんです。で、すっごい階段多いじゃないですか、球場って。野球部の子がスタンドの上までお母さんをおぶって。―野球部員が迎え,"['に', '。', '嫁', '台風', 'が', '来', 'て', 'た', 'ん', 'です', '。', 'で', '、', 'すっごい', '階段', '多い', 'じゃ', 'ない', 'です', 'か', '、', '球場', 'って', '。', '野球', '部', 'の', '子', 'が', 'スタンド', 'の', '上', 'まで', 'お母さん', 'を', 'おぶっ', 'て', '。', '―', '野球', '部員', 'が', '迎え']",['球場'],NO,球場,NO,NO
