,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,画家,も、この学校は知っている。通りに面するガラスケースには、私の大好きな画家、ベン・シャーンの作品が飾られていた。淡色で色づけされたそれを見ていると,"['も', '、', 'この', '学校', 'は', '知っ', 'て', 'いる', '。', '通り', 'に', '面する', 'ガラスケース', 'に', 'は', '、', '私', 'の', '大好き', 'な', '画家', '、', 'ベン', '・', 'シャーン', 'の', '作品', 'が', '飾ら', 'れ', 'て', 'い', 'た', '。', '淡色', 'で', '色づけ', 'さ', 'れ', 'た', 'それ', 'を', '見', 'て', 'いる', 'と']",['画家'],NO,画家,NO,NO
1,画家,引田天功さん▽映画監督の黒沢明、市川崑氏▽漫画家の赤塚不二夫氏▽政治家の後藤田正晴、中曽根康弘氏ら。一方、スペイン人は画家や詩人、ギタリスト、フラメンコ歌手ら個性派が並ぶ。八十六年から撮り続けた作品の中から、気に,"['引田', '天', '功', 'さん', '▽', '映画', '監督', 'の', '黒沢', '明', '、', '市川', '崑', '氏', '▽', '漫画', '家', 'の', '赤塚', '不二夫', '氏', '▽', '政治', '家', 'の', '後藤田', '正晴', '、', '中曽根', '康弘', '氏', 'ら', '。', '一方', '、', 'スペイン', '人', 'は', '画家', 'や', '詩人', '、', 'ギタリスト', '、', 'フラメンコ', '歌手', 'ら', '個性', '派', 'が', '並ぶ', '。', '八', '十', '六', '年', 'から', '撮り', '続け', 'た', '作品', 'の', '中', 'から', '、', '気', 'に']","['漫画', '家']",YES,画家,NO,YES
2,画家,引田天功さん▽映画監督の黒沢明、市川崑氏▽漫画家の赤塚不二夫氏▽政治家の後藤田正晴、中曽根康弘氏ら。一方、スペイン人は画家や詩人、ギタリスト、フラメンコ歌手ら個性派が並ぶ。八十六年から撮り続けた作品の中から、気に,"['引田', '天', '功', 'さん', '▽', '映画', '監督', 'の', '黒沢', '明', '、', '市川', '崑', '氏', '▽', '漫画', '家', 'の', '赤塚', '不二夫', '氏', '▽', '政治', '家', 'の', '後藤田', '正晴', '、', '中曽根', '康弘', '氏', 'ら', '。', '一方', '、', 'スペイン', '人', 'は', '画家', 'や', '詩人', '、', 'ギタリスト', '、', 'フラメンコ', '歌手', 'ら', '個性', '派', 'が', '並ぶ', '。', '八', '十', '六', '年', 'から', '撮り', '続け', 'た', '作品', 'の', '中', 'から', '、', '気', 'に']",['画家'],NO,画家,NO,NO
3,画家,〈ルパンの時代〉、パリはモンマルトルあるいはモンパルナスが一大拠点となり、世界中からここに画家が集まってきますが、とりわけロシア生まれの画家が多く、シャガール、キスリング、スーティン、,"['〈', 'ルパン', 'の', '時代', '〉', '、', 'パリ', 'は', 'モンマルトル', 'あるいは', 'モンパルナス', 'が', '一大', '拠点', 'と', 'なり', '、', '世界中', 'から', 'ここ', 'に', '画家', 'が', '集まっ', 'て', 'き', 'ます', 'が', '、', 'とりわけ', 'ロシア', '生まれ', 'の', '画家', 'が', '多く', '、', 'シャガール', '、', 'キスリング', '、', 'スーティン', '、']",['画家'],NO,画家,NO,NO
4,画家,〈ルパンの時代〉、パリはモンマルトルあるいはモンパルナスが一大拠点となり、世界中からここに画家が集まってきますが、とりわけロシア生まれの画家が多く、シャガール、キスリング、スーティン、,"['〈', 'ルパン', 'の', '時代', '〉', '、', 'パリ', 'は', 'モンマルトル', 'あるいは', 'モンパルナス', 'が', '一大', '拠点', 'と', 'なり', '、', '世界中', 'から', 'ここ', 'に', '画家', 'が', '集まっ', 'て', 'き', 'ます', 'が', '、', 'とりわけ', 'ロシア', '生まれ', 'の', '画家', 'が', '多く', '、', 'シャガール', '、', 'キスリング', '、', 'スーティン', '、']",['画家'],NO,画家,NO,NO
5,画家,描き出した星座のイメージを華麗なフレスコ画にしていたならば、一人の偉大な画家が誕生していたことであろう。しかし、ブルーノの使命は心の中に描き形造ること,"['描き出し', 'た', '星座', 'の', 'イメージ', 'を', '華麗', 'な', 'フレスコ', '画', 'に', 'し', 'て', 'い', 'た', 'なら', 'ば', '、', '一', '人', 'の', '偉大', 'な', '画家', 'が', '誕生', 'し', 'て', 'い', 'た', 'こと', 'で', 'あろ', 'う', '。', 'しかし', '、', 'ブルー', 'ノ', 'の', '使命', 'は', '心', 'の', '中', 'に', '描き', '形', '造る', 'こと']",['画家'],NO,画家,NO,NO
6,画家,の頃、友人に語っていたそうだ。「すべては生きながら死ぬ。」この画家にとって、世界は生と死の、生成と衰減の重層しあった円環にほかならなかっ,"['の', '頃', '、', '友人', 'に', '語っ', 'て', 'い', 'た', 'そう', 'だ', '。', '「', 'すべて', 'は', '生き', 'ながら', '死ぬ', '。', '」', 'この', '画家', 'にとって', '、', '世界', 'は', '生', 'と', '死の', '、', '生成', 'と', '衰減', 'の', '重層', 'し', 'あっ', 'た', '円', '環', 'に', 'ほかなら', 'なかっ']",['画家'],NO,画家,NO,NO
7,画家,のを止めてしまった。中学校に入学してからも相変わらず絵を描き続け、将来は画家になろうかと思っていた矢先に一年後輩の絵が私より上手いのを見て,"['の', 'を', '止め', 'て', 'しまっ', 'た', '。', '中学校', 'に', '入学', 'し', 'て', 'から', 'も', '相変わらず', '絵', 'を', '描き', '続け', '、', '将来', 'は', '画家', 'に', 'なろ', 'う', 'か', 'と', '思っ', 'て', 'い', 'た', '矢先', 'に', '一', '年', '後輩', 'の', '絵', 'が', '私', 'より', '上手い', 'の', 'を', '見', 'て']",['画家'],NO,画家,NO,NO
8,画家,。広告、映画、テレビ、「写真新聞」はその大衆性をこの図式に負うている。画家、素描家、とりわけ肖像画家、新聞デッサン家、増大する失業者も同様だ。視覚的技術は芸術を贅沢と,"['。', '広告', '、', '映画', '、', 'テレビ', '、', '「', '写真', '新聞', '」', 'は', 'その', '大衆', '性', 'を', 'この', '図式', 'に', '負う', 'て', 'いる', '。', '画家', '、', '素描', '家', '、', 'とりわけ', '肖像', '画家', '、', '新聞', 'デッサン', '家', '、', '増大', 'する', '失業', '者', 'も', '同様', 'だ', '。', '視覚', '的', '技術', 'は', '芸術', 'を', '贅沢', 'と']",['画家'],NO,画家,NO,NO
9,画家,。広告、映画、テレビ、「写真新聞」はその大衆性をこの図式に負うている。画家、素描家、とりわけ肖像画家、新聞デッサン家、増大する失業者も同様だ。視覚的技術は芸術を贅沢と,"['。', '広告', '、', '映画', '、', 'テレビ', '、', '「', '写真', '新聞', '」', 'は', 'その', '大衆', '性', 'を', 'この', '図式', 'に', '負う', 'て', 'いる', '。', '画家', '、', '素描', '家', '、', 'とりわけ', '肖像', '画家', '、', '新聞', 'デッサン', '家', '、', '増大', 'する', '失業', '者', 'も', '同様', 'だ', '。', '視覚', '的', '技術', 'は', '芸術', 'を', '贅沢', 'と']",['画家'],NO,画家,NO,NO
