,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,病室,そのまんまにしておいて」リビングルームの隣が、細い襖を挾んで祖母の病室になっている。そっと中を覗く啓一に、町子は唇に指を当てて告げ,"['その', 'まんま', 'に', 'し', 'て', 'おい', 'て', '」', 'リビング', 'ルーム', 'の', '隣', 'が', '、', '細い', '襖', 'を', '挾ん', 'で', '祖母', 'の', '病室', 'に', 'なっ', 'て', 'いる', '。', 'そっと', '中', 'を', '覗く', '啓', '一', 'に', '、', '町子', 'は', '唇', 'に', '指', 'を', '当て', 'て', '告げ']",['病室'],NO,病室,NO,NO
1,病室,が点灯していた。十三号室の高坂いづみちゃんだ。看護婦、松下奈々子（二十八歳）は急いで病室に向かった。時計は午前４時を少しまわっていた。まだまだ暗い廊下を奈々子は,"['が', '点灯', 'し', 'て', 'い', 'た', '。', '十', '三', '号', '室', 'の', '高坂', 'いづみ', 'ちゃん', 'だ', '。', '看護', '婦', '、', '松下', '奈々子', '（', '二', '十', '八', '歳', '）', 'は', '急い', 'で', '病室', 'に', '向かっ', 'た', '。', '時計', 'は', '午前', '４', '時', 'を', '少し', 'まわっ', 'て', 'い', 'た', '。', 'まだまだ', '暗い', '廊下', 'を', '奈々子', 'は']",['病室'],NO,病室,NO,NO
2,病室,は、希美子が予想していたよりも大きくて設備も整っていた。毛利カナ江の病室は三階にあり、二人用だったが、隣のベッドはあいていた。看護婦,"['は', '、', '希美子', 'が', '予想', 'し', 'て', 'い', 'た', 'より', 'も', '大きく', 'て', '設備', 'も', '整っ', 'て', 'い', 'た', '。', '毛利', 'カナ', '江', 'の', '病室', 'は', '三', '階', 'に', 'あり', '、', '二', '人', '用だっ', 'た', 'が', '、', '隣', 'の', 'ベッド', 'は', 'あい', 'て', 'い', 'た', '。', '看護', '婦']",['病室'],NO,病室,NO,NO
3,病室,。最大の問題が、若貴兄弟の反目である。５月三十日午後５時四十分、二子山親方が病室で息を引き取って間もない、その枕元で、２人の息子はどちらが喪主,"['。', '最大', 'の', '問題', 'が', '、', '若貴', '兄弟', 'の', '反目', 'で', 'ある', '。', '５月', '三', '十', '日', '午後', '５', '時', '四', '十', '分', '、', '二子山親方', 'が', '病室', 'で', '息', 'を', '引き取っ', 'て', '間', 'も', 'ない', '、', 'その', '枕元', 'で', '、', '２', '人', 'の', '息子', 'は', 'どちら', 'が', '喪主']",['病室'],NO,病室,NO,NO
4,病室,、少しだけ時間をもらえますか」と僕は言った。看護婦はうなずいて病室を出た。母さんが父さんの上に泣き崩れた。「ほんとうにたいへんだっ,"['、', '少し', 'だけ', '時間', 'を', 'もらえ', 'ます', 'か', '」', 'と', '僕', 'は', '言っ', 'た', '。', '看護', '婦', 'は', 'うなずい', 'て', '病室', 'を', '出', 'た', '。', '母さん', 'が', '父さん', 'の', '上', 'に', '泣き崩れ', 'た', '。', '「', 'ほんとう', 'に', 'たいへん', 'だっ']",['病室'],NO,病室,NO,NO
5,病室,た男のニュース速報はすでに放送電波に乗っていた。四十八歳の株式仲買人、マックス・Ｊ・ギャラベディアンが入院中の病室から突然廊下に飛び出し、銃を発砲させた。詳しい状況ははっきりしないが、少なくとも,"['た', '男', 'の', 'ニュース', '速報', 'は', 'すでに', '放送', '電波', 'に', '乗っ', 'て', 'い', 'た', '。', '四', '十', '八', '歳', 'の', '株式', '仲買人', '、', 'マックス', '・', 'Ｊ', '・', 'ギャラベディアン', 'が', '入院', '中', 'の', '病室', 'から', '突然', '廊下', 'に', '飛び出し', '、', '銃', 'を', '発砲', 'さ', 'せ', 'た', '。', '詳しい', '状況', 'は', 'はっきり', 'し', 'ない', 'が', '、', '少なくとも']",['病室'],NO,病室,NO,NO
6,病室,、自分がモルモットにでもなったような気分ですわ」検査を終えて病室へ戻ってきた貫一が、松葉杖も痛々しい次郎に笑顔を向けた。あれから,"['、', '自分', 'が', 'モルモット', 'に', 'でも', 'なっ', 'た', 'よう', 'な', '気分', 'です', 'わ', '」', '検査', 'を', '終え', 'て', '病室', 'へ', '戻っ', 'て', 'き', 'た', '貫一', 'が', '、', '松葉杖', 'も', '痛々しい', '次', '郎', 'に', '笑顔', 'を', '向け', 'た', '。', 'あれ', 'から']",['病室'],NO,病室,NO,NO
7,病室,こともおぼえていた。だが、何が起きたのかは思い出せなかった。病室は暗く、ベッドの上のモニターが緑色に光っているだけだった。彼には,"['こと', 'も', 'おぼえ', 'て', 'い', 'た', '。', 'だが', '、', '何', 'が', '起き', 'た', 'の', 'か', 'は', '思い出せ', 'なかっ', 'た', '。', '病室', 'は', '暗く', '、', 'ベッド', 'の', '上', 'の', 'モニター', 'が', '緑色', 'に', '光っ', 'て', 'いる', 'だけ', 'だっ', 'た', '。', '彼', 'に', 'は']",['病室'],NO,病室,NO,NO
8,病室,の」両側から手を強く握りしめられた。千秋は担架に乗せられて病室に入っていったが、一時間ぐらいすると自分で歩いて戻ってきた。,"['の', '」', '両側', 'から', '手', 'を', '強く', '握りしめ', 'られ', 'た', '。', '千秋', 'は', '担架', 'に', '乗せ', 'られ', 'て', '病室', 'に', '入っ', 'て', 'いっ', 'た', 'が', '、', '一', '時間', 'ぐらい', 'する', 'と', '自分', 'で', '歩い', 'て', '戻っ', 'て', 'き', 'た', '。']",['病室'],NO,病室,NO,NO
9,病室,、いまの状態では動かせないって先生は言ってました」看護婦が病室から出て行くと、藤島は、毛利カナ江の山荘の鍵をポケットから出した。,"['、', 'いま', 'の', '状態', 'で', 'は', '動か', 'せ', 'ない', 'って', '先生', 'は', '言っ', 'て', 'まし', 'た', '」', '看護', '婦', 'が', '病室', 'から', '出', 'て', '行く', 'と', '、', '藤島', 'は', '、', '毛利', 'カナ', '江', 'の', '山荘', 'の', '鍵', 'を', 'ポケット', 'から', '出し', 'た', '。']",['病室'],NO,病室,NO,NO
10,病室,は事もなげに言った。侵入者の形跡が発見されてすぐ、盲目の医師が病室へやってきた。看護婦は一礼して出て行った。「目下、病室内,"['は', '事もなげ', 'に', '言っ', 'た', '。', '侵入', '者', 'の', '形跡', 'が', '発見', 'さ', 'れ', 'て', 'すぐ', '、', '盲目', 'の', '医師', 'が', '病室', 'へ', 'やってき', 'た', '。', '看護', '婦', 'は', '一礼', 'し', 'て', '出', 'て', '行っ', 'た', '。', '「', '目下', '、', '病室', '内']",['病室'],NO,病室,NO,NO
11,病室,は事もなげに言った。侵入者の形跡が発見されてすぐ、盲目の医師が病室へやってきた。看護婦は一礼して出て行った。「目下、病室内,"['は', '事もなげ', 'に', '言っ', 'た', '。', '侵入', '者', 'の', '形跡', 'が', '発見', 'さ', 'れ', 'て', 'すぐ', '、', '盲目', 'の', '医師', 'が', '病室', 'へ', 'やってき', 'た', '。', '看護', '婦', 'は', '一礼', 'し', 'て', '出', 'て', '行っ', 'た', '。', '「', '目下', '、', '病室', '内']",['病室'],NO,病室,NO,NO
12,病室,立って十分に機能性を考慮した工夫が至るところに施されている。例えば、どの病室の患者も常にチェックできるように、十二部屋の病室の中央にナースステーションを設置。スイートルーム,"['立っ', 'て', '十分', 'に', '機能', '性', 'を', '考慮', 'し', 'た', '工夫', 'が', '至る', 'ところ', 'に', '施さ', 'れ', 'て', 'いる', '。', '例えば', '、', 'どの', '病室', 'の', '患者', 'も', '常に', 'チェック', 'できる', 'よう', 'に', '、', '十', '二', '部屋', 'の', '病室', 'の', '中央', 'に', 'ナース', 'ステーション', 'を', '設置', '。', 'スイートルーム']",['病室'],NO,病室,NO,NO
13,病室,立って十分に機能性を考慮した工夫が至るところに施されている。例えば、どの病室の患者も常にチェックできるように、十二部屋の病室の中央にナースステーションを設置。スイートルーム,"['立っ', 'て', '十分', 'に', '機能', '性', 'を', '考慮', 'し', 'た', '工夫', 'が', '至る', 'ところ', 'に', '施さ', 'れ', 'て', 'いる', '。', '例えば', '、', 'どの', '病室', 'の', '患者', 'も', '常に', 'チェック', 'できる', 'よう', 'に', '、', '十', '二', '部屋', 'の', '病室', 'の', '中央', 'に', 'ナース', 'ステーション', 'を', '設置', '。', 'スイートルーム']",['病室'],NO,病室,NO,NO
14,病室,ホテルに逃れた、その前夜七月十六日―いつものように病室に行くと、何やら大きな機械がどかんと占領しています。えっ！？と,"['ホテル', 'に', '逃れ', 'た', '、', 'その', '前夜', '七月', '十', '六', '日', '―', 'いつも', 'の', 'よう', 'に', '病室', 'に', '行く', 'と', '、', '何やら', '大きな', '機械', 'が', 'どか', 'ん', 'と', '占領', 'し', 'て', 'い', 'ます', '。', 'えっ', '！', '？', 'と']",['病室'],NO,病室,NO,NO
15,病室,母が逢ひに来るなり真夜ふかく病棟の上を覆ふもの血の匂ひして幾夜眠れぬ病室を裸足に脱け出し雨の中を駈けをり誰もだれも追ひ来るな彼岸花びしよ,"['母', 'が', '逢', 'ひ', 'に', '来る', 'なり', '真夜', 'ふかく', '病棟', 'の', '上', 'を', '覆', 'ふも', 'の', '血', 'の', '匂', 'ひし', 'て', '幾夜', '眠れ', 'ぬ', '病室', 'を', '裸足', 'に', '脱', 'け', '出し', '雨', 'の', '中', 'を', '駈け', 'を', 'り', '誰', 'も', 'だれ', 'も', '追', 'ひ', '来る', 'な', '彼岸花', 'びしよ']",['病室'],NO,病室,NO,NO
16,病室,千葉の病院の件だが、当時のことを話してくれた看護婦が、須藤あかねの病室には、いつも蘭の花が活けてあったといったのを思いだしたんだ,"['千葉', 'の', '病院', 'の', '件', 'だ', 'が', '、', '当時', 'の', 'こと', 'を', '話し', 'て', 'くれ', 'た', '看護', '婦', 'が', '、', '須藤', 'あかね', 'の', '病室', 'に', 'は', '、', 'いつも', '蘭', 'の', '花', 'が', '活け', 'て', 'あっ', 'た', 'といった', 'の', 'を', '思い', 'だし', 'た', 'ん', 'だ']",['病室'],NO,病室,NO,NO
