,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,美容師,ます。花屋は花のことができて当たり前、カメラマンは写真が撮れて当たり前、美容師は髪がセットできて当たり前、そういった素地のほかに何かプラスアルファを持っている,"['ます', '。', '花屋', 'は', '花', 'の', 'こと', 'が', 'でき', 'て', '当たり前', '、', 'カメラマン', 'は', '写真', 'が', '撮れ', 'て', '当たり前', '、', '美容', '師', 'は', '髪', 'が', 'セット', 'でき', 'て', '当たり前', '、', 'そういった', '素地', 'の', 'ほか', 'に', '何', 'か', 'プラスアルファ', 'を', '持っ', 'て', 'いる']","['美容', '師']",YES,美容師,NO,NO
1,美容師,刃物」でしょ。政府が規制法案適用で取り締まるらしいですよ。博士：違うよ！美容師は厚生省が管轄する免許制だから、最近のブームで激増する無免許カリスマ美容師一斉摘発に乗りだしたんだよ。,"['刃物', '」', 'でしょ', '。', '政府', 'が', '規制', '法案', '適用', 'で', '取り締まる', 'らしい', 'です', 'よ', '。', '博士', '：', '違う', 'よ', '！', '美容', '師', 'は', '厚生省', 'が', '管轄', 'する', '免許', '制', 'だ', 'から', '、', '最近', 'の', 'ブーム', 'で', '激増', 'する', '無', '免許', 'カリスマ', '美容', '師', '一斉', '摘発', 'に', '乗りだし', 'た', 'ん', 'だ', 'よ', '。']","['美容', '師']",YES,美容師,NO,NO
2,美容師,刃物」でしょ。政府が規制法案適用で取り締まるらしいですよ。博士：違うよ！美容師は厚生省が管轄する免許制だから、最近のブームで激増する無免許カリスマ美容師一斉摘発に乗りだしたんだよ。,"['刃物', '」', 'でしょ', '。', '政府', 'が', '規制', '法案', '適用', 'で', '取り締まる', 'らしい', 'です', 'よ', '。', '博士', '：', '違う', 'よ', '！', '美容', '師', 'は', '厚生省', 'が', '管轄', 'する', '免許', '制', 'だ', 'から', '、', '最近', 'の', 'ブーム', 'で', '激増', 'する', '無', '免許', 'カリスマ', '美容', '師', '一斉', '摘発', 'に', '乗りだし', 'た', 'ん', 'だ', 'よ', '。']","['美容', '師']",YES,美容師,NO,NO
3,美容師,すれ出会えるのでしょうか。意外にも出会いはたくさんあるものですよ。私の彼は美容師で、お客と店員という関係から彼氏彼女になりましたよ。ちょっとコンビニに行く,"['すれ', '出会える', 'の', 'でしょ', 'う', 'か', '。', '意外', 'に', 'も', '出会い', 'は', 'たくさん', 'ある', 'もの', 'です', 'よ', '。', '私', 'の', '彼', 'は', '美容', '師', 'で', '、', 'お客', 'と', '店員', 'という', '関係', 'から', '彼氏', '彼女', 'に', 'なり', 'まし', 'た', 'よ', '。', 'ちょっと', 'コンビニ', 'に', '行く']","['美容', '師']",YES,美容師,NO,NO
4,美容師,ている。靴はｐａｎｔｏｕｆｌｅｓであり、髪の毛はｃｈｅｖｅｌｕｒｅであり、香水瓶はｆｌａｃｏｎであり、美容師はｆａｒｄｅｕｓｅである。ｆｒｏｌｅｒ（こする）という動詞が不定法で英語の文中にあるの,"['て', 'いる', '。', '靴', 'は', 'ｐａｎｔｏｕｆｌｅｓ', 'で', 'あり', '、', '髪の毛', 'は', 'ｃｈｅｖｅｌｕｒｅ', 'で', 'あり', '、', '香水', '瓶', 'は', 'ｆｌａｃｏｎ', 'で', 'あり', '、', '美容', '師', 'は', 'ｆａｒｄｅｕｓｅ', 'で', 'ある', '。', 'ｆｒｏｌｅｒ', '（', 'こする', '）', 'という', '動詞', 'が', '不定', '法', 'で', '英語', 'の', '文中', 'に', 'ある', 'の']","['美容', '師']",YES,美容師,NO,NO
5,美容師,のもの。また、右手人差し指のリングもプエルタデルソルでブラックチタン製とのこと。下谷圭弘さん（二十二才・美容師）友人から三万円くらいで購入したというセルディックアーツのペンダント。単色でまとめたシックな,"['の', 'もの', '。', 'また', '、', '右手', '人差し指', 'の', 'リング', 'も', 'プエルタデルソル', 'で', 'ブラック', 'チタン', '製', 'と', 'の', 'こと', '。', '下谷', '圭', '弘', 'さん', '（', '二', '十', '二', '才', '・', '美容', '師', '）', '友人', 'から', '三', '万', '円', 'くらい', 'で', '購入', 'し', 'た', 'という', 'セルディックアーツ', 'の', 'ペンダント', '。', '単色', 'で', 'まとめ', 'た', 'シック', 'な']","['美容', '師']",YES,美容師,NO,NO
6,美容師,はしないんですが、ちょっとかゆいんです。美容師さんにもいいずらくて。。。理容師で美容師です。美容師の不注意ですね、綿棒を水で湿らせて軽く拭いてみてください。,"['は', 'し', 'ない', 'ん', 'です', 'が', '、', 'ちょっと', 'かゆい', 'ん', 'です', '。', '美容', '師', 'さん', 'に', 'も', 'い', 'い', 'ず', 'らく', 'て', '。', '。', '。', '理容', '師', 'で', '美容', '師', 'です', '。', '美容', '師', 'の', '不注意', 'です', 'ね', '、', '綿棒', 'を', '水', 'で', '湿ら', 'せ', 'て', '軽く', '拭い', 'て', 'み', 'て', 'ください', '。']","['美容', '師']",YES,美容師,NO,NO
7,美容師,はしないんですが、ちょっとかゆいんです。美容師さんにもいいずらくて。。。理容師で美容師です。美容師の不注意ですね、綿棒を水で湿らせて軽く拭いてみてください。,"['は', 'し', 'ない', 'ん', 'です', 'が', '、', 'ちょっと', 'かゆい', 'ん', 'です', '。', '美容', '師', 'さん', 'に', 'も', 'い', 'い', 'ず', 'らく', 'て', '。', '。', '。', '理容', '師', 'で', '美容', '師', 'です', '。', '美容', '師', 'の', '不注意', 'です', 'ね', '、', '綿棒', 'を', '水', 'で', '湿ら', 'せ', 'て', '軽く', '拭い', 'て', 'み', 'て', 'ください', '。']","['美容', '師']",YES,美容師,NO,NO
8,美容師,はしないんですが、ちょっとかゆいんです。美容師さんにもいいずらくて。。。理容師で美容師です。美容師の不注意ですね、綿棒を水で湿らせて軽く拭いてみてください。,"['は', 'し', 'ない', 'ん', 'です', 'が', '、', 'ちょっと', 'かゆい', 'ん', 'です', '。', '美容', '師', 'さん', 'に', 'も', 'い', 'い', 'ず', 'らく', 'て', '。', '。', '。', '理容', '師', 'で', '美容', '師', 'です', '。', '美容', '師', 'の', '不注意', 'です', 'ね', '、', '綿棒', 'を', '水', 'で', '湿ら', 'せ', 'て', '軽く', '拭い', 'て', 'み', 'て', 'ください', '。']","['美容', '師']",YES,美容師,NO,NO
9,美容師,れてしまいそうです（笑）余談ですが、今度実家に帰った時に同級生の美容師に髪を切ってもらうんですが、何とか、たっちゃん風にならないものかと＾＾ゞ今,"['れ', 'て', 'しまい', 'そう', 'です', '（', '笑', '）', '余談', 'です', 'が', '、', '今度', '実家', 'に', '帰っ', 'た', '時', 'に', '同級生', 'の', '美容', '師', 'に', '髪', 'を', '切っ', 'て', 'もらう', 'ん', 'です', 'が', '、', '何とか', '、', 'たっ', 'ちゃん', '風', 'に', 'なら', 'ない', 'もの', 'か', 'と', '＾', '＾', 'ゞ', '今']","['美容', '師']",YES,美容師,NO,NO
