,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,老師,。彼は、その寺の美しさを守るために生涯をささげようとする。だが、敬愛する老師の裏切り、美のかげにひそむいまわしさゆえに、青年は寺に火を放つ。故市川雷蔵,"['。', '彼', 'は', '、', 'その', '寺', 'の', '美し', 'さ', 'を', '守る', 'ため', 'に', '生涯', 'を', 'ささげよ', 'う', 'と', 'する', '。', 'だが', '、', '敬愛', 'する', '老師', 'の', '裏切り', '、', '美', 'の', 'かげ', 'に', 'ひそむ', 'いまわし', 'さ', 'ゆえ', 'に', '、', '青年', 'は', '寺', 'に', '火', 'を', '放つ', '。', '故', '市川', '雷蔵']",['老師'],NO,老師,NO,NO
1,老師,雲水時代と変わらず、つねに質素を旨とされました。ある日、老師の信者の一婦人が、老師が高齢になられてもなお、ごつごつした木綿の,"['雲水', '時代', 'と', '変わら', 'ず', '、', 'つねに', '質素', 'を', '旨', 'と', 'さ', 'れ', 'まし', 'た', '。', 'ある', '日', '、', '老師', 'の', '信者', 'の', '一', '婦人', 'が', '、', '老師', 'が', '高齢', 'に', 'なら', 'れ', 'て', 'も', 'なお', '、', 'ごつごつ', 'し', 'た', '木綿', 'の']",['老師'],NO,老師,NO,NO
2,老師,雲水時代と変わらず、つねに質素を旨とされました。ある日、老師の信者の一婦人が、老師が高齢になられてもなお、ごつごつした木綿の,"['雲水', '時代', 'と', '変わら', 'ず', '、', 'つねに', '質素', 'を', '旨', 'と', 'さ', 'れ', 'まし', 'た', '。', 'ある', '日', '、', '老師', 'の', '信者', 'の', '一', '婦人', 'が', '、', '老師', 'が', '高齢', 'に', 'なら', 'れ', 'て', 'も', 'なお', '、', 'ごつごつ', 'し', 'た', '木綿', 'の']",['老師'],NO,老師,NO,NO
3,老師,に敷いて引き下がりました。夜半になって隠侍はふと目ざめましたが、老師もまだ臥んでおられないようです。気になって隠侍が起きて老師,"['に', '敷い', 'て', '引き下がり', 'まし', 'た', '。', '夜半', 'に', 'なっ', 'て', '隠', '侍', 'は', 'ふと', '目ざめ', 'まし', 'た', 'が', '、', '老師', 'も', 'まだ', '臥', 'んで', 'おら', 'れ', 'ない', 'よう', 'です', '。', '気', 'に', 'なっ', 'て', '隠', '侍', 'が', '起き', 'て', '老師']",['老師'],NO,老師,NO,NO
4,老師,に敷いて引き下がりました。夜半になって隠侍はふと目ざめましたが、老師もまだ臥んでおられないようです。気になって隠侍が起きて老師,"['に', '敷い', 'て', '引き下がり', 'まし', 'た', '。', '夜半', 'に', 'なっ', 'て', '隠', '侍', 'は', 'ふと', '目ざめ', 'まし', 'た', 'が', '、', '老師', 'も', 'まだ', '臥', 'んで', 'おら', 'れ', 'ない', 'よう', 'です', '。', '気', 'に', 'なっ', 'て', '隠', '侍', 'が', '起き', 'て', '老師']",['老師'],NO,老師,NO,NO
5,老師,がもどってくるのを見て、ヘクトールはうれしくなった。「青い蓮」の老師と同じくらいの歳の僧侶を連れていたからだ。老僧はヘクトールを見るなり,"['が', 'もどっ', 'て', 'くる', 'の', 'を', '見', 'て', '、', 'ヘクトール', 'は', 'うれしく', 'なっ', 'た', '。', '「', '青い', '蓮', '」', 'の', '老師', 'と', '同じ', 'くらい', 'の', '歳', 'の', '僧侶', 'を', '連れ', 'て', 'い', 'た', 'から', 'だ', '。', '老', '僧', 'は', 'ヘクトール', 'を', '見る', 'なり']",['老師'],NO,老師,NO,NO
6,老師,、ちょっと嬉しそうだった。でも店に着いてから久しぶりの英会話となった。老師もなかなか上手に英語を話す。そしてこのフランス人の彼女はイギリスに留学後、パリで,"['、', 'ちょっと', '嬉し', 'そう', 'だっ', 'た', '。', 'でも', '店', 'に', '着い', 'て', 'から', '久しぶり', 'の', '英会話', 'と', 'なっ', 'た', '。', '老師', 'も', 'なかなか', '上手', 'に', '英語', 'を', '話す', '。', 'そして', 'この', 'フランス', '人', 'の', '彼女', 'は', 'イギリス', 'に', '留学', '後', '、', 'パリ', 'で']",['老師'],NO,老師,NO,NO
7,老師,こういう問題があって、心労が耐えないのです」というお話をしました。老師もこの問題については新聞などを読んで知っておられたようです。あたたかい慰めの,"['こういう', '問題', 'が', 'あっ', 'て', '、', '心労', 'が', '耐え', 'ない', 'の', 'です', '」', 'という', 'お話', 'を', 'し', 'まし', 'た', '。', '老師', 'も', 'この', '問題', 'について', 'は', '新聞', 'など', 'を', '読ん', 'で', '知っ', 'て', 'おら', 'れ', 'た', 'よう', 'です', '。', 'あたたかい', '慰め', 'の']",['老師'],NO,老師,NO,NO
8,老師,。隠侍は、何ごとかと思いましたが、ふすまの外に坐って、老師の読経の終るのを待ちました。読経が終るのを待ちかね、ふすまをあけ,"['。', '隠', '侍', 'は', '、', '何ごと', 'か', 'と', '思い', 'まし', 'た', 'が', '、', 'ふす', 'ま', 'の', '外', 'に', '坐っ', 'て', '、', '老師', 'の', '読経', 'の', '終る', 'の', 'を', '待ち', 'まし', 'た', '。', '読経', 'が', '終る', 'の', 'を', '待ちかね', '、', 'ふす', 'ま', 'を', 'あけ']",['老師'],NO,老師,NO,NO
9,老師,だと思った。しかもこの日、もう一枚頼んでいる洋服を取りに行くというので老師と一緒についていって彼女お勧めの店を数軒案内してもらった。（その中の一軒,"['だ', 'と', '思っ', 'た', '。', 'しかも', 'この', '日', '、', 'もう', '一', '枚', '頼ん', 'で', 'いる', '洋服', 'を', '取り', 'に', '行く', 'と', 'いう', 'ので', '老師', 'と', '一緒', 'に', 'つい', 'て', 'いっ', 'て', '彼女', 'お', '勧め', 'の', '店', 'を', '数', '軒', '案内', 'し', 'て', 'もらっ', 'た', '。', '（', 'その', '中', 'の', '一', '軒']",['老師'],NO,老師,NO,NO
