,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,野球場,。問五月十九日は何曜日か覚えているか。答わかりません。問野球場には入場料を払ってはいったのか。答そうではありません,"['。', '問', '五月', '十', '九', '日', 'は', '何', '曜日', 'か', '覚え', 'て', 'いる', 'か', '。', '答', 'わかり', 'ませ', 'ん', '。', '問', '野球', '場', 'に', 'は', '入場', '料', 'を', '払っ', 'て', 'はいっ', 'た', 'の', 'か', '。', '答', 'そう', 'で', 'は', 'あり', 'ませ', 'ん']","['野球', '場']",YES,野球場,NO,NO
1,野球場,書かれた詩です。ちょうどこの年に、東京ドームが完成しているようです。あの広い野球場に屋根をつけるなんてことは、当時はちょっと想像もつかないことでありました。,"['書か', 'れ', 'た', '詩', 'です', '。', 'ちょうど', 'この', '年', 'に', '、', '東京ドーム', 'が', '完成', 'し', 'て', 'いる', 'よう', 'です', '。', 'あの', '広い', '野球', '場', 'に', '屋根', 'を', 'つける', 'なんて', 'こと', 'は', '、', '当時', 'は', 'ちょっと', '想像', 'も', 'つか', 'ない', 'こと', 'で', 'あり', 'まし', 'た', '。']","['野球', '場']",YES,野球場,NO,NO
2,野球場,に行った。平日だからきっと空いているに違いないと思っていたところ、驚いたことに野球場は満員だった。「どうしてこんなに混んでいるのかしら」と隣に座っている観客,"['に', '行っ', 'た', '。', '平日', 'だ', 'から', 'きっと', '空い', 'て', 'いる', 'に', '違い', 'ない', 'と', '思っ', 'て', 'い', 'た', 'ところ', '、', '驚い', 'た', 'こと', 'に', '野球', '場', 'は', '満員', 'だっ', 'た', '。', '「', 'どうして', 'こんなに', '混ん', 'で', 'いる', 'の', 'かしら', '」', 'と', '隣', 'に', '座っ', 'て', 'いる', '観客']","['野球', '場']",YES,野球場,NO,NO
3,野球場,将来はないといえる。野球を楽しむ子供たち（フロリダ州セントピーターズバーグ）サッカー人気に押される野球野球場から消えてしまった少年たちは、いったい、どこへ行ったのか。テレビ・ゲーム、コンピューター・ゲームに,"['将来', 'は', 'ない', 'と', 'いえる', '。', '野球', 'を', '楽しむ', '子供', 'たち', '（', 'フロリダ', '州', 'セントピーターズバーグ', '）', 'サッカー', '人気', 'に', '押さ', 'れる', '野球', '野球', '場', 'から', '消え', 'て', 'しまっ', 'た', '少年', 'たち', 'は', '、', 'いったい', '、', 'どこ', 'へ', '行っ', 'た', 'の', 'か', '。', 'テレビ', '・', 'ゲーム', '、', 'コンピューター', '・', 'ゲーム', 'に']","['野球', '場']",YES,野球場,NO,NO
4,野球場,映画や観劇で、お煎餅をボリボリ大きな音を立てて食べられたら迷惑だし、野球場やその他のスポーツ観戦に於いても、熱くなったファンが空き瓶や缶を投げ入れては,"['映画', 'や', '観劇', 'で', '、', 'お', '煎餅', 'を', 'ボリボリ', '大きな', '音', 'を', '立て', 'て', '食べ', 'られ', 'たら', '迷惑', 'だ', 'し', '、', '野球', '場', 'や', 'その他', 'の', 'スポーツ', '観戦', 'に', '於い', 'て', 'も', '、', '熱く', 'なっ', 'た', 'ファン', 'が', '空き', '瓶', 'や', '缶', 'を', '投げ入れ', 'て', 'は']","['野球', '場']",YES,野球場,NO,NO
5,野球場,ものア停車場の乗降場または荷物積卸場。ただし、上屋を有する部分に限る。イ野球場または競馬場の観覧席。ただし、屋根を有する部分に限る。ウガード下を利用して,"['もの', 'ア', '停車', '場', 'の', '乗降', '場', 'または', '荷物', '積', '卸', '場', '。', 'ただし', '、', '上屋', 'を', '有する', '部分', 'に', '限る', '。', 'イ', '野球', '場', 'または', '競馬', '場', 'の', '観覧席', '。', 'ただし', '、', '屋根', 'を', '有する', '部分', 'に', '限る', '。', 'ウガード', '下', 'を', '利用', 'し', 'て']","['野球', '場']",YES,野球場,NO,NO
6,野球場,の前に野球場や野球用具を選手以上に心を込めて手入れすることが重要です。野球場を愛し、大切にしていると、その日の土質や凸凹の程度、日当たりなど,"['の', '前', 'に', '野球', '場', 'や', '野球', '用具', 'を', '選手', '以上', 'に', '心', 'を', '込め', 'て', '手入れ', 'する', 'こと', 'が', '重要', 'です', '。', '野球', '場', 'を', '愛し', '、', '大切', 'に', 'し', 'て', 'いる', 'と', '、', 'その', '日', 'の', '土質', 'や', '凸凹', 'の', '程度', '、', '日当たり', 'など']","['野球', '場']",YES,野球場,NO,NO
7,野球場,の前に野球場や野球用具を選手以上に心を込めて手入れすることが重要です。野球場を愛し、大切にしていると、その日の土質や凸凹の程度、日当たりなど,"['の', '前', 'に', '野球', '場', 'や', '野球', '用具', 'を', '選手', '以上', 'に', '心', 'を', '込め', 'て', '手入れ', 'する', 'こと', 'が', '重要', 'です', '。', '野球', '場', 'を', '愛し', '、', '大切', 'に', 'し', 'て', 'いる', 'と', '、', 'その', '日', 'の', '土質', 'や', '凸凹', 'の', '程度', '、', '日当たり', 'など']","['野球', '場']",YES,野球場,NO,NO
8,野球場,・午後・夜間の３区分になっています。大規模施設と位置付けられる総合体育館や明神池運動公園の野球場、なゆたホール、文化センター大・小ホールは、今までと利用区分は変わりませんが、それ以外,"['・', '午後', '・', '夜間', 'の', '３', '区分', 'に', 'なっ', 'て', 'い', 'ます', '。', '大', '規模', '施設', 'と', '位置付け', 'られる', '総合', '体育館', 'や', '明神池', '運動公園', 'の', '野球', '場', '、', 'な', 'ゆ', 'た', 'ホール', '、', '文化', 'センター', '大', '・', '小', 'ホール', 'は', '、', '今', 'まで', 'と', '利用', '区分', 'は', '変わり', 'ませ', 'ん', 'が', '、', 'それ', '以外']","['野球', '場']",YES,野球場,NO,NO
9,野球場,電話申込制問ＮＰＯ法人アエス■■☎■■■■■■■■野球大会抽選会４月６日（日）から藤代スポーツセンター（野球場）と取手緑地運動公園で行われる、市民春季野球大会の抽選会を行います。〈日時〉３月二十三日（,"['電話', '申込', '制', '問', 'ＮＰＯ', '法人', 'アエス', '■■☎■■■■■■■■', '野球', '大会', '抽選', '会', '４月', '６', '日', '（', '日', '）', 'から', '藤代', 'スポーツ', 'センター', '（', '野球', '場', '）', 'と', '取手', '緑地', '運動公園', 'で', '行わ', 'れる', '、', '市民', '春季', '野球', '大会', 'の', '抽選', '会', 'を', '行い', 'ます', '。', '〈', '日時', '〉', '３月', '二', '十', '三', '日', '（']","['野球', '場']",YES,野球場,NO,NO
