,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,雇用者,影響を及ぼすものと考えられる。いま、その代表的なものとして短時間雇用者比率（週三十五時間未満従業の雇用者の全雇用者に占める割合。いわゆるパートタイム労働者の代理指標）と臨時・日雇雇用者比率（臨時・日雇雇用者の全雇用者に占める割合,"['影響', 'を', '及ぼす', 'もの', 'と', '考え', 'られる', '。', 'いま', '、', 'その', '代表', '的', 'な', 'もの', 'として', '短時間', '雇用', '者', '比率', '（', '週', '三', '十', '五', '時間', '未満', '従業', 'の', '雇用', '者', 'の', '全', '雇用', '者', 'に', '占める', '割合', '。', 'いわゆる', 'パートタイム', '労働', '者', 'の', '代理', '指標', '）', 'と', '臨時', '・', '日雇', '雇用', '者', '比率', '（', '臨時', '・', '日雇', '雇用', '者', 'の', '全', '雇用', '者', 'に', '占める', '割合']","['雇用', '者']",YES,雇用者,NO,NO
1,雇用者,影響を及ぼすものと考えられる。いま、その代表的なものとして短時間雇用者比率（週三十五時間未満従業の雇用者の全雇用者に占める割合。いわゆるパートタイム労働者の代理指標）と臨時・日雇雇用者比率（臨時・日雇雇用者の全雇用者に占める割合,"['影響', 'を', '及ぼす', 'もの', 'と', '考え', 'られる', '。', 'いま', '、', 'その', '代表', '的', 'な', 'もの', 'として', '短時間', '雇用', '者', '比率', '（', '週', '三', '十', '五', '時間', '未満', '従業', 'の', '雇用', '者', 'の', '全', '雇用', '者', 'に', '占める', '割合', '。', 'いわゆる', 'パートタイム', '労働', '者', 'の', '代理', '指標', '）', 'と', '臨時', '・', '日雇', '雇用', '者', '比率', '（', '臨時', '・', '日雇', '雇用', '者', 'の', '全', '雇用', '者', 'に', '占める', '割合']","['雇用', '者']",YES,雇用者,NO,NO
2,雇用者,影響を及ぼすものと考えられる。いま、その代表的なものとして短時間雇用者比率（週三十五時間未満従業の雇用者の全雇用者に占める割合。いわゆるパートタイム労働者の代理指標）と臨時・日雇雇用者比率（臨時・日雇雇用者の全雇用者に占める割合,"['影響', 'を', '及ぼす', 'もの', 'と', '考え', 'られる', '。', 'いま', '、', 'その', '代表', '的', 'な', 'もの', 'として', '短時間', '雇用', '者', '比率', '（', '週', '三', '十', '五', '時間', '未満', '従業', 'の', '雇用', '者', 'の', '全', '雇用', '者', 'に', '占める', '割合', '。', 'いわゆる', 'パートタイム', '労働', '者', 'の', '代理', '指標', '）', 'と', '臨時', '・', '日雇', '雇用', '者', '比率', '（', '臨時', '・', '日雇', '雇用', '者', 'の', '全', '雇用', '者', 'に', '占める', '割合']","['雇用', '者']",YES,雇用者,NO,NO
3,雇用者,影響を及ぼすものと考えられる。いま、その代表的なものとして短時間雇用者比率（週三十五時間未満従業の雇用者の全雇用者に占める割合。いわゆるパートタイム労働者の代理指標）と臨時・日雇雇用者比率（臨時・日雇雇用者の全雇用者に占める割合,"['影響', 'を', '及ぼす', 'もの', 'と', '考え', 'られる', '。', 'いま', '、', 'その', '代表', '的', 'な', 'もの', 'として', '短時間', '雇用', '者', '比率', '（', '週', '三', '十', '五', '時間', '未満', '従業', 'の', '雇用', '者', 'の', '全', '雇用', '者', 'に', '占める', '割合', '。', 'いわゆる', 'パートタイム', '労働', '者', 'の', '代理', '指標', '）', 'と', '臨時', '・', '日雇', '雇用', '者', '比率', '（', '臨時', '・', '日雇', '雇用', '者', 'の', '全', '雇用', '者', 'に', '占める', '割合']","['雇用', '者']",YES,雇用者,NO,NO
4,雇用者,影響を及ぼすものと考えられる。いま、その代表的なものとして短時間雇用者比率（週三十五時間未満従業の雇用者の全雇用者に占める割合。いわゆるパートタイム労働者の代理指標）と臨時・日雇雇用者比率（臨時・日雇雇用者の全雇用者に占める割合,"['影響', 'を', '及ぼす', 'もの', 'と', '考え', 'られる', '。', 'いま', '、', 'その', '代表', '的', 'な', 'もの', 'として', '短時間', '雇用', '者', '比率', '（', '週', '三', '十', '五', '時間', '未満', '従業', 'の', '雇用', '者', 'の', '全', '雇用', '者', 'に', '占める', '割合', '。', 'いわゆる', 'パートタイム', '労働', '者', 'の', '代理', '指標', '）', 'と', '臨時', '・', '日雇', '雇用', '者', '比率', '（', '臨時', '・', '日雇', '雇用', '者', 'の', '全', '雇用', '者', 'に', '占める', '割合']","['雇用', '者']",YES,雇用者,NO,NO
5,雇用者,影響を及ぼすものと考えられる。いま、その代表的なものとして短時間雇用者比率（週三十五時間未満従業の雇用者の全雇用者に占める割合。いわゆるパートタイム労働者の代理指標）と臨時・日雇雇用者比率（臨時・日雇雇用者の全雇用者に占める割合,"['影響', 'を', '及ぼす', 'もの', 'と', '考え', 'られる', '。', 'いま', '、', 'その', '代表', '的', 'な', 'もの', 'として', '短時間', '雇用', '者', '比率', '（', '週', '三', '十', '五', '時間', '未満', '従業', 'の', '雇用', '者', 'の', '全', '雇用', '者', 'に', '占める', '割合', '。', 'いわゆる', 'パートタイム', '労働', '者', 'の', '代理', '指標', '）', 'と', '臨時', '・', '日雇', '雇用', '者', '比率', '（', '臨時', '・', '日雇', '雇用', '者', 'の', '全', '雇用', '者', 'に', '占める', '割合']","['雇用', '者']",YES,雇用者,NO,NO
6,雇用者,９時〜午後５時▼試験日および会場＝６月下旬谷和原庁舎会議室（詳細は申込時に連絡）▼雇用者の発表＝７月上旬に行います。申問谷和原庁舎産業政策課☎５８‐２１１１（内線８１４３）母子家庭等自立促進講習会▼,"['９', '時', '〜', '午後', '５', '時', '▼', '試験', '日', 'および', '会場', '＝', '６月', '下旬', '谷和原', '庁舎', '会議', '室', '（', '詳細', 'は', '申込', '時', 'に', '連絡', '）', '▼', '雇用', '者', 'の', '発表', '＝', '７月', '上旬', 'に', '行い', 'ます', '。', '申', '問', '谷和原', '庁舎', '産業', '政策', '課', '☎', '５', '８', '‐', '２', '１', '１', '１', '（', '内線', '８', '１', '４', '３', '）', '母子', '家庭', '等', '自立', '促進', '講習', '会', '▼']","['雇用', '者']",YES,雇用者,NO,NO
7,雇用者,社会保障税）の雇主負担分は消費額に応じて消費者に，雇用者負担分は課税される給与額に応じて雇用者が負担すると，それぞれ想定して帰着を分析している（Ｒ．Ａ．Ｍｕｓｇｒａｖｅ＆,"['社会', '保障', '税', '）', 'の', '雇主', '負担', '分', 'は', '消費', '額', 'に', '応じ', 'て', '消費', '者', 'に', '，', '雇用', '者', '負担', '分', 'は', '課税', 'さ', 'れる', '給与', '額', 'に', '応じ', 'て', '雇用', '者', 'が', '負担', 'する', 'と', '，', 'それぞれ', '想定', 'し', 'て', '帰着', 'を', '分析', 'し', 'て', 'いる', '（', 'Ｒ', '．', 'Ａ', '．', 'Ｍｕｓｇｒａｖｅ', '＆']","['雇用', '者']",YES,雇用者,NO,NO
8,雇用者,社会保障税）の雇主負担分は消費額に応じて消費者に，雇用者負担分は課税される給与額に応じて雇用者が負担すると，それぞれ想定して帰着を分析している（Ｒ．Ａ．Ｍｕｓｇｒａｖｅ＆,"['社会', '保障', '税', '）', 'の', '雇主', '負担', '分', 'は', '消費', '額', 'に', '応じ', 'て', '消費', '者', 'に', '，', '雇用', '者', '負担', '分', 'は', '課税', 'さ', 'れる', '給与', '額', 'に', '応じ', 'て', '雇用', '者', 'が', '負担', 'する', 'と', '，', 'それぞれ', '想定', 'し', 'て', '帰着', 'を', '分析', 'し', 'て', 'いる', '（', 'Ｒ', '．', 'Ａ', '．', 'Ｍｕｓｇｒａｖｅ', '＆']","['雇用', '者']",YES,雇用者,NO,NO
9,雇用者,た育児手当を２年間請求できるようになった。立て続けに第二子を出産した場合には、雇用者は最長で７年間、育児休暇取得者にたいして職場を保証する義務を負っている。このように,"['た', '育児', '手当', 'を', '２', '年間', '請求', 'できる', 'よう', 'に', 'なっ', 'た', '。', '立て続け', 'に', '第', '二', '子', 'を', '出産', 'し', 'た', '場合', 'に', 'は', '、', '雇用', '者', 'は', '最長', 'で', '７', '年間', '、', '育児', '休暇', '取得', '者', 'にたいして', '職場', 'を', '保証', 'する', '義務', 'を', '負っ', 'て', 'いる', '。', 'この', 'よう', 'に']","['雇用', '者']",YES,雇用者,NO,NO
10,雇用者,をする日常の補佐役を果たしていく。和明の仕事も、そのころはときによっては雇用者に任せることのできるまでに成長していたのである。７荒木大輔の野球人としての物語,"['を', 'する', '日常', 'の', '補佐', '役', 'を', '果たし', 'て', 'いく', '。', '和明', 'の', '仕事', 'も', '、', 'その', 'ころ', 'は', 'とき', 'によって', 'は', '雇用', '者', 'に', '任せる', 'こと', 'の', 'できる', 'まで', 'に', '成長', 'し', 'て', 'い', 'た', 'の', 'で', 'ある', '。', '７', '荒木', '大輔', 'の', '野球', '人', 'として', 'の', '物語']","['雇用', '者']",YES,雇用者,NO,NO
11,雇用者,する制度がある一方，その種の著作物を利用する権限を法律の規定を介して雇用者に与えようとする考えも示されてきた。そこにおいても，１つには，経済的権利,"['する', '制度', 'が', 'ある', '一方', '，', 'その', '種', 'の', '著作', '物', 'を', '利用', 'する', '権限', 'を', '法律', 'の', '規定', 'を', '介し', 'て', '雇用', '者', 'に', '与えよ', 'う', 'と', 'する', '考え', 'も', '示さ', 'れ', 'て', 'き', 'た', '。', 'そこ', 'において', 'も', '，', '１つ', 'に', 'は', '，', '経済', '的', '権利']","['雇用', '者']",YES,雇用者,NO,NO
12,雇用者,ています。これの給付を受けるための掛け金が社会保険分担金（Ｓｏｚｉａｌａｂｇａｂｅｎ）です。これは雇用者と被雇用者の双方が支払うものですが，千九百九十年，旧西ドイツでは総収入金額の三十五．五％でした,"['て', 'い', 'ます', '。', 'これ', 'の', '給付', 'を', '受ける', 'ため', 'の', '掛け金', 'が', '社会', '保険', '分担', '金', '（', 'Ｓｏｚｉａｌａｂｇａｂｅｎ', '）', 'です', '。', 'これ', 'は', '雇用', '者', 'と', '被', '雇用', '者', 'の', '双方', 'が', '支払う', 'もの', 'です', 'が', '，', '千', '九', '百', '九', '十', '年', '，', '旧', '西ドイツ', 'で', 'は', '総', '収入', '金額', 'の', '三', '十', '五', '．', '五', '％', 'でし', 'た']","['雇用', '者']",YES,雇用者,NO,NO
13,雇用者,ています。これの給付を受けるための掛け金が社会保険分担金（Ｓｏｚｉａｌａｂｇａｂｅｎ）です。これは雇用者と被雇用者の双方が支払うものですが，千九百九十年，旧西ドイツでは総収入金額の三十五．五％でした,"['て', 'い', 'ます', '。', 'これ', 'の', '給付', 'を', '受ける', 'ため', 'の', '掛け金', 'が', '社会', '保険', '分担', '金', '（', 'Ｓｏｚｉａｌａｂｇａｂｅｎ', '）', 'です', '。', 'これ', 'は', '雇用', '者', 'と', '被', '雇用', '者', 'の', '双方', 'が', '支払う', 'もの', 'です', 'が', '，', '千', '九', '百', '九', '十', '年', '，', '旧', '西ドイツ', 'で', 'は', '総', '収入', '金額', 'の', '三', '十', '五', '．', '五', '％', 'でし', 'た']","['雇用', '者']",YES,雇用者,NO,NO
14,雇用者,不平等である。もうひとつのシグナリング過程とはつぎのようなものだ。雇用するときに雇用者は沢山の応募者の能力を識別しなければならない。しかし客観的な能力測定の方法はないし、,"['不', '平等', 'で', 'ある', '。', 'もう', 'ひとつ', 'の', 'シグナリング', '過程', 'と', 'はつぎ', 'の', 'よう', 'な', 'もの', 'だ', '。', '雇用', 'する', 'とき', 'に', '雇用', '者', 'は', '沢山', 'の', '応募', '者', 'の', '能力', 'を', '識別', 'し', 'なけれ', 'ば', 'なら', 'ない', '。', 'しかし', '客観', '的', 'な', '能力', '測定', 'の', '方法', 'は', 'ない', 'し', '、']","['雇用', '者']",YES,雇用者,NO,NO
