,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,馬場,。大村直（二千三）は関東の磨製石斧の多くが中部高地産に依存していたという意見（馬場二千一）をもとに，石器でさえ外部に依存した状況が，鉄器化を促進し,"['。', '大村', '直', '（', '二', '千', '三', '）', 'は', '関東', 'の', '磨', '製', '石斧', 'の', '多く', 'が', '中部', '高', '地産', 'に', '依存', 'し', 'て', 'い', 'た', 'という', '意見', '（', '馬場', '二', '千', '一', '）', 'を', 'もと', 'に', '，', '石器', 'で', 'さえ', '外部', 'に', '依存', 'し', 'た', '状況', 'が', '，', '鉄器', '化', 'を', '促進', 'し']",['馬場'],NO,馬場,NO,NO
1,馬場,なんて事は思わないでしょう。むしろ、馬場が悪いので、後ろから行って直線で馬場のいいところを通って、大外一気で決まるかどうかの勝負をするでしょう。それ,"['なんて', '事', 'は', '思わ', 'ない', 'でしょ', 'う', '。', 'むしろ', '、', '馬場', 'が', '悪い', 'ので', '、', '後ろ', 'から', '行っ', 'て', '直線', 'で', '馬場', 'の', 'いい', 'ところ', 'を', '通っ', 'て', '、', '大', '外', '一', '気', 'で', '決まる', 'か', 'どう', 'か', 'の', '勝負', 'を', 'する', 'でしょ', 'う', '。', 'それ']",['馬場'],NO,馬場,NO,NO
2,馬場,なんて事は思わないでしょう。むしろ、馬場が悪いので、後ろから行って直線で馬場のいいところを通って、大外一気で決まるかどうかの勝負をするでしょう。それ,"['なんて', '事', 'は', '思わ', 'ない', 'でしょ', 'う', '。', 'むしろ', '、', '馬場', 'が', '悪い', 'ので', '、', '後ろ', 'から', '行っ', 'て', '直線', 'で', '馬場', 'の', 'いい', 'ところ', 'を', '通っ', 'て', '、', '大', '外', '一', '気', 'で', '決まる', 'か', 'どう', 'か', 'の', '勝負', 'を', 'する', 'でしょ', 'う', '。', 'それ']",['馬場'],NO,馬場,NO,NO
3,馬場,なりました。上記のラップで、勝ったのはディープスカイ。この日の府中の馬場で唯一、外を回って伸びてきました。力が違いましたね。強い,"['なり', 'まし', 'た', '。', '上記', 'の', 'ラップ', 'で', '、', '勝っ', 'た', 'の', 'は', 'ディープスカイ', '。', 'この', '日', 'の', '府中', 'の', '馬場', 'で', '唯一', '、', '外', 'を', '回っ', 'て', '伸び', 'て', 'き', 'まし', 'た', '。', '力', 'が', '違い', 'まし', 'た', 'ね', '。', '強い']",['馬場'],NO,馬場,NO,NO
4,馬場,なければいけないと思いますので、その点は十分検討いたしたいと思います。○馬場（猪）委員こういうメンバーだけを見ますと、本来生産者側が自分の責任で,"['なけれ', 'ば', 'いけ', 'ない', 'と', '思い', 'ます', 'ので', '、', 'その', '点', 'は', '十分', '検討', 'いたし', 'たい', 'と', '思い', 'ます', '。', '○', '馬場', '（', '猪', '）', '委員', 'こういう', 'メンバー', 'だけ', 'を', '見', 'ます', 'と', '、', '本来', '生産', '者', '側', 'が', '自分', 'の', '責任', 'で']",['馬場'],NO,馬場,NO,NO
5,馬場,と同じではない。ＪＲＡ関係者の努力により日本の芝コースの質が年々よくなって欧州の馬場にどんどん近づいているのだ。路盤も少しずつ軟らかくなっているし、芝もハゲハゲボコボコになる,"['と', '同じ', 'で', 'は', 'ない', '。', 'ＪＲＡ', '関係', '者', 'の', '努力', 'により', '日本', 'の', '芝', 'コース', 'の', '質', 'が', '年々', 'よく', 'なっ', 'て', '欧州', 'の', '馬場', 'に', 'どんどん', '近づい', 'て', 'いる', 'の', 'だ', '。', '路盤', 'も', '少し', 'ずつ', '軟らかく', 'なっ', 'て', 'いる', 'し', '、', '芝', 'も', 'ハゲハゲボコボコ', 'に', 'なる']",['馬場'],NO,馬場,NO,NO
6,馬場,思わなかった。五十八ｋｇで粘りこんだの凄いです。後ろにいた馬は軒並み馬場にやられました。完全に前残りになった感じですね。,"['思わ', 'なかっ', 'た', '。', '五', '十', '八', 'ｋｇ', 'で', '粘り', 'こん', 'だの', '凄い', 'です', '。', '後ろ', 'に', 'い', 'た', '馬', 'は', '軒並み', '馬場', 'に', 'やら', 'れ', 'まし', 'た', '。', '完全', 'に', '前', '残り', 'に', 'なっ', 'た', '感じ', 'です', 'ね', '。']",['馬場'],NO,馬場,NO,NO
7,馬場,）障害を飛越することを拒否して、正面で停止すること。隅角（ぐうかく）馬場馬場の４隅の角のこと。屈とう技術後肢の働きにより、馬体が収縮し、,"['）', '障害', 'を', '飛越', 'する', 'こと', 'を', '拒否', 'し', 'て', '、', '正面', 'で', '停止', 'する', 'こと', '。', '隅', '角', '（', 'ぐうかく', '）', '馬場', '馬場', 'の', '４', '隅', 'の', '角', 'の', 'こと', '。', '屈', 'とう', '技術', '後肢', 'の', '働き', 'により', '、', '馬', '体', 'が', '収縮', 'し', '、']",['馬場'],NO,馬場,NO,NO
8,馬場,）障害を飛越することを拒否して、正面で停止すること。隅角（ぐうかく）馬場馬場の４隅の角のこと。屈とう技術後肢の働きにより、馬体が収縮し、,"['）', '障害', 'を', '飛越', 'する', 'こと', 'を', '拒否', 'し', 'て', '、', '正面', 'で', '停止', 'する', 'こと', '。', '隅', '角', '（', 'ぐうかく', '）', '馬場', '馬場', 'の', '４', '隅', 'の', '角', 'の', 'こと', '。', '屈', 'とう', '技術', '後肢', 'の', '働き', 'により', '、', '馬', '体', 'が', '収縮', 'し', '、']",['馬場'],NO,馬場,NO,NO
9,馬場,進行方向が変わる。引き馬（ひきうま）技術馬装が済んだ馬を馬場まで、あるいは馬場から厩舎まで、馬を引いて歩くこと。ピアッフェ技術その場で行う律動的な,"['進行', '方向', 'が', '変わる', '。', '引き', '馬', '（', 'ひき', 'うま', '）', '技術', '馬', '装', 'が', '済ん', 'だ', '馬', 'を', '馬場', 'まで', '、', 'あるいは', '馬場', 'から', '厩舎', 'まで', '、', '馬', 'を', '引い', 'て', '歩く', 'こと', '。', 'ピアッフェ', '技術', 'その', '場', 'で', '行う', '律動', '的', 'な']",['馬場'],NO,馬場,NO,NO
10,馬場,進行方向が変わる。引き馬（ひきうま）技術馬装が済んだ馬を馬場まで、あるいは馬場から厩舎まで、馬を引いて歩くこと。ピアッフェ技術その場で行う律動的な,"['進行', '方向', 'が', '変わる', '。', '引き', '馬', '（', 'ひき', 'うま', '）', '技術', '馬', '装', 'が', '済ん', 'だ', '馬', 'を', '馬場', 'まで', '、', 'あるいは', '馬場', 'から', '厩舎', 'まで', '、', '馬', 'を', '引い', 'て', '歩く', 'こと', '。', 'ピアッフェ', '技術', 'その', '場', 'で', '行う', '律動', '的', 'な']",['馬場'],NO,馬場,NO,NO
11,馬場,そんなに悪くなさそうだったが、止まったのはやはり距離か。それに重馬場もかな。この馬、重はあまり得意じゃないよ；で、４歳牡馬たち。がっかりだ,"['そんなに', '悪く', 'な', 'さ', 'そう', 'だっ', 'た', 'が', '、', '止まっ', 'た', 'の', 'は', 'やはり', '距離', 'か', '。', 'それに', '重', '馬場', 'も', 'か', 'な', '。', 'この', '馬', '、', '重', 'は', 'あまり', '得意', 'じゃ', 'ない', 'よ', '；', 'で', '、', '４', '歳', '牡馬', 'たち', '。', 'がっかり', 'だ']",['馬場'],NO,馬場,NO,NO
12,馬場,で、直線に態勢が一変する決着と決め付けて勝負。軸はエスケーカントリー。休み前は広い馬場でこその馬だと思っていたが、休み明け以降小回りの馬場でも力を出せる,"['で', '、', '直線', 'に', '態勢', 'が', '一変', 'する', '決着', 'と', '決め', '付け', 'て', '勝負', '。', '軸', 'は', 'エスケーカントリー', '。', '休み', '前', 'は', '広い', '馬場', 'で', 'こそ', 'の', '馬', 'だ', 'と', '思っ', 'て', 'い', 'た', 'が', '、', '休み', '明け', '以降', '小回り', 'の', '馬場', 'で', 'も', '力', 'を', '出せる']",['馬場'],NO,馬場,NO,NO
13,馬場,で、直線に態勢が一変する決着と決め付けて勝負。軸はエスケーカントリー。休み前は広い馬場でこその馬だと思っていたが、休み明け以降小回りの馬場でも力を出せる,"['で', '、', '直線', 'に', '態勢', 'が', '一変', 'する', '決着', 'と', '決め', '付け', 'て', '勝負', '。', '軸', 'は', 'エスケーカントリー', '。', '休み', '前', 'は', '広い', '馬場', 'で', 'こそ', 'の', '馬', 'だ', 'と', '思っ', 'て', 'い', 'た', 'が', '、', '休み', '明け', '以降', '小回り', 'の', '馬場', 'で', 'も', '力', 'を', '出せる']",['馬場'],NO,馬場,NO,NO
14,馬場,から、それはもう期待しました。ところが、準決勝の日はものすごい大雨で、馬場はどろんこ状態の最悪、本当に悪戦苦闘という表現がぴったりでした。それはすべての選手,"['から', '、', 'それ', 'は', 'もう', '期待', 'し', 'まし', 'た', '。', 'ところが', '、', '準決勝', 'の', '日', 'は', 'ものすごい', '大雨', 'で', '、', '馬場', 'は', 'どろんこ', '状態', 'の', '最悪', '、', '本当に', '悪戦苦闘', 'という', '表現', 'が', 'ぴったり', 'でし', 'た', '。', 'それ', 'は', 'すべて', 'の', '選手']",['馬場'],NO,馬場,NO,NO
15,馬場,が三十五，９秒。スローだったみたい。流れが速くなると微妙に厳しい？悪い馬場は味方しそう。３着なら、あるかも？［印象＝長距離適性に関しては,"['が', '三', '十', '五', '，', '９', '秒', '。', 'スロー', 'だっ', 'た', 'みたい', '。', '流れ', 'が', '速く', 'なる', 'と', '微妙', 'に', '厳しい', '？', '悪い', '馬場', 'は', '味方', 'し', 'そう', '。', '３', '着', 'なら', '、', 'ある', 'かも', '？', '［', '印象', '＝', '長距離', '適性', 'に関して', 'は']",['馬場'],NO,馬場,NO,NO
16,馬場,た、逆を言えば内で粘るあるいは内差しをしても伸びきらない、という馬場に変わりつつあるかな〜、というのが率直な感じです。いつまでＡコースなんかは知ら,"['た', '、', '逆', 'を', '言え', 'ば', '内', 'で', '粘る', 'あるいは', '内', '差し', 'を', 'し', 'て', 'も', '伸び', 'きら', 'ない', '、', 'という', '馬場', 'に', '変わり', 'つつ', 'ある', 'か', 'な', '〜', '、', 'という', 'の', 'が', '率直', 'な', '感じ', 'です', '。', 'いつ', 'まで', 'Ａ', 'コース', 'なんか', 'は', '知ら']",['馬場'],NO,馬場,NO,NO
