,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,上院,が鳴り、社の外信部デスクから、「いまＵＰＩ通信の第一報が入りました。米上院外交委員会の秘密公聴会で、ボール国務次官とマッカーサー（ＪＲ）次官補（前駐日大使）が、日本の毎日新聞,"['が', '鳴り', '、', '社', 'の', '外信', '部', 'デスク', 'から', '、', '「', 'いま', 'ＵＰＩ', '通信', 'の', '第', '一報', 'が', '入り', 'ました', '。', '米', '上院', '外交', '委員', '会', 'の', '秘密', '公聴会', 'で', '、', 'ボール', '国務', '次官', 'と', 'マッカーサー', '（', 'ＪＲ', '）', '次官', '補', '（', '前', '駐', '日', '大使', '）', 'が', '、', '日本', 'の', '毎日新聞']",['上院'],NO,上院,NO,NO
1,上院,たあと、上院議員に当選したのである。ルーガー上院議員がハト派になってしまったのは、上院外交委員長としてアメリカ外交の舵取りを行うようになって、パウエル国務長官らアメリカ国務省の高官にすっかり洗脳された,"['た', 'あと', '、', '上院', '議員', 'に', '当選', 'した', 'のである', '。', 'ルーガー', '上院', '議員', 'が', 'ハト', '派', 'に', 'なって', 'しまった', 'の', 'は', '、', '上院', '外交', '委員', '長', 'と', 'して', 'アメリカ', '外交', 'の', '舵取り', 'を', '行う', 'ように', 'なって', '、', 'パウエル', '国務', '長官', 'ら', 'アメリカ', '国務', '省', 'の', '高官', 'に', 'すっかり', '洗脳', 'さ', 'れた']",['上院'],NO,上院,NO,NO
2,上院,たあと、上院議員に当選したのである。ルーガー上院議員がハト派になってしまったのは、上院外交委員長としてアメリカ外交の舵取りを行うようになって、パウエル国務長官らアメリカ国務省の高官にすっかり洗脳された,"['た', 'あと', '、', '上院', '議員', 'に', '当選', 'した', 'のである', '。', 'ルーガー', '上院', '議員', 'が', 'ハト', '派', 'に', 'なって', 'しまった', 'の', 'は', '、', '上院', '外交', '委員', '長', 'と', 'して', 'アメリカ', '外交', 'の', '舵取り', 'を', '行う', 'ように', 'なって', '、', 'パウエル', '国務', '長官', 'ら', 'アメリカ', '国務', '省', 'の', '高官', 'に', 'すっかり', '洗脳', 'さ', 'れた']",['上院'],NO,上院,NO,NO
3,上院,たあと、上院議員に当選したのである。ルーガー上院議員がハト派になってしまったのは、上院外交委員長としてアメリカ外交の舵取りを行うようになって、パウエル国務長官らアメリカ国務省の高官にすっかり洗脳された,"['た', 'あと', '、', '上院', '議員', 'に', '当選', 'した', 'のである', '。', 'ルーガー', '上院', '議員', 'が', 'ハト', '派', 'に', 'なって', 'しまった', 'の', 'は', '、', '上院', '外交', '委員', '長', 'と', 'して', 'アメリカ', '外交', 'の', '舵取り', 'を', '行う', 'ように', 'なって', '、', 'パウエル', '国務', '長官', 'ら', 'アメリカ', '国務', '省', 'の', '高官', 'に', 'すっかり', '洗脳', 'さ', 'れた']",['上院'],NO,上院,NO,NO
4,上院,たとされている。二十二）ケリー米国務次官補（東アジア・太平洋問題担当：当時）は、昨年３月の上院外交委員会公聴会において、公開の場で言えることは多くないとしながら「（北朝鮮と）,"['た', 'と', 'さ', 'れて', 'いる', '。', '二十二', '）', 'ケリー', '米', '国務', '次官', '補', '（', '東', 'アジア', '・', '太平洋', '問題', '担当', '：', '当時', '）', 'は', '、', '昨年', '３', '月', 'の', '上院', '外交', '委員', '会', '公聴会', 'に', 'おいて', '、', '公開', 'の', '場', 'で', '言える', 'こと', 'は', '多く', 'ない', 'と', 'し', 'ながら', '「', '（', '北朝鮮', 'と', '）']",['上院'],NO,上院,NO,NO
5,上院,場において大統領を糾弾してはならない」と訴え、「国家元首たる人物に対して礼を失するうえ、上院そのものの質を下げる」としてクーリッジ大統領を擁護し、民主党議員を諫めた。しかし、,"['場', 'に', 'おいて', '大統領', 'を', '糾弾', 'して', 'は', 'なら', 'ない', '」', 'と', '訴え', '、', '「', '国家', '元首', 'たる', '人物', 'に', '対して', '礼', 'を', '失する', 'うえ', '、', '上院', 'そのもの', 'の', '質', 'を', '下げる', '」', 'と', 'して', 'クーリッジ', '大統領', 'を', '擁護', 'し', '、', '民主党', '議員', 'を', '諫めた', '。', 'しかし', '、']",['上院'],NO,上院,NO,NO
6,上院,共和党議員と南部の保守的民主党議員との間で行なわれる投票同盟であって、それは下院よりも上院でより強力であり、しかもその勝利の割合は両院ともに極めて高い。図３は,"['共和党', '議員', 'と', '南部', 'の', '保守', '的', '民主党', '議員', 'と', 'の', '間', 'で', '行なわ', 'れる', '投票', '同盟', 'であって', '、', 'それ', 'は', '下院', 'より', 'も', '上院', 'で', 'より', '強力であり', '、', 'しかも', 'その', '勝利', 'の', '割合', 'は', '両院', 'ともに', '極めて', '高い', '。', '図', '３', 'は']",['上院'],NO,上院,NO,NO
7,上院,れたというところにウェストミンスターの大宮殿の特異性がはっきりと現われている．数百年後，議会が上院と下院に別れたとき，一方は新しくできた聖ステファン礼拝堂で，また他方は大修道院で,"['れた', 'と', 'いう', 'ところ', 'に', 'ウェストミンスター', 'の', '大宮', '殿', 'の', '特異', '性', 'が', 'はっきり', 'と', '現われて', 'いる', '．', '数', '百', '年', '後', '，', '議会', 'が', '上院', 'と', '下院', 'に', '別れた', 'とき', '，', '一方', 'は', '新しく', 'できた', '聖', 'ステファン', '礼拝', '堂', 'で', '，', 'また', '他方', 'は', '大', '修道院', 'で']",['上院'],NO,上院,NO,NO
8,上院,除き、地方都市ではおおむね保守が優勢であった。９月には上院議員選挙が実施され、上院三百二十一議席中、百二議席が改選されたが、保革の勢力比は変わらなかった。二千二年には,"['除き', '、', '地方', '都市', 'で', 'は', 'おおむね', '保守', 'が', '優勢であった', '。', '９', '月', 'に', 'は', '上院', '議員', '選挙', 'が', '実施', 'さ', 'れ', '、', '上院', '三百二十一', '議席', '中', '、', '百二', '議席', 'が', '改選', 'さ', 'れた', 'が', '、', '保革', 'の', '勢力', '比', 'は', '変わら', 'なかった', '。', '二千二', '年', 'に', 'は']",['上院'],NO,上院,NO,NO
9,上院,除き、地方都市ではおおむね保守が優勢であった。９月には上院議員選挙が実施され、上院三百二十一議席中、百二議席が改選されたが、保革の勢力比は変わらなかった。二千二年には,"['除き', '、', '地方', '都市', 'で', 'は', 'おおむね', '保守', 'が', '優勢であった', '。', '９', '月', 'に', 'は', '上院', '議員', '選挙', 'が', '実施', 'さ', 'れ', '、', '上院', '三百二十一', '議席', '中', '、', '百二', '議席', 'が', '改選', 'さ', 'れた', 'が', '、', '保革', 'の', '勢力', '比', 'は', '変わら', 'なかった', '。', '二千二', '年', 'に', 'は']",['上院'],NO,上院,NO,NO
