,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,事務所,話していた。今のジローの状態ではステージでのダンスが無理と判断した事務所は、マレーシアのコンサートの延期を決定したそうだ。ハッキリ言って呉尊ちゃんにはもっと,"['話して', 'いた', '。', '今', 'の', 'ジロー', 'の', '状態', 'で', 'は', 'ステージ', 'で', 'の', 'ダンス', 'が', '無理', 'と', '判断', 'した', '事務', '所', 'は', '、', 'マレーシア', 'の', 'コンサート', 'の', '延期', 'を', '決定', 'した', 'そうだ', '。', 'ハッキリ', '言って', '呉', '尊', 'ちゃん', 'に', 'は', 'もっと']","['事務', '所']",YES,事務所,NO,NO
1,事務所,に掲げる事項を記載しなければならない。一目的二名称三更生保護事業の種類四事務所の所在地五役員に関する事項六会議に関する事項七資産に関する事項八会計,"['に', '掲げる', '事項', 'を', '記載', 'し', 'なければ', 'なら', 'ない', '。', '一目', '的', '二', '名称', '三', '更生', '保護', '事業', 'の', '種類', '四', '事務', '所', 'の', '所在', '地', '五', '役員', 'に', '関する', '事項', '六', '会議', 'に', '関する', '事項', '七', '資産', 'に', '関する', '事項', '八', '会計']","['事務', '所']",YES,事務所,NO,NO
2,事務所,になりました。千九百六十四年にアメリカのオークション会社であるパーク・バーネット社を買収。現在は世界四十か国に事務所を構え、年間約七百回のオークションを開催しています。オークションに参加するには興味の,"['に', 'なり', 'ました', '。', '千九百六十四', '年', 'に', 'アメリカ', 'の', 'オークション', '会社', 'である', 'パーク', '・', 'バーネット', '社', 'を', '買収', '。', '現在', 'は', '世界', '四十', 'か国', 'に', '事務', '所', 'を', '構え', '、', '年間', '約', '七百', '回', 'の', 'オークション', 'を', '開催', 'して', 'い', 'ます', '。', 'オークション', 'に', '参加', 'する', 'に', 'は', '興味', 'の']","['事務', '所']",YES,事務所,NO,NO
3,事務所,ほど飲んだ。そして、黙って勘定を払い、店を出た。私の事務所と同じフロアーにある、カーボン製造業者の販売事務所も、その奥の金融業者のところも、もう,"['ほど', '飲んだ', '。', 'そして', '、', '黙って', '勘定', 'を', '払い', '、', '店', 'を', '出た', '。', '私', 'の', '事務', '所', 'と', '同じ', 'フロアー', 'に', 'ある', '、', 'カーボン', '製造', '業者', 'の', '販売', '事務', '所', 'も', '、', 'その', '奥', 'の', '金融', '業者', 'の', 'ところ', 'も', '、', 'もう']","['事務', '所']",YES,事務所,NO,NO
4,事務所,ほど飲んだ。そして、黙って勘定を払い、店を出た。私の事務所と同じフロアーにある、カーボン製造業者の販売事務所も、その奥の金融業者のところも、もう,"['ほど', '飲んだ', '。', 'そして', '、', '黙って', '勘定', 'を', '払い', '、', '店', 'を', '出た', '。', '私', 'の', '事務', '所', 'と', '同じ', 'フロアー', 'に', 'ある', '、', 'カーボン', '製造', '業者', 'の', '販売', '事務', '所', 'も', '、', 'その', '奥', 'の', '金融', '業者', 'の', 'ところ', 'も', '、', 'もう']","['事務', '所']",YES,事務所,NO,NO
5,事務所,ている夫の物語である。二人は鉱山のある町で育ち、夫はその鉱山の事務所に勤めている。夫の運転する車が落石事故に遭って、助手席にいた妻が,"['て', 'いる', '夫', 'の', '物語', 'である', '。', '二', '人', 'は', '鉱山', 'の', 'ある', '町', 'で', '育ち', '、', '夫', 'は', 'その', '鉱山', 'の', '事務', '所', 'に', '勤めて', 'いる', '。', '夫', 'の', '運転', 'する', '車', 'が', '落石', '事故', 'に', '遭って', '、', '助手', '席', 'に', 'いた', '妻', 'が']","['事務', '所']",YES,事務所,NO,NO
6,事務所,資するための農機具の改良に関する試験及び研究等の業務を行うことを目的とする。（事務所）第五条研究機構は、主たる事務所を茨城県に置く。（資本金）第六条研究機構の,"['資する', 'ため', 'の', '農', '機具', 'の', '改良', 'に', '関する', '試験', '及び', '研究', '等', 'の', '業務', 'を', '行う', 'こと', 'を', '目的', 'と', 'する', '。', '（', '事務', '所', '）', '第', '五', '条', '研究', '機構', 'は', '、', '主たる', '事務', '所', 'を', '茨城', '県', 'に', '置く', '。', '（', '資本', '金', '）', '第', '六', '条', '研究', '機構', 'の']","['事務', '所']",YES,事務所,NO,NO
7,事務所,資するための農機具の改良に関する試験及び研究等の業務を行うことを目的とする。（事務所）第五条研究機構は、主たる事務所を茨城県に置く。（資本金）第六条研究機構の,"['資する', 'ため', 'の', '農', '機具', 'の', '改良', 'に', '関する', '試験', '及び', '研究', '等', 'の', '業務', 'を', '行う', 'こと', 'を', '目的', 'と', 'する', '。', '（', '事務', '所', '）', '第', '五', '条', '研究', '機構', 'は', '、', '主たる', '事務', '所', 'を', '茨城', '県', 'に', '置く', '。', '（', '資本', '金', '）', '第', '六', '条', '研究', '機構', 'の']","['事務', '所']",YES,事務所,NO,NO
8,事務所,、銭場裕司、田所柳子】「従来の支持層がまとめきれなかった」十五日夜、村岡陣営の事務所で藤原俊久・自民党県連幹事長は敗因を述べた。選挙期間中から従来の選挙とは違った光景が,"['、', '銭', '場', '裕司', '、', '田所', '柳', '子', '】', '「', '従来', 'の', '支持', '層', 'が', 'まとめ', 'きれ', 'なかった', '」', '十五', '日', '夜', '、', '村岡', '陣営', 'の', '事務', '所', 'で', '藤原', '俊', '久', '・', '自民党', '県連', '幹事', '長', 'は', '敗因', 'を', '述べた', '。', '選挙', '期間', '中', 'から', '従来', 'の', '選挙', 'と', 'は', '違った', '光景', 'が']","['事務', '所']",YES,事務所,NO,NO
9,事務所,事務所にあった湯布院のおみやげ“摘み草せんべい”一枚食べたらとまらなくなる味も良かったけど,"['事務', '所', 'に', 'あった', '湯布院', 'の', 'お', 'みやげ', '“', '摘み草', 'せんべい', '”', '一', '枚', '食べたら', 'とまら', 'なく', 'なる', '味', 'も', '良かった', 'けど']","['事務', '所']",YES,事務所,NO,NO
