,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,代官所,」と意気込んでいた。八．一八の政変の前日の十七日に、かれらは五条の代官所を襲い、鈴木という代官を殺した。そして代官所を焼き払い、大いに気勢を上げた,"['」', 'と', '意気込んで', 'いた', '。', '八', '．', '一八', 'の', '政変', 'の', '前日', 'の', '十七', '日', 'に', '、', 'かれ', 'ら', 'は', '五', '条', 'の', '代官', '所', 'を', '襲い', '、', '鈴木', 'と', 'いう', '代官', 'を', '殺した', '。', 'そして', '代官', '所', 'を', '焼き払い', '、', '大いに', '気勢', 'を', '上げた']","['代官', '所']",YES,代官所,NO,NO
1,代官所,」と意気込んでいた。八．一八の政変の前日の十七日に、かれらは五条の代官所を襲い、鈴木という代官を殺した。そして代官所を焼き払い、大いに気勢を上げた,"['」', 'と', '意気込んで', 'いた', '。', '八', '．', '一八', 'の', '政変', 'の', '前日', 'の', '十七', '日', 'に', '、', 'かれ', 'ら', 'は', '五', '条', 'の', '代官', '所', 'を', '襲い', '、', '鈴木', 'と', 'いう', '代官', 'を', '殺した', '。', 'そして', '代官', '所', 'を', '焼き払い', '、', '大いに', '気勢', 'を', '上げた']","['代官', '所']",YES,代官所,NO,NO
2,代官所,わからないが、このことは決して忘れてならない、いや忘れるものか。その夜、代官所に働く下役人が祖父の家を訪ねてきた。晩夏の室内はまだ暑かった,"['わから', 'ない', 'が', '、', 'この', 'こと', 'は', '決して', '忘れて', 'なら', 'ない', '、', 'いや', '忘れる', 'もの', 'か', '。', 'その', '夜', '、', '代官', '所', 'に', '働く', '下', '役人', 'が', '祖父', 'の', '家', 'を', '訪ねて', 'きた', '。', '晩夏', 'の', '室', '内', 'は', 'まだ', '暑かった']","['代官', '所']",YES,代官所,NO,NO
3,代官所,にもせよ、人の娘を手ごめにすれば、君たちは天よりもまず、代官所の裁きをうけなければならない。詰らない真似はやめたまえ」「こん畜生、なに,"['に', 'も', 'せよ', '、', '人', 'の', '娘', 'を', '手', 'ご', 'め', 'に', 'すれば', '、', '君', 'たち', 'は', '天', 'より', 'も', 'まず', '、', '代官', '所', 'の', '裁き', 'を', 'うけ', 'なければ', 'なら', 'ない', '。', '詰ら', 'ない', '真似', 'は', 'やめた', 'まえ', '」', '「', 'こ', 'ん', '畜生', '、', 'なに']","['代官', '所']",YES,代官所,NO,NO
4,代官所,郡代や代官の諸入用が口米・口永の付加税によって賄われていたのを廃止して、別に代官所の諸経費を支配高や地域に応じて直接支給する方法に改正している。これは郡代・代官の,"['郡', '代', 'や', '代官', 'の', '諸', '入用', 'が', '口', '米', '・', '口永', 'の', '付加', '税', 'に', 'よって', '賄わ', 'れて', 'いた', 'の', 'を', '廃止', 'して', '、', '別に', '代官', '所', 'の', '諸', '経費', 'を', '支配', '高', 'や', '地域', 'に', '応じて', '直接', '支給', 'する', '方法', 'に', '改正', 'して', 'いる', '。', 'これ', 'は', '郡', '代', '・', '代官', 'の']","['代官', '所']",YES,代官所,NO,NO
5,代官所,た。「坂崎様、調べて分かったことだが、火焰の寅三は日光の代官所からも手配書が廻ってきている極悪人でね、お手柄でした」「手柄も,"['た', '。', '「', '坂', '崎様', '、', '調べて', '分かった', 'こと', 'だ', 'が', '、', '火焰', 'の', '寅', '三', 'は', '日光', 'の', '代官', '所', 'から', 'も', '手配', '書', 'が', '廻って', 'きて', 'いる', '極', '悪人', 'で', 'ね', '、', 'お', '手柄', 'でした', '」', '「', '手柄', 'も']","['代官', '所']",YES,代官所,NO,NO
6,代官所,たのは、同心頭の遠藤彦四郎であるという。してみるとこの家の女あるじキンと、代官所とはかなりな関係であるとみなければならぬ。旧家とはいえいまは女あるじしかい,"['たの', 'は', '、', '同', '心頭', 'の', '遠藤', '彦', '四郎', 'である', 'と', 'いう', '。', 'して', 'みる', 'と', 'この', '家', 'の', '女', 'あるじ', 'キン', 'と', '、', '代官', '所', 'と', 'は', 'かなり', 'な', '関係', 'である', 'と', 'み', 'なければ', 'なら', 'ぬ', '。', '旧家', 'と', 'は', 'いえ', 'いま', 'は', '女', 'あるじ', 'しかい']","['代官', '所']",YES,代官所,NO,NO
7,代官所,幕府がこれらの人々を統一的に組織した形跡はみられない。しかし、出先の代官所などでは、「えた」「ひにん」身分の人々を捕り物などに動員している,"['幕府', 'が', 'これ', 'ら', 'の', '人々', 'を', '統一', '的に', '組織', 'した', '形跡', 'は', 'み', 'られ', 'ない', '。', 'しかし', '、', '出先', 'の', '代官', '所', 'など', 'で', 'は', '、', '「', 'えた', '」', '「', 'ひにん', '」', '身分', 'の', '人々', 'を', '捕り', '物', 'など', 'に', '動員', 'して', 'いる']","['代官', '所']",YES,代官所,NO,NO
8,代官所,ていた。大名の領地である私領の中に、こうした幕領と同様の代官所の所管になる番所があるということはふしぎなことであるが、米沢と最上を,"['ていた', '。', '大名', 'の', '領地', 'である', '私', '領', 'の', '中', 'に', '、', 'こうした', '幕', '領', 'と', '同様の', '代官', '所', 'の', '所管', 'に', 'なる', '番', '所', 'が', 'ある', 'と', 'いう', 'こと', 'は', 'ふしぎな', 'こと', 'である', 'が', '、', '米沢', 'と', '最上', 'を']","['代官', '所']",YES,代官所,NO,NO
9,代官所,の医師村抱の動き南部村など三ヵ村では、医師集団の強い抗議や郡中惣代を通した代官所からの規制にいったんは従うが、身元が確かであることを知ると一転し,"['の', '医師', '村', '抱', 'の', '動き', '南部', '村', 'など', '三', 'ヵ', '村', 'で', 'は', '、', '医師', '集団', 'の', '強い', '抗議', 'や', '郡', '中', '惣代', 'を', '通した', '代官', '所', 'から', 'の', '規制', 'に', 'いったん', 'は', '従う', 'が', '、', '身元', 'が', '確かである', 'こと', 'を', '知る', 'と', '一転', 'し']","['代官', '所']",YES,代官所,NO,NO
