,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,会員,．たとえば，シルバー人材センターが雇用関係を否定した生きがい目的の就労を掲げているとはいえ，一部の会員の間にはより多い収入への希望が存在し，この事実を背景として，何ら,"['．', 'たとえば', '，', 'シルバー', '人材', 'センター', 'が', '雇用', '関係', 'を', '否定', 'した', '生きがい', '目的', 'の', '就労', 'を', '掲げて', 'いる', 'と', 'は', 'いえ', '，', '一部', 'の', '会員', 'の', '間', 'に', 'は', 'より', '多い', '収入', 'へ', 'の', '希望', 'が', '存在', 'し', '，', 'この', '事実', 'を', '背景', 'と', 'して', '，', '何ら']",['会員'],NO,会員,NO,NO
1,会員,目的として活動している。平成十一年３月現在，小・中・高校生を中心に，約千校，約２万５千人の会員を有しており，郵政省では，この活動を積極的に支援している。（２）,"['目的', 'と', 'して', '活動', 'して', 'いる', '。', '平成', '十一', '年', '３', '月', '現在', '，', '小', '・', '中', '・', '高校', '生', 'を', '中心', 'に', '，', '約', '千', '校', '，', '約', '２万５千', '人', 'の', '会員', 'を', '有して', 'おり', '，', '郵政', '省', 'で', 'は', '，', 'この', '活動', 'を', '積極', '的に', '支援', 'して', 'いる', '。', '（', '２', '）']",['会員'],NO,会員,NO,NO
2,会員,では、もちろん売店の収益も原資でございますけれども、多くは会費収入で、会員である、ほとんどが現職の矯正職員なんですけれども、その人たちが毎月支払う会費が最大,"['では', '、', 'もちろん', '売店', 'の', '収益', 'も', '原資', 'で', 'ございます', 'けれども', '、', '多く', 'は', '会費', '収入', 'で', '、', '会員', 'である', '、', 'ほとんど', 'が', '現職', 'の', '矯正', '職員', 'な', 'んです', 'けれども', '、', 'その', '人', 'たち', 'が', '毎月', '支払う', '会費', 'が', '最大']",['会員'],NO,会員,NO,NO
3,会員,の都市美協会（都市景観の美化を主張した、学者・建築家・東京市職員らによる有志団体）例会の席上であった。会員であり、代議士であった星島二郎が「中央官衙の建設について」と題して特に話をし,"['の', '都市', '美', '協会', '（', '都市', '景観', 'の', '美化', 'を', '主張', 'した', '、', '学者', '・', '建築', '家', '・', '東京', '市', '職員', 'ら', 'に', 'よる', '有志', '団体', '）', '例会', 'の', '席上', 'であった', '。', '会員', 'であり', '、', '代議士', 'であった', '星', '島', '二郎', 'が', '「', '中央', '官衙', 'の', '建設', 'に', 'ついて', '」', 'と', '題して', '特に', '話', 'を', 'し']",['会員'],NO,会員,NO,NO
4,会員,、だいたい十分くらいはいつもオーバーする）。それと、この俳句会に来る前に、会員は二句作って持って来ることになっている。その二句と、今出された席題,"['、', 'だいたい', '十分', 'くらい', 'は', 'いつも', 'オーバー', 'する', '）', '。', 'それ', 'と', '、', 'この', '俳句', '会', 'に', '来る', '前', 'に', '、', '会員', 'は', '二', '句', '作って', '持って', '来る', 'こと', 'に', 'なって', 'いる', '。', 'その', '二', '句', 'と', '、', '今', '出さ', 'れた', '席', '題']",['会員'],NO,会員,NO,NO
5,会員,は、ハイＹの本質に関する意識だったと思われる。公立校自治会の一クラブであって、会員は必ずしも信者ではないという事実と、所詮、パリ標準に準拠する高い目標を持つ、キリスト者の,"['は', '、', 'ハイ', 'Ｙ', 'の', '本質', 'に', '関する', '意識', 'だった', 'と', '思わ', 'れる', '。', '公立', '校', '自治', '会', 'の', '一', 'クラブ', 'であって', '、', '会員', 'は', '必ずしも', '信者', 'で', 'は', 'ない', 'と', 'いう', '事実', 'と', '、', '所詮', '、', 'パリ', '標準', 'に', '準拠', 'する', '高い', '目標', 'を', '持つ', '、', 'キリスト', '者', 'の']",['会員'],NO,会員,NO,NO
6,会員,なぞかけ道場』ぜひぜひご参加ください。ｈｔｔｐ：／／ｍｉｘｉ．ｊｐ／ｖｉｅｗ＿ｃｏｍｍｕｎｉｔｙ．ｐｌ？ｉｄ＝二百二十三万七千四十三（ミクシィの会員でないと開けません。ミクシィ会員の方はこちらからログインしてお入りください。,"['なぞ', 'かけ', '道場', '』', 'ぜひ', 'ぜひ', 'ご', '参加', 'ください', '。', 'ｈｔｔｐ', '：', '／', '／', 'ｍｉｘｉ', '．', 'ｊｐ', '／', 'ｖｉｅｗ', '＿', 'ｃｏｍｍｕｎｉｔｙ', '．', 'ｐｌ', '？', 'ｉｄ', '＝', '二百二十三万七千四十三', '（', 'ミクシィ', 'の', '会員', 'で', 'ない', 'と', '開け', 'ませ', 'ん', '。', 'ミクシィ', '会員', 'の', '方', 'は', 'こちら', 'から', 'ログイン', 'して', 'お', '入り', 'ください', '。']",['会員'],NO,会員,NO,NO
7,会員,なぞかけ道場』ぜひぜひご参加ください。ｈｔｔｐ：／／ｍｉｘｉ．ｊｐ／ｖｉｅｗ＿ｃｏｍｍｕｎｉｔｙ．ｐｌ？ｉｄ＝二百二十三万七千四十三（ミクシィの会員でないと開けません。ミクシィ会員の方はこちらからログインしてお入りください。,"['なぞ', 'かけ', '道場', '』', 'ぜひ', 'ぜひ', 'ご', '参加', 'ください', '。', 'ｈｔｔｐ', '：', '／', '／', 'ｍｉｘｉ', '．', 'ｊｐ', '／', 'ｖｉｅｗ', '＿', 'ｃｏｍｍｕｎｉｔｙ', '．', 'ｐｌ', '？', 'ｉｄ', '＝', '二百二十三万七千四十三', '（', 'ミクシィ', 'の', '会員', 'で', 'ない', 'と', '開け', 'ませ', 'ん', '。', 'ミクシィ', '会員', 'の', '方', 'は', 'こちら', 'から', 'ログイン', 'して', 'お', '入り', 'ください', '。']",['会員'],NO,会員,NO,NO
8,会員,マクリーシュ夫婦を避けていた。マクリーシュは、後に親しくなってはじめて、ジェラルドは髑髏十字会の会員に会うのがいやだったのだと知ることになる。ジェラルドが卒業後も親しく付き合いつづけたイェール時代,"['マクリーシュ', '夫婦', 'を', '避けて', 'いた', '。', 'マクリーシュ', 'は', '、', '後', 'に', '親しく', 'なって', 'はじめて', '、', 'ジェラルド', 'は', '髑髏', '十字', '会', 'の', '会員', 'に', '会う', 'の', 'が', 'いやだった', 'のだ', 'と', '知る', 'こと', 'に', 'なる', '。', 'ジェラルド', 'が', '卒業', '後', 'も', '親しく', '付き合い', 'つづけた', 'イェール', '時代']",['会員'],NO,会員,NO,NO
9,会員,を受けることができる。この相互扶助協会の事業としては，上記の他に，加入後６年以上の会員に対する五十リラの貸付金（規約上の金利年３パーセント，実際は千九百六年のケースで年利８パーセント）を,"['を', '受ける', 'こと', 'が', 'できる', '。', 'この', '相互', '扶助', '協会', 'の', '事業', 'と', 'して', 'は', '，', '上記', 'の', '他', 'に', '，', '加入', '後', '６', '年', '以上', 'の', '会員', 'に', '対する', '五十', 'リラ', 'の', '貸付金', '（', '規約', '上', 'の', '金利', '年', '３', 'パーセント', '，', '実際', 'は', '千九百六', '年', 'の', 'ケース', 'で', '年利', '８', 'パーセント', '）', 'を']",['会員'],NO,会員,NO,NO
