,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,保育士,保育士ってもうかりますか？年収千五百万にしかなりません。あーーーーあ！,"['保育', '士', 'って', 'もうかり', 'ます', 'か', '？', '年収', '千五百万', 'に', 'しか', 'なり', 'ませ', 'ん', '。', 'あー', 'ーーー', 'あ', '！']","['保育', '士']",YES,保育士,NO,NO
1,保育士,、多くの母親がかかえるような「育児不安」を経験した。それは、彼女が保育士の資格と経験をもっているだけにかえって深刻なものであった。その時に、,"['、', '多く', 'の', '母親', 'が', 'かかえる', 'ような', '「', '育児', '不安', '」', 'を', '経験', 'した', '。', 'それ', 'は', '、', '彼女', 'が', '保育', '士', 'の', '資格', 'と', '経験', 'を', 'もって', 'いる', 'だけ', 'に', 'かえって', '深刻な', 'もの', 'であった', '。', 'その', '時', 'に', '、']","['保育', '士']",YES,保育士,NO,NO
2,保育士,を見つめています」対人関係や物を認知する大切な時期は、できるだけひとりの保育士がかかわるようにしていきます。また、抱かれることによって生じる温かさや安心感、感触,"['を', '見つめて', 'い', 'ます', '」', '対人', '関係', 'や', '物', 'を', '認知', 'する', '大切な', '時期', 'は', '、', 'できる', 'だけ', 'ひと', 'り', 'の', '保育', '士', 'が', 'かかわる', 'ように', 'して', 'いき', 'ます', '。', 'また', '、', '抱か', 'れる', 'こと', 'に', 'よって', '生じる', '温か', 'さ', 'や', '安心', '感', '、', '感触']","['保育', '士']",YES,保育士,NO,NO
3,保育士,近い髪の色でマニキュア、太目のブレスレットをしていて本当に資格を持った保育士？と疑いたくなりました。あまりにも気になったので園の方に,"['近い', '髪', 'の', '色', 'で', 'マニキュア', '、', '太', '目', 'の', 'ブレスレット', 'を', 'して', 'いて', '本当に', '資格', 'を', '持った', '保育', '士', '？', 'と', '疑い', 'たく', 'なり', 'ました', '。', 'あまりに', 'も', '気', 'に', 'なった', 'ので', '園', 'の', '方', 'に']","['保育', '士']",YES,保育士,NO,NO
4,保育士,様子」を書く欄がありますが、皆さんはどんな事を書いていますか？保育士です（＾‐＾）みなさん保育園から帰ってからのエピソードを書いてくれます。お風呂に入った時,"['様子', '」', 'を', '書く', '欄', 'が', 'あり', 'ます', 'が', '、', '皆さん', 'は', 'どんな', '事', 'を', '書いて', 'い', 'ます', 'か', '？', '保育', '士', 'です', '（', '＾‐＾）', 'みなさん', '保育', '園', 'から', '帰って', 'から', 'の', 'エピソード', 'を', '書いて', 'くれ', 'ます', '。', 'お', '風呂', 'に', '入った', '時']","['保育', '士']",YES,保育士,NO,NO
5,保育士,大人たちの子どもへの関心に温度差があることも要因ではないかと考えました。保育士も含めた周りの大人たちが、子どもの健やかな成長に向けた遊びの大切さに,"['大人', 'たち', 'の', '子ども', 'へ', 'の', '関心', 'に', '温度', '差', 'が', 'ある', 'こと', 'も', '要因', 'で', 'は', 'ない', 'か', 'と', '考え', 'ました', '。', '保育', '士', 'も', '含めた', '周り', 'の', '大人', 'たち', 'が', '、', '子ども', 'の', '健やかな', '成長', 'に', '向けた', '遊び', 'の', '大切', 'さ', 'に']","['保育', '士']",YES,保育士,NO,NO
6,保育士,の低年齢児が顕著である。一方、保育園では国の基準で施設の床面積や保育士の人数、児童の年齢等により、例えば保育士１人に０歳児３人まで、１歳児と２歳児は６人,"['の', '低', '年齢', '児', 'が', '顕著である', '。', '一方', '、', '保育', '園', 'で', 'は', '国', 'の', '基準', 'で', '施設', 'の', '床面積', 'や', '保育', '士', 'の', '人数', '、', '児童', 'の', '年齢', '等', 'に', 'より', '、', '例えば', '保育', '士', '１', '人', 'に', '０', '歳', '児', '３', '人', 'まで', '、', '１', '歳', '児', 'と', '２', '歳', '児', 'は', '６', '人']","['保育', '士']",YES,保育士,NO,NO
7,保育士,の低年齢児が顕著である。一方、保育園では国の基準で施設の床面積や保育士の人数、児童の年齢等により、例えば保育士１人に０歳児３人まで、１歳児と２歳児は６人,"['の', '低', '年齢', '児', 'が', '顕著である', '。', '一方', '、', '保育', '園', 'で', 'は', '国', 'の', '基準', 'で', '施設', 'の', '床面積', 'や', '保育', '士', 'の', '人数', '、', '児童', 'の', '年齢', '等', 'に', 'より', '、', '例えば', '保育', '士', '１', '人', 'に', '０', '歳', '児', '３', '人', 'まで', '、', '１', '歳', '児', 'と', '２', '歳', '児', 'は', '６', '人']","['保育', '士']",YES,保育士,NO,NO
8,保育士,ということは大変大事なことだと思います。そういう意味で、小児医療を支える保育士の十分な確保を図ることが求められておりまして、病棟保育士の配置は非常に,"['と', 'いう', 'こと', 'は', '大変', '大事な', 'こと', 'だ', 'と', '思い', 'ます', '。', 'そういう', '意味', 'で', '、', '小児', '医療', 'を', '支える', '保育', '士', 'の', '十分な', '確保', 'を', '図る', 'こと', 'が', '求め', 'られて', 'おり', 'まして', '、', '病棟', '保育', '士', 'の', '配置', 'は', '非常に']","['保育', '士']",YES,保育士,NO,NO
9,保育士,ということは大変大事なことだと思います。そういう意味で、小児医療を支える保育士の十分な確保を図ることが求められておりまして、病棟保育士の配置は非常に,"['と', 'いう', 'こと', 'は', '大変', '大事な', 'こと', 'だ', 'と', '思い', 'ます', '。', 'そういう', '意味', 'で', '、', '小児', '医療', 'を', '支える', '保育', '士', 'の', '十分な', '確保', 'を', '図る', 'こと', 'が', '求め', 'られて', 'おり', 'まして', '、', '病棟', '保育', '士', 'の', '配置', 'は', '非常に']","['保育', '士']",YES,保育士,NO,NO
