,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,保育所,ある．母子分離による影響を検討した研究では，ある事情のために，数か月にわたって保育所に預けられている子供たちが，無感動状態や受動性を示すようになったが，子供たちは,"['ある', '．', '母子', '分離', 'に', 'よる', '影響', 'を', '検討', 'した', '研究', 'で', 'は', '，', 'ある', '事情', 'の', 'ため', 'に', '，', '数', 'か月', 'に', 'わたって', '保育', '所', 'に', '預け', 'られて', 'いる', '子供', 'たち', 'が', '，', '無', '感動', '状態', 'や', '受動', '性', 'を', '示す', 'ように', 'なった', 'が', '，', '子供', 'たち', 'は']","['保育', '所']",YES,保育所,NO,NO
1,保育所,不安解消などを図ります。対象母子健康手帳の交付を受けた方。または、３歳未満の保育所に入所していないお子さんがいる方。登録方法登録希望保育所（西保へき地保育所は除く）、子育て支援課、,"['不安', '解消', 'など', 'を', '図り', 'ます', '。', '対象', '母子', '健康', '手帳', 'の', '交付', 'を', '受けた', '方', '。', 'または', '、', '３', '歳', '未満', 'の', '保育', '所', 'に', '入所', 'して', 'い', 'ない', 'お', '子', 'さん', 'が', 'いる', '方', '。', '登録', '方法', '登録', '希望', '保育', '所', '（', '西', '保', 'へき地', '保育', '所', 'は', '除く', '）', '、', '子育て', '支援', '課', '、']","['保育', '所']",YES,保育所,NO,NO
2,保育所,不安解消などを図ります。対象母子健康手帳の交付を受けた方。または、３歳未満の保育所に入所していないお子さんがいる方。登録方法登録希望保育所（西保へき地保育所は除く）、子育て支援課、,"['不安', '解消', 'など', 'を', '図り', 'ます', '。', '対象', '母子', '健康', '手帳', 'の', '交付', 'を', '受けた', '方', '。', 'または', '、', '３', '歳', '未満', 'の', '保育', '所', 'に', '入所', 'して', 'い', 'ない', 'お', '子', 'さん', 'が', 'いる', '方', '。', '登録', '方法', '登録', '希望', '保育', '所', '（', '西', '保', 'へき地', '保育', '所', 'は', '除く', '）', '、', '子育て', '支援', '課', '、']","['保育', '所']",YES,保育所,NO,NO
3,保育所,不安解消などを図ります。対象母子健康手帳の交付を受けた方。または、３歳未満の保育所に入所していないお子さんがいる方。登録方法登録希望保育所（西保へき地保育所は除く）、子育て支援課、,"['不安', '解消', 'など', 'を', '図り', 'ます', '。', '対象', '母子', '健康', '手帳', 'の', '交付', 'を', '受けた', '方', '。', 'または', '、', '３', '歳', '未満', 'の', '保育', '所', 'に', '入所', 'して', 'い', 'ない', 'お', '子', 'さん', 'が', 'いる', '方', '。', '登録', '方法', '登録', '希望', '保育', '所', '（', '西', '保', 'へき地', '保育', '所', 'は', '除く', '）', '、', '子育て', '支援', '課', '、']","['保育', '所']",YES,保育所,NO,NO
4,保育所,であるということを感じていただけたらと思います。■参考文献演習問題［１］幼稚園や保育所で実践されている保育内容について，保育内容５領域との関連性を図示しながら説明してみよう。［２,"['である', 'と', 'いう', 'こと', 'を', '感じて', 'いただけたら', 'と', '思い', 'ます', '。', '■', '参考', '文献', '演習', '問題', '［', '１', '］', '幼稚園', 'や', '保育', '所', 'で', '実践', 'さ', 'れて', 'いる', '保育', '内容', 'に', 'ついて', '，', '保育', '内容', '５', '領域', 'と', 'の', '関連', '性', 'を', '図示', 'し', 'ながら', '説明', 'して', 'みよう', '。', '［', '２']","['保育', '所']",YES,保育所,NO,NO
5,保育所,専門機関との連携等が必要です。１保育者の増配置（加配）認可された保育所や幼稚園では、子どもの人数に対して、最低必要な保育者数が決められています（最低基準,"['専門', '機関', 'と', 'の', '連携', '等', 'が', '必要です', '。', '１', '保育', '者', 'の', '増', '配置', '（', '加配', '）', '認可', 'さ', 'れた', '保育', '所', 'や', '幼稚園', 'で', 'は', '、', '子ども', 'の', '人数', 'に', '対して', '、', '最低', '必要な', '保育', '者', '数', 'が', '決め', 'られて', 'い', 'ます', '（', '最低', '基準']","['保育', '所']",YES,保育所,NO,NO
6,保育所,今田支所九名（同二十二人）に減らされ、周辺部はますます取り残されています。また、保育所は九園ありますが、五園に統廃合する計画がすすんでいます。３合併を強要する,"['今田', '支所', '九', '名', '（', '同', '二十二', '人', '）', 'に', '減らさ', 'れ', '、', '周辺', '部', 'は', 'ますます', '取り', '残さ', 'れて', 'い', 'ます', '。', 'また', '、', '保育', '所', 'は', '九', '園', 'あり', 'ます', 'が', '、', '五', '園', 'に', '統廃合', 'する', '計画', 'が', 'すすんで', 'い', 'ます', '。', '３', '合併', 'を', '強要', 'する']","['保育', '所']",YES,保育所,NO,NO
7,保育所,，法的な拘束力を持たないという点が「幼稚園教育要領」とは異なっています。保育所は子どもの養育を担う施設でありましたので，保育内容が厳密に規定されることは,"['，', '法的な', '拘束', '力', 'を', '持た', 'ない', 'と', 'いう', '点', 'が', '「', '幼稚園', '教育', '要領', '」', 'と', 'は', '異なって', 'い', 'ます', '。', '保育', '所', 'は', '子ども', 'の', '養育', 'を', '担う', '施設', 'で', 'あり', 'ました', 'ので', '，', '保育', '内容', 'が', '厳密に', '規定', 'さ', 'れる', 'こと', 'は']","['保育', '所']",YES,保育所,NO,NO
8,保育所,二十三）年に『保育要領』が刊行されました。これは，幼稚園に加えて保育所や家庭も含む保育全般の基本的手引き書であり，現在の「幼稚園教育要領」と「保育所保育指針」の基礎,"['二十三', '）', '年', 'に', '『', '保育', '要領', '』', 'が', '刊行', 'さ', 'れ', 'ました', '。', 'これ', 'は', '，', '幼稚園', 'に', '加えて', '保育', '所', 'や', '家庭', 'も', '含む', '保育', '全般', 'の', '基本', '的', '手引き', '書', 'であり', '，', '現在', 'の', '「', '幼稚園', '教育', '要領', '」', 'と', '「', '保育', '所', '保育', '指針', '」', 'の', '基礎']","['保育', '所']",YES,保育所,NO,NO
9,保育所,二十三）年に『保育要領』が刊行されました。これは，幼稚園に加えて保育所や家庭も含む保育全般の基本的手引き書であり，現在の「幼稚園教育要領」と「保育所保育指針」の基礎,"['二十三', '）', '年', 'に', '『', '保育', '要領', '』', 'が', '刊行', 'さ', 'れ', 'ました', '。', 'これ', 'は', '，', '幼稚園', 'に', '加えて', '保育', '所', 'や', '家庭', 'も', '含む', '保育', '全般', 'の', '基本', '的', '手引き', '書', 'であり', '，', '現在', 'の', '「', '幼稚園', '教育', '要領', '」', 'と', '「', '保育', '所', '保育', '指針', '」', 'の', '基礎']","['保育', '所']",YES,保育所,NO,NO
10,保育所,資料：厚生省統計情報部「社会福祉施設調査」及び厚生省児童家庭局調べ（４）保育対策全国的にみれば量的に保育所はほぼ充足しており，近年は人口急増地域等への対応，及び多様化する保育需要（延長保育，夜間保育，,"['資料', '：', '厚生', '省', '統計', '情報', '部', '「', '社会', '福祉', '施設', '調査', '」', '及び', '厚生', '省', '児童', '家庭', '局', '調べ', '（', '４', '）', '保育', '対策', '全国', '的に', 'みれば', '量的に', '保育', '所', 'は', 'ほぼ', '充足', 'して', 'おり', '，', '近年', 'は', '人口', '急増', '地域', '等', 'へ', 'の', '対応', '，', '及び', '多様', '化', 'する', '保育', '需要', '（', '延長', '保育', '，', '夜間', '保育', '，']","['保育', '所']",YES,保育所,NO,NO
11,保育所,可能性があるということが指摘されております。私どもといたしましては、一般の保育所で夜間保育を一般的に実施するような指導は、従来から行っておりません。しかし、,"['可能', '性', 'が', 'ある', 'と', 'いう', 'こと', 'が', '指摘', 'さ', 'れて', 'おり', 'ます', '。', '私', 'ども', 'と', 'いたし', 'まして', 'は', '、', '一般', 'の', '保育', '所', 'で', '夜間', '保育', 'を', '一般', '的に', '実施', 'する', 'ような', '指導', 'は', '、', '従来', 'から', '行って', 'おり', 'ませ', 'ん', '。', 'しかし', '、']","['保育', '所']",YES,保育所,NO,NO
12,保育所,通園施設等に週１〜２回母子通園し、子どもの小集団を経験した後、就学までの２〜３年を地域の保育所や幼稚園で過ごす子どもが、近年多くなっています。幼児は、直接体験を通し,"['通', '園', '施設', '等', 'に', '週', '１', '〜', '２', '回', '母子', '通', '園', 'し', '、', '子ども', 'の', '小', '集団', 'を', '経験', 'した', '後', '、', '就学', 'まで', 'の', '２', '〜', '３', '年', 'を', '地域', 'の', '保育', '所', 'や', '幼稚園', 'で', '過ごす', '子ども', 'が', '、', '近年', '多く', 'なって', 'い', 'ます', '。', '幼児', 'は', '、', '直接', '体験', 'を', '通し']","['保育', '所']",YES,保育所,NO,NO
13,保育所,と思う時代がやってきた。つまり、男女共同参画の時代になったのである。保育所は、児童福祉法の考え方にもとづき、保育条件の厳しい家族に優先的にサービスを提供している。,"['と', '思う', '時代', 'が', 'やってきた', '。', 'つまり', '、', '男女', '共同', '参画', 'の', '時代', 'に', 'なった', 'のである', '。', '保育', '所', 'は', '、', '児童', '福祉', '法', 'の', '考え', '方', 'に', 'もとづき', '、', '保育', '条件', 'の', '厳しい', '家族', 'に', '優先', '的に', 'サービス', 'を', '提供', 'して', 'いる', '。']","['保育', '所']",YES,保育所,NO,NO
14,保育所,併設したりしている。町の子どものほとんどが就学前を保育所で過ごし、小学校入学後も保育所に併設する放課後児童クラブなどで過ごしたり、また、家庭で子育てをしている母親も保育所に,"['併設', 'したり', 'して', 'いる', '。', '町', 'の', '子ども', 'の', 'ほとんど', 'が', '就学', '前', 'を', '保育', '所', 'で', '過ごし', '、', '小学校', '入学', '後', 'も', '保育', '所', 'に', '併設', 'する', '放課後', '児童クラブ', 'など', 'で', '過ごしたり', '、', 'また', '、', '家庭', 'で', '子育て', 'を', 'して', 'いる', '母親', 'も', '保育', '所', 'に']","['保育', '所']",YES,保育所,NO,NO
15,保育所,併設したりしている。町の子どものほとんどが就学前を保育所で過ごし、小学校入学後も保育所に併設する放課後児童クラブなどで過ごしたり、また、家庭で子育てをしている母親も保育所に,"['併設', 'したり', 'して', 'いる', '。', '町', 'の', '子ども', 'の', 'ほとんど', 'が', '就学', '前', 'を', '保育', '所', 'で', '過ごし', '、', '小学校', '入学', '後', 'も', '保育', '所', 'に', '併設', 'する', '放課後', '児童クラブ', 'など', 'で', '過ごしたり', '、', 'また', '、', '家庭', 'で', '子育て', 'を', 'して', 'いる', '母親', 'も', '保育', '所', 'に']","['保育', '所']",YES,保育所,NO,NO
16,保育所,併設したりしている。町の子どものほとんどが就学前を保育所で過ごし、小学校入学後も保育所に併設する放課後児童クラブなどで過ごしたり、また、家庭で子育てをしている母親も保育所に,"['併設', 'したり', 'して', 'いる', '。', '町', 'の', '子ども', 'の', 'ほとんど', 'が', '就学', '前', 'を', '保育', '所', 'で', '過ごし', '、', '小学校', '入学', '後', 'も', '保育', '所', 'に', '併設', 'する', '放課後', '児童クラブ', 'など', 'で', '過ごしたり', '、', 'また', '、', '家庭', 'で', '子育て', 'を', 'して', 'いる', '母親', 'も', '保育', '所', 'に']","['保育', '所']",YES,保育所,NO,NO
17,保育所,保育所から小学校へ行くのと、幼稚園から小学校へ行くのとは何がちがうのでしょうか,"['保育', '所', 'から', '小学校', 'へ', '行く', 'の', 'と', '、', '幼稚園', 'から', '小学校', 'へ', '行く', 'の', 'と', 'は', '何', 'が', 'ちがう', 'のでしょう', 'か']","['保育', '所']",YES,保育所,NO,NO
18,保育所,「保育」の中に含まれると考えてよいでしょう。さて，幼稚園であれ保育所であれ，その営みは「保育」といえます。では，「幼児教育」についてはどう,"['「', '保育', '」', 'の', '中', 'に', '含ま', 'れる', 'と', '考えて', 'よい', 'でしょう', '。', 'さて', '，', '幼稚園', 'であれ', '保育', '所', 'であれ', '，', 'その', '営み', 'は', '「', '保育', '」', 'と', 'いえ', 'ます', '。', 'では', '，', '「', '幼児', '教育', '」', 'に', 'ついて', 'は', 'どう']","['保育', '所']",YES,保育所,NO,NO
19,保育所,「共に働いてんだろ？」今、「保育所が足りない」「保育園の待機児童が多い」という声をよく聞く。ひとつの社会問題,"['「', '共に', '働いて', 'んだろ', '？', '」', '今', '、', '「', '保育', '所', 'が', '足り', 'ない', '」', '「', '保育', '園', 'の', '待機', '児童', 'が', '多い', '」', 'と', 'いう', '声', 'を', 'よく', '聞く', '。', 'ひと', 'つ', 'の', '社会', '問題']","['保育', '所']",YES,保育所,NO,NO
20,保育所,ないか？」と誘われました。正社員になると昼間の仕事で子供を保育所に預けないといけなくなります。子供はしばらくは家で見たかったので凄く,"['ないか', '？', '」', 'と', '誘わ', 'れ', 'ました', '。', '正', '社員', 'に', 'なる', 'と', '昼間', 'の', '仕事', 'で', '子供', 'を', '保育', '所', 'に', '預け', 'ない', 'と', 'いけなく', 'なり', 'ます', '。', '子供', 'は', 'しばらく', 'は', '家', 'で', '見', 'たかった', 'ので', '凄く']","['保育', '所']",YES,保育所,NO,NO
21,保育所,訪ねてもらいたくなさそうでした。私は当然親であり親権者でもありますので、保育所に子供たちを迎えに行くことは誰も止めることは出来ないと思っていました,"['訪ねて', 'もらい', 'たく', 'な', 'さ', 'そうでした', '。', '私', 'は', '当然', '親', 'であり', '親権', '者', 'で', 'も', 'あり', 'ます', 'ので', '、', '保育', '所', 'に', '子供', 'たち', 'を', '迎え', 'に', '行く', 'こと', 'は', '誰', 'も', '止める', 'こと', 'は', '出来', 'ない', 'と', '思って', 'い', 'ました']","['保育', '所']",YES,保育所,NO,NO
22,保育所,）４‐３電線共同溝工事（環状２号線）４‐４電線共同溝工事（末吉大通り）９保育所の整備十三横浜サイエンスフロンティア高校（仮称）の整備二十一豊岡通りの改修二十二鶴見西口歩道橋エレベーター設置三十二‐,"['）', '４', '‐', '３', '電線', '共同', '溝', '工事', '（', '環状', '２', '号', '線', '）', '４', '‐', '４', '電線', '共同', '溝', '工事', '（', '末吉', '大通り', '）', '９', '保育', '所', 'の', '整備', '十三', '横浜', 'サイエンスフロンティア', '高校', '（', '仮称', '）', 'の', '整備', '二十一', '豊岡', '通り', 'の', '改修', '二十二', '鶴見', '西口', '歩道', '橋', 'エレベーター', '設置', '三十二', '‐']","['保育', '所']",YES,保育所,NO,NO
23,保育所,種別があり、それぞれ履修方法が異なっています。一つは必修の「保育実習」であり、保育所での実習（２単位）と保育所以外の児童福祉施設や社会福祉施設での実習（２単位）、そして,"['種別', 'が', 'あり', '、', 'それぞれ', '履修', '方法', 'が', '異なって', 'い', 'ます', '。', '一', 'つ', 'は', '必修', 'の', '「', '保育', '実習', '」', 'であり', '、', '保育', '所', 'で', 'の', '実習', '（', '２', '単位', '）', 'と', '保育', '所', '以外', 'の', '児童', '福祉', '施設', 'や', '社会', '福祉', '施設', 'で', 'の', '実習', '（', '２', '単位', '）', '、', 'そして']","['保育', '所']",YES,保育所,NO,NO
24,保育所,種別があり、それぞれ履修方法が異なっています。一つは必修の「保育実習」であり、保育所での実習（２単位）と保育所以外の児童福祉施設や社会福祉施設での実習（２単位）、そして,"['種別', 'が', 'あり', '、', 'それぞれ', '履修', '方法', 'が', '異なって', 'い', 'ます', '。', '一', 'つ', 'は', '必修', 'の', '「', '保育', '実習', '」', 'であり', '、', '保育', '所', 'で', 'の', '実習', '（', '２', '単位', '）', 'と', '保育', '所', '以外', 'の', '児童', '福祉', '施設', 'や', '社会', '福祉', '施設', 'で', 'の', '実習', '（', '２', '単位', '）', '、', 'そして']","['保育', '所']",YES,保育所,NO,NO
25,保育所,大切な要素です。普段、子どもたちを見ていて、「こんなに小さいのに保育所に来て、かわいそう」と思っていらっしゃる先生がいたら、今日を境にきっぱり,"['大切な', '要素', 'です', '。', '普段', '、', '子ども', 'たち', 'を', '見て', 'いて', '、', '「', 'こんなに', '小さい', 'の', 'に', '保育', '所', 'に', '来て', '、', 'かわいそう', '」', 'と', '思って', 'いらっしゃる', '先生', 'が', 'いたら', '、', '今日', 'を', '境', 'に', 'きっぱり']","['保育', '所']",YES,保育所,NO,NO
26,保育所,で保育することができない世帯のお子さん申込書＝幼児課（市役所別館３階）、行政センター、支所、保育所で配布申込方法＝申込書に必要事項を書き、必要書類を添付して幼児課か行政センター、保育所,"['で', '保育', 'する', 'こと', 'が', 'でき', 'ない', '世帯', 'の', 'お', '子', 'さん', '申込', '書', '＝', '幼児', '課', '（', '市', '役所', '別館', '３', '階', '）', '、', '行政', 'センター', '、', '支所', '、', '保育', '所', 'で', '配布', '申込', '方法', '＝', '申込', '書', 'に', '必要', '事項', 'を', '書き', '、', '必要', '書類', 'を', '添付', 'して', '幼児', '課', 'か', '行政', 'センター', '、', '保育', '所']","['保育', '所']",YES,保育所,NO,NO
27,保育所,で保育することができない世帯のお子さん申込書＝幼児課（市役所別館３階）、行政センター、支所、保育所で配布申込方法＝申込書に必要事項を書き、必要書類を添付して幼児課か行政センター、保育所,"['で', '保育', 'する', 'こと', 'が', 'でき', 'ない', '世帯', 'の', 'お', '子', 'さん', '申込', '書', '＝', '幼児', '課', '（', '市', '役所', '別館', '３', '階', '）', '、', '行政', 'センター', '、', '支所', '、', '保育', '所', 'で', '配布', '申込', '方法', '＝', '申込', '書', 'に', '必要', '事項', 'を', '書き', '、', '必要', '書類', 'を', '添付', 'して', '幼児', '課', 'か', '行政', 'センター', '、', '保育', '所']","['保育', '所']",YES,保育所,NO,NO
28,保育所,４月１日現在で全体の三十一．九％を占めており，かなりの所得を得ている世帯の乳幼児も保育所に通所している現況にあると言える。ちなみに，五十年の全国勤労者世帯の平均実収入は約二百八十三万円である。,"['４', '月', '１', '日', '現在', 'で', '全体', 'の', '三十一', '．', '九', '％', 'を', '占めて', 'おり', '，', 'かなり', 'の', '所得', 'を', '得て', 'いる', '世帯', 'の', '乳幼児', 'も', '保育', '所', 'に', '通所', 'して', 'いる', '現況', 'に', 'ある', 'と', '言える', '。', 'ちなみに', '，', '五十', '年', 'の', '全国', '勤労', '者', '世帯', 'の', '平均', '実', '収入', 'は', '約', '二百八十三万', '円', 'である', '。']","['保育', '所']",YES,保育所,NO,NO
29,保育所,には，保護者に代わってその乳幼児を保育することを目的とする児童福祉施設である。保育所の整備状況は，児童福祉法制定当時の昭和二十三年３月には，施設数千四百七十六か所，入所児童数十三万五千五百三人であったが,"['に', 'は', '，', '保護', '者', 'に', '代わって', 'その', '乳幼児', 'を', '保育', 'する', 'こと', 'を', '目的', 'と', 'する', '児童', '福祉', '施設', 'である', '。', '保育', '所', 'の', '整備', '状況', 'は', '，', '児童', '福祉', '法', '制定', '当時', 'の', '昭和', '二十三', '年', '３', '月', 'に', 'は', '，', '施設', '数', '千四百七十六', 'か所', '，', '入所', '児童', '数', '十三万五千五百三', '人', 'であった', 'が']","['保育', '所']",YES,保育所,NO,NO
30,保育所,お手伝いをします。病後児保育室を利用できる子は…市内に住所があり、市内外の保育所（園）に通っている園児または、市外在住でも市内の保育所（園）に通っ,"['お', '手伝い', 'を', 'し', 'ます', '。', '病後', '児', '保育', '室', 'を', '利用', 'できる', '子', 'は', '…', '市', '内', 'に', '住所', 'が', 'あり', '、', '市', '内外', 'の', '保育', '所', '（', '園', '）', 'に', '通って', 'いる', '園児', 'または', '、', '市外', '在住', 'でも', '市', '内', 'の', '保育', '所', '（', '園', '）', 'に', '通っ']","['保育', '所']",YES,保育所,NO,NO
