,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,個室,で快適すぎるよりよかったかなと思っています。子どもと相談しながら次女もいずれ個室を欲しがると思いますが、家族の状況もまた変化するかもしれません。固定的な家具ではなく、,"['で', '快適', 'すぎる', 'より', 'よかった', 'かな', 'と', '思って', 'い', 'ます', '。', '子ども', 'と', '相談', 'し', 'ながら', '次女', 'も', 'いずれ', '個室', 'を', '欲し', 'がる', 'と', '思い', 'ます', 'が', '、', '家族', 'の', '状況', 'も', 'また', '変化', 'する', 'かも', 'しれ', 'ませ', 'ん', '。', '固定', '的な', '家具', 'で', 'は', 'なく', '、']",['個室'],NO,個室,NO,NO
1,個室,（ＬＯ二十二：三十）［休］不定休［予約］予約がベターＴ五十席・Ｃ十二席・個室１室（８〜十人）［禁煙席］昼全席禁煙・夜あり￥昼二千三百円・夜五千円［チャージ］,"['（', 'ＬＯ', '二十二', '：', '三十', '）', '［', '休', '］', '不', '定休', '［', '予約', '］', '予約', 'が', 'ベター', 'Ｔ', '五十', '席', '・', 'Ｃ', '十二', '席', '・', '個室', '１', '室', '（', '８', '〜', '十', '人', '）', '［', '禁煙', '席', '］', '昼', '全', '席', '禁煙', '・', '夜', 'あり', '￥', '昼', '二千三百', '円', '・', '夜', '五千', '円', '［', 'チャージ', '］']",['個室'],NO,個室,NO,NO
2,個室,のみ体験は出来ませんでしたので・・・・このスパは、ファースト利用だと個室での、全身マッサージなどいくつかのメニューが、ビジネスクラスだと、椅子コーナーでフットマッサージが受け,"['のみ', '体験', 'は', '出来', 'ませ', 'ん', 'でした', 'ので', '・・・・', 'こ', 'の', 'スパ', 'は', '、', 'ファースト', '利用', 'だ', 'と', '個室', 'で', 'の', '、', '全身', 'マッサージ', 'など', 'いく', 'つ', 'か', 'の', 'メニュー', 'が', '、', 'ビジネスクラス', 'だ', 'と', '、', '椅子', 'コーナー', 'で', 'フットマッサージ', 'が', '受け']",['個室'],NO,個室,NO,NO
3,個室,ながらスマートに一人住まいをしている青年とか、家にあっては子供たちがそれぞれ個室を持ち、高校生ともなれば親から自立するとか…。どうもそんな一面だけ,"['ながら', 'スマートに', '一', '人', '住まい', 'を', 'して', 'いる', '青年', 'と', 'か', '、', '家', 'に', 'あって', 'は', '子供', 'たち', 'が', 'それぞれ', '個室', 'を', '持ち', '、', '高校', '生', 'と', 'も', 'なれば', '親', 'から', '自立', 'する', 'と', 'か', '…', '。', 'どうも', 'そんな', '一面', 'だけ']",['個室'],NO,個室,NO,NO
4,個室,だったので中のテーブルに予約チェンジしてもらいました。混んでいて無理だと思った個室にも私の押しの強さでＯＫでしたー．ま、何でも言ってみるものです,"['だった', 'ので', '中', 'の', 'テーブル', 'に', '予約', 'チェンジ', 'して', 'もらい', 'ました', '。', '混んで', 'いて', '無理だ', 'と', '思った', '個室', 'に', 'も', '私', 'の', '押し', 'の', '強', 'さ', 'で', 'ＯＫ', 'でした', 'ー', '．', 'ま', '、', '何でも', '言って', 'みる', 'もの', 'です']",['個室'],NO,個室,NO,NO
5,個室,られたくないから、というのがその理由だった。鳥飼にとって、布美子が自ら個室に移ってくれたのは好都合だった。彼は、矢野布美子が犯した犯罪に関するノンフィクション,"['られ', 'たく', 'ない', 'から', '、', 'と', 'いう', 'の', 'が', 'その', '理由', 'だった', '。', '鳥飼', 'に', 'とって', '、', '布', '美子', 'が', '自ら', '個室', 'に', '移って', 'くれた', 'の', 'は', '好都合だった', '。', '彼', 'は', '、', '矢野', '布', '美子', 'が', '犯した', '犯罪', 'に', '関する', 'ノンフィクション']",['個室'],NO,個室,NO,NO
6,個室,。設計の依頼を受けた大野正博さんは、１階にひと続きのＬＤＫと和室、２階に個室と浴室を配置。オープンなＬＤＫと和室の南面には、室内と連続する広いデッキ,"['。', '設計', 'の', '依頼', 'を', '受けた', '大野', '正博', 'さん', 'は', '、', '１', '階', 'に', 'ひと', '続き', 'の', 'ＬＤＫ', 'と', '和室', '、', '２', '階', 'に', '個室', 'と', '浴室', 'を', '配置', '。', 'オープンな', 'ＬＤＫ', 'と', '和室', 'の', '南', '面', 'に', 'は', '、', '室', '内', 'と', '連続', 'する', '広い', 'デッキ']",['個室'],NO,個室,NO,NO
7,個室,に母の誕生日祝いの旨は伝えてあった。５人が使うには広すぎるくらいの個室に通された。大きなテーブルを囲んでビールで乾杯した。前菜は十四品目もあり,"['に', '母', 'の', '誕生日', '祝い', 'の', '旨', 'は', '伝えて', 'あった', '。', '５', '人', 'が', '使う', 'に', 'は', '広', 'すぎる', 'くらい', 'の', '個室', 'に', '通さ', 'れた', '。', '大きな', 'テーブル', 'を', '囲んで', 'ビール', 'で', '乾杯', 'した', '。', '前菜', 'は', '十四', '品目', 'も', 'あり']",['個室'],NO,個室,NO,NO
8,個室,望む眺望に、旅情がいっそう高まる。３名までの宿泊であれば、食事をお部屋か個室で頂ける５．６．相模湾で獲れた旬の山海の幸を使い、料理長が腕,"['望む', '眺望', 'に', '、', '旅情', 'が', 'いっそう', '高まる', '。', '３', '名', 'まで', 'の', '宿泊', 'であれば', '、', '食事', 'を', 'お', '部屋', 'か', '個室', 'で', '頂ける', '５', '．', '６', '．', '相', '模', '湾', 'で', '獲れた', '旬', 'の', '山', '海', 'の', '幸', 'を', '使い', '、', '料理', '長', 'が', '腕']",['個室'],NO,個室,NO,NO
9,個室,ＬＯ二十一：００）［休］なし［予約］予約がベターＴ十四席・Ｃ十六席・個室２室（４〜十人）［禁煙席］昼は全席禁煙・夜はカウンター席のみ禁煙￥昼六千円・夜,"['ＬＯ', '二十一', '：', '００', '）', '［', '休', '］', 'なし', '［', '予約', '］', '予約', 'が', 'ベター', 'Ｔ', '十四', '席', '・', 'Ｃ', '十六', '席', '・', '個室', '２', '室', '（', '４', '〜', '十', '人', '）', '［', '禁煙', '席', '］', '昼', 'は', '全', '席', '禁煙', '・', '夜', 'は', 'カウンター', '席', 'のみ', '禁煙', '￥', '昼', '六千', '円', '・', '夜']",['個室'],NO,個室,NO,NO
10,個室,現実である。全員の顔が見える集会所的なスペースを一つ作り、定時に会合したらあとは個室でなくとも各自のブースに散っていく方式をとるか、または共同研究室を設けて、業務,"['現実', 'である', '。', '全員', 'の', '顔', 'が', '見える', '集会', '所', '的な', 'スペース', 'を', '一', 'つ', '作り', '、', '定時', 'に', '会合', 'したら', 'あと', 'は', '個室', 'で', 'なく', 'と', 'も', '各自', 'の', 'ブース', 'に', '散って', 'いく', '方式', 'を', 'とる', 'か', '、', 'または', '共同', '研究', '室', 'を', '設けて', '、', '業務']",['個室'],NO,個室,NO,NO
