,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,側室,。将軍以外は男子禁制であったが、将軍の親戚に当たる御三家、御三卿、御台所、側室の親戚、老中など幕府の重臣、加えて、大奥付きの医者や僧侶は立ち入ることができ,"['。', '将軍', '以外', 'は', '男子', '禁制', 'であった', 'が', '、', '将軍', 'の', '親戚', 'に', '当たる', '御', '三', '家', '、', '御三卿', '、', '御', '台所', '、', '側室', 'の', '親戚', '、', '老中', 'など', '幕府', 'の', '重臣', '、', '加えて', '、', '大奥', '付き', 'の', '医者', 'や', '僧侶', 'は', '立ち入る', 'こと', 'が', 'でき']",['側室'],NO,側室,NO,NO
1,側室,た将軍家では、八百屋の娘でも又菓子屋の娘でも、美人であれば側室にし、その間にできた男子は、本妻に男子がない時は将軍に,"['た', '将軍家', 'で', 'は', '、', '八百屋', 'の', '娘', 'でも', '又', '菓子', '屋', 'の', '娘', 'でも', '、', '美人', 'であれば', '側室', 'に', 'し', '、', 'その', '間', 'に', 'できた', '男子', 'は', '、', '本', '妻', 'に', '男子', 'が', 'ない', '時', 'は', '将軍', 'に']",['側室'],NO,側室,NO,NO
2,側室,年齢は信長よりもうんと下で、永禄十三年（千五百七十年）三月頃に二十一歳で信長の側室となったといいますから、信長が四十九歳で死んだ時には三十三歳でした,"['年齢', 'は', '信', '長', 'より', 'も', 'うんと', '下', 'で', '、', '永禄', '十三', '年', '（', '千五百七十', '年', '）', '三', '月', '頃', 'に', '二十一', '歳', 'で', '信', '長', 'の', '側室', 'と', 'なった', 'と', 'いい', 'ます', 'から', '、', '信', '長', 'が', '四十九', '歳', 'で', '死んだ', '時', 'に', 'は', '三十三', '歳', 'でした']",['側室'],NO,側室,NO,NO
3,側室,清宮の女官は皇太后、太皇太后、皇后を別格として、その次のクラスが皇帝の側室の妃嬪。皇貴妃（一人）、貴妃（二人）、妃（四人）、嬪（,"['清', '宮', 'の', '女官', 'は', '皇太后', '、', '太', '皇太后', '、', '皇后', 'を', '別格', 'と', 'して', '、', 'その', '次の', 'クラス', 'が', '皇帝', 'の', '側室', 'の', '妃', '嬪', '。', '皇貴', '妃', '（', '一', '人', '）', '、', '貴', '妃', '（', '二', '人', '）', '、', '妃', '（', '四', '人', '）', '、', '嬪', '（']",['側室'],NO,側室,NO,NO
4,側室,長田忠致に裏切られ討たれてしまいます。金王丸は、都にいる常盤御前（義朝の側室）に義朝の最期を伝えるため京を目指したのです。全国各地の金王丸伝承金王道に,"['長田', '忠', '致', 'に', '裏切ら', 'れ', '討た', 'れて', 'しまい', 'ます', '。', '金', '王', '丸', 'は', '、', '都', 'に', 'いる', '常盤', '御前', '（', '義', '朝', 'の', '側室', '）', 'に', '義', '朝', 'の', '最期', 'を', '伝える', 'ため', '京', 'を', '目指した', 'のです', '。', '全国', '各地', 'の', '金', '王', '丸', '伝承', '金', '王道', 'に']",['側室'],NO,側室,NO,NO
5,側室,晴れて京入りを果たしている。宣賢殿は見事なるお手配じゃ。わが娘を将軍の側室にあげられたも、ここに通ずる一本の道であったもの。わが知らぬ女,"['晴れて', '京', '入り', 'を', '果たして', 'いる', '。', '宣', '賢', '殿', 'は', '見事なる', 'お', '手配', 'じゃ', '。', 'わが', '娘', 'を', '将軍', 'の', '側室', 'に', 'あげ', 'られた', 'も', '、', 'ここ', 'に', '通ずる', '一', '本', 'の', '道', 'であった', 'もの', '。', 'わ', 'が', '知ら', 'ぬ', '女']",['側室'],NO,側室,NO,NO
6,側室,水戸藩士谷重則の娘で、頼房の側室である。当時の例として、頼房には十人近い側室がいたが、生涯正室をもつことはなかった。谷重則の妻が藩邸に出仕しており,"['水戸', '藩士', '谷', '重則', 'の', '娘', 'で', '、', '頼', '房', 'の', '側室', 'である', '。', '当時', 'の', '例', 'と', 'して', '、', '頼', '房', 'に', 'は', '十', '人', '近い', '側室', 'が', 'いた', 'が', '、', '生涯', '正室', 'を', 'もつ', 'こと', 'は', 'なかった', '。', '谷', '重則', 'の', '妻', 'が', '藩', '邸', 'に', '出仕', 'して', 'おり']",['側室'],NO,側室,NO,NO
7,側室,水戸藩士谷重則の娘で、頼房の側室である。当時の例として、頼房には十人近い側室がいたが、生涯正室をもつことはなかった。谷重則の妻が藩邸に出仕しており,"['水戸', '藩士', '谷', '重則', 'の', '娘', 'で', '、', '頼', '房', 'の', '側室', 'である', '。', '当時', 'の', '例', 'と', 'して', '、', '頼', '房', 'に', 'は', '十', '人', '近い', '側室', 'が', 'いた', 'が', '、', '生涯', '正室', 'を', 'もつ', 'こと', 'は', 'なかった', '。', '谷', '重則', 'の', '妻', 'が', '藩', '邸', 'に', '出仕', 'して', 'おり']",['側室'],NO,側室,NO,NO
8,側室,覚悟は出来ています」お春の方のいう通りだった。将軍様のお手つきの側室はもちろん、富士局のような大奥を取り仕切る幹部達は、一生、大奥の外へは,"['覚悟', 'は', '出来て', 'い', 'ます', '」', 'お', '春', 'の', '方', 'の', 'いう', '通り', 'だった', '。', '将軍', '様', 'の', 'お', '手つき', 'の', '側室', 'は', 'もちろん', '、', '富士', '局', 'の', 'ような', '大奥', 'を', '取り仕切る', '幹部', '達', 'は', '、', '一生', '、', '大奥', 'の', '外', 'へ', 'は']",['側室'],NO,側室,NO,NO
9,側室,をさずかりました。けれども、おね様は、頼るお方はあなた様お一人でございますよ。側室もその秀勝殿も、この私ならば普通ではすみませぬ」秀吉は重い顔に,"['を', 'さずかり', 'ました', '。', 'けれども', '、', 'おね', '様', 'は', '、', '頼る', 'お方', 'は', 'あなた', '様', 'お', '一', '人', 'で', 'ございます', 'よ', '。', '側室', 'も', 'その', '秀', '勝', '殿', 'も', '、', 'この', '私', 'ならば', '普通で', 'は', 'すみ', 'ませ', 'ぬ', '」', '秀吉', 'は', '重い', '顔', 'に']",['側室'],NO,側室,NO,NO
