,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,図書館,昨日午前中から飯田市図書館と天龍峡に行ってきました。先ず図書館で今月の新聞を指サックを嵌めて読んでいたところ、民主党が去年の参議院選挙で勝っ,"['昨日', '午前', '中', 'から', '飯田', '市', '図書', '館', 'と', '天龍', '峡', 'に', '行って', 'き', 'ました', '。', '先ず', '図書', '館', 'で', '今月', 'の', '新聞', 'を', '指', 'サック', 'を', '嵌めて', '読んで', 'いた', 'ところ', '、', '民主党', 'が', '去年', 'の', '参議院', '選挙', 'で', '勝っ']","['図書', '館']",YES,図書館,NO,NO
1,図書館,昨日午前中から飯田市図書館と天龍峡に行ってきました。先ず図書館で今月の新聞を指サックを嵌めて読んでいたところ、民主党が去年の参議院選挙で勝っ,"['昨日', '午前', '中', 'から', '飯田', '市', '図書', '館', 'と', '天龍', '峡', 'に', '行って', 'き', 'ました', '。', '先ず', '図書', '館', 'で', '今月', 'の', '新聞', 'を', '指', 'サック', 'を', '嵌めて', '読んで', 'いた', 'ところ', '、', '民主党', 'が', '去年', 'の', '参議院', '選挙', 'で', '勝っ']","['図書', '館']",YES,図書館,NO,NO
2,図書館,？」と聞いた。Ｔは含み笑いを浮かべてそしてＮを東校舎となりの図書館に誘った。「どこから読んでいったらいいか、手伝ってやるよ、確か大江健三郎の,"['？', '」', 'と', '聞いた', '。', 'Ｔ', 'は', '含み', '笑い', 'を', '浮かべて', 'そして', 'Ｎ', 'を', '東', '校舎', 'と', 'なり', 'の', '図書', '館', 'に', '誘った', '。', '「', 'どこ', 'から', '読んで', 'いったら', 'いい', 'か', '、', '手伝って', 'やる', 'よ', '、', '確か', '大江', '健三', '郎', 'の']","['図書', '館']",YES,図書館,NO,NO
3,図書館,から、―みんなこんなものだろうな―差異を実感するのがむつかしかった。図書館をやめ、フリーの物書きとなり、広く、さまざまな世間を見るようになって,"['から', '、', '―', 'みんな', 'こんな', 'もの', 'だろう', 'な', '―', '差異', 'を', '実感', 'する', 'の', 'が', 'む', 'つ', 'か', 'しかった', '。', '図書', '館', 'を', 'やめ', '、', 'フリーの', '物書き', 'と', 'なり', '、', '広く', '、', 'さまざまな', '世間', 'を', '見る', 'ように', 'なって']","['図書', '館']",YES,図書館,NO,NO
4,図書館,下では、１回限りの軽微な違反行為を犯した場合でも、利用者は永久に図書館を利用できなくなるということもありうる。裁判所が最後に指摘したことは、利用禁止,"['下', 'で', 'は', '、', '１', '回', '限り', 'の', '軽微な', '違反', '行為', 'を', '犯した', '場合', 'でも', '、', '利用', '者', 'は', '永久', 'に', '図書', '館', 'を', '利用', 'でき', 'なく', 'なる', 'と', 'いう', 'こと', 'も', 'あり', 'うる', '。', '裁判', '所', 'が', '最後に', '指摘', 'した', 'こと', 'は', '、', '利用', '禁止']","['図書', '館']",YES,図書館,NO,NO
5,図書館,の延長（備考）１．文部省「社会教育調査報告書」による。２．（３）の図書館における二十二時以降の値は，資料の制約上，不明。（民間活力の活用）生活環境関連の,"['の', '延長', '（', '備考', '）', '１', '．', '文部', '省', '「', '社会', '教育', '調査', '報告', '書', '」', 'に', 'よる', '。', '２', '．', '（', '３', '）', 'の', '図書', '館', 'に', 'おける', '二十二', '時', '以降', 'の', '値', 'は', '，', '資料', 'の', '制約', '上', '，', '不明', '。', '（', '民間', '活力', 'の', '活用', '）', '生活', '環境', '関連', 'の']","['図書', '館']",YES,図書館,NO,NO
6,図書館,を借り出して、それを半分にちぎり二人で勉強し、無事に試験をパスした（図書館へは試験が済んでからそれを製本して返したという）。明治三十一年（,"['を', '借り出して', '、', 'それ', 'を', '半分', 'に', 'ちぎり', '二', '人', 'で', '勉強', 'し', '、', '無事に', '試験', 'を', 'パス', 'した', '（', '図書', '館', 'へ', 'は', '試験', 'が', '済んで', 'から', 'それ', 'を', '製本', 'して', '返した', 'と', 'いう', '）', '。', '明治', '三十一', '年', '（']","['図書', '館']",YES,図書館,NO,NO
7,図書館,ことに私たちは責任を負わなければならないのです。Ｑゲイについての本が集められている図書館などがありますか？大学の図書館を含めアメリカ中のいたる図書館でゲイやレズビアン関連,"['ことに', '私', 'たち', 'は', '責任', 'を', '負わ', 'なければ', 'なら', 'ない', 'のです', '。', 'Ｑ', 'ゲイ', 'に', 'ついて', 'の', '本', 'が', '集め', 'られて', 'いる', '図書', '館', 'など', 'が', 'あり', 'ます', 'か', '？', '大学', 'の', '図書', '館', 'を', '含め', 'アメリカ', '中', 'の', 'いたる', '図書', '館', 'で', 'ゲイ', 'や', 'レズビアン', '関連']","['図書', '館']",YES,図書館,NO,NO
8,図書館,ことに私たちは責任を負わなければならないのです。Ｑゲイについての本が集められている図書館などがありますか？大学の図書館を含めアメリカ中のいたる図書館でゲイやレズビアン関連,"['ことに', '私', 'たち', 'は', '責任', 'を', '負わ', 'なければ', 'なら', 'ない', 'のです', '。', 'Ｑ', 'ゲイ', 'に', 'ついて', 'の', '本', 'が', '集め', 'られて', 'いる', '図書', '館', 'など', 'が', 'あり', 'ます', 'か', '？', '大学', 'の', '図書', '館', 'を', '含め', 'アメリカ', '中', 'の', 'いたる', '図書', '館', 'で', 'ゲイ', 'や', 'レズビアン', '関連']","['図書', '館']",YES,図書館,NO,NO
9,図書館,ことに私たちは責任を負わなければならないのです。Ｑゲイについての本が集められている図書館などがありますか？大学の図書館を含めアメリカ中のいたる図書館でゲイやレズビアン関連,"['ことに', '私', 'たち', 'は', '責任', 'を', '負わ', 'なければ', 'なら', 'ない', 'のです', '。', 'Ｑ', 'ゲイ', 'に', 'ついて', 'の', '本', 'が', '集め', 'られて', 'いる', '図書', '館', 'など', 'が', 'あり', 'ます', 'か', '？', '大学', 'の', '図書', '館', 'を', '含め', 'アメリカ', '中', 'の', 'いたる', '図書', '館', 'で', 'ゲイ', 'や', 'レズビアン', '関連']","['図書', '館']",YES,図書館,NO,NO
