,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,場所,に一人でいるのが寂しくなったのだ。いずれにしても、報告書はどこか安全な場所にしまっておこうと思った。屋根裏部屋に金庫があるから、そこが一番いいかしら。,"['に', '一', '人', 'で', 'いる', 'の', 'が', '寂しく', 'なった', 'のだ', '。', 'いずれ', 'に', 'して', 'も', '、', '報告', '書', 'は', 'どこ', 'か', '安全な', '場所', 'に', 'しまって', 'おこう', 'と', '思った', '。', '屋根', '裏', '部屋', 'に', '金庫', 'が', 'ある', 'から', '、', 'そこ', 'が', '一', '番', 'いい', 'かしら', '。']",['場所'],NO,場所,NO,NO
1,場所,では、五十年に１回程度の大雨によって新城川がはんらんした場合に浸水の可能性がある場所を示しています。市ホームページでご覧になれますので、ふだんから危険個所や河川情報の入手先などを,"['では', '、', '五十', '年', 'に', '１', '回', '程度', 'の', '大雨', 'に', 'よって', '新', '城', '川', 'が', 'はんらん', 'した', '場合', 'に', '浸水', 'の', '可能', '性', 'が', 'ある', '場所', 'を', '示して', 'い', 'ます', '。', '市', 'ホームページ', 'で', 'ご覧', 'に', 'なれ', 'ます', 'ので', '、', 'ふだん', 'から', '危険', '個所', 'や', '河川', '情報', 'の', '入手', '先', 'など', 'を']",['場所'],NO,場所,NO,NO
2,場所,ご参加くださいますようご案内申し上げます。敬具記日時九月十日（土）午前十時より場所栃木県日光市日光カントリークラブ内容優勝者にはトロフィー授与以上●アドバイス１恒例の行事であって,"['ご', '参加', 'ください', 'ます', 'ようご', '案内', '申し上げ', 'ます', '。', '敬', '具', '記', '日時', '九', '月', '十', '日', '（', '土', '）', '午前', '十', '時', 'より', '場所', '栃木', '県', '日光', '市', '日光', 'カントリークラブ', '内容', '優勝', '者', 'に', 'は', 'トロフィー', '授与', '以上', '●', 'アドバイス', '１', '恒例', 'の', '行事', 'であって']",['場所'],NO,場所,NO,NO
3,場所,彼の誕生日にレストランへ行こうと思います。場所決めたり予約したり段取りするのは女性の役目なんでしょうか？場所決めも予約ももしか,"['彼', 'の', '誕生日', 'に', 'レストラン', 'へ', '行こう', 'と', '思い', 'ます', '。', '場所', '決めたり', '予約', 'したり', '段取り', 'する', 'の', 'は', '女性', 'の', '役目', 'な', 'んでしょう', 'か', '？', '場所', '決め', 'も', '予約', 'もも', 'しか']",['場所'],NO,場所,NO,NO
4,場所,彼の誕生日にレストランへ行こうと思います。場所決めたり予約したり段取りするのは女性の役目なんでしょうか？場所決めも予約ももしか,"['彼', 'の', '誕生日', 'に', 'レストラン', 'へ', '行こう', 'と', '思い', 'ます', '。', '場所', '決めたり', '予約', 'したり', '段取り', 'する', 'の', 'は', '女性', 'の', '役目', 'な', 'んでしょう', 'か', '？', '場所', '決め', 'も', '予約', 'もも', 'しか']",['場所'],NO,場所,NO,NO
5,場所,異常に上昇したわけでございますけれども、その原因について私どもは何回もいろいろな場所でお尋ねしております。それに対する企画庁長官のお返事は、大体において、石油の値上がり、,"['異常に', '上昇', 'した', 'わけで', 'ございます', 'けれども', '、', 'その', '原因', 'に', 'ついて', '私', 'ども', 'は', '何', '回', 'も', 'いろいろな', '場所', 'で', 'お', '尋ね', 'して', 'おり', 'ます', '。', 'それ', 'に', '対する', '企画', '庁', '長官', 'の', 'お', '返事', 'は', '、', '大体', 'に', 'おいて', '、', '石油', 'の', '値上がり', '、']",['場所'],NO,場所,NO,NO
6,場所,、公衆の面前、あるいは私的な場所と思われながら実はあらゆる人の目に触れる場所（車の中など）で行なわれる化粧直し（美的作業の私的な仕草）のような,"['、', '公衆', 'の', '面前', '、', 'あるいは', '私的な', '場所', 'と', '思わ', 'れ', 'ながら', '実は', 'あらゆる', '人', 'の', '目', 'に', '触れる', '場所', '（', '車', 'の', '中', 'など', '）', 'で', '行なわ', 'れる', '化粧', '直し', '（', '美的', '作業', 'の', '私的な', '仕草', '）', 'の', 'ような']",['場所'],NO,場所,NO,NO
7,場所,、公衆の面前、あるいは私的な場所と思われながら実はあらゆる人の目に触れる場所（車の中など）で行なわれる化粧直し（美的作業の私的な仕草）のような,"['、', '公衆', 'の', '面前', '、', 'あるいは', '私的な', '場所', 'と', '思わ', 'れ', 'ながら', '実は', 'あらゆる', '人', 'の', '目', 'に', '触れる', '場所', '（', '車', 'の', '中', 'など', '）', 'で', '行なわ', 'れる', '化粧', '直し', '（', '美的', '作業', 'の', '私的な', '仕草', '）', 'の', 'ような']",['場所'],NO,場所,NO,NO
8,場所,がひどいとか、毒性物質や爆発物を取り扱うとか、またあるいは、高い所や深い場所などで働くことを敬遠する。単調さにうんざりするような、単純で画一的な操作に,"['が', 'ひどい', 'と', 'か', '、', '毒性', '物質', 'や', '爆発', '物', 'を', '取り扱う', 'と', 'か', '、', 'また', 'あるいは', '、', '高い', '所', 'や', '深い', '場所', 'など', 'で', '働く', 'こと', 'を', '敬遠', 'する', '。', '単調', 'さ', 'に', 'うんざり', 'する', 'ような', '、', '単純で', '画一', '的な', '操作', 'に']",['場所'],NO,場所,NO,NO
9,場所,自分が生まれた場所が好きだということに、なぜもなにもない。他の場所を知らないわけではないが、その土地の本当の良さというものを、戸河内町でしか,"['自分', 'が', '生まれた', '場所', 'が', '好きだ', 'と', 'いう', 'こと', 'に', '、', 'なぜ', 'も', 'なにも', 'ない', '。', '他の', '場所', 'を', '知ら', 'ない', 'わけで', 'は', 'ない', 'が', '、', 'その', '土地', 'の', '本当の', '良', 'さ', 'と', 'いう', 'もの', 'を', '、', '戸', '河内', '町', 'で', 'しか']",['場所'],NO,場所,NO,NO
