,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,大使館,に、突如として現れる感あり）、巨大な敷地に巨大な洋館。一瞬、大使館か？アミューズメントパークか？と見間違うほどの立派な建物です。（高崎という場所からか,"['に', '、', '突如と', 'して', '現れる', '感', 'あり', '）', '、', '巨大な', '敷地', 'に', '巨大な', '洋館', '。', '一瞬', '、', '大使', '館', 'か', '？', 'アミューズメントパーク', 'か', '？', 'と', '見', '間違う', 'ほど', 'の', '立派な', '建物', 'です', '。', '（', '高崎', 'と', 'いう', '場所', 'から', 'か']","['大使', '館']",YES,大使館,NO,NO
1,大使館,あなたに話すことがなくても、私の方から話があるのです。ここは大使館の中ですし、あなたはこれから大事なインタヴューがある。インタヴューが終わるまで外,"['あなた', 'に', '話す', 'こと', 'が', 'なくて', 'も', '、', '私', 'の', '方', 'から', '話', 'が', 'ある', 'のです', '。', 'ここ', 'は', '大使', '館', 'の', '中', 'です', 'し', '、', 'あなた', 'は', 'これ', 'から', '大事な', 'インタヴュー', 'が', 'ある', '。', 'インタヴュー', 'が', '終わる', 'まで', '外']","['大使', '館']",YES,大使館,NO,NO
2,大使館,？もう一度話してもらえるかい？」ハリー・コンプトンは、ドワイト・スマイズが官僚みたいな―大使館の上のほうの階かＳＯ６の建物の五階の会合に出ているお偉方みたい,"['？', 'もう', '一', '度', '話して', 'もらえる', 'かい', '？', '」', 'ハリー', '・', 'コンプトン', 'は', '、', 'ドワイト', '・', 'スマイズ', 'が', '官僚', 'みたいな', '―', '大使', '館', 'の', '上', 'の', 'ほう', 'の', '階', 'か', 'ＳＯ', '６', 'の', '建物', 'の', '五', '階', 'の', '会合', 'に', '出て', 'いる', 'お', '偉', '方', 'みたい']","['大使', '館']",YES,大使館,NO,NO
3,大使館,た。毎月曜日の午後、新任大使の研修会が国務省ビルの八階会議室で開かれる。「大使館においては、命令系統は絶対に守らなければならない」研修会ではそう教えられる。「,"['た', '。', '毎月', '曜日', 'の', '午後', '、', '新任', '大使', 'の', '研修', '会', 'が', '国務', '省', 'ビル', 'の', '八', '階', '会議', '室', 'で', '開か', 'れる', '。', '「', '大使', '館', 'に', 'おいて', 'は', '、', '命令', '系統', 'は', '絶対', 'に', '守ら', 'なければ', 'なら', 'ない', '」', '研修', '会', 'で', 'は', 'そう', '教え', 'られる', '。', '「']","['大使', '館']",YES,大使館,NO,NO
4,大使館,が善処するよう要請、このため在仏日本大使館と日置の接触が始まる。同年十一月、日置は大使館に絵画十点の返還と月額四万フランの支給を求める書面を提出しているが、その中,"['が', '善処', 'する', 'よう', '要請', '、', 'この', 'ため', '在', '仏', '日本', '大使', '館', 'と', '日置', 'の', '接触', 'が', '始まる', '。', '同', '年', '十一', '月', '、', '日置', 'は', '大使', '館', 'に', '絵画', '十', '点', 'の', '返還', 'と', '月額', '四万', 'フラン', 'の', '支給', 'を', '求める', '書面', 'を', '提出', 'して', 'いる', 'が', '、', 'その', '中']","['大使', '館']",YES,大使館,NO,NO
5,大使館,が善処するよう要請、このため在仏日本大使館と日置の接触が始まる。同年十一月、日置は大使館に絵画十点の返還と月額四万フランの支給を求める書面を提出しているが、その中,"['が', '善処', 'する', 'よう', '要請', '、', 'この', 'ため', '在', '仏', '日本', '大使', '館', 'と', '日置', 'の', '接触', 'が', '始まる', '。', '同', '年', '十一', '月', '、', '日置', 'は', '大使', '館', 'に', '絵画', '十', '点', 'の', '返還', 'と', '月額', '四万', 'フラン', 'の', '支給', 'を', '求める', '書面', 'を', '提出', 'して', 'いる', 'が', '、', 'その', '中']","['大使', '館']",YES,大使館,NO,NO
6,大使館,理事とか部長とかいった要職は、所管の外務省の人です。小田大使館の話が出ましたけど、ＯＤＡを「要請」された国に赴任した大使は、,"['理事', 'と', 'か', '部長', 'と', 'か', 'いった', '要職', 'は', '、', '所管', 'の', '外務', '省', 'の', '人', 'です', '。', '小田', '大使', '館', 'の', '話', 'が', '出', 'ました', 'けど', '、', 'ＯＤＡ', 'を', '「', '要請', '」', 'さ', 'れた', '国', 'に', '赴任', 'した', '大使', 'は', '、']","['大使', '館']",YES,大使館,NO,NO
7,大使館,怒った。「コロニアをなめられてたまるか」とばかり、自ら起ってリオの大使館に乗り込み中西武官と対決することも辞さない勢いである。この報を受けてあわてた,"['怒った', '。', '「', 'コロニア', 'を', 'なめ', 'られて', 'たまる', 'か', '」', 'と', 'ばかり', '、', '自ら', '起って', 'リオ', 'の', '大使', '館', 'に', '乗り', '込み', '中西', '武', '官', 'と', '対決', 'する', 'こと', 'も', '辞さ', 'ない', '勢い', 'である', '。', 'この', '報', 'を', '受けて', 'あわてた']","['大使', '館']",YES,大使館,NO,NO
8,大使館,中国とも、他の社会主義国ともあまた国交をもっていて、そういう国の大使館もワシントンにはいくらでもあるというのに、中米の「小国」にはそう,"['中国', 'と', 'も', '、', '他の', '社会', '主義', '国', 'と', 'も', 'あまた', '国交', 'を', 'もって', 'いて', '、', 'そういう', '国', 'の', '大使', '館', 'も', 'ワシントン', 'に', 'は', 'いくら', 'で', 'も', 'ある', 'と', 'いう', 'のに', '、', '中米', 'の', '「', '小国', '」', 'に', 'は', 'そう']","['大使', '館']",YES,大使館,NO,NO
9,大使館,きた。霞ヶ関の軍令部から急行してきた、ホーキンズ大尉である。血走った目を大使館に向け、そして立ちすくんだ。大使館の瀟洒な建物の壁のあちこちに、銃撃戦,"['きた', '。', '霞ヶ関', 'の', '軍令部', 'から', '急行', 'して', 'きた', '、', 'ホーキンズ', '大尉', 'である', '。', '血走った', '目', 'を', '大使', '館', 'に', '向け', '、', 'そして', '立ちすくんだ', '。', '大使', '館', 'の', '瀟洒', 'な', '建物', 'の', '壁', 'の', 'あちこち', 'に', '、', '銃撃', '戦']","['大使', '館']",YES,大使館,NO,NO
