,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,寝所,。そこに魂の渇望を癒す何かがあった。ガイザスは立ちあがって、寝所に続く扉に向かった。「感謝の意を言葉だけでなく、体で示してもらい,"['。', 'そこ', 'に', '魂', 'の', '渇望', 'を', '癒す', '何', 'か', 'が', 'あった', '。', 'ガイザス', 'は', '立ち', 'あがって', '、', '寝', '所', 'に', '続く', '扉', 'に', '向かった', '。', '「', '感謝', 'の', '意', 'を', '言葉', 'だけ', 'で', 'なく', '、', '体', 'で', '示して', 'もらい']","['寝', '所']",YES,寝所,NO,NO
1,寝所,さすがに目も虚ろで、意識が朦朧としてきた。「張将軍、そろそろ寝所にお引き取りなされてはいかがでしょうか」と張達が張飛の耳元でささやいた。,"['さすが', 'に', '目', 'も', '虚ろ', 'で', '、', '意識', 'が', '朦朧と', 'して', 'きた', '。', '「', '張', '将軍', '、', 'そろそろ', '寝', '所', 'に', 'お', '引き取り', 'なされて', 'は', 'いかがでしょう', 'か', '」', 'と', '張', '達', 'が', '張飛', 'の', '耳元', 'で', 'ささやいた', '。']","['寝', '所']",YES,寝所,NO,NO
2,寝所,。軍中ではそういわれていた。各地で掠奪した女性が、張献忠の寝所におおぜいいたが、さすが王月生はそのうちでもとくに光っていたのであろう。,"['。', '軍', '中', 'で', 'は', 'そう', 'いわ', 'れて', 'いた', '。', '各地', 'で', '掠奪', 'した', '女性', 'が', '、', '張', '献', '忠', 'の', '寝', '所', 'に', 'おおぜい', 'いた', 'が', '、', 'さすが', '王', '月', '生', 'は', 'その', 'うち', 'でも', 'とくに', '光って', 'いた', 'のであろう', '。']","['寝', '所']",YES,寝所,NO,NO
3,寝所,までは覚えている。あとはまわってくる盃を受けつづけるうちに前後不覚になって、寝所に運ばれたことも覚えがなかった。夜中に咽喉がかわいて目がさめ,"['まで', 'は', '覚えて', 'いる', '。', 'あと', 'は', 'まわって', 'くる', '盃', 'を', '受け', 'つづける', 'うち', 'に', '前後不覚', 'に', 'なって', '、', '寝', '所', 'に', '運ば', 'れた', 'こと', 'も', '覚え', 'が', 'なかった', '。', '夜中', 'に', '咽喉', 'が', 'かわいて', '目', 'が', 'さめ']","['寝', '所']",YES,寝所,NO,NO
4,寝所,だのです。これは、姫が二十歳の時だったと言われております。寝所の周囲はプトレマイオス十三世の臣下達によって厳重に守られていたわけですから、見つかれば,"['だ', 'のです', '。', 'これ', 'は', '、', '姫', 'が', '二十', '歳', 'の', '時', 'だった', 'と', '言わ', 'れて', 'おり', 'ます', '。', '寝', '所', 'の', '周囲', 'は', 'プトレマイオス', '十三', '世', 'の', '臣下', '達', 'に', 'よって', '厳重に', '守ら', 'れて', 'いた', 'わけです', 'から', '、', '見つかれば']","['寝', '所']",YES,寝所,NO,NO
5,寝所,大坂城の北面をながれる平野川の岸辺に、山中長俊の小さな屋敷が在る。長俊は寝所へ入り、眠りに入った。屋敷内には何人かの奉公人もいるだろうが,"['大坂', '城', 'の', '北', '面', 'を', 'ながれる', '平野', '川', 'の', '岸辺', 'に', '、', '山中', '長', '俊', 'の', '小さな', '屋敷', 'が', '在る', '。', '長', '俊', 'は', '寝', '所', 'へ', '入り', '、', '眠り', 'に', '入った', '。', '屋敷', '内', 'に', 'は', '何', '人', 'か', 'の', '奉', '公人', 'も', 'いる', 'だろう', 'が']","['寝', '所']",YES,寝所,NO,NO
6,寝所,ぞ」そう言い、口元にわずかに笑みを浮かべるとランスは背を向けて寝所へと去っていった。「う、ううっ…やったー！」ひとり残され,"['ぞ', '」', 'そう', '言い', '、', '口元', 'に', 'わずかに', '笑み', 'を', '浮かべる', 'と', 'ランス', 'は', '背', 'を', '向けて', '寝', '所', 'へ', 'と', '去って', 'いった', '。', '「', 'う', '、', 'う', 'うっ', '…', 'やった', 'ー', '！', '」', 'ひと', 'り', '残さ', 'れ']","['寝', '所']",YES,寝所,NO,NO
7,寝所,た明智勢は、正門脇の厩に詰めていた番衆を切り伏せると、そのまま信長の寝所の奥書院へと向かった。この騒ぎに目を覚ました信長は、初めは下人たち,"['た', '明智', '勢', 'は', '、', '正門', '脇', 'の', '厩', 'に', '詰めて', 'いた', '番', '衆', 'を', '切り', '伏せる', 'と', '、', 'そのまま', '信', '長', 'の', '寝', '所', 'の', '奥', '書院', 'へ', 'と', '向かった', '。', 'この', '騒ぎ', 'に', '目', 'を', '覚ました', '信', '長', 'は', '、', '初め', 'は', '下', '人', 'たち']","['寝', '所']",YES,寝所,NO,NO
8,寝所,のか、どちらともわたしには判じかねた。「夜もふけました。寝所へ引きとって、もうおやすみ」やがて御台さまにうながされて、「では、さがら,"['の', 'か', '、', 'どちら', 'と', 'も', 'わたし', 'に', 'は', '判', 'じ', 'かねた', '。', '「', '夜', 'も', 'ふけ', 'ました', '。', '寝', '所', 'へ', '引きとって', '、', 'もう', 'お', 'やすみ', '」', 'やがて', '御', '台', 'さま', 'に', 'うながさ', 'れて', '、', '「', 'では', '、', 'さがら']","['寝', '所']",YES,寝所,NO,NO
9,寝所,「ええい、邪魔だ、そこ退け」突きはなしておいてとびこんだのは小百合の寝所、見るといやもう大変な狼藉だ。逃げおくれた一人の侍を、やらじ,"['「', 'ええ', 'い', '、', '邪魔だ', '、', 'そこ', '退け', '」', '突きはなして', 'おいて', 'とび', 'こんだ', 'の', 'は', '小百合', 'の', '寝', '所', '、', '見る', 'と', 'いや', 'もう', '大変な', '狼藉', 'だ', '。', '逃げ', 'おくれた', '一', '人', 'の', '侍', 'を', '、', 'やら', 'じ']","['寝', '所']",YES,寝所,NO,NO
10,寝所,を嘆いた言葉である。それが転じて現在の意味となった。【用例・本に寝所を乗っ取られ】「父親が学者だという友人の家に遊びに行ったら、,"['を', '嘆いた', '言葉', 'である', '。', 'それ', 'が', '転じて', '現在', 'の', '意味', 'と', 'なった', '。', '【', '用例', '・', '本', 'に', '寝', '所', 'を', '乗っ取ら', 'れ', '】', '「', '父親', 'が', '学者', 'だ', 'と', 'いう', '友人', 'の', '家', 'に', '遊び', 'に', '行ったら', '、']","['寝', '所']",YES,寝所,NO,NO
11,寝所,構造と内部の模様、調度の配置・室礼（舗設）などについて述べる。図四十二の斎宮邸の寝所は扉を閉じ、蔀を下している。寝殿の出入口は、四隅に設けられた,"['構造', 'と', '内部', 'の', '模様', '、', '調度', 'の', '配置', '・', '室', '礼', '（', '舗設', '）', 'など', 'に', 'ついて', '述べる', '。', '図', '四十二', 'の', '斎宮', '邸', 'の', '寝', '所', 'は', '扉', 'を', '閉じ', '、', '蔀', 'を', '下して', 'いる', '。', '寝殿', 'の', '出', '入口', 'は', '、', '四隅', 'に', '設け', 'られた']","['寝', '所']",YES,寝所,NO,NO
