,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,寺院,だ。アバウトなくくり方のようにも思うが、それはランサーン王国の歴史を伝える寺院や町並みというよりむしろ、この町に暮らす人々やその生活文化も含めたすべてが,"['だ', '。', 'アバウト', 'な', 'くくり', '方', 'の', 'ように', 'も', '思う', 'が', '、', 'それ', 'は', 'ランサーン', '王国', 'の', '歴史', 'を', '伝える', '寺院', 'や', '町並み', 'と', 'いう', 'より', 'むしろ', '、', 'この', '町', 'に', '暮らす', '人々', 'や', 'その', '生活', '文化', 'も', '含めた', 'すべて', 'が']",['寺院'],NO,寺院,NO,NO
1,寺院,がかついで干しにゆく雨のなかの塔の上に７四人の僧侶一人は寺院の由来と四人の来歴を書く一人は世界の花の女王達の生活を書く一人,"['が', 'かついで', '干し', 'に', 'ゆく', '雨', 'の', 'なか', 'の', '塔', 'の', '上', 'に', '７四', '人', 'の', '僧侶', '一', '人', 'は', '寺院', 'の', '由来', 'と', '四', '人', 'の', '来歴', 'を', '書く', '一', '人', 'は', '世界', 'の', '花', 'の', '女王', '達', 'の', '生活', 'を', '書く', '一', '人']",['寺院'],NO,寺院,NO,NO
2,寺院,を火葬してもらいます。埋火葬許可証はお骨と一緒に返還されますが、今度は霊園や寺院など、墓地の管理者に渡していよいよ埋葬（つまり納骨）となるわけです。,"['を', '火葬', 'して', 'もらい', 'ます', '。', '埋', '火葬', '許可', '証', 'は', 'お', '骨', 'と', '一緒に', '返還', 'さ', 'れ', 'ます', 'が', '、', '今度', 'は', '霊園', 'や', '寺院', 'など', '、', '墓地', 'の', '管理', '者', 'に', '渡して', 'いよいよ', '埋葬', '（', 'つまり', '納骨', '）', 'と', 'なる', 'わけです', '。']",['寺院'],NO,寺院,NO,NO
3,寺院,投げ出し、額を床に打ちつけていた。ラモチェはツグラカンに次ぐ二番目に重要な寺院である。言い伝えによると、この寺院もまたソンツェンガンポの二人の王妃のうちの一人が建立し,"['投げ出し', '、', '額', 'を', '床', 'に', '打ち', 'つけて', 'いた', '。', 'ラモチェ', 'は', 'ツグラカン', 'に', '次ぐ', '二', '番', '目', 'に', '重要な', '寺院', 'である', '。', '言い伝え', 'に', 'よる', 'と', '、', 'この', '寺院', 'も', 'また', 'ソンツェンガンポ', 'の', '二', '人', 'の', '王妃', 'の', 'うち', 'の', '一', '人', 'が', '建立', 'し']",['寺院'],NO,寺院,NO,NO
4,寺院,投げ出し、額を床に打ちつけていた。ラモチェはツグラカンに次ぐ二番目に重要な寺院である。言い伝えによると、この寺院もまたソンツェンガンポの二人の王妃のうちの一人が建立し,"['投げ出し', '、', '額', 'を', '床', 'に', '打ち', 'つけて', 'いた', '。', 'ラモチェ', 'は', 'ツグラカン', 'に', '次ぐ', '二', '番', '目', 'に', '重要な', '寺院', 'である', '。', '言い伝え', 'に', 'よる', 'と', '、', 'この', '寺院', 'も', 'また', 'ソンツェンガンポ', 'の', '二', '人', 'の', '王妃', 'の', 'うち', 'の', '一', '人', 'が', '建立', 'し']",['寺院'],NO,寺院,NO,NO
5,寺院,一口に寺院と言いますが、名前に院が付くだけで何とか寺となってないのを,"['一口', 'に', '寺院', 'と', '言い', 'ます', 'が', '、', '名前', 'に', '院', 'が', '付く', 'だけ', 'で', '何とか', '寺', 'と', 'なって', 'ない', 'の', 'を']",['寺院'],NO,寺院,NO,NO
6,寺院,。インドラ・チョークなんて、世界一素晴らしい四つ角だと思うんだけど」八重子は言った。寺院に囲まれたそのインドラ・チョークをわざわざ回って、タクシーでホテルに帰ったのが十二時,"['。', 'インドラ', '・', 'チョーク', 'なんて', '、', '世界', '一', '素晴らしい', '四つ角', 'だ', 'と', '思う', 'んだ', 'けど', '」', '八重子', 'は', '言った', '。', '寺院', 'に', '囲ま', 'れた', 'その', 'インドラ', '・', 'チョーク', 'を', 'わざわざ', '回って', '、', 'タクシー', 'で', 'ホテル', 'に', '帰った', 'の', 'が', '十二', '時']",['寺院'],NO,寺院,NO,NO
7,寺院,のために、地方寺院に宿坊を用意してくれた。小さいながらどこの村にも、寺院のあることを知った。人々に対し、仏教という見かけ上の大いなる誇示を狙っての,"['の', 'ため', 'に', '、', '地方', '寺院', 'に', '宿坊', 'を', '用意', 'して', 'くれた', '。', '小さい', 'ながら', 'どこ', 'の', '村', 'に', 'も', '、', '寺院', 'の', 'ある', 'こと', 'を', '知った', '。', '人々', 'に', '対し', '、', '仏教', 'と', 'いう', '見かけ', '上', 'の', '大いなる', '誇示', 'を', '狙って', 'の']",['寺院'],NO,寺院,NO,NO
8,寺院,のために、地方寺院に宿坊を用意してくれた。小さいながらどこの村にも、寺院のあることを知った。人々に対し、仏教という見かけ上の大いなる誇示を狙っての,"['の', 'ため', 'に', '、', '地方', '寺院', 'に', '宿坊', 'を', '用意', 'して', 'くれた', '。', '小さい', 'ながら', 'どこ', 'の', '村', 'に', 'も', '、', '寺院', 'の', 'ある', 'こと', 'を', '知った', '。', '人々', 'に', '対し', '、', '仏教', 'と', 'いう', '見かけ', '上', 'の', '大いなる', '誇示', 'を', '狙って', 'の']",['寺院'],NO,寺院,NO,NO
9,寺院,に見られる見解との矛盾として指摘できるものである。当時一般に、死者を扱う寺院に対する庶民の考え方から僧侶の姿は死を連想させ、凶事の前兆とみなされ,"['に', '見', 'られる', '見解', 'と', 'の', '矛盾', 'と', 'して', '指摘', 'できる', 'もの', 'である', '。', '当時', '一般に', '、', '死者', 'を', '扱う', '寺院', 'に', '対する', '庶民', 'の', '考え', '方', 'から', '僧侶', 'の', '姿', 'は', '死', 'を', '連想', 'さ', 'せ', '、', '凶', '事', 'の', '前兆', 'と', 'みなさ', 'れ']",['寺院'],NO,寺院,NO,NO
