,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,小説家,。輝やきがふいに消える。ひからびてよどむ。砂埃りの道におちている魚の目、と小説家が思う。学生はのろのろとたずねた。「自殺せんですか？」,"['。', '輝', 'やき', 'が', 'ふいに', '消える', '。', 'ひからびて', 'よどむ', '。', '砂埃', 'り', 'の', '道', 'に', 'おちて', 'いる', '魚', 'の', '目', '、', 'と', '小説', '家', 'が', '思う', '。', '学生', 'は', 'のろのろ', 'と', 'たずねた', '。', '「', '自殺', 'せ', 'んです', 'か', '？', '」']","['小説', '家']",YES,小説家,NO,NO
1,小説家,に違いない。それぞれの気持ちを上手く書き分けることが、曠吉にはできるだろうか。小説家になる自信を、曠吉は失くしかけていた。「お兄ちゃん、ごめんなさい。あたしはお兄ちゃん,"['に', '違いない', '。', 'それぞれ', 'の', '気持ち', 'を', '上手く', '書き分ける', 'こと', 'が', '、', '曠吉', 'に', 'は', 'できる', 'だろう', 'か', '。', '小説', '家', 'に', 'なる', '自信', 'を', '、', '曠吉', 'は', '失くし', 'かけて', 'いた', '。', '「', 'お', '兄ちゃん', '、', 'ごめんなさい', '。', 'あたし', 'は', 'お', '兄ちゃん']","['小説', '家']",YES,小説家,NO,NO
2,小説家,卒業した、いわば大学から逃げ出すということをした人間です。しかし、そういう小説家にしましても、けっして大仰なことをいいたいのではありませんが、,"['卒業', 'した', '、', 'いわば', '大学', 'から', '逃げ', '出す', 'と', 'いう', 'こと', 'を', 'した', '人間', 'です', '。', 'しかし', '、', 'そういう', '小説', '家', 'に', 'し', 'まして', 'も', '、', 'けっして', '大', '仰', 'な', 'こと', 'を', 'いい', 'たい', 'ので', 'は', 'あり', 'ませ', 'ん', 'が', '、']","['小説', '家']",YES,小説家,NO,NO
3,小説家,。映画を撮ることと比べると小説を書くことは（作業として）簡単すぎるので、小説家の書いたエッセイで作業としての創作の過程が浮かびあがってくることはまずない。映画監督,"['。', '映画', 'を', '撮る', 'こと', 'と', '比べる', 'と', '小説', 'を', '書く', 'こと', 'は', '（', '作業', 'と', 'して', '）', '簡単', 'すぎる', 'ので', '、', '小説', '家', 'の', '書いた', 'エッセイ', 'で', '作業', 'と', 'して', 'の', '創作', 'の', '過程', 'が', '浮かび', 'あがって', 'くる', 'こと', 'は', 'まず', 'ない', '。', '映画', '監督']","['小説', '家']",YES,小説家,NO,NO
4,小説家,も、夜の仕事はひどいありさまだ。夜は書かないことに決めている。小説家という職業的自由と引きかえに、経済的不自由にもたえられなければならない。いまどき、だれが小説など読む,"['も', '、', '夜', 'の', '仕事', 'は', 'ひどい', 'ありさま', 'だ', '。', '夜', 'は', '書か', 'ない', 'こと', 'に', '決めて', 'いる', '。', '小説', '家', 'と', 'いう', '職業', '的', '自由', 'と', '引きかえ', 'に', '、', '経済', '的', '不自由に', 'も', 'たえ', 'られ', 'なければ', 'なら', 'ない', '。', 'いまどき', '、', 'だれ', 'が', '小説', 'など', '読む']","['小説', '家']",YES,小説家,NO,NO
5,小説家,楯の会とか割腹自殺とかそれも確かに重要な話だけれど、三島由紀夫は小説家です。まずは作品をお読みになられてはいかが？最近、新潮文庫から入門書も,"['楯', 'の', '会', 'と', 'か', '割腹', '自殺', 'と', 'か', 'それ', 'も', '確かに', '重要な', '話', 'だ', 'けれど', '、', '三島', '由紀夫', 'は', '小説', '家', 'です', '。', 'まずは', '作品', 'を', 'お', '読み', 'に', 'なら', 'れて', 'は', 'いかが', '？', '最近', '、', '新', '潮', '文庫', 'から', '入門', '書', 'も']","['小説', '家']",YES,小説家,NO,NO
6,小説家,困る。流行歌手とかタレントさん、あるいはスポーツ選手だったら十代、せいぜい二十代ぐらいまでだろうが、小説家や画家の世界では三十代、四十代になってもまだまだフンドシかつぎという人が,"['困る', '。', '流行', '歌手', 'と', 'か', 'タレント', 'さん', '、', 'あるいは', 'スポーツ', '選手', 'だったら', '十', '代', '、', 'せいぜい', '二十', '代', 'ぐらい', 'まで', 'だろう', 'が', '、', '小説', '家', 'や', '画家', 'の', '世界', 'で', 'は', '三十', '代', '、', '四十', '代', 'に', 'なって', 'も', 'まだまだ', 'フンドシ', 'かつ', 'ぎ', 'と', 'いう', '人', 'が']","['小説', '家']",YES,小説家,NO,NO
7,小説家,幻想的物語の骨格が、おそらくもう、できあがっているのだろう。いかにも本当らしい噓を書くのが小説家とすれば、本当にこんなことがあったのかと思わせる事実を書くの,"['幻想', '的', '物語', 'の', '骨格', 'が', '、', 'おそらく', 'もう', '、', 'でき', 'あがって', 'いる', 'のだろう', '。', 'いかにも', '本当', 'らしい', '噓', 'を', '書く', 'の', 'が', '小説', '家', 'と', 'すれば', '、', '本当に', 'こんな', 'こと', 'が', 'あった', 'の', 'か', 'と', '思わ', 'せる', '事実', 'を', '書く', 'の']","['小説', '家']",YES,小説家,NO,NO
8,小説家,ことだ。高度経済成長期は経済が発展したから、芸術家も食えるようになったんだ。小説家とか、芸能人とか。いかに、消費者が大事か。お客さん第一だ。すべての,"['こと', 'だ', '。', '高度', '経済', '成長', '期', 'は', '経済', 'が', '発展', 'した', 'から', '、', '芸術', '家', 'も', '食える', 'ように', 'なった', 'んだ', '。', '小説', '家', 'と', 'か', '、', '芸能', '人', 'と', 'か', '。', 'いかに', '、', '消費', '者', 'が', '大事', 'か', '。', 'お', '客', 'さん', '第', '一', 'だ', '。', 'すべて', 'の']","['小説', '家']",YES,小説家,NO,NO
9,小説家,だとか、そういうモチベーションでゴルフを嗜んだにすぎなかったわけでしょう。小説家ではありませんが、あの小津安二郎の『全日記』をめくっていくと、季節によっては毎日のよう,"['だ', 'と', 'か', '、', 'そういう', 'モチベーション', 'で', 'ゴルフ', 'を', '嗜んだ', 'に', 'すぎ', 'なかった', 'わけでしょう', '。', '小説', '家', 'で', 'は', 'あり', 'ませ', 'ん', 'が', '、', 'あの', '小津安二郎', 'の', '『', '全', '日記', '』', 'を', 'めくって', 'いく', 'と', '、', '季節', 'に', 'よって', 'は', '毎日', 'の', 'よう']","['小説', '家']",YES,小説家,NO,NO
10,小説家,も、磯野家の誰かが伊佐坂家で電話を借りるシーンは１度も出てこない。小説家といえば、原稿の受注などで普通の勤め人よりも電話を使う頻度が高い,"['も', '、', '磯野', '家', 'の', '誰', 'か', 'が', '伊佐', '坂', '家', 'で', '電話', 'を', '借りる', 'シーン', 'は', '１', '度', 'も', '出て', 'こ', 'ない', '。', '小説', '家', 'と', 'いえば', '、', '原稿', 'の', '受注', 'など', 'で', '普通の', '勤め人', 'より', 'も', '電話', 'を', '使う', '頻度', 'が', '高い']","['小説', '家']",YES,小説家,NO,NO
11,小説家,喪失感を文章にしているだけで「こいつらはそれでもいいけれども、これから先、小説家になろうとしているおれは…」というふうな思い詰め方をした。だから「,"['喪失', '感', 'を', '文章', 'に', 'して', 'いる', 'だけ', 'で', '「', 'こい', 'つら', 'は', 'それ', 'でも', 'いい', 'けれども', '、', 'これ', 'から', '先', '、', '小説', '家', 'に', 'なろう', 'と', 'して', 'いる', 'おれ', 'は', '…', '」', 'と', 'いう', 'ふうな', '思い', '詰め', '方', 'を', 'した', '。', 'だから', '「']","['小説', '家']",YES,小説家,NO,NO
12,小説家,それでも、田中小実昌はぼくにとって特別な小説家だった。ぼくは七十九年の大学五年のときにはじめて百枚の小説を書いて、,"['それ', 'でも', '、', '田中', '小', '実', '昌', 'は', 'ぼく', 'に', 'とって', '特別な', '小説', '家', 'だった', '。', 'ぼく', 'は', '七十九', '年', 'の', '大学', '五', '年', 'の', 'とき', 'に', 'はじめて', '百', '枚', 'の', '小説', 'を', '書いて', '、']","['小説', '家']",YES,小説家,NO,NO
13,小説家,思った。幸いなことに、おじいさんが阿川さんの本の愛読者だったので、小説家は一夜、家を訪ねてきた。阿川さんも、きっとおじいさんを尊敬していた,"['思った', '。', '幸いな', 'こと', 'に', '、', 'お', 'じいさん', 'が', '阿川', 'さん', 'の', '本', 'の', '愛読', '者', 'だった', 'ので', '、', '小説', '家', 'は', '一夜', '、', '家', 'を', '訪ねて', 'きた', '。', '阿川', 'さん', 'も', '、', 'きっと', 'お', 'じいさん', 'を', '尊敬', 'して', 'いた']","['小説', '家']",YES,小説家,NO,NO
14,小説家,セザンヌの親友であったゾラは、パリで革新派の絵画の世界に関心を抱き、小説家として独り立ちする以前に、美術批評家としてデビューしている。千八百六十年代後半から、保守的なアカデミズムを批判し、マネ,"['セザンヌ', 'の', '親友', 'であった', 'ゾラ', 'は', '、', 'パリ', 'で', '革新', '派', 'の', '絵画', 'の', '世界', 'に', '関心', 'を', '抱き', '、', '小説', '家', 'と', 'して', '独り', '立ち', 'する', '以前', 'に', '、', '美術', '批評', '家', 'と', 'して', 'デビュー', 'して', 'いる', '。', '千八百六十', '年', '代', '後半', 'から', '、', '保守', '的な', 'アカデミズム', 'を', '批判', 'し', '、', 'マネ']","['小説', '家']",YES,小説家,NO,NO
15,小説家,島尾敏雄、ドストエフスキー、ランボー、カミュ、サルトル、フォークナー、ドス・パソス、ラディゲ、カフカ…。小説家になりたい学生の本棚である。吉行淳之介がないのが、僕としては寂しかった。,"['島', '尾', '敏雄', '、', 'ドストエフスキー', '、', 'ランボー', '、', 'カミュ', '、', 'サルトル', '、', 'フォークナー', '、', 'ドス', '・', 'パソス', '、', 'ラディゲ', '、', 'カフカ', '…', '。', '小説', '家', 'に', 'なり', 'たい', '学生', 'の', '本棚', 'である', '。', '吉', '行', '淳之介', 'が', 'ない', 'の', 'が', '、', '僕', 'と', 'して', 'は', '寂しかった', '。']","['小説', '家']",YES,小説家,NO,NO
16,小説家,たのだよ。今君を思い出した瞬間、それに気がついた。その使命によって小説家になったのだからこそ、この際、中山みきのことを―特に、その神が,"['た', 'のだ', 'よ', '。', '今', '君', 'を', '思い出した', '瞬間', '、', 'それ', 'に', '気', 'が', 'ついた', '。', 'その', '使命', 'に', 'よって', '小説', '家', 'に', 'なった', 'のだ', 'から', 'こそ', '、', 'この際', '、', '中山', 'みき', 'の', 'こと', 'を', '―', '特に', '、', 'その', '神', 'が']","['小説', '家']",YES,小説家,NO,NO
17,小説家,真野さよ（まのさよ）千九百十三（大正二）〜詩人、小説家。高知県に生まれる。日本女子大学国文学部中退。著書に詩集『葡萄祭』、長編小説『枯草の手袋』,"['真野', 'さ', 'よ', '（', 'ま', 'の', 'さ', 'よ', '）', '千九百十三', '（', '大正', '二', '）', '〜', '詩人', '、', '小説', '家', '。', '高知', '県', 'に', '生まれる', '。', '日本', '女子', '大学', '国文', '学部', '中退', '。', '著書', 'に', '詩集', '『', '葡萄', '祭', '』', '、', '長編', '小説', '『', '枯草', 'の', '手袋', '』']","['小説', '家']",YES,小説家,NO,NO
18,小説家,加害者でありながら被害者。このオランダ人の少年（後に小説家となる）と、日本人の小説家とは、インドネシアという場所を共通の舞台として、（植民地、占領地について）加害者―,"['加害', '者', 'で', 'あり', 'ながら', '被害', '者', '。', 'この', 'オランダ', '人', 'の', '少年', '（', '後', 'に', '小説', '家', 'と', 'なる', '）', 'と', '、', '日本', '人', 'の', '小説', '家', 'と', 'は', '、', 'インドネシア', 'と', 'いう', '場所', 'を', '共通の', '舞台', 'と', 'して', '、', '（', '植民', '地', '、', '占領', '地', 'に', 'ついて', '）', '加害', '者', '―']","['小説', '家']",YES,小説家,NO,NO
19,小説家,加害者でありながら被害者。このオランダ人の少年（後に小説家となる）と、日本人の小説家とは、インドネシアという場所を共通の舞台として、（植民地、占領地について）加害者―,"['加害', '者', 'で', 'あり', 'ながら', '被害', '者', '。', 'この', 'オランダ', '人', 'の', '少年', '（', '後', 'に', '小説', '家', 'と', 'なる', '）', 'と', '、', '日本', '人', 'の', '小説', '家', 'と', 'は', '、', 'インドネシア', 'と', 'いう', '場所', 'を', '共通の', '舞台', 'と', 'して', '、', '（', '植民', '地', '、', '占領', '地', 'に', 'ついて', '）', '加害', '者', '―']","['小説', '家']",YES,小説家,NO,NO
