,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,彫師,では表現できなかった題材をとりあげることが可能になったのである。その他、彫師、摺師の卓越した技術と力量を見逃がしてはならない。絵双六の場合には、どのよう,"['では', '表現', 'でき', 'なかった', '題材', 'を', 'とり', 'あげる', 'こと', 'が', '可能に', 'なった', 'のである', '。', 'その他', '、', '彫師', '、', '摺', '師', 'の', '卓越', 'した', '技術', 'と', '力量', 'を', '見', '逃がして', 'は', 'なら', 'ない', '。', '絵', '双六', 'の', '場合', 'に', 'は', '、', 'どの', 'よう']",['彫師'],NO,彫師,NO,NO
1,彫師,、先の、あれ、亀頭にも彫れるぐらいだから…」先輩もおれも彫師の説明にただ頷くばかりだった。やがて、御開帳となった。ぱらりと開げ,"['、', '先', 'の', '、', 'あれ', '、', '亀', '頭', 'に', 'も', '彫', 'れる', 'ぐらい', 'だ', 'から', '…', '」', '先輩', 'も', 'おれ', 'も', '彫師', 'の', '説明', 'に', 'ただ', '頷く', 'ばかりだった', '。', 'やがて', '、', '御', '開帳', 'と', 'なった', '。', 'ぱら', 'り', 'と', '開', 'げ']",['彫師'],NO,彫師,NO,NO
2,彫師,は仏教にとりいれられて不動明王と名をかえたそうだ」鉄男は講釈好きの彫師、彫清を思いかえした。彫清は神奈川県登戸に住む腕のいい彫師で、鉄男が,"['は', '仏教', 'に', 'とりいれ', 'られて', '不動', '明', '王', 'と', '名', 'を', 'かえた', 'そうだ', '」', '鉄男', 'は', '講釈', '好き', 'の', '彫師', '、', '彫', '清', 'を', '思い', 'かえした', '。', '彫', '清', 'は', '神奈川', '県', '登', '戸', 'に', '住む', '腕', 'の', 'いい', '彫師', 'で', '、', '鉄男', 'が']",['彫師'],NO,彫師,NO,NO
3,彫師,は仏教にとりいれられて不動明王と名をかえたそうだ」鉄男は講釈好きの彫師、彫清を思いかえした。彫清は神奈川県登戸に住む腕のいい彫師で、鉄男が,"['は', '仏教', 'に', 'とりいれ', 'られて', '不動', '明', '王', 'と', '名', 'を', 'かえた', 'そうだ', '」', '鉄男', 'は', '講釈', '好き', 'の', '彫師', '、', '彫', '清', 'を', '思い', 'かえした', '。', '彫', '清', 'は', '神奈川', '県', '登', '戸', 'に', '住む', '腕', 'の', 'いい', '彫師', 'で', '、', '鉄男', 'が']",['彫師'],NO,彫師,NO,NO
4,彫師,「よし、これだ」当時まだ三十三。客気にまかせて寅吉は吉原弁財天近くに住む彫師を訪ねた。「やめたほうがいいよ」その頃もう五十は越し,"['「', 'よし', '、', 'これ', 'だ', '」', '当時', 'まだ', '三十三', '。', '客', '気', 'に', 'まかせて', '寅', '吉', 'は', '吉原', '弁財天', '近く', 'に', '住む', '彫師', 'を', '訪ねた', '。', '「', 'やめた', 'ほう', 'が', 'いい', 'よ', '」', 'その', '頃', 'もう', '五十', 'は', '越し']",['彫師'],NO,彫師,NO,NO
5,彫師,のおのぶという平凡な女と、よりを戻して女の子までつくり、彼は腕利きの彫師であるまえに、子どもにからまれるおやじにもなりきっていた。ときは天保四,"['の', 'おの', 'ぶ', 'と', 'いう', '平凡な', '女', 'と', '、', 'より', 'を', '戻して', '女の子', 'まで', 'つくり', '、', '彼', 'は', '腕利き', 'の', '彫師', 'である', 'まえ', 'に', '、', '子ども', 'に', 'からま', 'れる', 'おやじ', 'に', 'も', 'なりきって', 'いた', '。', 'とき', 'は', '天', '保', '四']",['彫師'],NO,彫師,NO,NO
6,彫師,が女になにかいった。すると、女はやおら腰を立てた。彫師が立てた女の股間をのぞき、寅吉も身を乗り出したが、寅吉の目,"['が', '女', 'に', 'なに', 'か', 'いった', '。', 'すると', '、', '女', 'は', 'やおら', '腰', 'を', '立てた', '。', '彫師', 'が', '立てた', '女', 'の', '股', '間', 'を', 'のぞき', '、', '寅', '吉', 'も', '身', 'を', '乗り出した', 'が', '、', '寅', '吉', 'の', '目']",['彫師'],NO,彫師,NO,NO
7,彫師,とした細面のお姐さんがおれと先輩の前に現われた。この時二人は彫師の奥さんからすすめられた昆布茶を飲んでいた。部屋の中には電気ストーブの温気,"['と', 'した', '細', '面', 'の', 'お', '姐さん', 'が', 'おれ', 'と', '先輩', 'の', '前', 'に', '現われた', '。', 'この', '時', '二', '人', 'は', '彫師', 'の', '奥さん', 'から', 'すすめ', 'られた', '昆布', '茶', 'を', '飲んで', 'いた', '。', '部屋', 'の', '中', 'に', 'は', '電気', 'ストーブ', 'の', '温', '気']",['彫師'],NO,彫師,NO,NO
8,彫師,人の表情がわかりました。下絵を描いた絵師、それを版木に彫った彫師、いずれも一人一人の表情をないがしろにはしていません。左隅、小屋掛け芝居の,"['人', 'の', '表情', 'が', 'わかり', 'ました', '。', '下絵', 'を', '描いた', '絵師', '、', 'それ', 'を', '版木', 'に', '彫った', '彫師', '、', 'いずれ', 'も', '一人一人', 'の', '表情', 'を', 'ないがしろに', 'は', 'して', 'い', 'ませ', 'ん', '。', '左', '隅', '、', '小屋掛け', '芝居', 'の']",['彫師'],NO,彫師,NO,NO
9,彫師,にぎりの部分と針の取り付け部分をネジ式に切り離して、どちらも熱処理できるようにしている彫師もいる（二代目彫長）。刺青用の針鋼鉄の針は非常に優れている。弾力,"['にぎり', 'の', '部分', 'と', '針', 'の', '取り付け', '部分', 'を', 'ネジ', '式', 'に', '切り離して', '、', 'どちら', 'も', '熱処理', 'できる', 'ように', 'して', 'いる', '彫師', 'も', 'いる', '（', '二', '代', '目', '彫', '長', '）', '。', '刺青', '用', 'の', '針', '鋼鉄', 'の', '針', 'は', '非常に', '優れて', 'いる', '。', '弾力']",['彫師'],NO,彫師,NO,NO
