,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,役場,のアカマツを守る薬剤樹幹注入剤の費用にあてさせていただいています。募金箱は村内５箇所（役場、村民センター、大芝荘、大芝の湯、ＪＡ上伊那南箕輪支所）に設置しています。なお、多額の,"['の', 'アカマツ', 'を', '守る', '薬剤', '樹', '幹', '注入', '剤', 'の', '費用', 'に', 'あて', 'させて', 'いただいて', 'い', 'ます', '。', '募金', '箱', 'は', '村', '内', '５', '箇所', '（', '役場', '、', '村民', 'センター', '、', '大', '芝', '荘', '、', '大', '芝', 'の', '湯', '、', 'ＪＡ', '上伊那', '南箕輪', '支所', '）', 'に', '設置', 'して', 'い', 'ます', '。', 'なお', '、', '多額の']",['役場'],NO,役場,NO,NO
1,役場,は、説明会会場に結果書を持っておいでください。※伊那健康センター受診の方は、受診した翌月に役場から健診結果・保健指導について連絡します。※国保の方で人間ドックの補助を受ける方は,"['は', '、', '説明', '会', '会場', 'に', '結果', '書', 'を', '持って', 'おい', 'で', 'くださ', 'い', '。※', '伊那', '健康', 'センター', '受診', 'の', '方', 'は', '、', '受診', 'した', '翌月', 'に', '役場', 'から', '健診', '結果', '・', '保健', '指導', 'に', 'ついて', '連絡', 'し', 'ます', '。', '※', '国保', 'の', '方', 'で', '人間ドック', 'の', '補助', 'を', '受ける', '方', 'は']",['役場'],NO,役場,NO,NO
2,役場,栗橋町教育委員会【後援】栗橋町人権教育推進会議【問合せ】栗橋町政策推進課人権・広報・統計担当内線３３２２月Ｆｅｂｒｕａｒｙ広報くりはし情報ページ役場☎（五十三）千百十一２月のカレンダー上下水道課☎（五十二）二千百十二Ｂ＆Ｇ海洋センター☎（,"['栗橋', '町', '教育', '委員', '会', '【', '後援', '】', '栗橋', '町', '人権', '教育', '推進', '会議', '【', '問', '合せ', '】', '栗橋', '町', '政策', '推進', '課', '人権', '・', '広報', '・', '統計', '担当', '内', '線', '３３２２', '月', 'Ｆｅｂｒｕａｒｙ', '広報', 'くり', 'は', 'し', '情報', 'ページ', '役場', '☎（', '五十三', '）', '千百十一２', '月', 'の', 'カレンダー', '上下', '水道', '課', '☎（', '五十二', '）', '二千百十二', 'Ｂ', '＆', 'Ｇ', '海洋', 'センター', '☎（']",['役場'],NO,役場,NO,NO
3,役場,ました。これらの情報支援機器は高齢者の皆さんの情報支援にも幅広くご利用いただけます。役場や中央公民館へお越しの際は、ご自由にお使いください。※福祉生活課ＴＥＬ６７４‐１１１６清掃センターからのお知らせ,"['ました', '。', 'これ', 'ら', 'の', '情報', '支援', '機器', 'は', '高齢', '者', 'の', '皆さん', 'の', '情報', '支援', 'に', 'も', '幅広く', 'ご', '利用', 'いただけ', 'ます', '。', '役場', 'や', '中央', '公民', '館', 'へ', 'お', '越し', 'の', '際', 'は', '、', 'ご', '自由に', 'お', '使い', 'ください', '。※', '福祉', '生活', '課', 'ＴＥＬ', '６７４', '‐', '１１１６', '清掃', 'センター', 'から', 'の', 'お', '知らせ']",['役場'],NO,役場,NO,NO
4,役場,による民謡〈レモン林〉〈丸木舟〉の斉唱と保存会による南洋踊りから構成された（小笠原村役場千九百九十四）。〈アオウミガメの旅〉は、小笠原小学校元教諭の町田昌三作詞、同・大浜勝彦作曲による作品で、,"['に', 'よる', '民謡', '〈', 'レモン', '林', '〉', '〈', '丸木', '舟', '〉', 'の', '斉唱', 'と', '保存', '会', 'に', 'よる', '南洋', '踊り', 'から', '構成', 'さ', 'れた', '（', '小笠原', '村', '役場', '千九百九十四', '）', '。', '〈', 'アオウミガメ', 'の', '旅', '〉', 'は', '、', '小笠原', '小学校', '元', '教諭', 'の', '町田', '昌三', '作詞', '、', '同', '・', '大浜', '勝彦', '作曲', 'に', 'よる', '作品', 'で', '、']",['役場'],NO,役場,NO,NO
5,役場,の海産物もこれに続いている。これらの農産物海産物は縁故者からの送付が多い。役場や商工会でも小値賀会のチャンネルを利用した販路および販売量の拡大を目指している。最近,"['の', '海産物', 'も', 'これ', 'に', '続いて', 'いる', '。', 'これ', 'ら', 'の', '農産物', '海産物', 'は', '縁故', '者', 'から', 'の', '送付', 'が', '多い', '。', '役場', 'や', '商工', '会', 'でも', '小値賀', '会', 'の', 'チャンネル', 'を', '利用', 'した', '販路', 'および', '販売', '量', 'の', '拡大', 'を', '目指して', 'いる', '。', '最近']",['役場'],NO,役場,NO,NO
6,役場,れざる滝釜ヶ淵？あまり知られていない淵である。場所がわかりにくいので、役場などで確かめてから出かけたほうがいいだろう。国府町から瓜巣地区を通り、高山市,"['れ', 'ざる', '滝', '釜', 'ヶ', '淵', '？', 'あまり', '知ら', 'れて', 'い', 'ない', '淵', 'である', '。', '場所', 'が', 'わかり', 'にくい', 'ので', '、', '役場', 'など', 'で', '確かめて', 'から', '出かけた', 'ほう', 'が', 'いい', 'だろう', '。', '国府', '町', 'から', '瓜', '巣', '地区', 'を', '通り', '、', '高山', '市']",['役場'],NO,役場,NO,NO
7,役場,ご覧ください。）ＡＥＤ村内設置場所●南箕輪小学校●北部保育園●南部小学校●南原保育園●南箕輪中学校●役場●南部保育園●村民体育館●西部保育園●大芝公園管理事務所●中部保育園●大芝の湯松の緑,"['ご覧', 'ください', '。', '）', 'ＡＥＤ', '村', '内', '設置', '場所', '●', '南箕輪', '小学校', '●', '北部', '保育', '園', '●', '南部', '小学校', '●', '南', '原', '保育', '園', '●', '南箕輪', '中学校', '●', '役場', '●', '南部', '保育', '園', '●', '村民', '体育', '館', '●', '西部', '保育', '園', '●', '大', '芝', '公園', '管理', '事務', '所', '●', '中部', '保育', '園', '●', '大', '芝', 'の', '湯', '松', 'の', '緑']",['役場'],NO,役場,NO,NO
8,役場,あったのだ。植村さんがいろいろな対策をねりはじめたのは、それからだった。役場には、いろいろな情報がおしよせてきた。その中にはデマもあり、,"['あった', 'のだ', '。', '植村', 'さん', 'が', 'いろいろな', '対策', 'を', 'ねり', 'はじめた', 'の', 'は', '、', 'それ', 'から', 'だった', '。', '役場', 'に', 'は', '、', 'いろいろな', '情報', 'が', 'おしよせて', 'きた', '。', 'その', '中', 'に', 'は', 'デマ', 'も', 'あり', '、']",['役場'],NO,役場,NO,NO
9,役場,本会議は午前十時から、委員会は午前９時から▼本会議の傍聴（定員三十二人）役場４階の本会議場傍聴席入口で、住所氏名などを記入してください。▼委員会の傍聴（定員４人）,"['本', '会議', 'は', '午前', '十', '時', 'から', '、', '委員', '会', 'は', '午前', '９', '時', 'から', '▼', '本', '会議', 'の', '傍聴', '（', '定員', '三十二', '人', '）', '役場', '４', '階', 'の', '本', '会議', '場', '傍聴', '席', '入口', 'で', '、', '住所', '氏名', 'など', 'を', '記入', 'して', 'ください', '。', '▼', '委員', '会', 'の', '傍聴', '（', '定員', '４', '人', '）']",['役場'],NO,役場,NO,NO
10,役場,が、それだったのです。自転車は、救援隊が病院を出てだいぶたってから役場のジープでとどけられたのでした。「うたがうのか。ならば、おれが,"['が', '、', 'それ', 'だった', 'のです', '。', '自転車', 'は', '、', '救援', '隊', 'が', '病院', 'を', '出て', 'だいぶ', 'たって', 'から', '役場', 'の', 'ジープ', 'で', 'とどけ', 'られた', 'のでした', '。', '「', 'うたがう', 'の', 'か', '。', 'ならば', '、', 'おれ', 'が']",['役場'],NO,役場,NO,NO
11,役場,そして、帳場に行き、番頭に長距離電話を頼んだ。「愛媛県南宇和郡城辺町の役場じゃ」と熊吾が言うと、番頭は、「愛媛県の南宇和郡。ちゃんとかかるが,"['そして', '、', '帳場', 'に', '行き', '、', '番頭', 'に', '長', '距離', '電話', 'を', '頼んだ', '。', '「', '愛媛', '県', '南宇和', '郡', '城', '辺', '町', 'の', '役場', 'じゃ', '」', 'と', '熊', '吾', 'が', '言う', 'と', '、', '番頭', 'は', '、', '「', '愛媛', '県', 'の', '南宇和', '郡', '。', 'ちゃんと', 'かかる', 'が']",['役場'],NO,役場,NO,NO
12,役場,語らない。小池某と自称すると云う警察の添書のまま、Ｎさんはその子供を同居人として役場にとどけてあるのだけれども、昔のことをけっして語ろうとしない子供の哀れな,"['語ら', 'ない', '。', '小池', '某', 'と', '自称', 'する', 'と', '云う', '警察', 'の', '添', '書', 'の', 'まま', '、', 'Ｎ', 'さん', 'は', 'その', '子供', 'を', '同居', '人', 'と', 'して', '役場', 'に', 'とどけて', 'ある', 'のだ', 'けれども', '、', '昔', 'の', 'こと', 'を', 'けっして', '語ろう', 'と', 'し', 'ない', '子供', 'の', '哀れな']",['役場'],NO,役場,NO,NO
13,役場,つぎのように記されている。「工場建設当時の速星村笹倉郷は、宮島川の東側には役場、小学校、駐在所等が点在し、川西県道筋（現国道三百五十九号線）上長部落と井田川堤防沿の舟部落には夫,"['つぎ', 'の', 'ように', '記さ', 'れて', 'いる', '。', '「', '工場', '建設', '当時', 'の', '速', '星', '村', '笹', '倉', '郷', 'は', '、', '宮島', '川', 'の', '東', '側', 'に', 'は', '役場', '、', '小学校', '、', '駐在', '所', '等', 'が', '点在', 'し', '、', '川西', '県', '道筋', '（', '現', '国道', '三百五十九', '号', '線', '）', '上', '長', '部落', 'と', '井田', '川', '堤防', '沿', 'の', '舟', '部落', 'に', 'は', '夫']",['役場'],NO,役場,NO,NO
14,役場,、生年月日、性別、職業、電話番号、応募の動機（簡潔に）」を記載し、役場に持参、または郵送してください。持参の場合は、木野支所でも受け付けます。なお、,"['、', '生年', '月日', '、', '性別', '、', '職業', '、', '電話', '番号', '、', '応募', 'の', '動機', '（', '簡潔に', '）', '」', 'を', '記載', 'し', '、', '役場', 'に', '持参', '、', 'または', '郵送', 'して', 'ください', '。', '持参', 'の', '場合', 'は', '、', '木野', '支所', 'でも', '受け付け', 'ます', '。', 'なお', '、']",['役場'],NO,役場,NO,NO
15,役場,てください！全国大会に出場！ベストを目指して頑張って！３月十七日（月）、役場でスポーツ激励金支給式が行われ、第５回全国ホープス選抜卓球大会に出場する、南小学校５年の■■■■さん（右写真右）、第三十回全国ＪＯＣジュニアオリンピックカップ春季水泳競技大会で,"['て', 'ください', '！', '全国', '大会', 'に', '出場', '！', 'ベスト', 'を', '目指して', '頑張って', '！', '３', '月', '十七', '日', '（', '月', '）', '、', '役場', 'で', 'スポーツ', '激励', '金', '支給', '式', 'が', '行わ', 'れ', '、', '第', '５', '回', '全国', 'ホープス', '選抜', '卓球', '大会', 'に', '出場', 'する', '、', '南', '小学校', '５', '年', 'の', '■■■■', 'さん', '（', '右', '写真', '右', '）', '、', '第', '三十', '回', '全国', 'ＪＯＣ', 'ジュニアオリンピックカップ', '春季', '水泳', '競技', '大会', 'で']",['役場'],NO,役場,NO,NO
16,役場,十一件）の被害があります。未遂に終わりましたが「電話料金が還付されるので役場の銀行ＡＴＭにいって携帯電話で指示を受けるように」との事件もありました,"['十一', '件', '）', 'の', '被害', 'が', 'あり', 'ます', '。', '未遂', 'に', '終わり', 'ました', 'が', '「', '電話', '料金', 'が', '還付', 'さ', 'れる', 'ので', '役場', 'の', '銀行', 'ＡＴＭ', 'に', 'いって', '携帯', '電話', 'で', '指示', 'を', '受ける', 'ように', '」', 'と', 'の', '事件', 'も', 'あり', 'ました']",['役場'],NO,役場,NO,NO
17,役場,周囲の連中に無担保、無利子で貸した金がどのくらいあるか不明だが…役場の総務課長に貸していた四百万円も含めて、総額で数千万円がいいところでしょう」,"['周囲', 'の', '連中', 'に', '無', '担保', '、', '無', '利子', 'で', '貸した', '金', 'が', 'どの', 'くらい', 'ある', 'か', '不明だ', 'が', '…', '役場', 'の', '総務', '課長', 'に', '貸して', 'いた', '四百万', '円', 'も', '含めて', '、', '総額', 'で', '数', '千万', '円', 'が', 'いい', 'ところ', 'でしょう', '」']",['役場'],NO,役場,NO,NO
18,役場,している。僕たちは、それに気づいています。そして、大賀記者の死にも、役場が一枚嚙んでいるのではないかと考えています。いいですか？僕たちの眼は,"['して', 'いる', '。', '僕', 'たち', 'は', '、', 'それ', 'に', '気づいて', 'い', 'ます', '。', 'そして', '、', '大賀', '記者', 'の', '死', 'に', 'も', '、', '役場', 'が', '一', '枚', '嚙', 'んで', 'いる', 'ので', 'は', 'ない', 'か', 'と', '考えて', 'い', 'ます', '。', 'いい', 'です', 'か', '？', '僕', 'たち', 'の', '眼', 'は']",['役場'],NO,役場,NO,NO
19,役場,」５人のうち、■■■■氏（岡山商科大学大学院教授）と■■■■氏（前岡山県副知事）が、１月十日役場を訪れ、■■町長と懇談を行いました。（写真右端：■■氏、左端：■■氏）,"['」', '５', '人', 'の', 'うち', '、', '■■■■', '氏', '（', '岡山', '商科', '大学', '大学院', '教授', '）', 'と', '■■■■', '氏', '（', '前', '岡山', '県', '副', '知事', '）', 'が', '、', '１', '月', '十', '日', '役場', 'を', '訪れ', '、', '■', '■', '町長', 'と', '懇談', 'を', '行い', 'ました', '。', '（', '写真', '右', '端', '：■■', '氏', '、', '左', '端', '：■■', '氏', '）']",['役場'],NO,役場,NO,NO
20,役場,の中で、児童虐待の疑いがあることに気がついたときは、すぐに役場又は児童相談所に相談（通告）してください。■保健福祉課福祉人権係☎８２‐１０１３有線０５３２■倉敷児童相談所☎,"['の', '中', 'で', '、', '児童', '虐待', 'の', '疑い', 'が', 'ある', 'こと', 'に', '気', 'が', 'ついた', 'とき', 'は', '、', 'すぐ', 'に', '役場', '又は', '児童', '相談', '所', 'に', '相談', '（', '通告', '）', 'して', 'ください', '。', '■', '保健', '福祉', '課', '福祉', '人権', '係', '☎', '８２', '‐', '１０１３', '有線', '０５３２', '■', '倉敷', '児童', '相談', '所', '☎']",['役場'],NO,役場,NO,NO
21,役場,名前、電話番号をお書きのうえ、ご応募ください●作品の応募用紙に規定はありません●役場へ郵送または持参ください●締切は平成二十年十月三十一日（金）■応募・問い合わせ先人権政策課男女共同参画担当（〒８１１‐１２９２,"['名前', '、', '電話', '番号', 'を', 'お', '書き', 'の', 'うえ', '、', 'ご', '応募', 'ください', '●', '作品', 'の', '応募', '用紙', 'に', '規定', 'は', 'あり', 'ませ', 'ん', '●', '役場', 'へ', '郵送', 'または', '持参', 'ください', '●', '締切', 'は', '平成', '二十', '年', '十', '月', '三十一', '日', '（', '金', '）', '■', '応募', '・', '問い合わせ', '先', '人権', '政策', '課', '男女', '共同', '参画', '担当', '（', '〒', '８１１', '‐', '１２９２']",['役場'],NO,役場,NO,NO
22,役場,は背後を振り返る。小さな出張所には煌々と明かりがついている。こんな夜遅くまで役場に明かりがついていること自体、おかしいと思う。もちろん、窓口は五時で閉まっている,"['は', '背後', 'を', '振り返る', '。', '小さな', '出張', '所', 'に', 'は', '煌', '々', 'と', '明かり', 'が', 'ついて', 'いる', '。', 'こんな', '夜', '遅く', 'まで', '役場', 'に', '明かり', 'が', 'ついて', 'いる', 'こと', '自体', '、', 'おかしい', 'と', '思う', '。', 'もちろん', '、', '窓口', 'は', '五', '時', 'で', '閉まって', 'いる']",['役場'],NO,役場,NO,NO
23,役場,に、「急な空きが出来た」と電話がありました、、、。役場の人間の「きまり」なんて、そんな程度ですよ。,"['に', '、', '「', '急な', '空き', 'が', '出来た', '」', 'と', '電話', 'が', 'あり', 'ました', '、', '、', '、', '。', '役場', 'の', '人間', 'の', '「', 'きまり', '」', 'なんて', '、', 'そんな', '程度', 'です', 'よ', '。']",['役場'],NO,役場,NO,NO
24,役場,●改定後の時刻表は「じゅんかい君時刻表（平成二十年４月１日改訂版）」に掲載しています。●役場・いこまい館・町民会館・町民体育館・各児童館などにも配布用時刻表が置いてあります。※また、町ホームページおよび町民カレンダーにも掲載し,"['●', '改定', '後', 'の', '時刻', '表', 'は', '「', 'じゅんかい', '君', '時刻', '表', '（', '平成', '二十', '年', '４', '月', '１', '日', '改訂', '版', '）', '」', 'に', '掲載', 'して', 'い', 'ます', '。', '●', '役場', '・', 'いこ', 'まい', '館', '・', '町民', '会館', '・', '町民', '体育', '館', '・', '各', '児童', '館', 'など', 'に', 'も', '配布', '用', '時刻', '表', 'が', '置いて', 'あり', 'ます', '。', '※', 'また', '、', '町', 'ホームページ', 'および', '町民', 'カレンダー', 'に', 'も', '掲載', 'し']",['役場'],NO,役場,NO,NO
25,役場,生まれると、その戸籍にその子がさらに記載されます。そして、人が死ぬと役場に死亡届が出されて、今度はその人が戸籍簿から抹消されます。このよう,"['生まれる', 'と', '、', 'その', '戸籍', 'に', 'その', '子', 'が', 'さらに', '記載', 'さ', 'れ', 'ます', '。', 'そして', '、', '人', 'が', '死ぬ', 'と', '役場', 'に', '死亡', '届', 'が', '出さ', 'れて', '、', '今度', 'は', 'その', '人', 'が', '戸籍', '簿', 'から', '抹消', 'さ', 'れ', 'ます', '。', 'この', 'よう']",['役場'],NO,役場,NO,NO
