,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,恩師,の休学も２年目に入り、修士課程の卒業は諦めていました。ちょうどそのとき、恩師の松長有慶先生から一通のお手紙をいただいたのでした。今から思えば、このお手紙が,"['の', '休学', 'も', '２', '年', '目', 'に', '入り', '、', '修士', '課程', 'の', '卒業', 'は', '諦めて', 'い', 'ました', '。', 'ちょうど', 'その', 'とき', '、', '恩師', 'の', '松', '長', '有', '慶', '先生', 'から', '一', '通', 'の', 'お', '手紙', 'を', 'いただいた', 'のでした', '。', '今', 'から', '思えば', '、', 'この', 'お', '手紙', 'が']",['恩師'],NO,恩師,NO,NO
1,恩師,マルクス主義害毒論”との間に、決定的な相剋は無かったとも思われる。以下の恩師の言葉は、トンちゃんこと、のちの村山首相が壮年期に差しかかり、熾烈な政治活動に,"['マルクス', '主義', '害毒', '論', '”', 'と', 'の', '間', 'に', '、', '決定', '的な', '相剋', 'は', '無かった', 'と', 'も', '思わ', 'れる', '。', '以下', 'の', '恩師', 'の', '言葉', 'は', '、', 'トン', 'ちゃん', 'こと', '、', 'のち', 'の', '村山', '首相', 'が', '壮年', '期', 'に', '差しかかり', '、', '熾烈な', '政治', '活動', 'に']",['恩師'],NO,恩師,NO,NO
2,恩師,と踏んだ私は、入念な対策を練ることにした。まず、私の研修医時代の恩師に電話をかけ、事情を話して簡単な検査と診察の予約を入れた。,"['と', '踏んだ', '私', 'は', '、', '入念な', '対策', 'を', '練る', 'こと', 'に', 'した', '。', 'まず', '、', '私', 'の', '研修', '医', '時代', 'の', '恩師', 'に', '電話', 'を', 'かけ', '、', '事情', 'を', '話して', '簡単な', '検査', 'と', '診察', 'の', '予約', 'を', '入れた', '。']",['恩師'],NO,恩師,NO,NO
3,恩師,見送った後で、先輩会長と会話を交わしていると、恩師と同時期に勤務された恩師（女性）が立ち寄られ、「あんた見た事があるわね」と問われ,"['見送った', '後', 'で', '、', '先輩', '会長', 'と', '会話', 'を', '交わして', 'いる', 'と', '、', '恩師', 'と', '同', '時期', 'に', '勤務', 'さ', 'れた', '恩師', '（', '女性', '）', 'が', '立ち寄ら', 'れ', '、', '「', 'あんた', '見た', '事', 'が', 'ある', 'わ', 'ね', '」', 'と', '問わ', 'れ']",['恩師'],NO,恩師,NO,NO
4,恩師,見送った後で、先輩会長と会話を交わしていると、恩師と同時期に勤務された恩師（女性）が立ち寄られ、「あんた見た事があるわね」と問われ,"['見送った', '後', 'で', '、', '先輩', '会長', 'と', '会話', 'を', '交わして', 'いる', 'と', '、', '恩師', 'と', '同', '時期', 'に', '勤務', 'さ', 'れた', '恩師', '（', '女性', '）', 'が', '立ち寄ら', 'れ', '、', '「', 'あんた', '見た', '事', 'が', 'ある', 'わ', 'ね', '」', 'と', '問わ', 'れ']",['恩師'],NO,恩師,NO,NO
5,恩師,も「やる気」にさせてくれることだ。私は、高校時代も大学時代も、恩師から楽しく走ることを教えていただいたが、監督の場合は、さらに視線をグッと下げ,"['も', '「', 'やる', '気', '」', 'に', 'さ', 'せて', 'くれる', 'こと', 'だ', '。', '私', 'は', '、', '高校', '時代', 'も', '大学', '時代', 'も', '、', '恩師', 'から', '楽しく', '走る', 'こと', 'を', '教えて', 'いただいた', 'が', '、', '監督', 'の', '場合', 'は', '、', 'さらに', '視線', 'を', 'グッと', '下げ']",['恩師'],NO,恩師,NO,NO
6,恩師,で膨らんでいた。「ごめん、もう少し」「これが最後だ。よく恩師の顔を拝んでおきな」「ありがとう」「いいってことよ」,"['で', '膨らんで', 'いた', '。', '「', 'ごめん', '、', 'もう', '少し', '」', '「', 'これ', 'が', '最後だ', '。', 'よく', '恩師', 'の', '顔', 'を', '拝んで', 'おき', 'な', '」', '「', 'ありがとう', '」', '「', 'い', 'いって', 'こと', 'よ', '」']",['恩師'],NO,恩師,NO,NO
7,恩師,前は、ペテルブルクでリムスキー＝コルサコフに師事したいと望んでいた。伊福部昭の恩師チェレプニンの父ニコライもリムスキー＝コルサコフ門下、またレスピーギも若い頃ロシアで彼に作曲を,"['前', 'は', '、', 'ペテルブルク', 'で', 'リムスキー', '＝', 'コルサコフ', 'に', '師事', 'し', 'たい', 'と', '望んで', 'いた', '。', '伊福部', '昭', 'の', '恩師', 'チェレプニン', 'の', '父', 'ニコライ', 'も', 'リムスキー', '＝', 'コルサコフ', '門下', '、', 'また', 'レスピーギ', 'も', '若い', '頃', 'ロシア', 'で', '彼', 'に', '作曲', 'を']",['恩師'],NO,恩師,NO,NO
8,恩師,が、近年は、式典の後に記念植樹をし、新成人者とその親が小学校時代の恩師を囲んで語り合うなどして、新成人としての研さんを積んでいます。今年の,"['が', '、', '近年', 'は', '、', '式典', 'の', '後', 'に', '記念', '植樹', 'を', 'し', '、', '新', '成人', '者', 'と', 'その', '親', 'が', '小学校', '時代', 'の', '恩師', 'を', '囲んで', '語り', '合う', 'など', 'して', '、', '新', '成人', 'と', 'して', 'の', '研さん', 'を', '積んで', 'い', 'ます', '。', '今年', 'の']",['恩師'],NO,恩師,NO,NO
9,恩師,たそうである。「強くなりたかったら、リクルートの小出義雄監督のところへ行け」と恩師に諭されたのだ。高橋が出た県立岐阜商高の恩師は、山梨学院大の出身だっ,"['た', 'そうである', '。', '「', '強く', 'なり', 'たかったら', '、', 'リクルート', 'の', '小出', '義雄', '監督', 'の', 'ところ', 'へ', '行け', '」', 'と', '恩師', 'に', '諭さ', 'れた', 'のだ', '。', '高橋', 'が', '出た', '県立', '岐阜', '商', '高', 'の', '恩師', 'は', '、', '山梨', '学院', '大', 'の', '出身', 'だっ']",['恩師'],NO,恩師,NO,NO
10,恩師,たそうである。「強くなりたかったら、リクルートの小出義雄監督のところへ行け」と恩師に諭されたのだ。高橋が出た県立岐阜商高の恩師は、山梨学院大の出身だっ,"['た', 'そうである', '。', '「', '強く', 'なり', 'たかったら', '、', 'リクルート', 'の', '小出', '義雄', '監督', 'の', 'ところ', 'へ', '行け', '」', 'と', '恩師', 'に', '諭さ', 'れた', 'のだ', '。', '高橋', 'が', '出た', '県立', '岐阜', '商', '高', 'の', '恩師', 'は', '、', '山梨', '学院', '大', 'の', '出身', 'だっ']",['恩師'],NO,恩師,NO,NO
11,恩師,か？」「理論としては、たしかに一応ごもっともだが、それは君の恩師に対する甚だしい不信の表明だな。死体を解剖した吉本先生が、花火を死体の額,"['か', '？', '」', '「', '理論', 'と', 'して', 'は', '、', 'たしかに', '一応', 'ご', 'もっともだ', 'が', '、', 'それ', 'は', '君', 'の', '恩師', 'に', '対する', '甚だしい', '不信', 'の', '表明', 'だ', 'な', '。', '死体', 'を', '解剖', 'した', '吉本', '先生', 'が', '、', '花火', 'を', '死体', 'の', '額']",['恩師'],NO,恩師,NO,NO
