,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,戦場,、厳しい報いとなって現れている。日本への憎しみを鈍らせたのでは、戦場での恐怖に負けて、ただ空へ向けて銃を放つことしかできなくなり,"['、', '厳しい', '報い', 'と', 'なって', '現れて', 'いる', '。', '日本', 'へ', 'の', '憎しみ', 'を', '鈍ら', 'せた', 'ので', 'は', '、', '戦場', 'で', 'の', '恐怖', 'に', '負けて', '、', 'ただ', '空', 'へ', '向けて', '銃', 'を', '放つ', 'こと', 'しか', 'でき', 'なく', 'なり']",['戦場'],NO,戦場,NO,NO
1,戦場,検視第一日目から、カルテの書式などをまとめる一方、二十名の歯科医の間を廻り、戦場のような修羅場で戸惑っている医師をバックアップする大国医師は、心身共に疲労の極み達し,"['検視', '第', '一', '日', '目', 'から', '、', 'カルテ', 'の', '書式', 'など', 'を', 'まとめる', '一方', '、', '二十', '名', 'の', '歯科', '医', 'の', '間', 'を', '廻り', '、', '戦場', 'の', 'ような', '修羅場', 'で', '戸惑って', 'いる', '医師', 'を', 'バックアップ', 'する', '大国', '医師', 'は', '、', '心身', '共に', '疲労', 'の', '極み', '達し']",['戦場'],NO,戦場,NO,NO
2,戦場,は島原半島の各地でだれが買ったのか、明言を避けています。しかし、戦場で生捕られた転売される人々を、島原半島の港々で待ち受けていたのは,"['は', '島原', '半島', 'の', '各地', 'で', 'だれ', 'が', '買った', 'の', 'か', '、', '明言', 'を', '避けて', 'い', 'ます', '。', 'しかし', '、', '戦場', 'で', '生', '捕ら', 'れた', '転売', 'さ', 'れる', '人々', 'を', '、', '島原', '半島', 'の', '港', '々', 'で', '待ち受けて', 'いた', 'の', 'は']",['戦場'],NO,戦場,NO,NO
3,戦場,た。九十三年に『ＵＦＣ』が開かれ、トーナメントに出場したホイスは、グレイシー・トレインによって戦場に向かう、紛れもない一族の代表だった。もしもホイスが敗れるようなこと,"['た', '。', '九十三', '年', 'に', '『', 'ＵＦＣ', '』', 'が', '開か', 'れ', '、', 'トーナメント', 'に', '出場', 'した', 'ホイス', 'は', '、', 'グレイシー', '・', 'トレイン', 'に', 'よって', '戦場', 'に', '向かう', '、', '紛れ', 'も', 'ない', '一族', 'の', '代表', 'だった', '。', 'もしも', 'ホイス', 'が', '敗れる', 'ような', 'こと']",['戦場'],NO,戦場,NO,NO
4,戦場,の子２歳、本当に甘えたかったときに下の子が生まれてそれからの戦場のような日々で上の子の２歳からの記憶があまりないの。（＾＾；赤ちゃん,"['の', '子', '２', '歳', '、', '本当に', '甘え', 'たかった', 'ときに', '下', 'の', '子', 'が', '生まれて', 'それ', 'から', 'の', '戦場', 'の', 'ような', '日々', 'で', '上', 'の', '子', 'の', '２', '歳', 'から', 'の', '記憶', 'が', 'あまり', 'ない', 'の', '。', '（', '＾＾；', '赤ちゃん']",['戦場'],NO,戦場,NO,NO
5,戦場,や恋人や、幼い子供や、老人たちである。無防備な非力な非戦闘員たちを、殺戮し、戦場でどれだけ大量の兵士たちが虐殺されようと、戦争は殺した人間を殊勲者にする,"['や', '恋人', 'や', '、', '幼い', '子供', 'や', '、', '老人', 'たち', 'である', '。', '無防備な', '非力な', '非', '戦闘', '員', 'たち', 'を', '、', '殺戮', 'し', '、', '戦場', 'で', 'どれ', 'だけ', '大量の', '兵士', 'たち', 'が', '虐殺', 'さ', 'れよう', 'と', '、', '戦争', 'は', '殺した', '人間', 'を', '殊勲', '者', 'に', 'する']",['戦場'],NO,戦場,NO,NO
6,戦場,をやってました。失われた熱を呼び覚ますように・・・・！ふたたび戦場へ舞い戻ったわけです。まぁ、久しぶりなので当然のようにフルボッコにされまし,"['を', 'やって', 'ました', '。', '失わ', 'れた', '熱', 'を', '呼び覚ます', 'ように', '・', '・・・', '！', 'ふたたび', '戦場', 'へ', '舞い戻った', 'わけです', '。', 'ま', 'ぁ', '、', '久しぶりな', 'ので', '当然', 'の', 'ように', 'フルボッコ', 'に', 'さ', 'れ', 'まし']",['戦場'],NO,戦場,NO,NO
7,戦場,また北流し、このふたつの川は北のかたスノンという町の北で合流している。戦場となったのは、いわば川中島とでもいうべきところで、丘の南方に,"['また', '北', '流し', '、', 'この', 'ふた', 'つ', 'の', '川', 'は', '北', 'の', 'かた', 'スノン', 'と', 'いう', '町', 'の', '北', 'で', '合流', 'して', 'いる', '。', '戦場', 'と', 'なった', 'の', 'は', '、', 'いわば', '川', '中島', 'と', 'でも', 'いう', 'べき', 'ところ', 'で', '、', '丘', 'の', '南方', 'に']",['戦場'],NO,戦場,NO,NO
8,戦場,。そこにカティがやってきて、卒論を褒め、「次に合うのは戦場かしら？できたら、敵同士で会いたくは無いわね」というカティ。時間は現代,"['。', 'そこ', 'に', 'カティ', 'が', 'やってきて', '、', '卒論', 'を', '褒め', '、', '「', '次に', '合う', 'の', 'は', '戦場', 'かしら', '？', 'できたら', '、', '敵', '同士', 'で', '会', 'いたく', 'は', '無い', 'わ', 'ね', '」', 'と', 'いう', 'カティ', '。', '時間', 'は', '現代']",['戦場'],NO,戦場,NO,NO
9,戦場,。そのほうもよく存じておるようにわしの家は尾張の小侍の出で、戦場の指揮をあずけるほどの者がおらぬ。来てくれぬか」と、まるで賓客,"['。', 'そのほう', 'も', 'よく', '存じて', 'おる', 'ように', 'わし', 'の', '家', 'は', '尾張', 'の', '小', '侍', 'の', '出', 'で', '、', '戦場', 'の', '指揮', 'を', 'あずける', 'ほど', 'の', '者', 'が', 'おら', 'ぬ', '。', '来て', 'くれ', 'ぬ', 'か', '」', 'と', '、', 'まるで', '賓客']",['戦場'],NO,戦場,NO,NO
10,戦場,士官ではあったはずだが、伸行はシドニーがどんな階級だったのか、戦場でどんな任務についていたのかさえ知らない。その当時、伸行はまだ,"['士官', 'で', 'は', 'あった', 'はずだ', 'が', '、', '伸行', 'は', 'シドニー', 'が', 'どんな', '階級', 'だった', 'の', 'か', '、', '戦場', 'で', 'どんな', '任務', 'に', 'ついて', 'いた', 'の', 'か', 'さえ', '知ら', 'ない', '。', 'その', '当時', '、', '伸行', 'は', 'まだ']",['戦場'],NO,戦場,NO,NO
11,戦場,。ワルター・ケントの“ザ・ホワイトクリフス・オブ・ドーバー”だ。これも懐古的な古代歌曲だった。海峡のかなたの戦場から、鳥のように高い空を飛んで、故郷の白い崖を越えて帰っ,"['。', 'ワルター', '・', 'ケント', 'の', '“', 'ザ', '・', 'ホワイトクリフス', '・', 'オブ', '・', 'ドーバー', '”', 'だ', '。', 'これ', 'も', '懐古', '的な', '古代', '歌曲', 'だった', '。', '海峡', 'の', 'かなた', 'の', '戦場', 'から', '、', '鳥', 'の', 'ように', '高い', '空', 'を', '飛んで', '、', '故郷', 'の', '白い', '崖', 'を', '越えて', '帰っ']",['戦場'],NO,戦場,NO,NO
