,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,教室,で本を開き読むさま。２‐四十八長立てた親指を少し上げる。教室１‐十三教える人さし指を出し前方に二度はねる。指さし教える意。２,"['で', '本', 'を', '開き', '読む', 'さま', '。', '２', '‐', '四十八', '長', '立てた', '親指', 'を', '少し', '上げる', '。', '教室', '１', '‐', '十三', '教える', '人さし指', 'を', '出し', '前方', 'に', '二', '度', 'はねる', '。', '指さし', '教える', '意', '。', '２']",['教室'],NO,教室,NO,NO
1,教室,次の授業の教室間違えたｗｗｗｗｗｗ違う教室にみんなでいたよ（笑）授業始まる前に気付いてよかった。先生が,"['次の', '授業', 'の', '教室', '間違えた', 'ｗｗｗｗｗｗ', '違う', '教室', 'に', 'みんな', 'で', 'いた', 'よ', '（', '笑', '）', '授業', '始まる', '前', 'に', '気付いて', 'よかった', '。', '先生', 'が']",['教室'],NO,教室,NO,NO
2,教室,次の授業の教室間違えたｗｗｗｗｗｗ違う教室にみんなでいたよ（笑）授業始まる前に気付いてよかった。先生が,"['次の', '授業', 'の', '教室', '間違えた', 'ｗｗｗｗｗｗ', '違う', '教室', 'に', 'みんな', 'で', 'いた', 'よ', '（', '笑', '）', '授業', '始まる', '前', 'に', '気付いて', 'よかった', '。', '先生', 'が']",['教室'],NO,教室,NO,NO
3,教室,はここ５年の間に新しいマンションがゴロゴロできています。ですが、周囲に公文の教室は一軒もありません。駅前で公文の教室を週２日して軌道にのって,"['は', 'ここ', '５', '年', 'の', '間', 'に', '新しい', 'マンション', 'が', 'ゴロゴロ', 'できて', 'い', 'ます', '。', 'ですが', '、', '周囲', 'に', '公', '文', 'の', '教室', 'は', '一', '軒', 'も', 'あり', 'ませ', 'ん', '。', '駅前', 'で', '公', '文', 'の', '教室', 'を', '週', '２', '日', 'して', '軌道', 'に', 'のって']",['教室'],NO,教室,NO,NO
4,教室,はここ５年の間に新しいマンションがゴロゴロできています。ですが、周囲に公文の教室は一軒もありません。駅前で公文の教室を週２日して軌道にのって,"['は', 'ここ', '５', '年', 'の', '間', 'に', '新しい', 'マンション', 'が', 'ゴロゴロ', 'できて', 'い', 'ます', '。', 'ですが', '、', '周囲', 'に', '公', '文', 'の', '教室', 'は', '一', '軒', 'も', 'あり', 'ませ', 'ん', '。', '駅前', 'で', '公', '文', 'の', '教室', 'を', '週', '２', '日', 'して', '軌道', 'に', 'のって']",['教室'],NO,教室,NO,NO
5,教室,着物と帯の結び方について詳しいかた、教えて下さい。現在教室にて着付けを習ってる最中で、名古屋帯のお太鼓を結ばないやり方で教わってます。,"['着物', 'と', '帯', 'の', '結び', '方', 'に', 'ついて', '詳しい', 'かた', '、', '教えて', '下さい', '。', '現在', '教室', 'にて', '着付け', 'を', '習って', 'る', '最中', 'で', '、', '名古屋', '帯', 'の', 'お', '太鼓', 'を', '結ば', 'ない', 'やり', '方', 'で', '教わって', 'ます', '。']",['教室'],NO,教室,NO,NO
6,教室,られ日記に初めて登場する訳か。あいつ近藤なんて言ったっけ、と尻をはたきながら教室に向かうのであった。教室の授業は中だるみに入り、吉沢先生の声も一人歩きと,"['られ', '日記', 'に', '初めて', '登場', 'する', '訳', 'か', '。', 'あいつ', '近藤', 'なんて', '言った', 'っけ', '、', 'と', '尻', 'を', 'はたき', 'ながら', '教室', 'に', '向かう', 'のであった', '。', '教室', 'の', '授業', 'は', '中だるみ', 'に', '入り', '、', '吉沢', '先生', 'の', '声', 'も', '一', '人', '歩き', 'と']",['教室'],NO,教室,NO,NO
7,教室,られ日記に初めて登場する訳か。あいつ近藤なんて言ったっけ、と尻をはたきながら教室に向かうのであった。教室の授業は中だるみに入り、吉沢先生の声も一人歩きと,"['られ', '日記', 'に', '初めて', '登場', 'する', '訳', 'か', '。', 'あいつ', '近藤', 'なんて', '言った', 'っけ', '、', 'と', '尻', 'を', 'はたき', 'ながら', '教室', 'に', '向かう', 'のであった', '。', '教室', 'の', '授業', 'は', '中だるみ', 'に', '入り', '、', '吉沢', '先生', 'の', '声', 'も', '一', '人', '歩き', 'と']",['教室'],NO,教室,NO,NO
8,教室,ね」「うむ」新次は複雑な顔をしていた。知子は教室を出ていき、やがてもどってきた。「ハイ、インク、これがおつり,"['ね', '」', '「', 'うむ', '」', '新', '次', 'は', '複雑な', '顔', 'を', 'して', 'いた', '。', '知子', 'は', '教室', 'を', '出て', 'いき', '、', 'やがて', 'もどって', 'きた', '。', '「', 'ハイ', '、', 'インク', '、', 'これ', 'が', 'おつり']",['教室'],NO,教室,NO,NO
9,教室,入っていく。大木は些細な部分まで記憶していた。大木に続いて私たちも教室に入った。陽がかげった教室には、講堂と同じように椅子も机,"['入って', 'いく', '。', '大木', 'は', '些細な', '部分', 'まで', '記憶', 'して', 'いた', '。', '大木', 'に', '続いて', '私', 'たち', 'も', '教室', 'に', '入った', '。', '陽', 'が', 'かげった', '教室', 'に', 'は', '、', '講堂', 'と', '同じ', 'ように', '椅子', 'も', '机']",['教室'],NO,教室,NO,NO
