,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,業者,安いものだと、うちの顧問弁護士も申しておりました。青井先生は、これまでに業者を二つ潰しておられるそうですね。それも、裏をほとんど出さないかたちで」,"['安い', 'もの', 'だ', 'と', '、', 'うち', 'の', '顧問', '弁護', '士', 'も', '申して', 'おり', 'ました', '。', '青', '井', '先生', 'は', '、', 'これ', 'まで', 'に', '業者', 'を', '二', 'つ', '潰して', 'おら', 'れる', 'そうです', 'ね', '。', 'それ', 'も', '、', '裏', 'を', 'ほとんど', '出さ', 'ない', 'かたち', 'で', '」']",['業者'],NO,業者,NO,NO
1,業者,アンモナイトなどの化石を買い取ってくれる業者はありますか？ＹＡＨＯＯ！オークションで出品されています。業者を探すよりもいいかもしれない。,"['アンモナイト', 'など', 'の', '化石', 'を', '買い取って', 'くれる', '業者', 'は', 'あり', 'ます', 'か', '？', 'ＹＡＨＯＯ', '！', 'オークション', 'で', '出品', 'さ', 'れて', 'い', 'ます', '。', '業者', 'を', '探す', 'より', 'も', 'いい', 'かも', 'しれ', 'ない', '。']",['業者'],NO,業者,NO,NO
2,業者,アンモナイトなどの化石を買い取ってくれる業者はありますか？ＹＡＨＯＯ！オークションで出品されています。業者を探すよりもいいかもしれない。,"['アンモナイト', 'など', 'の', '化石', 'を', '買い取って', 'くれる', '業者', 'は', 'あり', 'ます', 'か', '？', 'ＹＡＨＯＯ', '！', 'オークション', 'で', '出品', 'さ', 'れて', 'い', 'ます', '。', '業者', 'を', '探す', 'より', 'も', 'いい', 'かも', 'しれ', 'ない', '。']",['業者'],NO,業者,NO,NO
3,業者,。いっぽう雨が協力してくれて綿が豊作になると、値段はさがる。メンフィスの業者のもとに、さばききれないほどの綿があつまるからだ。畑で身を削っている,"['。', 'いっぽう', '雨', 'が', '協力', 'して', 'くれて', '綿', 'が', '豊作', 'に', 'なる', 'と', '、', '値段', 'は', 'さがる', '。', 'メンフィス', 'の', '業者', 'の', 'もと', 'に', '、', 'さばき', 'きれ', 'ない', 'ほど', 'の', '綿', 'が', 'あつまる', 'から', 'だ', '。', '畑', 'で', '身', 'を', '削って', 'いる']",['業者'],NO,業者,NO,NO
4,業者,客がいなくなってから。適当さ。なんでも商品と引き換えの現金払いだから、業者ともめたこともないね。九龍城が取り壊しになるから、別の所で仕事を,"['客', 'が', 'い', 'なく', 'なって', 'から', '。', '適当', 'さ', '。', 'なんでも', '商品', 'と', '引き換え', 'の', '現金', '払い', 'だ', 'から', '、', '業者', 'と', 'もめた', 'こと', 'も', 'ない', 'ね', '。', '九龍城', 'が', '取り壊し', 'に', 'なる', 'から', '、', '別の', '所', 'で', '仕事', 'を']",['業者'],NO,業者,NO,NO
5,業者,れた」というケースもあります。■業者に電話をする前に悪質な業者は、一度電話をするだけで言葉巧みに消費者に近づいてきます。電話をする,"['れた', '」', 'と', 'いう', 'ケース', 'も', 'あり', 'ます', '。', '■', '業者', 'に', '電話', 'を', 'する', '前', 'に', '悪質な', '業者', 'は', '、', '一', '度', '電話', 'を', 'する', 'だけ', 'で', '言葉巧みに', '消費', '者', 'に', '近づいて', 'き', 'ます', '。', '電話', 'を', 'する']",['業者'],NO,業者,NO,NO
6,業者,れた」というケースもあります。■業者に電話をする前に悪質な業者は、一度電話をするだけで言葉巧みに消費者に近づいてきます。電話をする,"['れた', '」', 'と', 'いう', 'ケース', 'も', 'あり', 'ます', '。', '■', '業者', 'に', '電話', 'を', 'する', '前', 'に', '悪質な', '業者', 'は', '、', '一', '度', '電話', 'を', 'する', 'だけ', 'で', '言葉巧みに', '消費', '者', 'に', '近づいて', 'き', 'ます', '。', '電話', 'を', 'する']",['業者'],NO,業者,NO,NO
7,業者,を登り、お参りして引き返す。銀杏の屋台があったので今朝がたの銀杏並木にいた業者を思い出した。ぐるりと歩いて鎌倉駅に向かう。ドイツ風のＡＲＶＫＡＭＡＫでビールとソーセージ。,"['を', '登り', '、', 'お参り', 'して', '引き', '返す', '。', '銀杏', 'の', '屋台', 'が', 'あった', 'ので', '今朝', 'がた', 'の', '銀杏', '並木', 'に', 'いた', '業者', 'を', '思い出した', '。', 'ぐるり', 'と', '歩いて', '鎌倉', '駅', 'に', '向かう', '。', 'ドイツ', '風', 'の', 'ＡＲＶＫＡＭＡＫ', 'で', 'ビール', 'と', 'ソーセージ', '。']",['業者'],NO,業者,NO,NO
8,業者,少なく見積もっても千五百万円はかかる。その話をすると、兄は「知り合いの業者を紹介してやるから、値切ってみろ」と言ってくれた。その業者というのは,"['少なく', '見積もって', 'も', '千五百万', '円', 'は', 'かかる', '。', 'その', '話', 'を', 'する', 'と', '、', '兄', 'は', '「', '知り合い', 'の', '業者', 'を', '紹介', 'して', 'やる', 'から', '、', '値切って', 'みろ', '」', 'と', '言って', 'くれた', '。', 'その', '業者', 'と', 'いう', 'の', 'は']",['業者'],NO,業者,NO,NO
9,業者,少なく見積もっても千五百万円はかかる。その話をすると、兄は「知り合いの業者を紹介してやるから、値切ってみろ」と言ってくれた。その業者というのは,"['少なく', '見積もって', 'も', '千五百万', '円', 'は', 'かかる', '。', 'その', '話', 'を', 'する', 'と', '、', '兄', 'は', '「', '知り合い', 'の', '業者', 'を', '紹介', 'して', 'やる', 'から', '、', '値切って', 'みろ', '」', 'と', '言って', 'くれた', '。', 'その', '業者', 'と', 'いう', 'の', 'は']",['業者'],NO,業者,NO,NO
