,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,特派員,（特派員母）ソウル明洞で発見！檻に入りながら自転車を動かしている囚人服でも小物を売っ,"['（', '特派員', '母', '）', 'ソウル', '明洞', 'で', '発見', '！', '檻', 'に', '入り', 'ながら', '自転車', 'を', '動かして', 'いる', '囚人', '服', 'でも', '小物', 'を', '売っ']",['特派員'],NO,特派員,NO,NO
1,特派員,（特派員はるちゃん）（ナレーション市村正規）フランス南部ガール県のガルドン川に架かる水道橋でユゼスからニームへ水,"['（', '特派員', 'はる', 'ちゃん', '）', '（', 'ナレーション', '市村', '正規', '）', 'フランス', '南部', 'ガール', '県', 'の', 'ガルドン', '川', 'に', '架かる', '水道', '橋', 'で', 'ユゼス', 'から', 'ニーム', 'へ', '水']",['特派員'],NO,特派員,NO,NO
2,特派員,ともに、本間家のような大地主だと見られていたからだ。シカゴ・サン紙の特派員だったマーク・ゲイン氏は四十五年十二月二十五日、米駐屯軍の将校と本間家を訪問した。後に出版し,"['ともに', '、', '本間', '家', 'の', 'ような', '大地', '主だ', 'と', '見', 'られて', 'いた', 'から', 'だ', '。', 'シカゴ', '・', 'サン', '紙', 'の', '特派員', 'だった', 'マーク', '・', 'ゲイン', '氏', 'は', '四十五', '年', '十二', '月', '二十五', '日', '、', '米', '駐屯', '軍', 'の', '将校', 'と', '本間', '家', 'を', '訪問', 'した', '。', '後', 'に', '出版', 'し']",['特派員'],NO,特派員,NO,NO
3,特派員,成り立ちや現在の活動状況などについてインタビューを受けられました。こちら広報やかげ特派員おたより・イラスト募集中！！●町内での出来事やイベントについての感想、体験談●ご自身の,"['成り立ち', 'や', '現在', 'の', '活動', '状況', 'など', 'に', 'ついて', 'インタビュー', 'を', '受け', 'られ', 'ました', '。', 'こちら', '広報', 'や', 'かげ', '特派員', 'お', 'たより', '・', 'イラスト', '募集', '中', '！！●', '町', '内', 'で', 'の', '出来事', 'や', 'イベント', 'に', 'ついて', 'の', '感想', '、', '体験', '談', '●', 'ご', '自身', 'の']",['特派員'],NO,特派員,NO,NO
4,特派員,がつねに「著作名義」を意味しているとは限らない。たとえば，新聞紙上で記者なり特派員の名が表示されているときにも，それが「著作名義」として表示されているとき,"['が', 'つねに', '「', '著作', '名義', '」', 'を', '意味', 'して', 'いる', 'と', 'は', '限ら', 'ない', '。', 'たとえば', '，', '新聞', '紙上', 'で', '記者', 'なり', '特派員', 'の', '名', 'が', '表示', 'さ', 'れて', 'いる', 'とき', 'に', 'も', '，', 'それ', 'が', '「', '著作', '名義', '」', 'と', 'して', '表示', 'さ', 'れて', 'いる', 'とき']",['特派員'],NO,特派員,NO,NO
5,特派員,日米貿易の深淵を覗いたのだと思う。八十九年の秋に、私たち米国に駐在する特派員はブッシュ政権の誕生（選挙で当選してからという意味だが）一年を振り返る連載記事「,"['日', '米', '貿易', 'の', '深淵', 'を', '覗いた', 'のだ', 'と', '思う', '。', '八十九', '年', 'の', '秋', 'に', '、', '私', 'たち', '米国', 'に', '駐在', 'する', '特派員', 'は', 'ブッシュ', '政権', 'の', '誕生', '（', '選挙', 'で', '当選', 'して', 'から', 'と', 'いう', '意味', 'だ', 'が', '）', '一', '年', 'を', '振り返る', '連載', '記事', '「']",['特派員'],NO,特派員,NO,NO
6,特派員,（特派員はるちゃん）ＪＲ京都駅ビルないのシアターエリアにあるここでしか見られないオリジナルアニメを上映するアニメシアターや,"['（', '特派員', 'はる', 'ちゃん', '）', 'ＪＲ', '京都', '駅', 'ビル', 'ない', 'の', 'シアター', 'エリア', 'に', 'ある', 'ここ', 'で', 'しか', '見', 'られ', 'ない', 'オリジナルアニメ', 'を', '上映', 'する', 'アニメ', 'シアター', 'や']",['特派員'],NO,特派員,NO,NO
7,特派員,、基本的には日本にある程度関係がある重要な場所だと位置づけされているが、特派員がカバーする広範囲エリアの“はずれ”に当たる場所に関する記事は、やはりあまりキャッチされない。,"['、', '基本', '的に', 'は', '日本', 'に', 'ある', '程度', '関係', 'が', 'ある', '重要な', '場所', 'だ', 'と', '位置づけ', 'さ', 'れて', 'いる', 'が', '、', '特派員', 'が', 'カバー', 'する', '広範囲', 'エリア', 'の', '“', 'はずれ', '”', 'に', '当たる', '場所', 'に', '関する', '記事', 'は', '、', 'やはり', 'あまり', 'キャッチ', 'さ', 'れ', 'ない', '。']",['特派員'],NO,特派員,NO,NO
8,特派員,られる。それなしには三山は自分の「勉強」をし、やがて『日本』の特派員同様に自由に通信を書いて送ることはできなかったであろう。宿舎はオデオン街,"['られる', '。', 'それ', 'なし', 'に', 'は', '三', '山', 'は', '自分', 'の', '「', '勉強', '」', 'を', 'し', '、', 'やがて', '『', '日本', '』', 'の', '特派員', '同様に', '自由に', '通信', 'を', '書いて', '送る', 'こと', 'は', 'でき', 'なかった', 'であろう', '。', '宿舎', 'は', 'オデオン', '街']",['特派員'],NO,特派員,NO,NO
9,特派員,フランス現大統領シラクのこと。＊二十前首相ジョスパンのこと。フランスにいる外国メディアの哀れな特派員の苦労を想像してみてほしい。フランスでは首相（千九百七十六年のシラク）が野党に舞い戻る,"['フランス', '現', '大統領', 'シラク', 'の', 'こと', '。', '＊', '二十', '前', '首相', 'ジョスパン', 'の', 'こと', '。', 'フランス', 'に', 'いる', '外国', 'メディア', 'の', '哀れな', '特派員', 'の', '苦労', 'を', '想像', 'して', 'みて', 'ほしい', '。', 'フランス', 'で', 'は', '首相', '（', '千九百七十六', '年', 'の', 'シラク', '）', 'が', '野党', 'に', '舞い戻る']",['特派員'],NO,特派員,NO,NO
