,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,病院,二人目が欲しくて子作りスタート２年半出来ません病院に通っていますが今は漢方と卵胞チェックです。レベルアップは必要でしょうかまた二人目不妊の,"['二', '人', '目', 'が', '欲しくて', '子', '作り', 'スタート', '２', '年', '半', '出来', 'ませ', 'ん', '病院', 'に', '通って', 'い', 'ます', 'が', '今', 'は', '漢方', 'と', '卵胞', 'チェック', 'です', '。', 'レベル', 'アップ', 'は', '必要でしょう', 'か', 'また', '二', '人', '目', '不妊', 'の']",['病院'],NO,病院,NO,NO
1,病院,和代が食事の用意などしようとすると、「わたしがやるから、ママは早く病院へ」と、せき立てる。洗濯なども、自分でやる。「よくやってくれるわ,"['和代', 'が', '食事', 'の', '用意', 'など', 'しよう', 'と', 'する', 'と', '、', '「', 'わたし', 'が', 'やる', 'から', '、', 'ママ', 'は', '早く', '病院', 'へ', '」', 'と', '、', 'せき立てる', '。', '洗濯', 'など', 'も', '、', '自分', 'で', 'やる', '。', '「', 'よく', 'やって', 'くれる', 'わ']",['病院'],NO,病院,NO,NO
2,病院,！」と道端で叫んでいた「君のところの作業員が交通事故に遭って、病院へ運ばれたぞ！」そしてその向こう側にぐちゃぐちゃに潰れた車が無造作に置い,"['！', '」', 'と', '道端', 'で', '叫んで', 'いた', '「', '君', 'の', 'ところ', 'の', '作業', '員', 'が', '交通', '事故', 'に', '遭って', '、', '病院', 'へ', '運ば', 'れた', 'ぞ', '！', '」', 'そして', 'その', '向こう側', 'に', 'ぐちゃぐちゃに', '潰れた', '車', 'が', '無造作に', '置い']",['病院'],NO,病院,NO,NO
3,病院,は国中のお産の二分の一がここという大産院だ。つまり、クウェートでは、病院を建てることが決まると、まず木を一本ずつ植える。一本が二百万円する。外国から,"['は', '国', '中', 'の', 'お', '産', 'の', '二', '分', 'の', '一', 'が', 'ここ', 'と', 'いう', '大', '産院', 'だ', '。', 'つまり', '、', 'クウェート', 'で', 'は', '、', '病院', 'を', '建てる', 'こと', 'が', '決まる', 'と', '、', 'まず', '木', 'を', '一', '本', 'ずつ', '植える', '。', '一', '本', 'が', '二百万', '円', 'する', '。', '外国', 'から']",['病院'],NO,病院,NO,NO
4,病院,ので、熱を測ったところ、三十九．九℃もあるし寒いのか震えてました。即病院。鼻の奥までつっこまれて、大泣きしてかわいそうにと見守りつつ、結果を待つ,"['ので', '、', '熱', 'を', '測った', 'ところ', '、', '三十九', '．', '九', '℃', 'も', 'ある', 'し', '寒い', 'の', 'か', '震えて', 'ました', '。', '即', '病院', '。', '鼻', 'の', '奥', 'まで', 'つっこま', 'れて', '、', '大', '泣き', 'して', 'かわいそうに', 'と', '見守り', 'つつ', '、', '結果', 'を', '待つ']",['病院'],NO,病院,NO,NO
5,病院,、基礎体温などをはかり始めたり、また、どれくらいの期間それでも授からない場合、病院に通い始めるのでしょうか？参考までに聞かせて下さい。宜しくお願いいたします。私の場合、,"['、', '基礎', '体温', 'など', 'を', 'はかり', '始めたり', '、', 'また', '、', 'どれ', 'くらい', 'の', '期間', 'それ', 'でも', '授から', 'ない', '場合', '、', '病院', 'に', '通い', '始める', 'のでしょう', 'か', '？', '参考', 'まで', 'に', '聞か', 'せて', '下さい', '。', '宜しく', 'お', '願い', 'いたし', 'ます', '。', '私', 'の', '場合', '、']",['病院'],NO,病院,NO,NO
6,病院,の跡で見る影もない。土曜の夜、悪夢の夜。あの夜はずっと病院にいて、ふたつの死体が車のトランクで腐っていくあいだも、カメラを向け,"['の', '跡', 'で', '見る', '影', 'も', 'ない', '。', '土曜', 'の', '夜', '、', '悪夢', 'の', '夜', '。', 'あの', '夜', 'は', 'ずっと', '病院', 'に', 'いて', '、', 'ふた', 'つ', 'の', '死体', 'が', '車', 'の', 'トランク', 'で', '腐って', 'いく', 'あいだ', 'も', '、', 'カメラ', 'を', '向け']",['病院'],NO,病院,NO,NO
7,病院,は入院に厚く外来に薄い評価であったため，小規模病院，特に入院外来比率の高い地域密着型の病院にあっては，公表された改定率を確保し得なかったり，職員不足によるペナルティーとあいまって,"['は', '入院', 'に', '厚く', '外来', 'に', '薄い', '評価', 'であった', 'ため', '，', '小', '規模', '病院', '，', '特に', '入院', '外来', '比率', 'の', '高い', '地域', '密着', '型', 'の', '病院', 'に', 'あって', 'は', '，', '公表', 'さ', 'れた', '改定', '率', 'を', '確保', 'し', '得', 'なかったり', '，', '職員', '不足', 'に', 'よる', 'ペナルティー', 'と', 'あいまって']",['病院'],NO,病院,NO,NO
8,病院,は入院に厚く外来に薄い評価であったため，小規模病院，特に入院外来比率の高い地域密着型の病院にあっては，公表された改定率を確保し得なかったり，職員不足によるペナルティーとあいまって,"['は', '入院', 'に', '厚く', '外来', 'に', '薄い', '評価', 'であった', 'ため', '，', '小', '規模', '病院', '，', '特に', '入院', '外来', '比率', 'の', '高い', '地域', '密着', '型', 'の', '病院', 'に', 'あって', 'は', '，', '公表', 'さ', 'れた', '改定', '率', 'を', '確保', 'し', '得', 'なかったり', '，', '職員', '不足', 'に', 'よる', 'ペナルティー', 'と', 'あいまって']",['病院'],NO,病院,NO,NO
9,病院,、主人と仲良くしたからだと思いますが…痛くなくても続くようなら病院に行った方がイイですか！？張ってる時、お腹の子はどぅなってるのでしょうか,"['、', '主人', 'と', '仲良く', 'した', 'から', 'だ', 'と', '思い', 'ます', 'が', '…', '痛く', 'なくて', 'も', '続く', 'よう', 'なら', '病院', 'に', '行った', '方', 'が', 'イイ', 'です', 'か', '！', '？', '張って', 'る', '時', '、', 'お腹', 'の', '子', 'は', 'ど', 'ぅ', 'なって', 'る', 'のでしょう', 'か']",['病院'],NO,病院,NO,NO
