,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,登場,者で相当思い切った相場を張ったものです。その相手は田附さんでこの二人の登場で三品は非常に活気づきましたが、さらに二人にチョウチンがついてにぎわったもの,"['者', 'で', '相当', '思い切った', '相場', 'を', '張った', 'もの', 'です', '。', 'その', '相手', 'は', '田', '附', 'さん', 'で', 'この', '二', '人', 'の', '登場', 'で', '三', '品', 'は', '非常に', '活気づき', 'ました', 'が', '、', 'さらに', '二', '人', 'に', 'チョウチン', 'が', 'ついて', 'にぎわった', 'もの']",['登場'],NO,登場,NO,NO
1,登場,の悩み。電気自動車の開発でもこの問題がネックで、軽量で高性能のバッテリーの登場が待たれていた。ポスト石油のエネルギー源「この問題は、各社ともトップシークレットに属する（,"['の', '悩み', '。', '電気', '自動車', 'の', '開発', 'でも', 'この', '問題', 'が', 'ネック', 'で', '、', '軽量', 'で', '高', '性能', 'の', 'バッテリー', 'の', '登場', 'が', '待た', 'れて', 'いた', '。', 'ポスト', '石油', 'の', 'エネルギー', '源', '「', 'この', '問題', 'は', '、', '各社', 'と', 'も', 'トップシークレット', 'に', '属する', '（']",['登場'],NO,登場,NO,NO
2,登場,大王に擁立されたのは、敏達天皇の大后・額田部皇子でした。わが国最初の女帝・推古天皇の登場です。『日本書紀』は彼女の容姿について、「姿色端麗」と明記しています。,"['大王', 'に', '擁立', 'さ', 'れた', 'の', 'は', '、', '敏', '達', '天皇', 'の', '大', '后', '・', '額田', '部', '皇子', 'でした', '。', 'わが国', '最初', 'の', '女帝', '・', '推', '古', '天皇', 'の', '登場', 'です', '。', '『', '日本', '書紀', '』', 'は', '彼女', 'の', '容姿', 'に', 'ついて', '、', '「', '姿', '色', '端', '麗', '」', 'と', '明記', 'して', 'い', 'ます', '。']",['登場'],NO,登場,NO,NO
3,登場,しかし、神楽の記憶喪失、東京に「心霊スポット」の出現、黄泉に似た少女の登場。また非日常が始まりそうな予感ｗｗｗ,"['しかし', '、', '神楽', 'の', '記憶', '喪失', '、', '東京', 'に', '「', '心', '霊', 'スポット', '」', 'の', '出現', '、', '黄泉', 'に', '似た', '少女', 'の', '登場', '。', 'また', '非', '日常', 'が', '始まり', 'そうな', '予感', 'ｗｗｗ']",['登場'],NO,登場,NO,NO
4,登場,よね、いろいろと（笑）個人的なイメージだと、某バーローさんあたりかなぁｗリブの登場は、２／二十五発売のＣＤ「朝露の書」から。道臣の登場は、３／二十五発売のＣＤ,"['よ', 'ね', '、', 'いろいろ', 'と', '（', '笑', '）', '個人', '的な', 'イメージ', 'だ', 'と', '、', '某', 'バーロー', 'さん', 'あたり', 'かな', 'ぁ', 'ｗ', 'リブ', 'の', '登場', 'は', '、', '２', '／', '二十五', '発売', 'の', 'ＣＤ', '「', '朝露', 'の', '書', '」', 'から', '。', '道', '臣', 'の', '登場', 'は', '、', '３', '／', '二十五', '発売', 'の', 'ＣＤ']",['登場'],NO,登場,NO,NO
5,登場,よね、いろいろと（笑）個人的なイメージだと、某バーローさんあたりかなぁｗリブの登場は、２／二十五発売のＣＤ「朝露の書」から。道臣の登場は、３／二十五発売のＣＤ,"['よ', 'ね', '、', 'いろいろ', 'と', '（', '笑', '）', '個人', '的な', 'イメージ', 'だ', 'と', '、', '某', 'バーロー', 'さん', 'あたり', 'かな', 'ぁ', 'ｗ', 'リブ', 'の', '登場', 'は', '、', '２', '／', '二十五', '発売', 'の', 'ＣＤ', '「', '朝露', 'の', '書', '」', 'から', '。', '道', '臣', 'の', '登場', 'は', '、', '３', '／', '二十五', '発売', 'の', 'ＣＤ']",['登場'],NO,登場,NO,NO
6,登場,「屍姫」より、死してなお復讐のために戦い続けるヒロイン「星村眞姫那」がｆｉｇｍａとなって登場！こちらは「スクールバック」が付属した初回版になります。（スクールバックは３色のうち,"['「', '屍', '姫', '」', 'より', '、', '死', 'して', 'なお', '復讐', 'の', 'ため', 'に', '戦い', '続ける', 'ヒロイン', '「', '星', '村', '眞', '姫', '那', '」', 'が', 'ｆｉｇｍａ', 'と', 'なって', '登場', '！', 'こちら', 'は', '「', 'スクール', 'バック', '」', 'が', '付属', 'した', '初回', '版', 'に', 'なり', 'ます', '。', '（', 'スクール', 'バック', 'は', '３', '色', 'の', 'うち']",['登場'],NO,登場,NO,NO
7,登場,に立ちはだかり、ひとびとがそこに入って行くのに決意を求めた。鉄道の登場は、ただでさえ陸続きの小宇宙であったヨーロッパを一段と狭くして、旅行の,"['に', '立ちはだかり', '、', 'ひとびと', 'が', 'そこ', 'に', '入って', '行く', 'の', 'に', '決意', 'を', '求めた', '。', '鉄道', 'の', '登場', 'は', '、', 'ただ', 'で', 'さえ', '陸', '続き', 'の', '小', '宇宙', 'であった', 'ヨーロッパ', 'を', '一', '段', 'と', '狭く', 'して', '、', '旅行', 'の']",['登場'],NO,登場,NO,NO
8,登場,上ってきて、合図し幕をあけさせる。アンティオキュスも少し遅れて、同じ場所から登場。舞台は一向に明るくならない。右側の石の前にある香炉の煙は,"['上って', 'きて', '、', '合図', 'し', '幕', 'を', 'あけ', 'させる', '。', 'アンティオキュス', 'も', '少し', '遅れて', '、', '同じ', '場所', 'から', '登場', '。', '舞台', 'は', '一向に', '明るく', 'なら', 'ない', '。', '右', '側', 'の', '石', 'の', '前', 'に', 'ある', '香炉', 'の', '煙', 'は']",['登場'],NO,登場,NO,NO
9,登場,はないけど、ジフン＆ヘソンの「人形」は何度か観ることができた。今回でヘソンの登場は最後だったけど・・・過去のものとはいえ「人形」が１位に返り咲いて,"['は', 'ない', 'けど', '、', 'ジフン', '＆', 'ヘソン', 'の', '「', '人形', '」', 'は', '何度', 'か', '観る', 'こと', 'が', 'できた', '。', '今回', 'で', 'ヘソン', 'の', '登場', 'は', '最後だった', 'けど', '・', '・', '・', '過去', 'の', 'もの', 'と', 'は', 'いえ', '「', '人形', '」', 'が', '１', '位', 'に', '返り咲いて']",['登場'],NO,登場,NO,NO
10,登場,た免疫細胞どうしの情報伝達のために産生されるのが、サイトカインの一種であるインターロイキン。インターロイキンの登場によって、細胞間の情報伝達がスムーズになり、免疫細胞が活性化してガンを撃退できるわけです。,"['た', '免疫', '細胞', 'どうし', 'の', '情報', '伝達', 'の', 'ため', 'に', '産', '生', 'さ', 'れる', 'の', 'が', '、', 'サイトカイン', 'の', '一種', 'である', 'インターロイキン', '。', 'インターロイキン', 'の', '登場', 'に', 'よって', '、', '細胞', '間', 'の', '情報', '伝達', 'が', 'スムーズに', 'なり', '、', '免疫', '細胞', 'が', '活性', '化', 'して', 'ガン', 'を', '撃退', 'できる', 'わけです', '。']",['登場'],NO,登場,NO,NO
11,登場,元気な大和さんが登場。髪も短くさっぱりと・・・ラルフのアラレちゃん見ちゃいました。雪組本が出,"['元気な', '大和', 'さん', 'が', '登場', '。', '髪', 'も', '短く', 'さっぱり', 'と', '・', '・', '・', 'ラルフ', 'の', 'アラレ', 'ちゃん', '見ちゃ', 'い', 'ました', '。', '雪', '組', '本', 'が', '出']",['登場'],NO,登場,NO,NO
12,登場,よ（笑）。『ミステリーＤＸ』の「黒猫の三角」ですが、林さんが登場。渋いですね。和泉桂氏の『約束のキス』をちょっとだけ拝読（途中から、,"['よ', '（', '笑', '）', '。', '『', 'ミステリー', 'ＤＸ', '』', 'の', '「', '黒', '猫', 'の', '三角', '」', 'です', 'が', '、', '林', 'さん', 'が', '登場', '。', '渋い', 'です', 'ね', '。', '和泉', '桂', '氏', 'の', '『', '約束', 'の', 'キス', '』', 'を', 'ちょっと', 'だけ', '拝読', '（', '途中', 'から', '、']",['登場'],NO,登場,NO,NO
13,登場,尚真王の時代（十五世紀末から十六世紀前半）は独自の文化が栄えている。しかしポルトガル人の登場は、それまで順調であった東アジアにおける琉球の中継貿易をしだいに停滞させていった,"['尚', '真', '王', 'の', '時代', '（', '十五', '世紀', '末', 'から', '十六', '世紀', '前半', '）', 'は', '独自の', '文化', 'が', '栄えて', 'いる', '。', 'しかし', 'ポルトガル', '人', 'の', '登場', 'は', '、', 'それ', 'まで', '順調であった', '東', 'アジア', 'に', 'おける', '琉球', 'の', '中継', '貿易', 'を', 'しだいに', '停滞', 'さ', 'せて', 'いった']",['登場'],NO,登場,NO,NO
14,登場,スヌーピー情報です。真夏の商品が続々登場の続報！１ＳＮＯＯＰＹＳｔａｒシリーズ＊ＳＮＯＯＰＹＳｔａｒ★ｄ’ｏｒペンダントとブレスレットＳＨＥＩＬＡさんが企画・プロデュースするファッションブランド「,"['スヌーピー', '情報', 'です', '。', '真', '夏', 'の', '商品', 'が', '続々', '登場', 'の', '続報', '！', '１', 'ＳＮＯＯＰＹＳｔａｒ', 'シリーズ', '＊', 'ＳＮＯＯＰＹＳｔａｒ', '★', 'ｄ', '’', 'ｏｒ', 'ペンダント', 'と', 'ブレスレット', 'ＳＨＥＩＬＡ', 'さん', 'が', '企画', '・', 'プロデュース', 'する', 'ファッションブランド', '「']",['登場'],NO,登場,NO,NO
15,登場,地球のともだち」東京初演が行われる。（→Ｐ百七十四）ロン・ティボー国際音楽コンクールガラ・コンサートスタニスラフ・ブーニンの登場が話題のロン・ティボー国際音楽コンクールガラ・コンサートに、新たな話題がまたひとつ。昨年最年少優勝を果たした山田晃子,"['地球', 'の', 'ともだち', '」', '東京', '初演', 'が', '行わ', 'れる', '。', '（', '→', 'Ｐ', '百七十四', '）', 'ロン', '・', 'ティボー', '国際', '音楽', 'コンクールガラ', '・', 'コンサートスタニスラフ', '・', 'ブーニン', 'の', '登場', 'が', '話題', 'の', 'ロン', '・', 'ティボー', '国際', '音楽', 'コンクールガラ', '・', 'コンサート', 'に', '、', '新たな', '話題', 'が', 'また', 'ひと', 'つ', '。', '昨年', '最', '年少', '優勝', 'を', '果たした', '山田', '晃子']",['登場'],NO,登場,NO,NO
16,登場,現代におけるポピュラー文化の社会的意味は、大衆文化の理念がみさだめた道筋からたどることができる。マス・メディアの登場と商品化された文化、それにレジャーの増加が問題や関心や議論をひきおこした,"['現代', 'に', 'おける', 'ポピュラー', '文化', 'の', '社会', '的', '意味', 'は', '、', '大衆', '文化', 'の', '理念', 'が', 'みさだめた', '道筋', 'から', 'たどる', 'こと', 'が', 'できる', '。', 'マス', '・', 'メディア', 'の', '登場', 'と', '商品', '化', 'さ', 'れた', '文化', '、', 'それ', 'に', 'レジャー', 'の', '増加', 'が', '問題', 'や', '関心', 'や', '議論', 'を', 'ひきおこした']",['登場'],NO,登場,NO,NO
17,登場,ＴｈｅＤＵＦＦＥＲｏｆＳＴ．ＧＥＯＲＧＥＵ．Ｋ．カジュアルスタイルの定番〈ザ・ダファー・オブ・セントジョージ〉から登場のニットポロ。￥一万六千八百／ＤＵＰＥＣＨＥＣＫＰＯＩＮＴムラ染めされ独特の雰囲気に仕上げた〈チェックポイント,"['ＴｈｅＤＵＦＦＥＲｏｆＳＴ', '．', 'ＧＥＯＲＧＥＵ', '．', 'Ｋ', '．', 'カジュアルスタイル', 'の', '定番', '〈', 'ザ', '・', 'ダファー', '・', 'オブ', '・', 'セントジョージ', '〉', 'から', '登場', 'の', 'ニットポロ', '。￥', '一万六千八百', '／', 'ＤＵＰＥＣＨＥＣＫＰＯＩＮＴ', 'ムラ', '染め', 'さ', 'れ', '独特の', '雰囲気', 'に', '仕上げた', '〈', 'チェック', 'ポイント']",['登場'],NO,登場,NO,NO
18,登場,Ｄ‐２ＯＰＥＮ３．２９エドウインショップ南堀江ＴＥＬ０６・６５３６・１７０２待ちに待った直営店が登場！今後は限定＆先行販売も。関西初となる〈エドウイン〉直営店が誕生。２階には,"['Ｄ', '‐', '２', 'ＯＰＥＮ', '３', '．', '２９', 'エドウインショップ', '南', '堀江', 'ＴＥＬ', '０６・６５３６・１７０２', '待ちに待った', '直営', '店', 'が', '登場', '！', '今後', 'は', '限定', '＆', '先行', '販売', 'も', '。', '関西', '初', 'と', 'なる', '〈', 'エドウイン', '〉', '直営', '店', 'が', '誕生', '。', '２', '階', 'に', 'は']",['登場'],NO,登場,NO,NO
19,登場,のムス子さんの登場が見つかりません。もしかして未収録なのでしょうか？２回目の登場ではどんな話だったのか知りたいです。ご存知の方、教えて下さい。こんばんは,"['の', 'ムス', '子', 'さん', 'の', '登場', 'が', '見つかり', 'ませ', 'ん', '。', 'もし', 'かして', '未', '収録', 'な', 'のでしょう', 'か', '？', '２', '回', '目', 'の', '登場', 'で', 'は', 'どんな', '話', 'だった', 'の', 'か', '知り', 'たい', 'です', '。', 'ご存知', 'の', '方', '、', '教えて', '下さい', '。', 'こんばんは']",['登場'],NO,登場,NO,NO
20,登場,のムス子さんの登場が見つかりません。もしかして未収録なのでしょうか？２回目の登場ではどんな話だったのか知りたいです。ご存知の方、教えて下さい。こんばんは,"['の', 'ムス', '子', 'さん', 'の', '登場', 'が', '見つかり', 'ませ', 'ん', '。', 'もし', 'かして', '未', '収録', 'な', 'のでしょう', 'か', '？', '２', '回', '目', 'の', '登場', 'で', 'は', 'どんな', '話', 'だった', 'の', 'か', '知り', 'たい', 'です', '。', 'ご存知', 'の', '方', '、', '教えて', '下さい', '。', 'こんばんは']",['登場'],NO,登場,NO,NO
21,登場,昨日の鬼玉・・・ゲストはジョイマンさんでしたね！ゲストコーナーだけではなく、エンディングにも登場！どんどんネタが披露されていきましたが、ジョイマンさんのネタは池谷さんがキーみたいです,"['昨日', 'の', '鬼', '玉', '・', '・', '・', 'ゲスト', 'は', 'ジョイマン', 'さん', 'でした', 'ね', '！', 'ゲストコーナー', 'だけ', 'で', 'は', 'なく', '、', 'エンディング', 'に', 'も', '登場', '！', 'どんどん', 'ネタ', 'が', '披露', 'さ', 'れて', 'いき', 'ました', 'が', '、', 'ジョイマン', 'さん', 'の', 'ネタ', 'は', '池谷', 'さん', 'が', 'キー', 'みたいです']",['登場'],NO,登場,NO,NO
22,登場,位置まで這い上がってきたし、もちろんこれからも攻め続けますよ！今シーズン２度目の登場となる予選終了後のトップ３記者会見。「自分のやるべきことをすべてやった結果が、,"['位置', 'まで', '這い上がって', 'きたし', '、', 'もちろん', 'これ', 'から', 'も', '攻め', '続け', 'ます', 'よ', '！', '今', 'シーズン', '２', '度', '目', 'の', '登場', 'と', 'なる', '予選', '終了', '後', 'の', 'トップ', '３', '記者', '会見', '。', '「', '自分', 'の', 'やる', 'べき', 'こと', 'を', 'すべて', 'やった', '結果', 'が', '、']",['登場'],NO,登場,NO,NO
23,登場,不毛な議論。『三国志Ⅹ』的発想。順当に行けば、諸葛亮大先生だが…軍師殿は登場が遅い。劉皇叔がそこまで最後の貞操を守っていられるかは微妙な所,"['不毛な', '議論', '。', '『', '三', '国', '志', 'Ⅹ', '』', '的', '発想', '。', '順当に', '行けば', '、', '諸葛亮', '大', '先生', 'だ', 'が', '…', '軍', '師', '殿', 'は', '登場', 'が', '遅い', '。', '劉皇', '叔', 'が', 'そこ', 'まで', '最後の', '貞操', 'を', '守って', 'い', 'られる', 'か', 'は', '微妙な', '所']",['登場'],NO,登場,NO,NO
24,登場,好感度に便乗して企業イメージを売り込もうというこれまでとは発想の逆転した「広告」の登場ということになろう．ところで，ファッションとしてのスポーツなどというと，一見したところ流行現象,"['好感', '度', 'に', '便乗', 'して', '企業', 'イメージ', 'を', '売り', '込もう', 'と', 'いう', 'これ', 'まで', 'と', 'は', '発想', 'の', '逆転', 'した', '「', '広告', '」', 'の', '登場', 'と', 'いう', 'こと', 'に', 'なろう', '．', 'ところで', '，', 'ファッション', 'と', 'して', 'の', 'スポーツ', 'など', 'と', 'いう', 'と', '，', '一見', 'した', 'ところ', '流行', '現象']",['登場'],NO,登場,NO,NO
25,登場,ブルマーは女性解放の象徴であって、全然コーフンしないもんね〜。町田ところが、ブルセラブームの登場で、ブルマーは一転してワイセツなイメージになってしまうのであった。串間九十四年、愛知県,"['ブルマー', 'は', '女性', '解放', 'の', '象徴', 'であって', '、', '全然', 'コーフン', 'し', 'ない', 'もん', 'ね', '〜', '。', '町田', 'ところ', 'が', '、', 'ブルセラブーム', 'の', '登場', 'で', '、', 'ブルマー', 'は', '一転', 'して', 'ワイセツ', 'な', 'イメージ', 'に', 'なって', 'しまう', 'のであった', '。', '串間', '九十四', '年', '、', '愛知', '県']",['登場'],NO,登場,NO,NO
26,登場,の男の激しい生きざまを描いている。当時、巷の話題をさらっていたジェット機の登場をタイムリーにとらえ、“コメット”“バンパイヤ百十三”“アタッカー”“スウィフト”など、,"['の', '男', 'の', '激しい', '生き', 'ざま', 'を', '描いて', 'いる', '。', '当時', '、', '巷', 'の', '話題', 'を', 'さらって', 'いた', 'ジェット機', 'の', '登場', 'を', 'タイムリーに', 'とらえ', '、', '“', 'コメット', '”', '“', 'バンパイヤ', '百十三', '”', '“', 'アタッカー', '”', '“', 'スウィフト', '”', 'など', '、']",['登場'],NO,登場,NO,NO
