,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,看護師,で定めるものを除く。）ハ助産師保健師助産師看護師法第三条及び第五条に規定する業ニ看護師保健師助産師看護師法第五条に規定する業ホ歯科衛生士歯科衛生士法（昭和二十三年法律第二百四号）第二条第一項及び,"['で', '定める', 'もの', 'を', '除く', '。', '）', 'ハ', '助産', '師', '保健', '師', '助産', '師', '看護', '師', '法', '第', '三', '条', '及び', '第', '五', '条', 'に', '規定', 'する', '業', 'ニ', '看護', '師', '保健', '師', '助産', '師', '看護', '師', '法', '第', '五', '条', 'に', '規定', 'する', '業', 'ホ', '歯科', '衛生', '士', '歯科', '衛生', '士', '法', '（', '昭和', '二十三', '年', '法律', '第', '二百四', '号', '）', '第', '二', '条', '第', '一', '項', '及び']","['看護', '師']",YES,看護師,NO,NO
1,看護師,で定めるものを除く。）ハ助産師保健師助産師看護師法第三条及び第五条に規定する業ニ看護師保健師助産師看護師法第五条に規定する業ホ歯科衛生士歯科衛生士法（昭和二十三年法律第二百四号）第二条第一項及び,"['で', '定める', 'もの', 'を', '除く', '。', '）', 'ハ', '助産', '師', '保健', '師', '助産', '師', '看護', '師', '法', '第', '三', '条', '及び', '第', '五', '条', 'に', '規定', 'する', '業', 'ニ', '看護', '師', '保健', '師', '助産', '師', '看護', '師', '法', '第', '五', '条', 'に', '規定', 'する', '業', 'ホ', '歯科', '衛生', '士', '歯科', '衛生', '士', '法', '（', '昭和', '二十三', '年', '法律', '第', '二百四', '号', '）', '第', '二', '条', '第', '一', '項', '及び']","['看護', '師']",YES,看護師,NO,NO
2,看護師,で定めるものを除く。）ハ助産師保健師助産師看護師法第三条及び第五条に規定する業ニ看護師保健師助産師看護師法第五条に規定する業ホ歯科衛生士歯科衛生士法（昭和二十三年法律第二百四号）第二条第一項及び,"['で', '定める', 'もの', 'を', '除く', '。', '）', 'ハ', '助産', '師', '保健', '師', '助産', '師', '看護', '師', '法', '第', '三', '条', '及び', '第', '五', '条', 'に', '規定', 'する', '業', 'ニ', '看護', '師', '保健', '師', '助産', '師', '看護', '師', '法', '第', '五', '条', 'に', '規定', 'する', '業', 'ホ', '歯科', '衛生', '士', '歯科', '衛生', '士', '法', '（', '昭和', '二十三', '年', '法律', '第', '二百四', '号', '）', '第', '二', '条', '第', '一', '項', '及び']","['看護', '師']",YES,看護師,NO,NO
3,看護師,３以下の行為は一定以上の臨床経験を有し，かつ，一定の教育を受けた看護師のみが実施できるものとする。例えば，認定看護師，専門看護師のほか，将来的には輸液療法看護師など,"['３', '以下', 'の', '行為', 'は', '一定', '以上', 'の', '臨床', '経験', 'を', '有し', '，', 'かつ', '，', '一定', 'の', '教育', 'を', '受けた', '看護', '師', 'のみ', 'が', '実施', 'できる', 'もの', 'と', 'する', '。', '例えば', '，', '認定', '看護', '師', '，', '専門', '看護', '師', 'の', 'ほか', '，', '将来', '的に', 'は', '輸液', '療法', '看護', '師', 'など']","['看護', '師']",YES,看護師,NO,NO
4,看護師,３以下の行為は一定以上の臨床経験を有し，かつ，一定の教育を受けた看護師のみが実施できるものとする。例えば，認定看護師，専門看護師のほか，将来的には輸液療法看護師など,"['３', '以下', 'の', '行為', 'は', '一定', '以上', 'の', '臨床', '経験', 'を', '有し', '，', 'かつ', '，', '一定', 'の', '教育', 'を', '受けた', '看護', '師', 'のみ', 'が', '実施', 'できる', 'もの', 'と', 'する', '。', '例えば', '，', '認定', '看護', '師', '，', '専門', '看護', '師', 'の', 'ほか', '，', '将来', '的に', 'は', '輸液', '療法', '看護', '師', 'など']","['看護', '師']",YES,看護師,NO,NO
5,看護師,３以下の行為は一定以上の臨床経験を有し，かつ，一定の教育を受けた看護師のみが実施できるものとする。例えば，認定看護師，専門看護師のほか，将来的には輸液療法看護師など,"['３', '以下', 'の', '行為', 'は', '一定', '以上', 'の', '臨床', '経験', 'を', '有し', '，', 'かつ', '，', '一定', 'の', '教育', 'を', '受けた', '看護', '師', 'のみ', 'が', '実施', 'できる', 'もの', 'と', 'する', '。', '例えば', '，', '認定', '看護', '師', '，', '専門', '看護', '師', 'の', 'ほか', '，', '将来', '的に', 'は', '輸液', '療法', '看護', '師', 'など']","['看護', '師']",YES,看護師,NO,NO
6,看護師,３以下の行為は一定以上の臨床経験を有し，かつ，一定の教育を受けた看護師のみが実施できるものとする。例えば，認定看護師，専門看護師のほか，将来的には輸液療法看護師など,"['３', '以下', 'の', '行為', 'は', '一定', '以上', 'の', '臨床', '経験', 'を', '有し', '，', 'かつ', '，', '一定', 'の', '教育', 'を', '受けた', '看護', '師', 'のみ', 'が', '実施', 'できる', 'もの', 'と', 'する', '。', '例えば', '，', '認定', '看護', '師', '，', '専門', '看護', '師', 'の', 'ほか', '，', '将来', '的に', 'は', '輸液', '療法', '看護', '師', 'など']","['看護', '師']",YES,看護師,NO,NO
7,看護師,看護師さんごめんなさい。私の周りで問題児のお母さんが看護師だという事が多いです。「お母さんが看護婦だから・・・。」ってよく,"['看護', '師', 'さん', 'ごめんなさい', '。', '私', 'の', '周り', 'で', '問題', '児', 'の', 'お', '母さん', 'が', '看護', '師', 'だ', 'と', 'いう', '事', 'が', '多い', 'です', '。', '「', 'お', '母さん', 'が', '看護', '婦', 'だ', 'から', '・', '・', '・', '。', '」', 'って', 'よく']","['看護', '師']",YES,看護師,NO,NO
8,看護師,看護師さんごめんなさい。私の周りで問題児のお母さんが看護師だという事が多いです。「お母さんが看護婦だから・・・。」ってよく,"['看護', '師', 'さん', 'ごめんなさい', '。', '私', 'の', '周り', 'で', '問題', '児', 'の', 'お', '母さん', 'が', '看護', '師', 'だ', 'と', 'いう', '事', 'が', '多い', 'です', '。', '「', 'お', '母さん', 'が', '看護', '婦', 'だ', 'から', '・', '・', '・', '。', '」', 'って', 'よく']","['看護', '師']",YES,看護師,NO,NO
9,看護師,と折れそうになった。「きみは前世、カーレーサーだったと見えるね」看護師は返事をしなかったが、マックは急いで降りるつもりはなかった。彼女の,"['と', '折れ', 'そうに', 'なった', '。', '「', 'きみ', 'は', '前世', '、', 'カーレーサー', 'だった', 'と', '見える', 'ね', '」', '看護', '師', 'は', '返事', 'を', 'し', 'なかった', 'が', '、', 'マック', 'は', '急いで', '降りる', 'つもり', 'は', 'なかった', '。', '彼女', 'の']","['看護', '師']",YES,看護師,NO,NO
10,看護師,？（混合は別です）母乳育児を頑張ってるお母さんどう思われますか？私は看護師ですが、母乳にまさるものはないと考えています。スキンシップもとれて母親と,"['？', '（', '混合', 'は', '別です', '）', '母乳', '育児', 'を', '頑張って', 'る', 'お', '母さん', 'どう', '思わ', 'れ', 'ます', 'か', '？', '私', 'は', '看護', '師', 'です', 'が', '、', '母乳', 'に', 'まさる', 'もの', 'は', 'ない', 'と', '考えて', 'い', 'ます', '。', 'スキンシップ', 'も', 'とれて', '母親', 'と']","['看護', '師']",YES,看護師,NO,NO
