,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,研究家,の苦心。国漢系統は寺子屋・私塾教師の横すべりで十分間に合ったが、理化系については、街の研究家を探しまわった。数学の先生がいないので、珠算実技の名目で大店の番頭を,"['の', '苦心', '。', '国', '漢', '系統', 'は', '寺子屋', '・', '私塾', '教師', 'の', '横すべり', 'で', '十分', '間に合った', 'が', '、', '理化', '系', 'に', 'ついて', 'は', '、', '街', 'の', '研究', '家', 'を', '探し', 'まわった', '。', '数学', 'の', '先生', 'が', 'い', 'ない', 'ので', '、', '珠算', '実技', 'の', '名目', 'で', '大店', 'の', '番頭', 'を']","['研究', '家']",YES,研究家,NO,NO
1,研究家,話などが潤色されてのちに伝わった。文彦は、下田の医師でお吉の研究家であった村松という医師とも交際していた。お吉は零落して、五十歳のときに蓮台寺,"['話', 'など', 'が', '潤', '色', 'さ', 'れて', 'のち', 'に', '伝わった', '。', '文彦', 'は', '、', '下田', 'の', '医師', 'で', 'お', '吉', 'の', '研究', '家', 'であった', '村松', 'と', 'いう', '医師', 'と', 'も', '交際', 'して', 'いた', '。', 'お', '吉', 'は', '零', '落して', '、', '五十', '歳', 'の', 'とき', 'に', '蓮', '台', '寺']","['研究', '家']",YES,研究家,NO,NO
2,研究家,。キャリアの出発点である脚本家としての評価も高く、時代が大きく転換した十九世紀にこだわり続ける研究家として、多くの傑作をモノにしている。監督作’八十六年『きのうの夜は…,"['。', 'キャリア', 'の', '出発', '点', 'である', '脚本', '家', 'と', 'して', 'の', '評価', 'も', '高く', '、', '時代', 'が', '大きく', '転換', 'した', '十九', '世紀', 'に', 'こだわり', '続ける', '研究', '家', 'と', 'して', '、', '多く', 'の', '傑作', 'を', 'モノ', 'に', 'して', 'いる', '。', '監督', '作', '’', '八十六', '年', '『', 'きのう', 'の', '夜', 'は', '…']","['研究', '家']",YES,研究家,NO,NO
3,研究家,ほうが虐待にあいやすいという事実などと関連がある（ＭｃＣｒｅａｄｉｅ，千九百九十六）。著名な研究家であるグンヒル・Ｏ・ハッゲスタ（ＧｕｎｈｉｌｄＯ．Ｈａｇｅｓｔａｄ）は、人口統計に現れている変化からわかるのは,"['ほうが', '虐待', 'にあい', 'やすい', 'と', 'いう', '事実', 'など', 'と', '関連', 'が', 'ある', '（', 'ＭｃＣｒｅａｄｉｅ', '，', '千九百九十六', '）', '。', '著名な', '研究', '家', 'である', 'グンヒル', '・', 'Ｏ', '・', 'ハッゲスタ', '（', 'ＧｕｎｈｉｌｄＯ', '．', 'Ｈａｇｅｓｔａｄ', '）', 'は', '、', '人口', '統計', 'に', '現れて', 'いる', '変化', 'から', 'わかる', 'の', 'は']","['研究', '家']",YES,研究家,NO,NO
4,研究家,しています）を世界中に紹介したりしています。事実を事実として紹介する健全な研究家です。この森田健さんが最近びっくりすることを紹介してくれました。神坂新太郎さんの「銀河運動装置」,"['して', 'い', 'ます', '）', 'を', '世界', '中', 'に', '紹介', 'したり', 'して', 'い', 'ます', '。', '事実', 'を', '事実', 'と', 'して', '紹介', 'する', '健全な', '研究', '家', 'です', '。', 'この', '森田', '健', 'さん', 'が', '最近', 'びっくり', 'する', 'こと', 'を', '紹介', 'して', 'くれ', 'ました', '。', '神', '坂', '新太郎', 'さん', 'の', '「', '銀河', '運動', '装置', '」']","['研究', '家']",YES,研究家,NO,NO
5,研究家,も知っていて、それを自分の遺偈に使ったのであろうか。昔から多くの研究家がそれをめぐって意見を交わしている。私は利休がそれを知っていて,"['も', '知って', 'いて', '、', 'それ', 'を', '自分', 'の', '遺', '偈', 'に', '使った', 'のであろう', 'か', '。', '昔', 'から', '多く', 'の', '研究', '家', 'が', 'それ', 'を', 'めぐって', '意見', 'を', '交わして', 'いる', '。', '私', 'は', '利', '休', 'が', 'それ', 'を', '知って', 'いて']","['研究', '家']",YES,研究家,NO,NO
6,研究家,海老塚医師がもったいぶった身振りで、「皆さん、ここに奥田利根吉郎先生を御紹介申し上げます。論語の研究家と申しますよりも、最も真摯誠実な論語の実践家であり、苦行者であり、聖者であり,"['海老', '塚', '医師', 'が', 'もったいぶった', '身振り', 'で', '、', '「', '皆さん', '、', 'ここ', 'に', '奥田', '利根', '吉郎', '先生', 'を', '御', '紹介', '申し上げ', 'ます', '。', '論', '語', 'の', '研究', '家', 'と', '申し', 'ます', 'より', 'も', '、', '最も', '真摯', '誠実な', '論', '語', 'の', '実践', '家', 'であり', '、', '苦行', '者', 'であり', '、', '聖者', 'であり']","['研究', '家']",YES,研究家,NO,NO
7,研究家,かかわっています。とりわけ、ぼくの友人でもあったルーリさんは、キルヒャーやアルドロヴァンディの研究家でもあった方で、そのものずばりの「ヴンダーカンマー」展をキュレートされたその千九百九十五年に急逝され,"['かかわって', 'い', 'ます', '。', 'とりわけ', '、', 'ぼく', 'の', '友人', 'で', 'も', 'あった', 'ルーリ', 'さん', 'は', '、', 'キルヒャー', 'や', 'アルドロヴァンディ', 'の', '研究', '家', 'で', 'も', 'あった', '方', 'で', '、', 'そのもの', 'ずばり', 'の', '「', 'ヴンダーカンマー', '」', '展', 'を', 'キュレート', 'さ', 'れた', 'その', '千九百九十五', '年', 'に', '急逝', 'さ', 'れ']","['研究', '家']",YES,研究家,NO,NO
8,研究家,がその村に入った百十三人目の外国人ということでした。一人目はイギリスの茶の研究家だったそうです。あちらで炊いてもらう赤米は、丹後で作っている米とほぼ,"['が', 'その', '村', 'に', '入った', '百十三', '人', '目', 'の', '外国', '人', 'と', 'いう', 'こと', 'でした', '。', '一', '人', '目', 'は', 'イギリス', 'の', '茶', 'の', '研究', '家', 'だった', 'そうです', '。', 'あちら', 'で', '炊いて', 'もらう', '赤米', 'は', '、', '丹後', 'で', '作って', 'いる', '米', 'と', 'ほぼ']","['研究', '家']",YES,研究家,NO,NO
9,研究家,の安全が保証され、ゾウにとってもいい運動になる」そう啓蒙した研究家がいたようですが、でもそれはゾウさんが何も運動しないよりは楽しいという,"['の', '安全', 'が', '保証', 'さ', 'れ', '、', 'ゾウ', 'に', 'とって', 'も', 'いい', '運動', 'に', 'なる', '」', 'そう', '啓蒙', 'した', '研究', '家', 'が', 'いた', 'ようです', 'が', '、', 'でも', 'それ', 'は', 'ゾウ', 'さん', 'が', '何も', '運動', 'し', 'ない', 'より', 'は', '楽しい', 'と', 'いう']","['研究', '家']",YES,研究家,NO,NO
10,研究家,反目日大理工学部教授井上謙さんはすでに千数百枚に及ぶ「評伝横光利一」を完成し、近く上梓しようという横光さんの研究家である。せっかく提供された資料で、しばらく追求してみよう。横光さんの「富ノ沢麟太郎の死の,"['反目', '日大', '理工', '学部', '教授', '井上', '謙', 'さん', 'は', 'すでに', '千', '数', '百', '枚', 'に', '及ぶ', '「', '評伝', '横', '光', '利一', '」', 'を', '完成', 'し', '、', '近く', '上', '梓', 'しよう', 'と', 'いう', '横', '光', 'さん', 'の', '研究', '家', 'である', '。', 'せっかく', '提供', 'さ', 'れた', '資料', 'で', '、', 'しばらく', '追求', 'して', 'みよう', '。', '横', '光', 'さん', 'の', '「', '富', 'ノ', '沢', '麟', '太郎', 'の', '死の']","['研究', '家']",YES,研究家,NO,NO
11,研究家,た世界的にも有名なコレクション。ここにはマンスフィールドに関するあらゆる資料が整っており，研究家は必ず訪れなければならない場所である。威風堂々とした，実に見事な建物である。１階正面,"['た', '世界', '的に', 'も', '有名な', 'コレクション', '。', 'ここ', 'に', 'は', 'マンスフィールド', 'に', '関する', 'あらゆる', '資料', 'が', '整って', 'おり', '，', '研究', '家', 'は', '必ず', '訪れ', 'なければ', 'なら', 'ない', '場所', 'である', '。', '威風堂々と', 'した', '，', '実に', '見事な', '建物', 'である', '。', '１', '階', '正面']","['研究', '家']",YES,研究家,NO,NO
12,研究家,交渉、さらに彼らの言葉だけでなく思想傾向や表現しにくい民族的特性まで熟知していることなどは、一般の研究家にたいして数段有利な地歩を私に与えてくれたのである。その上、私はこの,"['交渉', '、', 'さらに', '彼', 'ら', 'の', '言葉', 'だけ', 'で', 'なく', '思想', '傾向', 'や', '表現', 'し', 'にくい', '民族', '的', '特性', 'まで', '熟知', 'して', 'いる', 'こと', 'など', 'は', '、', '一般', 'の', '研究', '家', 'に', 'たいして', '数', '段', '有利な', '地歩', 'を', '私', 'に', '与えて', 'くれた', 'のである', '。', 'その', '上', '、', '私', 'は', 'この']","['研究', '家']",YES,研究家,NO,NO
13,研究家,フフフフ。Ｒ「おめえ、そんなことできんのか？」「俺はトム・ウェイツの研究家だからよー」って話になって、それで四曲書いたの。蜷川さんが書い,"['フフフフ', '。', 'Ｒ', '「', 'おめえ', '、', 'そんな', 'こと', 'でき', 'ん', 'の', 'か', '？', '」', '「', '俺', 'は', 'トム', '・', 'ウェイツ', 'の', '研究', '家', 'だ', 'から', 'よ', 'ー', '」', 'って', '話', 'に', 'なって', '、', 'それ', 'で', '四', '曲', '書いた', 'の', '。', '蜷川', 'さん', 'が', '書い']","['研究', '家']",YES,研究家,NO,NO
14,研究家,団体は、その本拠を米国に置く『国際根付研究会』です。千九百七十五年に発足し、収集家、研究家、ディーラー、それに作家たちもそのメンバーになっています。もちろん私も会員です。,"['団体', 'は', '、', 'その', '本拠', 'を', '米国', 'に', '置く', '『', '国際', '根付', '研究', '会', '』', 'です', '。', '千九百七十五', '年', 'に', '発足', 'し', '、', '収集', '家', '、', '研究', '家', '、', 'ディーラー', '、', 'それ', 'に', '作家', 'たち', 'も', 'その', 'メンバー', 'に', 'なって', 'い', 'ます', '。', 'もちろん', '私', 'も', '会員', 'です', '。']","['研究', '家']",YES,研究家,NO,NO
15,研究家,ジョージだけだった。世間の人びとも彼と同じ意見だろうか。「シェイクスピアの研究家なら、彼の人生の手がかりを求めて集められるかぎりの資料を検討するはずだ」,"['ジョージ', 'だけ', 'だった', '。', '世間', 'の', '人びと', 'も', '彼', 'と', '同じ', '意見', 'だろう', 'か', '。', '「', 'シェイクスピア', 'の', '研究', '家', 'なら', '、', '彼', 'の', '人生', 'の', '手がかり', 'を', '求めて', '集め', 'られる', 'かぎり', 'の', '資料', 'を', '検討', 'する', 'はずだ', '」']","['研究', '家']",YES,研究家,NO,NO
16,研究家,思いで帰国したという。その配転計画の全ぼうが二十二日（本紙朝刊一面）、江別市在住の研究家が見つけた極秘文書で明らかになった。朝鮮半島から出稼ぎや強制連行でサハリンに渡っ,"['思い', 'で', '帰国', 'した', 'と', 'いう', '。', 'その', '配転', '計画', 'の', '全ぼう', 'が', '二十二', '日', '（', '本紙', '朝刊', '一面', '）', '、', '江別', '市', '在住', 'の', '研究', '家', 'が', '見つけた', '極秘', '文書', 'で', '明らかに', 'なった', '。', '朝鮮', '半島', 'から', '出稼ぎ', 'や', '強制', '連行', 'で', 'サハリン', 'に', '渡っ']","['研究', '家']",YES,研究家,NO,NO
17,研究家,の光をうけてアサガオが花を開くのではないかと考えます。しかし、その研究家のたゆまぬ実験の結果、アサガオの花が開くためには、光とか、あたたかい,"['の', '光', 'を', 'うけて', 'アサガオ', 'が', '花', 'を', '開く', 'ので', 'は', 'ない', 'か', 'と', '考え', 'ます', '。', 'しかし', '、', 'その', '研究', '家', 'の', 'たゆま', 'ぬ', '実験', 'の', '結果', '、', 'アサガオ', 'の', '花', 'が', '開く', 'ため', 'に', 'は', '、', '光', 'と', 'か', '、', 'あたたかい']","['研究', '家']",YES,研究家,NO,NO
18,研究家,ということだった。外側からこれだけ正確に把握されたことには、韓国人の研究家は驚嘆して敬意を表し、内側からの把握をもってぶつかってゆくべきだと思った,"['と', 'いう', 'こと', 'だった', '。', '外側', 'から', 'これ', 'だけ', '正確に', '把握', 'さ', 'れた', 'こと', 'に', 'は', '、', '韓国', '人', 'の', '研究', '家', 'は', '驚嘆', 'して', '敬意', 'を', '表し', '、', '内側', 'から', 'の', '把握', 'を', 'もって', 'ぶつかって', 'ゆく', 'べきだ', 'と', '思った']","['研究', '家']",YES,研究家,NO,NO
19,研究家,敬遠されていたというのも、その種の「特殊世界人間説」の一つで、多くの研究家によって主張されていた。モーツァルト時代のウィーンの光景８ウィーンの宮廷図書館この宮廷図書館の,"['敬遠', 'さ', 'れて', 'いた', 'というのも', '、', 'その', '種', 'の', '「', '特殊', '世界', '人間', '説', '」', 'の', '一', 'つ', 'で', '、', '多く', 'の', '研究', '家', 'に', 'よって', '主張', 'さ', 'れて', 'いた', '。', 'モーツァルト', '時代', 'の', 'ウィーン', 'の', '光景', '８', 'ウィーン', 'の', '宮廷', '図書', '館', 'この', '宮廷', '図書', '館', 'の']","['研究', '家']",YES,研究家,NO,NO
20,研究家,それゆえ統治のために再度登場することになる。プレトンはプラトンや新プラトン主義者に加えて、皇帝ユリアヌスの研究家でもあり、カバラーの神秘についても無知ではなかった。『カルデア人の神託』を読み,"['それゆえ', '統治', 'の', 'ため', 'に', '再度', '登場', 'する', 'こと', 'に', 'なる', '。', 'プレトン', 'は', 'プラトン', 'や', '新', 'プラトン', '主義', '者', 'に', '加えて', '、', '皇帝', 'ユリアヌス', 'の', '研究', '家', 'で', 'も', 'あり', '、', 'カバラー', 'の', '神秘に', 'ついて', 'も', '無知で', 'は', 'なかった', '。', '『', 'カルデア', '人', 'の', '神託', '』', 'を', '読み']","['研究', '家']",YES,研究家,NO,NO
21,研究家,来月３〜８日「紙芝居屋」で生計を立てる父娘。離婚した母は有名な自然食品の研究家であるとともに、秘密クラブ経営者という裏の顔を持つ。ある日、父の元部下のテレビ局プロデューサーを,"['来月', '３', '〜', '８', '日', '「', '紙', '芝居', '屋', '」', 'で', '生計', 'を', '立てる', '父', '娘', '。', '離婚', 'した', '母', 'は', '有名な', '自然', '食品', 'の', '研究', '家', 'である', 'と', 'ともに', '、', '秘密', 'クラブ', '経営', '者', 'と', 'いう', '裏', 'の', '顔', 'を', '持つ', '。', 'ある', '日', '、', '父', 'の', '元', '部下', 'の', 'テレビ', '局', 'プロデューサー', 'を']","['研究', '家']",YES,研究家,NO,NO
22,研究家,縞と格子”のきものです。そこで、きものの楽しみ方を知り尽くした、きもの研究家の先生がたに、おすすめの縞と格子のきものと、そのコーディネートを教えていただきました,"['縞', 'と', '格子', '”', 'の', 'きもの', 'です', '。', 'そこ', 'で', '、', 'きもの', 'の', '楽しみ', '方', 'を', '知り', '尽くした', '、', 'きもの', '研究', '家', 'の', '先生', 'がた', 'に', '、', 'お', 'すすめ', 'の', '縞', 'と', '格子', 'の', 'きもの', 'と', '、', 'その', 'コーディネート', 'を', '教えて', 'いただき', 'ました']","['研究', '家']",YES,研究家,NO,NO
23,研究家,せます。ミズヘビというのはずいぶん陸のヘビとは違っているのです。ある熱心な研究家から聞いた話では、ミズヘビは毒を持たず、卵ではなく直に,"['せ', 'ます', '。', 'ミズヘビ', 'と', 'いう', 'の', 'は', 'ずいぶん', '陸', 'の', 'ヘビ', 'と', 'は', '違って', 'いる', 'のです', '。', 'ある', '熱心な', '研究', '家', 'から', '聞いた', '話', 'で', 'は', '、', 'ミズヘビ', 'は', '毒', 'を', '持た', 'ず', '、', '卵', 'で', 'は', 'なく', '直', 'に']","['研究', '家']",YES,研究家,NO,NO
24,研究家,室岡と対戦しているが、やはりかたくなっているように見えた。室岡は、棋士中随一の研究家である。いや、順位戦研究家というべきか。どんな将棋を指し、どれが得意でどれ,"['室', '岡', 'と', '対戦', 'して', 'いる', 'が', '、', 'やはり', 'かたく', 'なって', 'いる', 'ように', '見えた', '。', '室', '岡', 'は', '、', '棋士', '中', '随一', 'の', '研究', '家', 'である', '。', 'いや', '、', '順位', '戦', '研究', '家', 'と', 'いう', 'べき', 'か', '。', 'どんな', '将棋', 'を', '指し', '、', 'どれ', 'が', '得意で', 'どれ']","['研究', '家']",YES,研究家,NO,NO
25,研究家,室岡と対戦しているが、やはりかたくなっているように見えた。室岡は、棋士中随一の研究家である。いや、順位戦研究家というべきか。どんな将棋を指し、どれが得意でどれ,"['室', '岡', 'と', '対戦', 'して', 'いる', 'が', '、', 'やはり', 'かたく', 'なって', 'いる', 'ように', '見えた', '。', '室', '岡', 'は', '、', '棋士', '中', '随一', 'の', '研究', '家', 'である', '。', 'いや', '、', '順位', '戦', '研究', '家', 'と', 'いう', 'べき', 'か', '。', 'どんな', '将棋', 'を', '指し', '、', 'どれ', 'が', '得意で', 'どれ']","['研究', '家']",YES,研究家,NO,NO
26,研究家,）頃、伊勢市を最後に子どものあそびの中からは消えていった。大人の研究家の中には、まだこの仕掛けでヤンマを捕えている人はいるが、残念ながら,"['）', '頃', '、', '伊勢', '市', 'を', '最後に', '子ども', 'の', 'あそび', 'の', '中', 'から', 'は', '消えて', 'いった', '。', '大人', 'の', '研究', '家', 'の', '中', 'に', 'は', '、', 'まだ', 'この', '仕掛け', 'で', 'ヤンマ', 'を', '捕えて', 'いる', '人', 'は', 'いる', 'が', '、', '残念', 'ながら']","['研究', '家']",YES,研究家,NO,NO
27,研究家,はテイラーを処刑しようとする。一方、チンパンジーの動物心理学者（つまり下等動物である人間の心理の研究家）ジーラはテイラーに共感を寄せ、彼を救おうとする。映画はテイラーの視線,"['は', 'テイラー', 'を', '処刑', 'しよう', 'と', 'する', '。', '一方', '、', 'チンパンジー', 'の', '動物', '心理', '学者', '（', 'つまり', '下等', '動物', 'である', '人間', 'の', '心理', 'の', '研究', '家', '）', 'ジーラ', 'は', 'テイラー', 'に', '共感', 'を', '寄せ', '、', '彼', 'を', '救おう', 'と', 'する', '。', '映画', 'は', 'テイラー', 'の', '視線']","['研究', '家']",YES,研究家,NO,NO
28,研究家,内省的に描いた「俘慮記」「野火」で高い評価を得る。スタンダールや中原中也の研究家としても知られる。●井上靖千九百七〜千九百九十一小説家。現代社会の問題点を追究した新聞小説「氷壁」,"['内省', '的に', '描いた', '「', '俘慮', '記', '」', '「', '野火', '」', 'で', '高い', '評価', 'を', '得る', '。', 'スタンダール', 'や', '中原', '中也', 'の', '研究', '家', 'と', 'して', 'も', '知ら', 'れる', '。', '●', '井上', '靖', '千九百七', '〜', '千九百九十一', '小説', '家', '。', '現代', '社会', 'の', '問題', '点', 'を', '追究', 'した', '新聞', '小説', '「', '氷', '壁', '」']","['研究', '家']",YES,研究家,NO,NO
29,研究家,そうね、でもだれだって驚くわ」「勉強したんだ。ひところはシェークスピアの研究家になるつもりだった」さりげない口調で答えた。「大学のときだ。おれの,"['そう', 'ね', '、', 'でも', 'だれ', 'だって', '驚く', 'わ', '」', '「', '勉強', 'した', 'んだ', '。', 'ひところ', 'は', 'シェークスピア', 'の', '研究', '家', 'に', 'なる', 'つもりだった', '」', 'さりげない', '口調', 'で', '答えた', '。', '「', '大学', 'の', 'とき', 'だ', '。', 'おれ', 'の']","['研究', '家']",YES,研究家,NO,NO
30,研究家,、物理学者の江口雅彦氏（千九百十八〜千九百八十五年）だったと聞いています。江口氏は、数学パズル・あやとりの研究家でもありました。戦後間もない千九百四十八（昭和二十三）年には、マクマホン,"['、', '物理', '学', '者', 'の', '江口', '雅彦', '氏', '（', '千九百十八', '〜', '千九百八十五', '年', '）', 'だった', 'と', '聞いて', 'い', 'ます', '。', '江口', '氏', 'は', '、', '数学', 'パズル', '・', 'あや', 'とり', 'の', '研究', '家', 'で', 'も', 'あり', 'ました', '。', '戦後', '間', 'も', 'ない', '千九百四十八', '（', '昭和', '二十三', '）', '年', 'に', 'は', '、', 'マクマホン']","['研究', '家']",YES,研究家,NO,NO
31,研究家,から電話がかかってきた。彼女はあのあと、大和郡山市に住んでおられる味の研究家の大久保恒次氏に電話できいてくれたらしい。大久保さんは早寝で、すでに九時ごろだから床,"['から', '電話', 'が', 'かかって', 'きた', '。', '彼女', 'は', 'あの', 'あと', '、', '大和', '郡山', '市', 'に', '住んで', 'おら', 'れる', '味', 'の', '研究', '家', 'の', '大久保', '恒', '次', '氏', 'に', '電話', 'で', 'きいて', 'くれた', 'らしい', '。', '大久保', 'さん', 'は', '早寝', 'で', '、', 'すでに', '九', '時', 'ごろ', 'だ', 'から', '床']","['研究', '家']",YES,研究家,NO,NO
32,研究家,出会いは、どんなふうだったの？」「そのころは、おやじは薬草の研究家としてかなり名を知られていた。土地の病人も多く治したので、このあたり,"['出会い', 'は', '、', 'どんな', 'ふう', 'だった', 'の', '？', '」', '「', 'そのころ', 'は', '、', 'おやじ', 'は', '薬草', 'の', '研究', '家', 'と', 'して', 'かなり', '名', 'を', '知ら', 'れて', 'いた', '。', '土地', 'の', '病人', 'も', '多く', '治した', 'ので', '、', 'この', 'あたり']","['研究', '家']",YES,研究家,NO,NO
33,研究家,の研究で有名カール・フェルディナント・ポール（ＣａｒｌＦｅｒｄｉｎａｎｄＰｏｈｌ；千八百十九〜八十七）―音楽学者、とくにハイドンの研究家ヨーハン・リッター・フォン・ヘルベック（ＪｏｈａｎｎＲｉｔｔｅｒｖｏｎＨｅｒｂｅｃｋ；千八百三十一〜七十七）―指揮者で作曲家カール・ミヒャエル・ツィーラー（,"['の', '研究', 'で', '有名', 'カール', '・', 'フェルディナント', '・', 'ポール', '（', 'ＣａｒｌＦｅｒｄｉｎａｎｄＰｏｈｌ', '；', '千八百十九', '〜', '八十七', '）', '―', '音楽', '学', '者', '、', 'とくに', 'ハイドン', 'の', '研究', '家', 'ヨーハン', '・', 'リッター', '・', 'フォン', '・', 'ヘルベック', '（', 'ＪｏｈａｎｎＲｉｔｔｅｒｖｏｎＨｅｒｂｅｃｋ', '；', '千八百三十一', '〜', '七十七', '）', '―', '指揮', '者', 'で', '作曲', '家', 'カール', '・', 'ミヒャエル', '・', 'ツィーラー', '（']","['研究', '家']",YES,研究家,NO,NO
34,研究家,てくる。両者のあいだは不即不離の関係で結ばれているのである。かつて、アイヌ語の研究家である金田一京助が、敬語や女性語の起源を、ひとしなみに性のタブーによって説明しようとし,"['て', 'くる', '。', '両者', 'の', 'あいだ', 'は', '不', '即', '不', '離', 'の', '関係', 'で', '結ば', 'れて', 'いる', 'のである', '。', 'かつて', '、', 'アイヌ', '語', 'の', '研究', '家', 'である', '金田', '一', '京', '助', 'が', '、', '敬', '語', 'や', '女性', '語', 'の', '起源', 'を', '、', 'ひとし', 'なみ', 'に', '性', 'の', 'タブー', 'に', 'よって', '説明', 'しよう', 'と', 'し']","['研究', '家']",YES,研究家,NO,NO
