,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,研究所,、第十二条第一号に掲げる業務に関し必要な措置をとることを求めることができる。２研究所は、財務大臣から前項の規定による求めがあったときは、正当な理由がない,"['、', '第', '十二', '条', '第', '一', '号', 'に', '掲げる', '業務', 'に', '関し', '必要な', '措置', 'を', 'とる', 'こと', 'を', '求める', 'こと', 'が', 'できる', '。', '２', '研究', '所', 'は', '、', '財務', '大臣', 'から', '前項', 'の', '規定', 'に', 'よる', '求め', 'が', 'あった', 'とき', 'は', '、', '正当な', '理由', 'が', 'ない']","['研究', '所']",YES,研究所,NO,NO
1,研究所,の関係してまいりましたＢ型肝炎ウイルスに対する対策がございます。この仕事を私が国立の研究所で始めたころ、肝がんと関連があるということで非常に熱中してやりました,"['の', '関係', 'して', 'まいり', 'ました', 'Ｂ', '型', '肝炎', 'ウイルス', 'に', '対する', '対策', 'が', 'ございます', '。', 'この', '仕事', 'を', '私', 'が', '国立', 'の', '研究', '所', 'で', '始めた', 'ころ', '、', '肝', 'がん', 'と', '関連', 'が', 'ある', 'と', 'いう', 'こと', 'で', '非常に', '熱中', 'して', 'やり', 'ました']","['研究', '所']",YES,研究所,NO,NO
2,研究所,処分に関し必要な事項は、政令で定める。第四章雑則（主務大臣等）第十四条研究所に係る通則法における主務大臣、主務省及び主務省令は、それぞれ国土交通大臣、国土交通省及び国土交通省令とする。,"['処分', 'に', '関し', '必要な', '事項', 'は', '、', '政令', 'で', '定める', '。', '第', '四', '章', '雑', '則', '（', '主務', '大臣', '等', '）', '第', '十四', '条', '研究', '所', 'に', '係る', '通則法', 'に', 'おける', '主務', '大臣', '、', '主務', '省', '及び', '主務', '省令', 'は', '、', 'それぞれ', '国土', '交通', '大臣', '、', '国土', '交通', '省', '及び', '国土', '交通', '省令', 'と', 'する', '。']","['研究', '所']",YES,研究所,NO,NO
3,研究所,、会社は従来の化学分野と生命科学分野という大きな二本柱の性格を持つにいたった。研究所の設立後、農業関係で行われたのは作物の生育を調整して、いかにして,"['、', '会社', 'は', '従来', 'の', '化学', '分野', 'と', '生命', '科学', '分野', 'と', 'いう', '大きな', '二', '本', '柱', 'の', '性格', 'を', '持つ', 'に', 'いたった', '。', '研究', '所', 'の', '設立', '後', '、', '農業', '関係', 'で', '行わ', 'れた', 'の', 'は', '作物', 'の', '生育', 'を', '調整', 'して', '、', 'いかに', 'して']","['研究', '所']",YES,研究所,NO,NO
4,研究所,があって、「国語」についてのさまざまな研究がおこなわれている。しかし、この研究所の英文名はＮａｔｉｏｎａｌＩｎｓｔｉｔｕｔｅｆｏｒＪａｐａｎｅｓｅＬａｎｇｕａｇｅである。それをもう,"['が', 'あって', '、', '「', '国語', '」', 'に', 'ついて', 'の', 'さまざまな', '研究', 'が', 'おこなわ', 'れて', 'いる', '。', 'しかし', '、', 'この', '研究', '所', 'の', '英文', '名', 'は', 'Ｎａｔｉｏｎａｌ', 'Ｉｎｓｔ', 'ｉｔｕｔｅｆｏｒＪａｐａｎｅｓｅＬａｎｇｕａｇｅ', 'である', '。', 'それ', 'を', 'もう']","['研究', '所']",YES,研究所,NO,NO
5,研究所,謎解き「さて、いちばん最初にぼくが不思議だと思ったのは、はじめてこの研究所にきたときです。考えてみれば、あのときクイーンは、露骨に手がかりをあたえ,"['謎解き', '「', 'さて', '、', 'いちばん', '最初に', 'ぼく', 'が', '不思議だ', 'と', '思った', 'の', 'は', '、', 'はじめて', 'この', '研究', '所', 'に', 'きた', 'とき', 'です', '。', '考えて', 'みれば', '、', 'あの', 'とき', 'クイーン', 'は', '、', '露骨に', '手がかり', 'を', 'あたえ']","['研究', '所']",YES,研究所,NO,NO
6,研究所,の遺伝子はＤＮＡでできている次なる実験は，ニューヨークのＣｏｌｄＳｐｒｉｎｇＨａｒｂｏｒ研究所にいた正真正銘の分子生物学者，ＡｌｆｒｅｄＨｅｒｓｈｅｙ（ハーシー）とＭａｒｔｈａＣｈａｓｅ（チェース）,"['の', '遺伝子', 'は', 'ＤＮＡ', 'で', 'できて', 'いる', '次', 'なる', '実験', 'は', '，', 'ニューヨーク', 'の', 'ＣｏｌｄＳｐｒｉｎｇＨａｒｂｏｒ', '研究', '所', 'に', 'いた', '正真正銘', 'の', '分子', '生物', '学', '者', '，', 'ＡｌｆｒｅｄＨｅｒｓｈｅｙ', '（', 'ハーシー', '）', 'と', 'ＭａｒｔｈａＣｈａｓｅ', '（', 'チェース', '）']","['研究', '所']",YES,研究所,NO,NO
7,研究所,資質、能力を高めていただければ、いろいろな研究所、さらには企業、さらにはいろいろな研究所への就職という道も開かれていくのではなかろうかというふうに思うわけでござい,"['資質', '、', '能力', 'を', '高めて', 'いただければ', '、', 'いろいろな', '研究', '所', '、', 'さらに', 'は', '企業', '、', 'さらに', 'は', 'いろいろな', '研究', '所', 'へ', 'の', '就職', 'と', 'いう', '道', 'も', '開か', 'れて', 'いく', 'ので', 'は', 'なかろう', 'か', 'と', 'いう', 'ふうに', '思う', 'わけで', 'ござい']","['研究', '所']",YES,研究所,NO,NO
8,研究所,資質、能力を高めていただければ、いろいろな研究所、さらには企業、さらにはいろいろな研究所への就職という道も開かれていくのではなかろうかというふうに思うわけでござい,"['資質', '、', '能力', 'を', '高めて', 'いただければ', '、', 'いろいろな', '研究', '所', '、', 'さらに', 'は', '企業', '、', 'さらに', 'は', 'いろいろな', '研究', '所', 'へ', 'の', '就職', 'と', 'いう', '道', 'も', '開か', 'れて', 'いく', 'ので', 'は', 'なかろう', 'か', 'と', 'いう', 'ふうに', '思う', 'わけで', 'ござい']","['研究', '所']",YES,研究所,NO,NO
9,研究所,、ポーランドで染料の開発にたずさわっていたある化学者が米国に移住して、製薬会社の研究所で働きはじめたことによる。彼はポーランドにいたころの染料の研究で扱っ,"['、', 'ポーランド', 'で', '染料', 'の', '開発', 'に', 'たずさわって', 'いた', 'ある', '化学', '者', 'が', '米国', 'に', '移住', 'して', '、', '製薬', '会社', 'の', '研究', '所', 'で', '働き', 'はじめた', 'こと', 'に', 'よる', '。', '彼', 'は', 'ポーランド', 'に', 'いた', 'ころ', 'の', '染料', 'の', '研究', 'で', '扱っ']","['研究', '所']",YES,研究所,NO,NO
