,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,紳士,とりかこまれて、あいかわらず身うごきひとつせず、むしろこわいものでも見るように灰色の紳士をながめていました。「どうだね？」とようやく彼は言って、,"['とりかこま', 'れて', '、', 'あいかわらず', '身', 'うごき', 'ひと', 'つ', 'せ', 'ず', '、', 'むしろ', 'こわい', 'もの', 'でも', '見る', 'ように', '灰色', 'の', '紳士', 'を', 'ながめて', 'い', 'ました', '。', '「', 'どう', 'だ', 'ね', '？', '」', 'と', 'ようやく', '彼', 'は', '言って', '、']",['紳士'],NO,紳士,NO,NO
1,紳士,、それよりもなによりも普通につきあっているぶんには智生はさわやかな印象を与える紳士であったけれど、なにかの折にふっと不気味なものを感じないでもなかった,"['、', 'それ', 'より', 'も', 'なにより', 'も', '普通に', 'つきあって', 'いる', 'ぶん', 'に', 'は', '智', '生', 'は', 'さわやかな', '印象', 'を', '与える', '紳士', 'であった', 'けれど', '、', 'なに', 'か', 'の', '折', 'に', 'ふっと', '不気味な', 'もの', 'を', '感じ', 'ないで', 'も', 'なかった']",['紳士'],NO,紳士,NO,NO
2,紳士,題する詩が掲載されているが、その一節に「一等二等がよく売れる／髭の紳士が定華主／中には銭を渡さずに／発車間際に引奪くり／其儘ピーと出て,"['題する', '詩', 'が', '掲載', 'さ', 'れて', 'いる', 'が', '、', 'その', '一節', 'に', '「', '一', '等', '二', '等', 'が', 'よく', '売れる', '／', '髭', 'の', '紳士', 'が', '定', '華主', '／', '中', 'に', 'は', '銭', 'を', '渡さ', 'ず', 'に', '／', '発車', '間際', 'に', '引', '奪', 'くり', '／', '其儘', 'ピー', 'と', '出て']",['紳士'],NO,紳士,NO,NO
3,紳士,を処分してしまったのですが、どうしても気になって仕方がありません。イタリアの紳士と友達のマダムがもっているもので、指輪がするすると通る弾力のある生地だっ,"['を', '処分', 'して', 'しまった', 'のです', 'が', '、', 'どうしても', '気', 'に', 'なって', '仕方', 'が', 'あり', 'ませ', 'ん', '。', 'イタリア', 'の', '紳士', 'と', '友達', 'の', 'マダム', 'が', 'もって', 'いる', 'もの', 'で', '、', '指輪', 'が', 'するする', 'と', '通る', '弾力', 'の', 'ある', '生地', 'だっ']",['紳士'],NO,紳士,NO,NO
4,紳士,５月６日）過ちを犯した人を許すのも、紳士の心得といえよう。紳士の心得（※１）（※１）原敬の著作物や言行をもとに編集部が,"['５', '月', '６', '日', '）', '過ち', 'を', '犯した', '人', 'を', '許す', 'の', 'も', '、', '紳士', 'の', '心得', 'と', 'いえよう', '。', '紳士', 'の', '心得', '（', '※', '１', '）', '（', '※', '１', '）', '原', '敬', 'の', '著作', '物', 'や', '言行', 'を', 'もと', 'に', '編集', '部', 'が']",['紳士'],NO,紳士,NO,NO
5,紳士,５月６日）過ちを犯した人を許すのも、紳士の心得といえよう。紳士の心得（※１）（※１）原敬の著作物や言行をもとに編集部が,"['５', '月', '６', '日', '）', '過ち', 'を', '犯した', '人', 'を', '許す', 'の', 'も', '、', '紳士', 'の', '心得', 'と', 'いえよう', '。', '紳士', 'の', '心得', '（', '※', '１', '）', '（', '※', '１', '）', '原', '敬', 'の', '著作', '物', 'や', '言行', 'を', 'もと', 'に', '編集', '部', 'が']",['紳士'],NO,紳士,NO,NO
6,紳士,、まえでかきあわせました。「第一の問題はこうだ」と、灰色の紳士はまた話し出しました。「きみがいることで、きみの友だちはそもそもどういう,"['、', 'まえ', 'で', 'かき', 'あわせ', 'ました', '。', '「', '第', '一', 'の', '問題', 'は', 'こう', 'だ', '」', 'と', '、', '灰色', 'の', '紳士', 'は', 'また', '話し出し', 'ました', '。', '「', 'きみ', 'が', 'いる', 'こと', 'で', '、', 'きみ', 'の', '友だち', 'は', 'そもそも', 'どういう']",['紳士'],NO,紳士,NO,NO
7,紳士,ならざるものはない。どこの人民だって、シナの苦力だって、イギリスの紳士だって、自然を愛するのであります。つまり程度の問題だ、ニュアンスの相違だと,"['なら', 'ざる', 'もの', 'は', 'ない', '。', 'どこ', 'の', '人民', 'だって', '、', 'シナ', 'の', '苦', '力', 'だって', '、', 'イギリス', 'の', '紳士', 'だって', '、', '自然', 'を', '愛する', 'のであり', 'ます', '。', 'つまり', '程度', 'の', '問題', 'だ', '、', 'ニュアンス', 'の', '相違', 'だ', 'と']",['紳士'],NO,紳士,NO,NO
8,紳士,。四十二歳なら、自分からガッつかないで、向こうから誘ってくるくらいの魅力的な紳士としてふるまって下さい。,"['。', '四十二', '歳', 'なら', '、', '自分', 'から', 'ガッ', 'つか', 'ないで', '、', '向こう', 'から', '誘って', 'くる', 'くらい', 'の', '魅力', '的な', '紳士', 'と', 'して', 'ふるまって', '下さい', '。']",['紳士'],NO,紳士,NO,NO
9,紳士,たスニーカーを履いて登校する子供もいます。それは、子供に対し、「小さな紳士、淑女」であることを求め、保護者にも気品と知性を暗に求める幼稚舎の伝統,"['た', 'スニーカー', 'を', '履いて', '登校', 'する', '子供', 'も', 'い', 'ます', '。', 'それ', 'は', '、', '子供', 'に', '対し', '、', '「', '小さな', '紳士', '、', '淑女', '」', 'である', 'こと', 'を', '求め', '、', '保護', '者', 'に', 'も', '気品', 'と', '知性', 'を', '暗に', '求める', '幼稚', '舎', 'の', '伝統']",['紳士'],NO,紳士,NO,NO
10,紳士,何れも独身の下宿住ひ、正月が來ても屠蘇一杯飲めぬ不自由に、銀行以外の紳士も多く来会して二十人近くの大人数である。第二次大戦後、ようやく講和条約が結ばれた頃に,"['何れ', 'も', '独身', 'の', '下宿', '住', 'ひ', '、', '正月', 'が', '來', 'て', 'も', '屠蘇', '一杯', '飲め', 'ぬ', '不自由', 'に', '、', '銀行', '以外', 'の', '紳士', 'も', '多く', '来会', 'して', '二十', '人', '近く', 'の', '大人数', 'である', '。', '第', '二', '次', '大戦', '後', '、', 'ようやく', '講和', '条約', 'が', '結ば', 'れた', '頃', 'に']",['紳士'],NO,紳士,NO,NO
11,紳士,とまで評するに至っている。バートンの仇敵、『エジンバラ・レヴュー』のヘンリー・リーヴは「きちんとした紳士なら、この本を長く書架に置こうとはしないであろう。ガラン版は子供部屋に,"['と', 'まで', '評する', 'に', '至って', 'いる', '。', 'バートン', 'の', '仇', '敵', '、', '『', 'エジンバラ', '・', 'レヴュー', '』', 'の', 'ヘンリー', '・', 'リーヴ', 'は', '「', 'きちんと', 'した', '紳士', 'なら', '、', 'この', '本', 'を', '長く', '書架', 'に', '置こう', 'と', 'は', 'し', 'ない', 'であろう', '。', 'ガラン', '版', 'は', '子供', '部屋', 'に']",['紳士'],NO,紳士,NO,NO
12,紳士,は・・・１と２に該当しない人全員ある四十代女性経営者の場合１．少年２．紳士３．老人チェックポイントは靴と加齢臭の有無。１，２は恋はできるけど、,"['は', '・・・１', 'と', '２', 'に', '該当', 'し', 'ない', '人', '全員', 'ある', '四十', '代', '女性', '経営', '者', 'の', '場合', '１', '．', '少年', '２', '．', '紳士', '３', '．', '老人', 'チェック', 'ポイント', 'は', '靴', 'と', '加齢', '臭', 'の', '有無', '。', '１', '，', '２', 'は', '恋', 'は', 'できる', 'けど', '、']",['紳士'],NO,紳士,NO,NO
13,紳士,なんだけど。「いや、べつに事件が起こったというわけではないのですが」と紳士が言ったので、私はいささかがっかりした。が、あとに続いた言葉は、,"['な', 'んだ', 'けど', '。', '「', 'いや', '、', 'べつに', '事件', 'が', '起こった', 'と', 'いう', 'わけで', 'は', 'ない', 'のです', 'が', '」', 'と', '紳士', 'が', '言った', 'ので', '、', '私', 'は', 'いささか', 'がっかり', 'した', '。', 'が', '、', 'あと', 'に', '続いた', '言葉', 'は', '、']",['紳士'],NO,紳士,NO,NO
14,紳士,そうですけど…」「電話一本でひとを探しだすときいたが…」紳士は天井にまで貼ってあるケバケバしいポスターと、香代の若さにとまどっていた。,"['そう', 'です', 'けど', '…', '」', '「', '電話', '一', '本', 'で', 'ひと', 'を', '探し', 'だす', 'と', 'きいた', 'が', '…', '」', '紳士', 'は', '天井', 'に', 'まで', '貼って', 'ある', 'ケバケバ', 'しい', 'ポスター', 'と', '、', '香', '代', 'の', '若', 'さ', 'に', 'とまどって', 'いた', '。']",['紳士'],NO,紳士,NO,NO
15,紳士,現に行はれてゐる。―第一、地主によつて、次ぎにその指揮の下にある所謂紳士らしき三つの重なる「職業」即ち軍人、法律家、僧侶によつて、しかして最後に商人,"['現に', '行', 'は', 'れて', 'ゐる', '。', '―', '第', '一', '、', '地主', 'に', 'よつて', '、', '次ぎ', 'に', 'その', '指揮', 'の', '下', 'に', 'ある', '所', '謂', '紳士', 'らしき', '三', 'つ', 'の', '重なる', '「', '職業', '」', '即ち', '軍人', '、', '法律', '家', '、', '僧侶', 'に', 'よつて', '、', 'しか', 'して', '最後に', '商人']",['紳士'],NO,紳士,NO,NO
16,紳士,、あのダイアモンド型の傷跡に目が吸いよせられた。「あなたの蘭です」紳士は上品なしぐさで蘭の花をさしだした。デラは襟もとに目をやり、,"['、', 'あの', 'ダイアモンド', '型', 'の', '傷跡', 'に', '目', 'が', '吸いよせ', 'られた', '。', '「', 'あなた', 'の', '蘭', 'です', '」', '紳士', 'は', '上品な', 'しぐさ', 'で', '蘭', 'の', '花', 'を', 'さしだした', '。', 'デラ', 'は', '襟', 'もと', 'に', '目', 'を', 'やり', '、']",['紳士'],NO,紳士,NO,NO
17,紳士,手渡していた事件です。あれは氷山の一角という関係者もいるのですから、自称球界の紳士もズルズルのズルだったのでしょうか。こういうことばかりが発覚する昨今。日本列島はズル,"['手渡して', 'いた', '事件', 'です', '。', 'あれ', 'は', '氷山', 'の', '一角', 'と', 'いう', '関係', '者', 'も', 'いる', 'のです', 'から', '、', '自称', '球界', 'の', '紳士', 'も', 'ズルズル', 'の', 'ズル', 'だった', 'のでしょう', 'か', '。', 'こういう', 'こと', 'ばかり', 'が', '発覚', 'する', '昨今', '。', '日本', '列島', 'は', 'ズル']",['紳士'],NO,紳士,NO,NO
18,紳士,へ山の手線から、胸のポケットにきちんとハンカチを入れてなかなかりゅうとした一人の中年の紳士が降りてきた。赤羽線に乗ろうとしてこちらへ進んでくるなり、いきなり,"['へ', '山の手', '線', 'から', '、', '胸', 'の', 'ポケット', 'に', 'きちんと', 'ハンカチ', 'を', '入れて', 'なかなか', 'りゅう', 'と', 'した', '一', '人', 'の', '中年', 'の', '紳士', 'が', '降りて', 'きた', '。', '赤羽', '線', 'に', '乗ろう', 'と', 'して', 'こちら', 'へ', '進んで', 'くる', 'なり', '、', 'いきなり']",['紳士'],NO,紳士,NO,NO
19,紳士,灰色の葉巻をすっています。顔色まで灰そのものの色でした。その紳士はさっきからモモのことを観察していたのでしょう、彼女がふりむくと笑ってうなずきかけて,"['灰色', 'の', '葉巻', 'を', 'すって', 'い', 'ます', '。', '顔色', 'まで', '灰', 'そのもの', 'の', '色', 'でした', '。', 'その', '紳士', 'は', 'さっき', 'から', 'モモ', 'の', 'こと', 'を', '観察', 'して', 'いた', 'のでしょう', '、', '彼女', 'が', 'ふりむく', 'と', '笑って', 'うなずき', 'かけて']",['紳士'],NO,紳士,NO,NO
20,紳士,」といい返し、「さあ首をはねろ！」と叫んだ。ウィットに富んだ紳士といえば、千六百三年にジェイムズ一世に対する反逆罪に問われて死刑を宣告されたジョージ・ブルックだっ,"['」', 'と', 'いい', '返し', '、', '「', 'さあ', '首', 'を', 'はねろ', '！', '」', 'と', '叫んだ', '。', 'ウィット', 'に', '富んだ', '紳士', 'と', 'いえば', '、', '千六百三', '年', 'に', 'ジェイムズ', '一', '世', 'に', '対する', '反逆', '罪', 'に', '問わ', 'れて', '死刑', 'を', '宣告', 'さ', 'れた', 'ジョージ', '・', 'ブルック', 'だっ']",['紳士'],NO,紳士,NO,NO
