,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,美容師,ます。花屋は花のことができて当たり前、カメラマンは写真が撮れて当たり前、美容師は髪がセットできて当たり前、そういった素地のほかに何かプラスアルファを持っている,"['ます', '。', '花屋', 'は', '花', 'の', 'こと', 'が', 'できて', '当たり前', '、', 'カメラマン', 'は', '写真', 'が', '撮れて', '当たり前', '、', '美容', '師', 'は', '髪', 'が', 'セット', 'できて', '当たり前', '、', 'そういった', '素', '地', 'の', 'ほか', 'に', '何', 'か', 'プラスアルファ', 'を', '持って', 'いる']","['美容', '師']",YES,美容師,NO,NO
1,美容師,刃物」でしょ。政府が規制法案適用で取り締まるらしいですよ。博士：違うよ！美容師は厚生省が管轄する免許制だから、最近のブームで激増する無免許カリスマ美容師一斉摘発に乗りだしたんだよ。,"['刃物', '」', 'でしょ', '。', '政府', 'が', '規制', '法案', '適用', 'で', '取り締まる', 'らしい', 'です', 'よ', '。', '博士', '：', '違う', 'よ', '！', '美容', '師', 'は', '厚生', '省', 'が', '管轄', 'する', '免許', '制', 'だ', 'から', '、', '最近', 'の', 'ブーム', 'で', '激増', 'する', '無', '免許', 'カリスマ', '美容', '師', '一斉', '摘発', 'に', '乗りだした', 'んだ', 'よ', '。']","['美容', '師']",YES,美容師,NO,NO
2,美容師,刃物」でしょ。政府が規制法案適用で取り締まるらしいですよ。博士：違うよ！美容師は厚生省が管轄する免許制だから、最近のブームで激増する無免許カリスマ美容師一斉摘発に乗りだしたんだよ。,"['刃物', '」', 'でしょ', '。', '政府', 'が', '規制', '法案', '適用', 'で', '取り締まる', 'らしい', 'です', 'よ', '。', '博士', '：', '違う', 'よ', '！', '美容', '師', 'は', '厚生', '省', 'が', '管轄', 'する', '免許', '制', 'だ', 'から', '、', '最近', 'の', 'ブーム', 'で', '激増', 'する', '無', '免許', 'カリスマ', '美容', '師', '一斉', '摘発', 'に', '乗りだした', 'んだ', 'よ', '。']","['美容', '師']",YES,美容師,NO,NO
3,美容師,すれ出会えるのでしょうか。意外にも出会いはたくさんあるものですよ。私の彼は美容師で、お客と店員という関係から彼氏彼女になりましたよ。ちょっとコンビニに行く,"['すれ', '出会える', 'のでしょう', 'か', '。', '意外に', 'も', '出会い', 'は', 'たくさん', 'ある', 'もの', 'です', 'よ', '。', '私', 'の', '彼', 'は', '美容', '師', 'で', '、', 'お', '客', 'と', '店員', 'と', 'いう', '関係', 'から', '彼', '氏', '彼女', 'に', 'なり', 'ました', 'よ', '。', 'ちょっと', 'コンビニ', 'に', '行く']","['美容', '師']",YES,美容師,NO,NO
4,美容師,ている。靴はｐａｎｔｏｕｆｌｅｓであり、髪の毛はｃｈｅｖｅｌｕｒｅであり、香水瓶はｆｌａｃｏｎであり、美容師はｆａｒｄｅｕｓｅである。ｆｒｏｌｅｒ（こする）という動詞が不定法で英語の文中にあるの,"['て', 'いる', '。', '靴', 'は', 'ｐａｎｔｏｕｆｌｅｓ', 'であり', '、', '髪', 'の', '毛', 'は', 'ｃｈｅｖｅｌｕｒｅ', 'であり', '、', '香水', '瓶', 'は', 'ｆｌａｃｏｎ', 'であり', '、', '美容', '師', 'は', 'ｆａｒｄｅｕｓｅ', 'である', '。', 'ｆｒｏｌｅｒ', '（', 'こする', '）', 'と', 'いう', '動詞', 'が', '不定', '法', 'で', '英語', 'の', '文中', 'に', 'ある', 'の']","['美容', '師']",YES,美容師,NO,NO
5,美容師,のもの。また、右手人差し指のリングもプエルタデルソルでブラックチタン製とのこと。下谷圭弘さん（二十二才・美容師）友人から三万円くらいで購入したというセルディックアーツのペンダント。単色でまとめたシックな,"['の', 'もの', '。', 'また', '、', '右手', '人差し指', 'の', 'リング', 'も', 'プエルタデルソル', 'で', 'ブラックチタン', '製', 'と', 'の', 'こと', '。', '下', '谷', '圭', '弘', 'さん', '（', '二十二', '才', '・', '美容', '師', '）', '友人', 'から', '三万', '円', 'くらい', 'で', '購入', 'した', 'と', 'いう', 'セルディックアーツ', 'の', 'ペンダント', '。', '単', '色', 'で', 'まとめた', 'シックな']","['美容', '師']",YES,美容師,NO,NO
6,美容師,はしないんですが、ちょっとかゆいんです。美容師さんにもいいずらくて。。。理容師で美容師です。美容師の不注意ですね、綿棒を水で湿らせて軽く拭いてみてください。,"['は', 'し', 'ない', 'んです', 'が', '、', 'ちょっと', 'かゆい', 'んです', '。', '美', '容師', 'さん', 'に', 'も', 'い', 'い', 'ず', 'らく', 'て', '。', '。', '。', '理容', '師', 'で', '美容', '師', 'です', '。', '美容', '師', 'の', '不注意です', 'ね', '、', '綿', '棒', 'を', '水', 'で', '湿ら', 'せて', '軽く', '拭いて', 'みて', 'ください', '。']","['美', '容師']",YES,美容師,YES,NO
7,美容師,はしないんですが、ちょっとかゆいんです。美容師さんにもいいずらくて。。。理容師で美容師です。美容師の不注意ですね、綿棒を水で湿らせて軽く拭いてみてください。,"['は', 'し', 'ない', 'んです', 'が', '、', 'ちょっと', 'かゆい', 'んです', '。', '美', '容師', 'さん', 'に', 'も', 'い', 'い', 'ず', 'らく', 'て', '。', '。', '。', '理容', '師', 'で', '美容', '師', 'です', '。', '美容', '師', 'の', '不注意です', 'ね', '、', '綿', '棒', 'を', '水', 'で', '湿ら', 'せて', '軽く', '拭いて', 'みて', 'ください', '。']","['美容', '師']",YES,美容師,NO,NO
8,美容師,はしないんですが、ちょっとかゆいんです。美容師さんにもいいずらくて。。。理容師で美容師です。美容師の不注意ですね、綿棒を水で湿らせて軽く拭いてみてください。,"['は', 'し', 'ない', 'んです', 'が', '、', 'ちょっと', 'かゆい', 'んです', '。', '美', '容師', 'さん', 'に', 'も', 'い', 'い', 'ず', 'らく', 'て', '。', '。', '。', '理容', '師', 'で', '美容', '師', 'です', '。', '美容', '師', 'の', '不注意です', 'ね', '、', '綿', '棒', 'を', '水', 'で', '湿ら', 'せて', '軽く', '拭いて', 'みて', 'ください', '。']","['美容', '師']",YES,美容師,NO,NO
9,美容師,れてしまいそうです（笑）余談ですが、今度実家に帰った時に同級生の美容師に髪を切ってもらうんですが、何とか、たっちゃん風にならないものかと＾＾ゞ今,"['れて', 'しまい', 'そうです', '（', '笑', '）', '余談', 'です', 'が', '、', '今度', '実家', 'に', '帰った', '時', 'に', '同級生', 'の', '美容', '師', 'に', '髪', 'を', '切って', 'もらう', 'んです', 'が', '、', '何とか', '、', 'たっちゃん', '風', 'に', 'なら', 'ない', 'もの', 'か', 'と', '＾', '＾', 'ゞ', '今']","['美容', '師']",YES,美容師,NO,NO
