,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,脚本家,『張少子の話』『黒鳥』）千九百六十四年下期直木賞千九百二十九年早坂暁（小説家，脚本家）千九百三十二年岸恵子（俳優）千九百三十二年小林亜星（作曲家）関聯サイト,"['『', '張', '少子', 'の', '話', '』', '『', '黒鳥', '』', '）', '千九百六十四', '年', '下期', '直木賞', '千九百二十九', '年', '早坂', '暁', '（', '小説', '家', '，', '脚本', '家', '）', '千九百三十二', '年', '岸', '恵子', '（', '俳優', '）', '千九百三十二', '年', '小林', '亜星', '（', '作曲', '家', '）', '関', '聯', 'サイト']","['脚本', '家']",YES,脚本家,NO,NO
1,脚本家,切に期待する。ジェームス三木作・演出ジェームス三木千九百三十五年、旧満州奉天（瀋陽）生まれ。野村芳太郎監督に師事し、脚本家となる。舞台演出、映画監督、小説、エッセイなど多彩な活動で著名。主な作品は,"['切に', '期待', 'する', '。', 'ジェームス', '三木', '作', '・', '演出', 'ジェームス', '三木', '千九百三十五', '年', '、', '旧', '満州', '奉天', '（', '瀋陽', '）', '生まれ', '。', '野村', '芳', '太郎', '監督', 'に', '師事', 'し', '、', '脚本', '家', 'と', 'なる', '。', '舞台', '演出', '、', '映画', '監督', '、', '小説', '、', 'エッセイ', 'など', '多彩な', '活動', 'で', '著名', '。', '主な', '作品', 'は']","['脚本', '家']",YES,脚本家,NO,NO
2,脚本家,ある程度の直しには応じることもあるんですが、できあがった脚本はそれがベストで、脚本家にとってはそれが作品なんですね。―インターネットなどに寄せられる視聴者の声で、,"['ある', '程度', 'の', '直し', 'に', 'は', '応じる', 'こと', 'も', 'ある', 'んです', 'が', '、', 'でき', 'あがった', '脚本', 'は', 'それ', 'が', 'ベストで', '、', '脚本', '家', 'に', 'とって', 'は', 'それ', 'が', '作品', 'な', 'んです', 'ね', '。', '―', 'インターネット', 'など', 'に', '寄せ', 'られる', '視聴', '者', 'の', '声', 'で', '、']","['脚本', '家']",YES,脚本家,NO,NO
3,脚本家,だ。今までに、フェリーニや、ミケランジェロ・アントニオーニ、フランチェスコ・ロージ、タルコフスキーと、世界一流の監督作品に脚本家として参加している。実はなにを隠そう（隠す必要はなにもないのだが）、,"['だ', '。', '今', 'まで', 'に', '、', 'フェリーニ', 'や', '、', 'ミケランジェロ', '・', 'アントニオーニ', '、', 'フランチェスコ', '・', 'ロージ', '、', 'タルコフスキー', 'と', '、', '世界', '一流', 'の', '監督', '作品', 'に', '脚本', '家', 'と', 'して', '参加', 'して', 'いる', '。', '実は', 'なに', 'を', '隠そう', '（', '隠す', '必要', 'は', 'なにも', 'ない', 'のだ', 'が', '）', '、']","['脚本', '家']",YES,脚本家,NO,NO
4,脚本家,か。学校の始業時間に遅れないで行くことができるだろうか…。監督でもあり、脚本家でもあるマジッド・マジディはたった一足の靴で観客の心を鷲摑みにしてしまうのだ。,"['か', '。', '学校', 'の', '始業', '時間', 'に', '遅れ', 'ないで', '行く', 'こと', 'が', 'できる', 'だろう', 'か', '…', '。', '監督', 'で', 'も', 'あり', '、', '脚本', '家', 'で', 'も', 'ある', 'マジッド', '・', 'マジディ', 'は', 'たった', '一足', 'の', '靴', 'で', '観客', 'の', '心', 'を', '鷲', '摑', 'み', 'に', 'して', 'しまう', 'のだ', '。']","['脚本', '家']",YES,脚本家,NO,NO
5,脚本家,脚本をやっている宮村優子という方は、声優をしているあの宮村優子さんでしょうか？慶次郎縁側日記シリーズの脚本家、宮村優子さんと声優の宮村優子さんとは同名別人です。,"['脚本', 'を', 'やって', 'いる', '宮村', '優子', 'と', 'いう', '方', 'は', '、', '声優', 'を', 'して', 'いる', 'あの', '宮村', '優子', 'さん', 'でしょう', 'か', '？', '慶', '次郎', '縁側', '日記', 'シリーズ', 'の', '脚本', '家', '、', '宮村', '優子', 'さん', 'と', '声優', 'の', '宮村', '優子', 'さん', 'と', 'は', '同', '名', '別人', 'です', '。']","['脚本', '家']",YES,脚本家,NO,NO
6,脚本家,脚本家／エッセイスト赤坂潭亭亭主高木凛さん書けなくなった脚本家を甦らせた沖縄第一線で活躍する,"['脚本', '家', '／', 'エッセイスト', '赤坂', '潭亭', '亭主', '高木', '凛', 'さん', '書け', 'なく', 'なった', '脚本', '家', 'を', '甦ら', 'せた', '沖縄', '第一線', 'で', '活躍', 'する']","['脚本', '家']",YES,脚本家,NO,NO
7,脚本家,脚本家／エッセイスト赤坂潭亭亭主高木凛さん書けなくなった脚本家を甦らせた沖縄第一線で活躍する,"['脚本', '家', '／', 'エッセイスト', '赤坂', '潭亭', '亭主', '高木', '凛', 'さん', '書け', 'なく', 'なった', '脚本', '家', 'を', '甦ら', 'せた', '沖縄', '第一線', 'で', '活躍', 'する']","['脚本', '家']",YES,脚本家,NO,NO
8,脚本家,したことから有名になった彼は、千九百九十一年に新聞社を退職し、以後フリーの脚本家として映画界につくした。千九百九十四年からはケルンのメディア芸術大学で脚本論・演劇論も講じていた。,"['した', 'こと', 'から', '有名に', 'なった', '彼', 'は', '、', '千九百九十一', '年', 'に', '新聞', '社', 'を', '退職', 'し', '、', '以後', 'フリー', 'の', '脚本', '家', 'と', 'して', '映画', '界', 'に', 'つくした', '。', '千九百九十四', '年', 'から', 'は', 'ケルン', 'の', 'メディア', '芸術', '大学', 'で', '脚本', '論', '・', '演劇', '論', 'も', '講じて', 'いた', '。']","['脚本', '家']",YES,脚本家,NO,NO
9,脚本家,笑）。この岩中祥史っていう人、東大文学部を優秀な成績で卒業した有名な脚本家だそうだけど、大バカヤローですね。こんな大バカヤローが生まれたのも、全マスコミ、全教育機関,"['笑', '）', '。', 'この', '岩中祥史', 'って', 'いう', '人', '、', '東大', '文学部', 'を', '優秀な', '成績', 'で', '卒業', 'した', '有名な', '脚本', '家', 'だ', 'そうだ', 'けど', '、', '大', 'バカヤロー', 'です', 'ね', '。', 'こんな', '大', 'バカヤロー', 'が', '生まれた', 'の', 'も', '、', '全', 'マスコミ', '、', '全', '教育', '機関']","['脚本', '家']",YES,脚本家,NO,NO
