,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,茶室,、二十金くらい）を使った例といえば、豊臣秀吉が作らせたといわれる茶室と茶道具一式（静岡県熱海市のＭＯＡ美術館で再現されている）、徳川家康の茶道具一式（徳川美術館所蔵）、,"['、', '二十', '金', 'くらい', '）', 'を', '使った', '例', 'と', 'いえば', '、', '豊臣', '秀吉', 'が', '作ら', 'せた', 'と', 'いわ', 'れる', '茶室', 'と', '茶', '道具', '一式', '（', '静岡', '県', '熱海', '市', 'の', 'ＭＯＡ', '美術', '館', 'で', '再現', 'さ', 'れて', 'いる', '）', '、', '徳川', '家', '康', 'の', '茶', '道具', '一式', '（', '徳川', '美術', '館', '所蔵', '）', '、']",['茶室'],NO,茶室,NO,NO
1,茶室,「塔之岡」とも書いて、由緒ある庄屋の屋敷や蔵、また茶室があった。検分にきた軍の幹部が言ったという。「絶景眺望ノ,"['「', '塔', '之岡', '」', 'と', 'も', '書いて', '、', '由緒', 'ある', '庄屋', 'の', '屋敷', 'や', '蔵', '、', 'また', '茶室', 'が', 'あった', '。', '検分', 'に', 'きた', '軍', 'の', '幹部', 'が', '言った', 'と', 'いう', '。', '「', '絶景', '眺望', 'ノ']",['茶室'],NO,茶室,NO,NO
2,茶室,。「…茶入は空にございます」それを聞いて、佐久夜姫は、茶室の隅に縮こまっている長安をきっと睨みつけた。そうした時の姫の表情は,"['。', '「', '…', '茶入', 'は', '空', 'に', 'ございます', '」', 'それ', 'を', '聞いて', '、', '佐久', '夜', '姫', 'は', '、', '茶室', 'の', '隅', 'に', '縮こまって', 'いる', '長安', 'を', 'きっと', '睨み', 'つけた', '。', 'そうした', '時', 'の', '姫', 'の', '表情', 'は']",['茶室'],NO,茶室,NO,NO
3,茶室,て、同門組織の強さを感じさせる。表千家には不審庵のほか残月亭、点雪堂などの茶室があり、裏千家には、今日庵のほか又隠、寒雲亭、咄々斎などが,"['て', '、', '同', '門', '組織', 'の', '強', 'さ', 'を', '感じ', 'させる', '。', '表千家', 'に', 'は', '不審', '庵', 'の', 'ほか', '残', '月', '亭', '、', '点', '雪', '堂', 'など', 'の', '茶室', 'が', 'あり', '、', '裏千家', 'に', 'は', '、', '今日', '庵', 'の', 'ほか', '又', '隠', '、', '寒', '雲', '亭', '、', '咄々', '斎', 'など', 'が']",['茶室'],NO,茶室,NO,NO
4,茶室,“関口芭蕉庵”という場所がある。ここは、神田川沿いにある緑豊かな急傾斜面にある茶室のような場所。ちょうど目白・椿山荘の真下にあり、都会の中に自然が残され,"['“', '関口', '芭蕉', '庵', '”', 'と', 'いう', '場所', 'が', 'ある', '。', 'ここ', 'は', '、', '神田', '川', '沿い', 'に', 'ある', '緑', '豊かな', '急', '傾斜', '面', 'に', 'ある', '茶室', 'の', 'ような', '場所', '。', 'ちょうど', '目白', '・', '椿', '山荘', 'の', '真', '下', 'に', 'あり', '、', '都会', 'の', '中', 'に', '自然', 'が', '残さ', 'れ']",['茶室'],NO,茶室,NO,NO
5,茶室,包む。すべてを清めきって、客ははじめて席中の人となる。蹲踞から見る茶室は、客を威圧するような豪壮な邸宅ではない。植込みに、見えかくれするかのように,"['包む', '。', 'すべて', 'を', '清め', 'きって', '、', '客', 'は', 'はじめて', '席', '中', 'の', '人', 'と', 'なる', '。', '蹲踞', 'から', '見る', '茶室', 'は', '、', '客', 'を', '威圧', 'する', 'ような', '豪', '壮', 'な', '邸宅', 'で', 'は', 'ない', '。', '植込み', 'に', '、', '見え', 'かくれ', 'する', 'か', 'の', 'ように']",['茶室'],NO,茶室,NO,NO
6,茶室,」。年齢層で３パターンに分けて用意されます３．白銀屋で最も古い歴史を持つ茶室。見学することもできます４．温泉街の中心にある浴殿のすぐ近く。山代の,"['」', '。', '年齢', '層', 'で', '３', 'パターン', 'に', '分けて', '用意', 'さ', 'れ', 'ます', '３', '．', '白銀', '屋', 'で', '最も', '古い', '歴史', 'を', '持つ', '茶室', '。', '見学', 'する', 'こと', 'も', 'でき', 'ます', '４', '．', '温泉', '街', 'の', '中心', 'に', 'ある', '浴', '殿', 'の', 'すぐ', '近く', '。', '山', '代', 'の']",['茶室'],NO,茶室,NO,NO
7,茶室,を前にお抹茶がいただけます。２薮ノ内流の燕庵を模して造られた茶室。３レンガ造りの洋館母屋の南側にあります。洋館は、明治三十一年の建立で,"['を', '前', 'に', 'お', '抹茶', 'が', 'いただけ', 'ます', '。', '２', '薮', 'ノ', '内', '流', 'の', '燕', '庵', 'を', '模して', '造ら', 'れた', '茶室', '。', '３', 'レンガ', '造り', 'の', '洋館', '母屋', 'の', '南', '側', 'に', 'あり', 'ます', '。', '洋館', 'は', '、', '明治', '三十一', '年', 'の', '建立', 'で']",['茶室'],NO,茶室,NO,NO
8,茶室,、特別な美的環境をととのえることが必要となっていく。日本の当世流にいえば、茶室と茶道具と茶庭ということになろうか。かくして茶道具は、精神の茶を支える,"['、', '特別な', '美的', '環境', 'を', 'ととのえる', 'こと', 'が', '必要', 'と', 'なって', 'いく', '。', '日本', 'の', '当世', '流', 'に', 'いえば', '、', '茶室', 'と', '茶', '道具', 'と', '茶', '庭', 'と', 'いう', 'こと', 'に', 'なろう', 'か', '。', 'かくして', '茶', '道具', 'は', '、', '精神', 'の', '茶', 'を', '支える']",['茶室'],NO,茶室,NO,NO
9,茶室,れています。伝小野道風継色紙○寸松庵色紙伝紀貫之（年代不詳）大徳寺竜光院内の寸松庵という茶室に十二枚保存されていたことからこの名がありますが、元は南宗寺にあっ,"['れて', 'い', 'ます', '。', '伝', '小', '野道', '風', '継', '色紙', '○', '寸', '松', '庵', '色紙', '伝', '紀', '貫', '之', '（', '年代', '不詳', '）', '大', '徳', '寺', '竜', '光', '院', '内', 'の', '寸', '松', '庵', 'と', 'いう', '茶室', 'に', '十二', '枚', '保存', 'さ', 'れて', 'いた', 'こと', 'から', 'この', '名', 'が', 'あり', 'ます', 'が', '、', '元', 'は', '南宗', '寺', 'に', 'あっ']",['茶室'],NO,茶室,NO,NO
