,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,著者,）おもしろかった本の紹介『資産は都心に回帰する』（本郷尚、週刊住宅新聞社）の著者は税理士ですが、資産税に強く、不動産に明るく、そして明確な哲学を持って,"['）', 'おもしろかった', '本', 'の', '紹介', '『', '資産', 'は', '都心', 'に', '回帰', 'する', '』', '（', '本郷', '尚', '、', '週刊', '住宅', '新聞', '社', '）', 'の', '著者', 'は', '税理士', 'です', 'が', '、', '資産', '税', 'に', '強く', '、', '不動産', 'に', '明るく', '、', 'そして', '明確な', '哲学', 'を', '持って']",['著者'],NO,著者,NO,NO
1,著者,、あえてこの目次を使って、構造化を求めてみよう。目次とは、その本の著者が認知している構造であり、読者の認知構造ではない。そこで、もう一度自分なりに構造化すること,"['、', 'あえて', 'この', '目次', 'を', '使って', '、', '構造', '化', 'を', '求めて', 'みよう', '。', '目次', 'と', 'は', '、', 'その', '本', 'の', '著者', 'が', '認知', 'して', 'いる', '構造', 'であり', '、', '読者', 'の', '認知', '構造', 'で', 'は', 'ない', '。', 'そこ', 'で', '、', 'もう', '一', '度', '自分', 'なり', 'に', '構造', '化', 'する', 'こと']",['著者'],NO,著者,NO,NO
2,著者,から派生した言葉です。また、「鎖につながれて」とあることから、著者が獄中にいることがわかります。パウロは使徒言行録二十六章二十九節でアグリッパ王に次のよう,"['から', '派生', 'した', '言葉', 'です', '。', 'また', '、', '「', '鎖', 'に', 'つなが', 'れて', '」', 'と', 'ある', 'こと', 'から', '、', '著者', 'が', '獄中', 'に', 'いる', 'こと', 'が', 'わかり', 'ます', '。', 'パウロ', 'は', '使徒', '言行', '録', '二十六', '章', '二十九', '節', 'で', 'アグリッパ', '王', 'に', '次', 'の', 'よう']",['著者'],NO,著者,NO,NO
3,著者,１人しか乗っていないアメリカ人の車の使い方を非効率的であると批判している、この記事の著者は完全に間違っているのでしょうか。ドライバーたちはそれぞれ個人としての判断では効率的な行動,"['１', '人', 'しか', '乗って', 'い', 'ない', 'アメリカ', '人', 'の', '車', 'の', '使い', '方', 'を', '非', '効率', '的である', 'と', '批判', 'して', 'いる', '、', 'この', '記事', 'の', '著者', 'は', '完全に', '間違って', 'いる', 'のでしょう', 'か', '。', 'ドライバー', 'たち', 'は', 'それぞれ', '個人', 'と', 'して', 'の', '判断', 'で', 'は', '効率', '的な', '行動']",['著者'],NO,著者,NO,NO
4,著者,よく覚えている。少女の心をくすぐるタイトルに惹かれて手に取ると、著者は、レモンちゃんと呼ばれる文化放送の人気ＤＪと分かった。カバーには、目が大きく,"['よく', '覚えて', 'いる', '。', '少女', 'の', '心', 'を', 'くすぐる', 'タイトル', 'に', '惹か', 'れて', '手', 'に', '取る', 'と', '、', '著者', 'は', '、', 'レモン', 'ちゃん', 'と', '呼ば', 'れる', '文化', '放送', 'の', '人気', 'ＤＪ', 'と', '分かった', '。', 'カバー', 'に', 'は', '、', '目', 'が', '大きく']",['著者'],NO,著者,NO,NO
5,著者,となり、採用されたのが矢代案であった。こうして出来上った美術研究所を著者は千九百四十二年まで主宰されたのであるが、この間に著者の学問の分野は自然に,"['と', 'なり', '、', '採用', 'さ', 'れた', 'の', 'が', '矢', '代案', 'であった', '。', 'こうして', '出来', '上った', '美術', '研究', '所', 'を', '著者', 'は', '千九百四十二', '年', 'まで', '主宰', 'さ', 'れた', 'のである', 'が', '、', 'この', '間', 'に', '著者', 'の', '学問', 'の', '分野', 'は', '自然に']",['著者'],NO,著者,NO,NO
6,著者,となり、採用されたのが矢代案であった。こうして出来上った美術研究所を著者は千九百四十二年まで主宰されたのであるが、この間に著者の学問の分野は自然に,"['と', 'なり', '、', '採用', 'さ', 'れた', 'の', 'が', '矢', '代案', 'であった', '。', 'こうして', '出来', '上った', '美術', '研究', '所', 'を', '著者', 'は', '千九百四十二', '年', 'まで', '主宰', 'さ', 'れた', 'のである', 'が', '、', 'この', '間', 'に', '著者', 'の', '学問', 'の', '分野', 'は', '自然に']",['著者'],NO,著者,NO,NO
7,著者,。そんな喪失感が、切なくやさしく描かれた短編小説集。小説チルドレン伊坂幸太郎講談社千五百七十五円吉川英治文学新人賞受賞の著者の受賞後第１作。家裁の調査官が担当した少年の万引き事件。面接をした少年と,"['。', 'そんな', '喪失', '感', 'が', '、', '切なく', 'やさしく', '描か', 'れた', '短編', '小説', '集', '。', '小説', 'チルドレン', '伊', '坂', '幸太郎', '講談', '社', '千五百七十五', '円', '吉川', '英治', '文学', '新人', '賞', '受賞', 'の', '著者', 'の', '受賞', '後', '第', '１', '作', '。', '家裁', 'の', '調査', '官', 'が', '担当', 'した', '少年', 'の', '万引き', '事件', '。', '面接', 'を', 'した', '少年', 'と']",['著者'],NO,著者,NO,NO
8,著者,のガリア征服です。しかし、トライアヌスは、ダキア民族を同化するのではなく、地上から抹殺します。著者の塩野さんは、ガリアとダキアの違いを次の様に整理しています。カエサル,"['の', 'ガリア', '征服', 'です', '。', 'しかし', '、', 'トライアヌス', 'は', '、', 'ダキア', '民族', 'を', '同化', 'する', 'ので', 'は', 'なく', '、', '地上', 'から', '抹殺', 'し', 'ます', '。', '著者', 'の', '塩野', 'さん', 'は', '、', 'ガリア', 'と', 'ダキア', 'の', '違い', 'を', '次の', '様', 'に', '整理', 'して', 'い', 'ます', '。', 'カエサル']",['著者'],NO,著者,NO,NO
9,著者,から、甥が銅についての本を書いたという旨の手紙を頂戴した。著者の藤野明博士は、専門は原子力である。銅との間柄は、いわば老後のお遊び相手らしく、,"['から', '、', '甥', 'が', '銅', 'に', 'ついて', 'の', '本', 'を', '書いた', 'と', 'いう', '旨', 'の', '手紙', 'を', '頂戴', 'した', '。', '著者', 'の', '藤野', '明', '博士', 'は', '、', '専門', 'は', '原子', '力', 'である', '。', '銅', 'と', 'の', '間柄', 'は', '、', 'いわば', '老後', 'の', 'お', '遊び', '相手', 'らしく', '、']",['著者'],NO,著者,NO,NO
