,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,行員,の手を引き、破れたドアから外に飛び出した。あとから、遅れて行員が何人も駆け出してくる。彼らを見て黒服の男二人が逃げる。それを,"['の', '手', 'を', '引き', '、', '破れた', 'ドア', 'から', '外', 'に', '飛び出した', '。', 'あと', 'から', '、', '遅れて', '行員', 'が', '何', '人', 'も', '駆け', '出して', 'くる', '。', '彼', 'ら', 'を', '見て', '黒', '服', 'の', '男', '二', '人', 'が', '逃げる', '。', 'それ', 'を']",['行員'],NO,行員,NO,NO
1,行員,うわさ的なものは出ておりますが、是非そういう意味では、足利銀行の内部の行員のそういう待遇といいますか、その辺についてもしっかりそういう立場を尊重して,"['うわさ', '的な', 'もの', 'は', '出て', 'おり', 'ます', 'が', '、', '是非', 'そういう', '意味', 'で', 'は', '、', '足利', '銀行', 'の', '内部', 'の', '行員', 'の', 'そういう', '待遇', 'と', 'いい', 'ます', 'か', '、', 'その辺', 'に', 'ついて', 'も', 'しっかり', 'そういう', '立場', 'を', '尊重', 'して']",['行員'],NO,行員,NO,NO
2,行員,にうつ伏したよ。それじゃ強盗にならないんで、腹からビニール袋を取り出して、行員にチャカ突きつけて『てめえ、早く金入れろ！』と言ったら、いやあ速い速い、,"['に', 'うつ', '伏した', 'よ', '。', 'それ', 'じゃ', '強盗', 'に', 'なら', 'ない', 'んで', '、', '腹', 'から', 'ビニール', '袋', 'を', '取り出して', '、', '行員', 'に', 'チャカ', '突きつけて', '『', 'て', 'め', 'え', '、', '早く', '金', '入れろ', '！', '』', 'と', '言ったら', '、', 'いや', 'あ', '速い', '速い', '、']",['行員'],NO,行員,NO,NO
3,行員,集めたり、融資の話をまとめて融資課に持ちこむといった営業なんですが、都市銀行の行員なんてのは、どっちみち信用が第一というだけのくそ面白くもない連中だと思って,"['集めたり', '、', '融資', 'の', '話', 'を', 'まとめて', '融資', '課', 'に', '持ち', 'こむ', 'と', 'いった', '営業', 'な', 'んです', 'が', '、', '都市', '銀行', 'の', '行員', 'なんて', 'の', 'は', '、', 'どっちみち', '信用', 'が', '第', '一', 'と', 'いう', 'だけ', 'の', 'くそ', '面白く', 'も', 'ない', '連中', 'だ', 'と', '思って']",['行員'],NO,行員,NO,NO
4,行員,よ。ベル押すヤツなんていやしない。客は一斉に床にべったり伏せたし、行員はテーブルやカウンターにうつ伏したよ。それじゃ強盗にならないんで、腹からビニール袋,"['よ', '。', 'ベル', '押す', 'ヤツ', 'なんて', 'いやし', 'ない', '。', '客', 'は', '一斉に', '床', 'に', 'べったり', '伏せた', 'し', '、', '行員', 'は', 'テーブル', 'や', 'カウンター', 'に', 'うつ', '伏した', 'よ', '。', 'それ', 'じゃ', '強盗', 'に', 'なら', 'ない', 'んで', '、', '腹', 'から', 'ビニール', '袋']",['行員'],NO,行員,NO,NO
5,行員,。千八百万円ね。最後に笑ったのは、その袋持って出る時、女の行員が『毎度ご利用ありがとうございました』ってお辞儀しやがんの、ハッハハ…」「ハッ,"['。', '千八百万', '円', 'ね', '。', '最後に', '笑った', 'の', 'は', '、', 'その', '袋', '持って', '出る', '時', '、', '女', 'の', '行員', 'が', '『', '毎度', 'ご', '利用', 'ありがとう', 'ございました', '』', 'って', 'お辞儀', 'し', 'や', 'がん', 'の', '、', 'ハッハハ', '…', '」', '「', 'ハッ']",['行員'],NO,行員,NO,NO
6,行員,銀行の姿勢を理解できないとする者が多いが、日本の銀行でも中堅クラスの行員の中にはこうした姿勢を批判的に見つつ、早期再建の必要性を内々指摘する,"['銀行', 'の', '姿勢', 'を', '理解', 'でき', 'ない', 'と', 'する', '者', 'が', '多い', 'が', '、', '日本', 'の', '銀行', 'でも', '中堅', 'クラス', 'の', '行員', 'の', '中', 'に', 'は', 'こうした', '姿勢', 'を', '批判', '的に', '見', 'つつ', '、', '早期', '再建', 'の', '必要', '性', 'を', '内々', '指摘', 'する']",['行員'],NO,行員,NO,NO
7,行員,銀行の口座に振込入金処理をなさしめているが，この点については，Ｂが他の行員による照査の手続を経ないでオンラインシステムの端末機を操作して送信を行う，いわゆるダイレクト送信,"['銀行', 'の', '口座', 'に', '振込', '入金', '処理', 'を', 'なさ', 'しめて', 'いる', 'が', '，', 'この', '点', 'に', 'ついて', 'は', '，', 'Ｂ', 'が', '他の', '行員', 'に', 'よる', '照査', 'の', '手続', 'を', '経', 'ないで', 'オンライン', 'システム', 'の', '端末', '機', 'を', '操作', 'して', '送信', 'を', '行う', '，', 'いわゆる', 'ダイレクト', '送信']",['行員'],NO,行員,NO,NO
8,行員,れる取引企業に多く見られるタイプだけに、無下にはできないのです。現場の行員としては支店長など支店幹部への遠慮もあって、面倒な資料請求は行ないにくいものです。,"['れる', '取引', '企業', 'に', '多く', '見', 'られる', 'タイプ', 'だけ', 'に', '、', '無下に', 'は', 'でき', 'ない', 'のです', '。', '現場', 'の', '行員', 'と', 'して', 'は', '支店', '長', 'など', '支店', '幹部', 'へ', 'の', '遠慮', 'も', 'あって', '、', '面倒な', '資料', '請求', 'は', '行ない', 'にくい', 'もの', 'です', '。']",['行員'],NO,行員,NO,NO
9,行員,を貸すくせに、「借入理由」の欄に「古書買入」と書くと、とたんに行員の顔が厳しくなる。この理由ではまず稟議を通りませんね、とニベ,"['を', '貸す', 'くせ', 'に', '、', '「', '借入', '理由', '」', 'の', '欄', 'に', '「', '古書', '買', '入', '」', 'と', '書く', 'と', '、', 'と', 'たんに', '行員', 'の', '顔', 'が', '厳しく', 'なる', '。', 'この', '理由', 'で', 'は', 'まず', '稟議', 'を', '通り', 'ませ', 'ん', 'ね', '、', 'と', 'ニベ']",['行員'],NO,行員,NO,NO
