,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,記念館,自分で使うつもりでいたのに、父ちゃんのやつ、縁起でもないって、記念館に寄付しちゃったんだ。きっと賞状かなんかもらいたかったんだよ。いまでも記念館,"['自分', 'で', '使う', 'つもりで', 'いた', 'のに', '、', '父ちゃん', 'の', 'やつ', '、', '縁起', 'で', 'も', 'ない', 'って', '、', '記念', '館', 'に', '寄付', 'しちゃ', 'った', 'んだ', '。', 'きっと', '賞状', 'か', 'なんか', 'もらい', 'たかった', 'んだ', 'よ', '。', 'いま', 'でも', '記念', '館']","['記念', '館']",YES,記念館,NO,NO
1,記念館,自分で使うつもりでいたのに、父ちゃんのやつ、縁起でもないって、記念館に寄付しちゃったんだ。きっと賞状かなんかもらいたかったんだよ。いまでも記念館,"['自分', 'で', '使う', 'つもりで', 'いた', 'のに', '、', '父ちゃん', 'の', 'やつ', '、', '縁起', 'で', 'も', 'ない', 'って', '、', '記念', '館', 'に', '寄付', 'しちゃ', 'った', 'んだ', '。', 'きっと', '賞状', 'か', 'なんか', 'もらい', 'たかった', 'んだ', 'よ', '。', 'いま', 'でも', '記念', '館']","['記念', '館']",YES,記念館,NO,NO
2,記念館,、ピアノコンチェルトで有名な作曲家バルトークの『バルトーク記念館』など、ヨーロッパの歴史を感じさせるこぢんまりとした記念館が多い。ハンガリーの民族音楽に興味があるなら、『音楽史博物館』へ行ってみよう。ティンバロム,"['、', 'ピアノコンチェルト', 'で', '有名な', '作曲', '家', 'バルトーク', 'の', '『', 'バルトーク', '記念', '館', '』', 'など', '、', 'ヨーロッパ', 'の', '歴史', 'を', '感じ', 'させる', 'こぢんまり', 'と', 'した', '記念', '館', 'が', '多い', '。', 'ハンガリー', 'の', '民族', '音楽', 'に', '興味', 'が', 'ある', 'なら', '、', '『', '音楽', '史', '博物', '館', '』', 'へ', '行って', 'みよう', '。', 'ティンバロム']","['記念', '館']",YES,記念館,NO,NO
3,記念館,、ピアノコンチェルトで有名な作曲家バルトークの『バルトーク記念館』など、ヨーロッパの歴史を感じさせるこぢんまりとした記念館が多い。ハンガリーの民族音楽に興味があるなら、『音楽史博物館』へ行ってみよう。ティンバロム,"['、', 'ピアノコンチェルト', 'で', '有名な', '作曲', '家', 'バルトーク', 'の', '『', 'バルトーク', '記念', '館', '』', 'など', '、', 'ヨーロッパ', 'の', '歴史', 'を', '感じ', 'させる', 'こぢんまり', 'と', 'した', '記念', '館', 'が', '多い', '。', 'ハンガリー', 'の', '民族', '音楽', 'に', '興味', 'が', 'ある', 'なら', '、', '『', '音楽', '史', '博物', '館', '』', 'へ', '行って', 'みよう', '。', 'ティンバロム']","['記念', '館']",YES,記念館,NO,NO
4,記念館,この日は昨年十一月開館の「司馬遼太郎記念館」（東大阪市）を設計した建築家の安藤忠雄氏も、記念館の写真を披露しながら「司馬さんの志や青春をそのまま記念館としてつくりたいと考え,"['この', '日', 'は', '昨年', '十一', '月', '開館', 'の', '「', '司馬遼太郎', '記念', '館', '」', '（', '東大阪', '市', '）', 'を', '設計', 'した', '建築', '家', 'の', '安藤', '忠雄', '氏', 'も', '、', '記念', '館', 'の', '写真', 'を', '披露', 'し', 'ながら', '「', '司', '馬', 'さん', 'の', '志', 'や', '青春', 'を', 'そのまま', '記念', '館', 'と', 'して', 'つくり', 'たい', 'と', '考え']","['記念', '館']",YES,記念館,NO,NO
5,記念館,この日は昨年十一月開館の「司馬遼太郎記念館」（東大阪市）を設計した建築家の安藤忠雄氏も、記念館の写真を披露しながら「司馬さんの志や青春をそのまま記念館としてつくりたいと考え,"['この', '日', 'は', '昨年', '十一', '月', '開館', 'の', '「', '司馬遼太郎', '記念', '館', '」', '（', '東大阪', '市', '）', 'を', '設計', 'した', '建築', '家', 'の', '安藤', '忠雄', '氏', 'も', '、', '記念', '館', 'の', '写真', 'を', '披露', 'し', 'ながら', '「', '司', '馬', 'さん', 'の', '志', 'や', '青春', 'を', 'そのまま', '記念', '館', 'と', 'して', 'つくり', 'たい', 'と', '考え']","['記念', '館']",YES,記念館,NO,NO
6,記念館,この日は昨年十一月開館の「司馬遼太郎記念館」（東大阪市）を設計した建築家の安藤忠雄氏も、記念館の写真を披露しながら「司馬さんの志や青春をそのまま記念館としてつくりたいと考え,"['この', '日', 'は', '昨年', '十一', '月', '開館', 'の', '「', '司馬遼太郎', '記念', '館', '」', '（', '東大阪', '市', '）', 'を', '設計', 'した', '建築', '家', 'の', '安藤', '忠雄', '氏', 'も', '、', '記念', '館', 'の', '写真', 'を', '披露', 'し', 'ながら', '「', '司', '馬', 'さん', 'の', '志', 'や', '青春', 'を', 'そのまま', '記念', '館', 'と', 'して', 'つくり', 'たい', 'と', '考え']","['記念', '館']",YES,記念館,NO,NO
7,記念館,，ＷａｓｈｉｎｔｏｎＤ．Ｃ．のＭａｌｌの端にあるＡｂｒａｈａｍＬｉｎｃｏｌｎに捧げられた記念館、千九百二十二年に建立）の正面に立って、英語そのものが続く限り決して忘れ去られる,"['，', 'ＷａｓｈｉｎｔｏｎＤ', '．', 'Ｃ', '．', 'の', 'Ｍａｌｌ', 'の', '端', 'に', 'ある', 'ＡｂｒａｈａｍＬｉｎｃｏｌｎ', 'に', '捧げ', 'られた', '記念', '館', '、', '千九百二十二', '年', 'に', '建立', '）', 'の', '正面', 'に', '立って', '、', '英語', 'そのもの', 'が', '続く', '限り', '決して', '忘れ', '去ら', 'れる']","['記念', '館']",YES,記念館,NO,NO
8,記念館,きました。というのも、とあるきっかけで、「公文公記念館」という公文式の創始者の記念館です。公文式ってしってますか？最近では「ＫＵＭＯＮ」って書くほうが皆,"['き', 'ました', '。', 'というのも', '、', 'とある', 'きっかけ', 'で', '、', '「', '公', '文', '公', '記念', '館', '」', 'と', 'いう', '公文式', 'の', '創始', '者', 'の', '記念', '館', 'です', '。', '公文式', 'って', 'しって', 'ます', 'か', '？', '最近', 'で', 'は', '「', 'ＫＵＭＯＮ', '」', 'って', '書く', 'ほう', 'が', '皆']","['記念', '館']",YES,記念館,NO,NO
9,記念館,きました。というのも、とあるきっかけで、「公文公記念館」という公文式の創始者の記念館です。公文式ってしってますか？最近では「ＫＵＭＯＮ」って書くほうが皆,"['き', 'ました', '。', 'というのも', '、', 'とある', 'きっかけ', 'で', '、', '「', '公', '文', '公', '記念', '館', '」', 'と', 'いう', '公文式', 'の', '創始', '者', 'の', '記念', '館', 'です', '。', '公文式', 'って', 'しって', 'ます', 'か', '？', '最近', 'で', 'は', '「', 'ＫＵＭＯＮ', '」', 'って', '書く', 'ほう', 'が', '皆']","['記念', '館']",YES,記念館,NO,NO
10,記念館,みった」に由来する☎０５９３・９１・１０８８９時三十分〜十七時三十分三十分前無休入館千円ｈｔｔｐ：／／ｗｗｗ．ｐａｒａｍｉｔａｍｕｓｅｕｍ．ｃｏｍ記念館［兵庫県日高町］植村直己冒険館新館がオープン１月オープン五大陸の最高峰を極め、’八十四年に消息を,"['み', 'った', '」', 'に', '由来', 'する', '☎', '０５９３・９１・１０８８９', '時', '三十', '分', '〜', '十七', '時', '三十', '分', '三十', '分', '前', '無休', '入館', '千', '円', 'ｈｔｔｐ', '：', '／', '／', 'ｗｗｗ', '．', 'ｐａｒａｍｉｔａｍｕｓｅｕｍ', '．', 'ｃｏｍ', '記念', '館', '［', '兵庫', '県', '日高', '町', '］', '植村', '直己', '冒険', '館', '新館', 'が', 'オープン', '１', '月', 'オープン', '五', '大陸', 'の', '最高峰', 'を', '極め', '、', '’', '八十四', '年', 'に', '消息', 'を']","['記念', '館']",YES,記念館,NO,NO
