,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,講師,四十六梅雨だというのに雨が降らない。蒸し暑い真昼、私は秋から講師をつとめる学校に呼びだされてでかけた。私の受けもつのはデザインのクラスだ。,"['四十六', '梅雨', 'だ', 'と', 'いう', 'のに', '雨', 'が', '降ら', 'ない', '。', '蒸し暑い', '真', '昼', '、', '私', 'は', '秋', 'から', '講師', 'を', 'つとめる', '学校', 'に', '呼び', 'だ', 'さ', 'れて', 'でかけた', '。', '私', 'の', '受けもつ', 'の', 'は', 'デザイン', 'の', 'クラス', 'だ', '。']",['講師'],NO,講師,NO,NO
1,講師,研究大学の教授陣の年齢分布比較注）日本は、大学教員のうち国立大学大学院に所属する教授、助教授、講師の数の合計である。米国は、研究大学に所属し、かつ博士号を持つｐｒｏｆｅｓｓｏｒｓ、ａｓｓｏｃｉａｔｅ,"['研究', '大学', 'の', '教授', '陣', 'の', '年齢', '分布', '比較', '注', '）', '日本', 'は', '、', '大学', '教員', 'の', 'うち', '国立', '大学', '大学院', 'に', '所属', 'する', '教授', '、', '助教授', '、', '講師', 'の', '数', 'の', '合計', 'である', '。', '米国', 'は', '、', '研究', '大学', 'に', '所属', 'し', '、', 'かつ', '博士', '号', 'を', '持つ', 'ｐｒｏｆｅｓｓｏｒｓ', '、', 'ａｓｓｏｃｉａｔｅ']",['講師'],NO,講師,NO,NO
2,講師,へ深沢学習センター（きらら深沢）対象は市内在住・在勤・在学の人。【１パソコン講座〜Ｅｘｃｅｌを楽しもう】講師は■■■■さん（鎌倉シチズンネット理事）。定員二十人。抽選。資料代二百円。●９／１〜二十二の,"['へ', '深沢', '学習', 'センター', '（', 'きら', 'ら', '深沢', '）', '対象', 'は', '市', '内', '在住', '・', '在勤', '・', '在学', 'の', '人', '。', '【', '１', 'パソコン', '講座', '〜', 'Ｅｘｃｅｌ', 'を', '楽しもう', '】', '講師', 'は', '■■■■', 'さん', '（', '鎌倉', 'シチズンネット', '理事', '）', '。', '定員', '二十', '人', '。', '抽選', '。', '資料', '代', '二百', '円', '。', '●', '９', '／', '１', '〜', '二十二', 'の']",['講師'],NO,講師,NO,NO
3,講師,二次会午後６：００〜※講師の先生にご相談の時間もございます。○場所,"['二', '次', '会', '午後', '６', '：', '００', '〜※', '講師', 'の', '先生', 'に', 'ご', '相談', 'の', '時間', 'も', 'ございます', '。', '○', '場所']",['講師'],NO,講師,NO,NO
4,講師,た。そして、八雲の山車にも「あんどん型山車」を取り入れようと、弘前のねぷた師を講師に「あんどん型山車づくり講習会」を毎年実施していくのである。さらに「山車行列プロジェクト」では、毎年の「,"['た', '。', 'そして', '、', '八雲', 'の', '山車', 'に', 'も', '「', 'あんどん', '型', '山車', '」', 'を', '取り入れよう', 'と', '、', '弘', '前', 'の', 'ねぷた', '師', 'を', '講師', 'に', '「', 'あんどん', '型', '山車', 'づくり', '講習', '会', '」', 'を', '毎年', '実施', 'して', 'いく', 'のである', '。', 'さらに', '「', '山車', '行列', 'プロジェクト', '」', 'で', 'は', '、', '毎年', 'の', '「']",['講師'],NO,講師,NO,NO
5,講師,服装でご参加ください。【受講料】会員の方は無料。非会員の方は五百円。【講師】■■■■氏【応募締切】十月９日（木）【問合せ】伊豆市社会福祉協議会本所☎（八十三）,"['服装', 'で', 'ご', '参加', 'ください', '。', '【', '受講', '料', '】', '会員', 'の', '方', 'は', '無料', '。', '非', '会員', 'の', '方', 'は', '五百', '円', '。', '【', '講師', '】■■■■', '氏', '【', '応募', '締切', '】', '十', '月', '９', '日', '（', '木', '）', '【', '問', '合せ', '】', '伊豆', '市', '社会', '福祉', '協議', '会', '本', '所', '☎（', '八十三', '）']",['講師'],NO,講師,NO,NO
6,講師,午前９時三十分〜午後４時三十分▽ところ練馬女性センターえーる（石神井町８の１の十）▽講師社会保険労務士／■■■■▽定員四十名（申込順）▽申込電話で練馬女性センターえーる☎三千九百九十六．九〇〇七へ,"['午前', '９', '時', '三十', '分', '〜', '午後', '４', '時', '三十', '分', '▽', 'ところ', '練馬', '女性', 'センター', 'えー', 'る', '（', '石神', '井', '町', '８', 'の', '１', 'の', '十', '）', '▽', '講師', '社会', '保険', '労務', '士', '／', '■■■■▽', '定員', '四十', '名', '（', '申込', '順', '）', '▽', '申込', '電話', 'で', '練馬', '女性', 'センター', 'えー', 'る', '☎', '三千九百九十六', '．', '九〇〇七', 'へ']",['講師'],NO,講師,NO,NO
7,講師,土）午後２時三十分〜４時三十分場所＝長崎歴史文化博物館１階ホール（立山１丁目）講師＝高知市民活動サポートセンター所長・■■■■氏定員＝百五十人被爆者健康講話原爆死没者追悼平和祈念館☎八百十四．〇〇五五日時＝十二月４日（木）午後,"['土', '）', '午後', '２', '時', '三十', '分', '〜', '４', '時', '三十', '分', '場所', '＝', '長崎', '歴史', '文化', '博物', '館', '１', '階', 'ホール', '（', '立山', '１', '丁目', '）', '講師', '＝', '高知', '市民', '活動', 'サポートセンター', '所長', '・', '■■■■', '氏', '定員', '＝', '百五十', '人', '被爆', '者', '健康', '講話', '原爆', '死没', '者', '追悼', '平和', '祈念', '館', '☎', '八百十四', '．', '〇〇五五', '日', '時', '＝', '十二', '月', '４', '日', '（', '木', '）', '午後']",['講師'],NO,講師,NO,NO
8,講師,期日十一月二十八日（金）時間午前９時三十分〜午後１時ごろ場所笠原中央公民館３階料理教室講師■■■■氏（ひめ青空市）ほか持ち物筆記用具、エプロン、三角巾、ふきん３枚定員二十人（,"['期日', '十一', '月', '二十八', '日', '（', '金', '）', '時間', '午前', '９', '時', '三十', '分', '〜', '午後', '１', '時', 'ごろ', '場所', '笠原', '中央', '公民', '館', '３', '階', '料理', '教室', '講師', '■■■■', '氏', '（', 'ひめ', '青空', '市', '）', 'ほか', '持ち物', '筆記', '用具', '、', 'エプロン', '、', '三角', '巾', '、', 'ふきん', '３', '枚', '定員', '二十', '人', '（']",['講師'],NO,講師,NO,NO
9,講師,のゼミに入り、ゼミの先生の下で大学院に進んでください。大学を卒業して講師になり、勉強を進めて大学から助教授の認定をもらい、さらに勉強して教授に,"['の', 'ゼミ', 'に', '入り', '、', 'ゼミ', 'の', '先生', 'の', '下', 'で', '大学院', 'に', '進んで', 'ください', '。', '大学', 'を', '卒業', 'して', '講師', 'に', 'なり', '、', '勉強', 'を', '進めて', '大学', 'から', '助教授', 'の', '認定', 'を', 'もらい', '、', 'さらに', '勉強', 'して', '教授', 'に']",['講師'],NO,講師,NO,NO
10,講師,には自腹を切ること「無料相談」で人、お金、情報を引き寄せ◆講師になる方法１．講師派遣会社に登録する２．自分のＨＰやブログ、メルマガで,"['に', 'は', '自腹', 'を', '切る', 'こと', '「', '無料', '相談', '」', 'で', '人', '、', 'お', '金', '、', '情報', 'を', '引き寄せ', '◆', '講師', 'に', 'なる', '方法', '１', '．', '講師', '派遣', '会社', 'に', '登録', 'する', '２', '．', '自分', 'の', 'ＨＰ', 'や', 'ブログ', '、', 'メルマガ', 'で']",['講師'],NO,講師,NO,NO
11,講師,には自腹を切ること「無料相談」で人、お金、情報を引き寄せ◆講師になる方法１．講師派遣会社に登録する２．自分のＨＰやブログ、メルマガで,"['に', 'は', '自腹', 'を', '切る', 'こと', '「', '無料', '相談', '」', 'で', '人', '、', 'お', '金', '、', '情報', 'を', '引き寄せ', '◆', '講師', 'に', 'なる', '方法', '１', '．', '講師', '派遣', '会社', 'に', '登録', 'する', '２', '．', '自分', 'の', 'ＨＰ', 'や', 'ブログ', '、', 'メルマガ', 'で']",['講師'],NO,講師,NO,NO
12,講師,含む〉３回分七百五十円３．現代の子育て・親育て１十月６日（月）帯広・十勝の子育て事情講師地域子育て支援センターこでまり主任保育士■■■■■講師２十月二十日（月）子育ては親育て,"['含む', '〉', '３', '回', '分', '七百五十', '円', '３', '．', '現代', 'の', '子育て', '・', '親', '育て', '１十', '月', '６', '日', '（', '月', '）', '帯広', '・', '十', '勝', 'の', '子育て', '事情', '講師', '地域', '子育て', '支援', 'センター', 'こ', 'で', 'まり', '主任', '保育', '士', '■■■■■', '講師', '２十', '月', '二十', '日', '（', '月', '）', '子育て', 'は', '親', '育て']",['講師'],NO,講師,NO,NO
13,講師,含む〉３回分七百五十円３．現代の子育て・親育て１十月６日（月）帯広・十勝の子育て事情講師地域子育て支援センターこでまり主任保育士■■■■■講師２十月二十日（月）子育ては親育て,"['含む', '〉', '３', '回', '分', '七百五十', '円', '３', '．', '現代', 'の', '子育て', '・', '親', '育て', '１十', '月', '６', '日', '（', '月', '）', '帯広', '・', '十', '勝', 'の', '子育て', '事情', '講師', '地域', '子育て', '支援', 'センター', 'こ', 'で', 'まり', '主任', '保育', '士', '■■■■■', '講師', '２十', '月', '二十', '日', '（', '月', '）', '子育て', 'は', '親', '育て']",['講師'],NO,講師,NO,NO
14,講師,は表情を緩めた。「俺の知っているコンサルタント会社で、接客のレクチャーをする講師を探してるんだ。協子は確か、スチュワーデスの教育も受けてるし、社内で新入社員,"['は', '表情', 'を', '緩めた', '。', '「', '俺', 'の', '知って', 'いる', 'コンサルタント', '会社', 'で', '、', '接客', 'の', 'レクチャー', 'を', 'する', '講師', 'を', '探して', 'る', 'んだ', '。', '協', '子', 'は', '確か', '、', 'スチュワーデス', 'の', '教育', 'も', '受けて', 'る', 'し', '、', '社', '内', 'で', '新入', '社員']",['講師'],NO,講師,NO,NO
15,講師,テクニック６「Ｎの法則」ある青年会議所での話。評判の高い経営コンサルタントを講師に招こうとしましたが、講演料が折り合わず断られました。担当者はあきらめきれ,"['テクニック', '６', '「', 'Ｎ', 'の', '法則', '」', 'ある', '青年', '会議', '所', 'で', 'の', '話', '。', '評判', 'の', '高い', '経営', 'コンサルタント', 'を', '講師', 'に', '招こう', 'と', 'し', 'ました', 'が', '、', '講演', '料', 'が', '折り合わ', 'ず', '断ら', 'れ', 'ました', '。', '担当', '者', 'は', 'あきらめ', 'きれ']",['講師'],NO,講師,NO,NO
