,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,連歌師,領主に対する宗祇の阿諛ととれなくもない。雪舟は自分と同年配のこの著名な連歌師を、内心軽蔑していた。雪舟は、この館にくるのを好まない。,"['領主', 'に', '対する', '宗祇', 'の', '阿', '諛', 'と', 'とれ', 'なく', 'も', 'ない', '。', '雪', '舟', 'は', '自分', 'と', '同', '年配', 'の', 'この', '著名な', '連歌', '師', 'を', '、', '内心', '軽蔑', 'して', 'いた', '。', '雪', '舟', 'は', '、', 'この', '館', 'に', 'くる', 'の', 'を', '好ま', 'ない', '。']","['連歌', '師']",YES,連歌師,NO,NO
1,連歌師,と書かれている。連歌が盛んだった新在家町でつくられたというのだが、その連歌師の筆頭が玄哉だった。思いがけないところで現代のわれわれも、玄哉の文字どおり「,"['と', '書か', 'れて', 'いる', '。', '連歌', 'が', '盛んだった', '新', '在', '家', '町', 'で', 'つくら', 'れた', 'と', 'いう', 'のだ', 'が', '、', 'その', '連歌', '師', 'の', '筆頭', 'が', '玄', '哉', 'だった', '。', '思いがけない', 'ところ', 'で', '現代', 'の', 'われわれ', 'も', '、', '玄', '哉', 'の', '文字どおり', '「']","['連歌', '師']",YES,連歌師,NO,NO
2,連歌師,か『徒然草』第八十九段は、飼い犬を「猫また」と誤認して大騒ぎをした連歌師の話である。そこでは「猫また」とは、年をとった猫が変化し,"['か', '『', '徒然', '草', '』', '第', '八十九', '段', 'は', '、', '飼い犬', 'を', '「', '猫', 'また', '」', 'と', '誤認', 'して', '大騒ぎ', 'を', 'した', '連歌', '師', 'の', '話', 'である', '。', 'そこ', 'で', 'は', '「', '猫', 'また', '」', 'と', 'は', '、', '年', 'を', 'とった', '猫', 'が', '変化', 'し']","['連歌', '師']",YES,連歌師,NO,NO
3,連歌師,、今井宗久のことである。さらに、同じく堺の津田宗及、山上宗二らの茶人グループ、里村紹巴らの連歌師、歌人の細川藤孝、神官の吉田兼見とともに、文人、光秀は、これら当時の超一流,"['、', '今井', '宗久', 'の', 'こと', 'である', '。', 'さらに', '、', '同じく', '堺', 'の', '津田', '宗及', '、', '山上', '宗', '二', 'ら', 'の', '茶', '人', 'グループ', '、', '里', '村', '紹巴', 'ら', 'の', '連歌', '師', '、', '歌人', 'の', '細川', '藤', '孝', '、', '神官', 'の', '吉田', '兼', '見と', 'ともに', '、', '文人', '、', '光', '秀', 'は', '、', 'これ', 'ら', '当時', 'の', '超', '一流']","['連歌', '師']",YES,連歌師,NO,NO
4,連歌師,では玄哉をはっきり一流とするまでの評価はないようだが、しかし専門の連歌師ではない町衆のなかで玄哉と並ぶほどの活躍をした人はほかに,"['では', '玄', '哉', 'を', 'はっきり', '一流', 'と', 'する', 'まで', 'の', '評価', 'は', 'ない', 'ようだ', 'が', '、', 'しかし', '専門', 'の', '連歌', '師', 'で', 'は', 'ない', '町衆', 'の', 'なか', 'で', '玄', '哉', 'と', '並ぶ', 'ほど', 'の', '活躍', 'を', 'した', '人', 'は', 'ほか', 'に']","['連歌', '師']",YES,連歌師,NO,NO
5,連歌師,が過大評価されてきたわけだが、玄哉こそが利休の師であり、しかもすぐれた連歌師だったのである。連歌では、それこそ新しい風俗であり、新しい語彙である茶の湯が,"['が', '過大', '評価', 'さ', 'れて', 'きた', 'わけだ', 'が', '、', '玄', '哉', 'こそ', 'が', '利', '休', 'の', '師', 'であり', '、', 'しかも', 'すぐれた', '連歌', '師', 'だった', 'のである', '。', '連歌', 'で', 'は', '、', 'それ', 'こそ', '新しい', '風俗', 'であり', '、', '新しい', '語彙', 'である', '茶の湯', 'が']","['連歌', '師']",YES,連歌師,NO,NO
6,連歌師,て、次のような歌を書いたという。宗作というのは相神浦方の連歌師の手光宗作のことで、そのころ、米糠ばかりを食べて飢えをしのんでいたらしい,"['て', '、', '次', 'の', 'ような', '歌', 'を', '書いた', 'と', 'いう', '。', '宗作', 'と', 'いう', 'の', 'は', '相', '神', '浦', '方', 'の', '連歌', '師', 'の', '手', '光', '宗作', 'の', 'こと', 'で', '、', 'そのころ', '、', '米糠', 'ばかり', 'を', '食べて', '飢え', 'を', 'しのんで', 'いた', 'らしい']","['連歌', '師']",YES,連歌師,NO,NO
7,連歌師,たに違いないが、それほどの旅をしたわけではない。旅程についていうなら中世の連歌師や遊行僧のほうがはるかにすさまじい旅の生涯を送っている。宗祇などは中国、,"['たに', '違いない', 'が', '、', 'それ', 'ほど', 'の', '旅', 'を', 'した', 'わけで', 'は', 'ない', '。', '旅程', 'に', 'ついて', 'いう', 'なら', '中世', 'の', '連歌', '師', 'や', '遊行', '僧', 'の', 'ほう', 'が', 'はるかに', 'すさまじい', '旅', 'の', '生涯', 'を', '送って', 'いる', '。', '宗祇', 'など', 'は', '中国', '、']","['連歌', '師']",YES,連歌師,NO,NO
8,連歌師,かつては鈴屋（本居宣長）門下の紅一点とうたわれた才媛だそうな。田舎まわりの連歌師が面白半ぶん、さまざまに言い掛けしている場にたまたま行き合わせたが、即座に付句を返して,"['かつて', 'は', '鈴', '屋', '（', '本', '居', '宣', '長', '）', '門下', 'の', '紅一点', 'と', 'うたわ', 'れた', '才', '媛', 'だ', 'そう', 'な', '。', '田舎', 'まわり', 'の', '連歌', '師', 'が', '面白', '半', 'ぶん', '、', 'さまざまに', '言い', '掛け', 'して', 'いる', '場', 'に', 'たまたま', '行き合わ', 'せた', 'が', '、', '即座に', '付', '句', 'を', '返して']","['連歌', '師']",YES,連歌師,NO,NO
9,連歌師,の『言継卿記』天正四年（千五百七十六）十月十一日条に「南町辻玄哉、今朝死すと云々、連歌師一人卒す、不便了（不便々々か）」という記事があり、この日玄哉が没し,"['の', '『', '言継卿記', '』', '天', '正', '四', '年', '（', '千五百七十六', '）', '十', '月', '十一', '日', '条', 'に', '「', '南', '町', '辻', '玄', '哉', '、', '今朝', '死', 'す', 'と', '云々', '、', '連歌', '師', '一', '人', '卒', 'す', '、', '不便', '了', '（', '不便', '々々', 'か', '）', '」', 'と', 'いう', '記事', 'が', 'あり', '、', 'この', '日', '玄', '哉', 'が', '没し']","['連歌', '師']",YES,連歌師,NO,NO
