,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,運動場,には、「風の栖」とある。曲がり家に隣接するフェンスで囲われた運動場に二頭の川上犬がいる。龍と完。いとこ同士の雄で、それぞれ六歳と二歳,"['に', 'は', '、', '「', '風', 'の', '栖', '」', 'と', 'ある', '。', '曲がり', '家', 'に', '隣接', 'する', 'フェンス', 'で', '囲わ', 'れた', '運動', '場', 'に', '二', '頭', 'の', '川上', '犬', 'が', 'いる', '。', '龍', 'と', '完', '。', 'いとこ', '同士', 'の', '雄', 'で', '、', 'それぞれ', '六', '歳', 'と', '二', '歳']","['運動', '場']",YES,運動場,NO,NO
1,運動場,ている。六年の体育委員のお兄さんも、手をとめて森を見ている。運動場を見わたすと、署名をしてくれたバスケットボールクラブの五年の女子も、職員席の給食の,"['て', 'いる', '。', '六', '年', 'の', '体育', '委員', 'の', 'お', '兄さん', 'も', '、', '手', 'を', 'とめて', '森', 'を', '見て', 'いる', '。', '運動', '場', 'を', '見わたす', 'と', '、', '署名', 'を', 'して', 'くれた', 'バスケットボールクラブ', 'の', '五', '年', 'の', '女子', 'も', '、', '職員', '席', 'の', '給食', 'の']","['運動', '場']",YES,運動場,NO,NO
2,運動場,へ子ども市立小学校施設開放を行っています。市立小学校では、学校教育活動に支障のない範囲で運動場や体育館、特別教室などの学校施設を地域の子どもたちにかかわる団体の活動の場として活用いただく,"['へ', '子ども', '市立', '小学校', '施設', '開放', 'を', '行って', 'い', 'ます', '。', '市立', '小学校', 'で', 'は', '、', '学校', '教育', '活動', 'に', '支障', 'の', 'ない', '範囲', 'で', '運動', '場', 'や', '体育', '館', '、', '特別', '教室', 'など', 'の', '学校', '施設', 'を', '地域', 'の', '子ども', 'たち', 'に', 'かかわる', '団体', 'の', '活動', 'の', '場', 'と', 'して', '活用', 'いただく']","['運動', '場']",YES,運動場,NO,NO
3,運動場,に運動場で行われた。春さきにしては冷たく、ときどき北風が、黄色いほこりをあげて運動場をふきぬけていく。ヘボン先生は思わず身ぶるいした。寒さのためだけではない。まだ,"['に', '運動', '場', 'で', '行わ', 'れた', '。', '春', 'さき', 'に', 'して', 'は', '冷たく', '、', 'ときどき', '北風', 'が', '、', '黄色い', 'ほこり', 'を', 'あげて', '運動', '場', 'を', 'ふきぬけて', 'いく', '。', 'ヘボン', '先生', 'は', '思わず', '身ぶるい', 'した', '。', '寒', 'さ', 'の', 'ため', 'だけ', 'で', 'は', 'ない', '。', 'まだ']","['運動', '場']",YES,運動場,NO,NO
4,運動場,に運動場で行われた。春さきにしては冷たく、ときどき北風が、黄色いほこりをあげて運動場をふきぬけていく。ヘボン先生は思わず身ぶるいした。寒さのためだけではない。まだ,"['に', '運動', '場', 'で', '行わ', 'れた', '。', '春', 'さき', 'に', 'して', 'は', '冷たく', '、', 'ときどき', '北風', 'が', '、', '黄色い', 'ほこり', 'を', 'あげて', '運動', '場', 'を', 'ふきぬけて', 'いく', '。', 'ヘボン', '先生', 'は', '思わず', '身ぶるい', 'した', '。', '寒', 'さ', 'の', 'ため', 'だけ', 'で', 'は', 'ない', '。', 'まだ']","['運動', '場']",YES,運動場,NO,NO
5,運動場,考えながら。何だかもうその先生が好きになったように思いました。いっしょに運動場を散歩しよう。先生は私の大の仲好しになってくださるんだわ…ところが、,"['考え', 'ながら', '。', '何だか', 'もう', 'その', '先生', 'が', '好きに', 'なった', 'ように', '思い', 'ました', '。', 'いっしょに', '運動', '場', 'を', '散歩', 'しよう', '。', '先生', 'は', '私', 'の', '大', 'の', '仲', '好し', 'に', 'なって', 'くださる', 'んだ', 'わ', '…', 'ところが', '、']","['運動', '場']",YES,運動場,NO,NO
6,運動場,新宿区立淀橋中学校は都庁から近いところにある。生徒数二百人余り、古い校舎とテニスコート５面分の狭い運動場がある。その周りには防球ネットが高々と張られ、その近くに桜などの,"['新宿', '区立', '淀', '橋', '中学校', 'は', '都庁', 'から', '近い', 'ところ', 'に', 'ある', '。', '生徒', '数', '二百', '人', '余り', '、', '古い', '校舎', 'と', 'テニスコート', '５', '面', '分', 'の', '狭い', '運動', '場', 'が', 'ある', '。', 'その', '周り', 'に', 'は', '防', '球', 'ネット', 'が', '高々', 'と', '張ら', 'れ', '、', 'その', '近く', 'に', '桜', 'など', 'の']","['運動', '場']",YES,運動場,NO,NO
7,運動場,からそれらのスポーツ活動に参加することは一目瞭然である。半日休日ではない曜日には、運動場の片隅に寝ころがって友達と話をしていたりする生徒がまったくいないわけではない,"['から', 'それ', 'ら', 'の', 'スポーツ', '活動', 'に', '参加', 'する', 'こと', 'は', '一目瞭然である', '。', '半日', '休日', 'で', 'は', 'ない', '曜日', 'に', 'は', '、', '運動', '場', 'の', '片隅', 'に', '寝', 'ころ', 'が', 'って', '友達', 'と', '話', 'を', 'して', 'いたり', 'する', '生徒', 'が', 'まったく', 'い', 'ない', 'わけで', 'は', 'ない']","['運動', '場']",YES,運動場,NO,NO
8,運動場,に出ていき…というのは、私の思い過ごしだったのかもしれません。ふたりで運動場に飛び出して三十分も遊ぶと、ミッキーの耳や尻尾が赤くなってきたからたいへん,"['に', '出て', 'いき', '…', 'と', 'いう', 'の', 'は', '、', '私', 'の', '思い過ごし', 'だった', 'の', 'かも', 'しれ', 'ませ', 'ん', '。', 'ふた', 'り', 'で', '運動', '場', 'に', '飛び出して', '三十', '分', 'も', '遊ぶ', 'と', '、', 'ミッキー', 'の', '耳', 'や', '尻尾', 'が', '赤く', 'なって', 'きた', 'から', 'たいへん']","['運動', '場']",YES,運動場,NO,NO
9,運動場,やよりさんのワークショップに出た。遠藤織枝さんのワークショップでは毎日新聞の畑律江さんと会い、運動場では福島瑞穂さんとも話した。専攻であるジェンダーとメディア関係のワークショップは期間中百二十も開か,"['や', 'より', 'さん', 'の', 'ワークショップ', 'に', '出た', '。', '遠藤', '織', '枝', 'さん', 'の', 'ワークショップ', 'で', 'は', '毎日新聞', 'の', '畑', '律', '江', 'さん', 'と', '会い', '、', '運動', '場', 'で', 'は', '福島', '瑞穂', 'さん', 'と', 'も', '話した', '。', '専攻', 'である', 'ジェンダー', 'と', 'メディア', '関係', 'の', 'ワークショップ', 'は', '期間', '中', '百二十', 'も', '開か']","['運動', '場']",YES,運動場,NO,NO
