,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,銀行員,でぼくは、あれほどきちんとした身なりをし、義父からもついに認められ、あの銀行員からはうやうやしく扱われて、実に居心地のいいひとときを過ごしたのである。それは,"['で', 'ぼく', 'は', '、', 'あれほど', 'きちんと', 'した', '身なり', 'を', 'し', '、', '義父', 'から', 'も', 'ついに', '認め', 'られ', '、', 'あの', '銀行', '員', 'から', 'は', 'うやうやしく', '扱わ', 'れて', '、', '実に', '居心地', 'の', 'いい', 'ひととき', 'を', '過ごした', 'のである', '。', 'それ', 'は']","['銀行', '員']",YES,銀行員,NO,NO
1,銀行員,「大嫌いですよ」と川原拓也はいった。「融資を受ける必要さえなかったら、銀行員とは死んでもつき合いたくないですね」「それはまたひどいいいようです,"['「', '大嫌いです', 'よ', '」', 'と', '川原', '拓也', 'は', 'いった', '。', '「', '融資', 'を', '受ける', '必要', 'さえ', 'なかったら', '、', '銀行', '員', 'と', 'は', '死んで', 'も', 'つき合い', 'たく', 'ない', 'です', 'ね', '」', '「', 'それ', 'は', 'また', 'ひどい', 'いい', 'ようです']","['銀行', '員']",YES,銀行員,NO,NO
2,銀行員,銀行・企業双方がマナーを心得てさえいれば比較的簡単なことです。◆企業側からみた銀行員のタイプ次に、企業側からみた銀行員のタイプを見てみましょう。〈紋切型,"['銀行', '・', '企業', '双方', 'が', 'マナー', 'を', '心得て', 'さえ', 'いれば', '比較的', '簡単な', 'こと', 'です', '。', '◆', '企業', '側', 'から', 'みた', '銀行', '員', 'の', 'タイプ', '次に', '、', '企業', '側', 'から', 'みた', '銀行', '員', 'の', 'タイプ', 'を', '見て', 'み', 'ましょう', '。', '〈', '紋切型']","['銀行', '員']",YES,銀行員,NO,NO
3,銀行員,銀行・企業双方がマナーを心得てさえいれば比較的簡単なことです。◆企業側からみた銀行員のタイプ次に、企業側からみた銀行員のタイプを見てみましょう。〈紋切型,"['銀行', '・', '企業', '双方', 'が', 'マナー', 'を', '心得て', 'さえ', 'いれば', '比較的', '簡単な', 'こと', 'です', '。', '◆', '企業', '側', 'から', 'みた', '銀行', '員', 'の', 'タイプ', '次に', '、', '企業', '側', 'から', 'みた', '銀行', '員', 'の', 'タイプ', 'を', '見て', 'み', 'ましょう', '。', '〈', '紋切型']","['銀行', '員']",YES,銀行員,NO,NO
4,銀行員,。数字に疎く、計数などは銀行が判断すべきことだと考えているのか、銀行員を満足させる計数報告ができないタイプです。これでは協力しようにもしようがありませ,"['。', '数字', 'に', '疎く', '、', '計数', 'など', 'は', '銀行', 'が', '判断', 'す', 'べき', 'こと', 'だ', 'と', '考えて', 'いる', 'の', 'か', '、', '銀行', '員', 'を', '満足', 'さ', 'せる', '計数', '報告', 'が', 'でき', 'ない', 'タイプ', 'です', '。', 'これ', 'で', 'は', '協力', 'しよう', 'に', 'も', 'しよう', 'が', 'あり', 'ませ']","['銀行', '員']",YES,銀行員,NO,NO
5,銀行員,銀行内で行員の不正事件を暴いた際、刑事さんから、「部長の目は、とても銀行員のものとは思えない。厳しい方ですね」といわれたことを自慢に,"['銀行', '内', 'で', '行員', 'の', '不正', '事件', 'を', '暴いた', '際', '、', '刑事', 'さん', 'から', '、', '「', '部長', 'の', '目', 'は', '、', 'とても', '銀行', '員', 'の', 'もの', 'と', 'は', '思え', 'ない', '。', '厳しい', '方', 'です', 'ね', '」', 'と', 'いわ', 'れた', 'こと', 'を', '自慢', 'に']","['銀行', '員']",YES,銀行員,NO,NO
6,銀行員,のことだった。ほぼ同時に境ケイ―旧姓太田ケイも取調室の椅子に腰掛けた。銀行員の妻に収まり、五歳と二歳の女の子の母親でもある。重要参考人の一人である,"['の', 'こと', 'だった', '。', 'ほぼ', '同時に', '境', 'ケイ', '―', '旧姓', '太田', 'ケイ', 'も', '取', '調', '室', 'の', '椅子', 'に', '腰掛けた', '。', '銀行', '員', 'の', '妻', 'に', '収まり', '、', '五', '歳', 'と', '二', '歳', 'の', '女の子', 'の', '母親', 'で', 'も', 'ある', '。', '重要', '参考人', 'の', '一', '人', 'である']","['銀行', '員']",YES,銀行員,NO,NO
7,銀行員,たものと推察されます。千九百九十一年以後十数年間、金利引き上げ交渉の経験がない銀行担当者、特に若手の銀行員が、金利引き上げ交渉をする際にも、味方になるのが、企業格付けと言えます。銀行,"['た', 'もの', 'と', '推察', 'さ', 'れ', 'ます', '。', '千九百九十一', '年', '以後', '十', '数', '年間', '、', '金利', '引き上げ', '交渉', 'の', '経験', 'が', 'ない', '銀行', '担当', '者', '、', '特に', '若手', 'の', '銀行', '員', 'が', '、', '金利', '引き上げ', '交渉', 'を', 'する', '際', 'に', 'も', '、', '味方', 'に', 'なる', 'の', 'が', '、', '企業', '格付け', 'と', '言え', 'ます', '。', '銀行']","['銀行', '員']",YES,銀行員,NO,NO
8,銀行員,法律家に事業をやれといったら到底出来ないのである。何かの本で、銀行員が経営者にいろいろと融資の条件をうるさく言うものだから、怒った経営者が「,"['法律', '家', 'に', '事業', 'を', 'やれ', 'と', 'いったら', '到底', '出来', 'ない', 'のである', '。', '何', 'か', 'の', '本', 'で', '、', '銀行', '員', 'が', '経営', '者', 'に', 'いろいろ', 'と', '融資', 'の', '条件', 'を', 'うるさく', '言う', 'もの', 'だ', 'から', '、', '怒った', '経営', '者', 'が', '「']","['銀行', '員']",YES,銀行員,NO,NO
9,銀行員,も立とうものなら、睡眠不足になって健康にもよくありません。お坊ちゃま育ちの銀行員は、基本的にこうした汚れ仕事に手を染めません。彼らにできることは,"['も', '立とう', 'もの', 'なら', '、', '睡眠', '不足に', 'なって', '健康に', 'も', 'よく', 'あり', 'ませ', 'ん', '。', 'お', '坊', 'ちゃ', 'ま', '育ち', 'の', '銀行', '員', 'は', '、', '基本', '的に', 'こうした', '汚れ', '仕事', 'に', '手', 'を', '染め', 'ませ', 'ん', '。', '彼', 'ら', 'に', 'できる', 'こと', 'は']","['銀行', '員']",YES,銀行員,NO,NO
