,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,開場,ための講演会です。期日十二月９日（火）時間午後１時三十分〜３時三十分（開場午後１時）場所セラミックパークＭＩＮＯ講師■■■■氏（生活とリハビリ研究所代表）定員４百人（先着順,"['ため', 'の', '講演', '会', 'です', '。', '期日', '十二', '月', '９', '日', '（', '火', '）', '時間', '午後', '１', '時', '三十', '分', '〜', '３', '時', '三十', '分', '（', '開場', '午後', '１', '時', '）', '場所', 'セラミックパーク', 'ＭＩＮＯ', '講師', '■■■■', '氏', '（', '生活', 'と', 'リハビリ', '研究', '所', '代表', '）', '定員', '４百', '人', '（', '先着', '順']",['開場'],NO,開場,NO,NO
1,開場,、気をつける点、観戦のコツなどありましたら教えてください。よろしくお願いします。開場の直前でもいいし、試合開始直前でも構いませ。チケットはすでにお持ちなんですよ,"['、', '気', 'を', 'つける', '点', '、', '観戦', 'の', 'コツ', 'など', 'あり', 'ましたら', '教えて', 'ください', '。', 'よろしく', 'お', '願い', 'し', 'ます', '。', '開場', 'の', '直前', 'でも', 'いい', 'し', '、', '試合', '開始', '直前', 'でも', '構い', 'ませ', '。', 'チケット', 'は', 'すでに', 'お', '持ち', 'な', 'んです', 'よ']",['開場'],NO,開場,NO,NO
2,開場,ちゃう？ってちょっとの期待。が、行く電車の中で混雑情報とか見てたら開場（９時）前の８時半で観覧の整理券の配布は終了したって。すげ〜！９時,"['ちゃ', 'う', '？', 'って', 'ちょっと', 'の', '期待', '。', 'が', '、', '行く', '電車', 'の', '中', 'で', '混雑', '情報', 'と', 'か', '見て', 'たら', '開場', '（', '９', '時', '）', '前', 'の', '８', '時', '半', 'で', '観覧', 'の', '整理', '券', 'の', '配布', 'は', '終了', 'した', 'って', '。', 'すげ', '〜', '！', '９', '時']",['開場'],NO,開場,NO,NO
3,開場,３日間あってまして、日曜が最終でした。きっと多いだろうから、朝十時の開場に合わせて行ったのに・・・すでにすごい人出！！駐車場に入るまでに,"['３', '日間', 'あって', 'まして', '、', '日曜', 'が', '最終でした', '。', 'きっと', '多い', 'だろう', 'から', '、', '朝', '十', '時', 'の', '開場', 'に', '合わせて', '行った', 'のに', '・', '・', '・', 'すでに', 'すごい', '人出', '！', '！', '駐車', '場', 'に', '入る', 'まで', 'に']",['開場'],NO,開場,NO,NO
4,開場,十七：００３月二十二日（日）奈良・なら百年会館開場十六：三十／開演十七：００３月二十九日（日）香川・サンポートホール高松,"['十七', '：', '００３', '月', '二十二', '日', '（', '日', '）', '奈良', '・', 'なら', '百', '年会', '館', '開場', '十六', '：', '三十', '／', '開演', '十七', '：', '００３', '月', '二十九', '日', '（', '日', '）', '香川', '・', 'サンポートホール', '高松']",['開場'],NO,開場,NO,NO
5,開場,／開演十八：００９月十五日（月・祝）愛知・名古屋国際会議場センチュリーホール開場十七：十五／開演十八：００９月二十七日（土）千葉・市原市市民会館,"['／', '開演', '十八', '：', '００９', '月', '十五', '日', '（', '月', '・', '祝', '）', '愛知', '・', '名古屋', '国際', '会議', '場', 'センチュリーホール', '開場', '十七', '：', '十五', '／', '開演', '十八', '：', '００９', '月', '二十七', '日', '（', '土', '）', '千葉', '・', '市原', '市', '市民', '会館']",['開場'],NO,開場,NO,NO
6,開場,が心地よいです。他にも地サイダーがあったので、いつか飲んでみたいな。やっと開場になったので、会場に行きました。基調講演の、桐山三智子さん（片品生活塾・グッドマザープロジェクト主催）の話,"['が', '心地よい', 'です', '。', '他', 'に', 'も', '地', 'サイダー', 'が', 'あった', 'ので', '、', 'いつか', '飲んで', 'みたいな', '。', 'やっと', '開場', 'に', 'なった', 'ので', '、', '会場', 'に', '行き', 'ました', '。', '基調', '講演', 'の', '、', '桐山', '三', '智子', 'さん', '（', '片品', '生活', '塾', '・', 'グッドマザープロジェクト', '主催', '）', 'の', '話']",['開場'],NO,開場,NO,NO
7,開場,（総合テレビ、衛星第２テレビ、ラジオ第１）日時【本選】十一月９日（日）開場午前十一時開演午前十一時四十五分終演予定午後１時四十分【予選会】十一月８日（,"['（', '総合', 'テレビ', '、', '衛星', '第', '２', 'テレビ', '、', 'ラジオ', '第', '１', '）', '日時', '【', '本選', '】', '十一', '月', '９', '日', '（', '日', '）', '開場', '午前', '十一', '時', '開演', '午前', '十一', '時', '四十五', '分', '終演', '予定', '午後', '１', '時', '四十', '分', '【', '予選', '会', '】', '十一', '月', '８', '日', '（']",['開場'],NO,開場,NO,NO
8,開場,刊行文化会館（☎二十八五千百五）とき８月２日（土）、午後６時〜（開場は午後５時三十分）ところ観光文化会館出演市民のダンスグループ入場料大人五百円、中学生・高校生三百円,"['刊行', '文化', '会館', '（', '☎', '二十八五千百五', '）', 'とき', '８', '月', '２', '日', '（', '土', '）', '、', '午後', '６', '時', '〜', '（', '開場', 'は', '午後', '５', '時', '三十', '分', '）', 'ところ', '観光', '文化', '会館', '出演', '市民', 'の', 'ダンス', 'グループ', '入場', '料', '大人', '五百', '円', '、', '中学生', '・', '高校', '生', '三百', '円']",['開場'],NO,開場,NO,NO
9,開場,全席指定ホキス逗ヤ島３公演セット券八千円（第７回、第８回逗子名人会＋なぎさ寄席）バッハ・コレギウム・ジャパン講座セット割引券五千円９／８月さざなみホール／開場十七：三十開演十八：００バロックダンス講座わかりやすい中世音楽史の解説と、簡単なステップ体験。講師■■■■料金,"['全', '席', '指定', 'ホキス', '逗', 'ヤ', '島', '３', '公演', 'セット', '券', '八千', '円', '（', '第', '７', '回', '、', '第', '８', '回', '逗子', '名人', '会', '＋', 'なぎさ', '寄席', '）', 'バッハ', '・', 'コレギウム', '・', 'ジャパン', '講座', 'セット', '割引', '券', '五千', '円', '９', '／', '８', '月', 'さざなみ', 'ホール', '／', '開場', '十七', '：', '三十', '開演', '十八', '：', '００', 'バロックダンス', '講座', 'わかり', 'やすい', '中世', '音楽', '史', 'の', '解説', 'と', '、', '簡単な', 'ステップ', '体験', '。', '講師', '■■■■', '料金']",['開場'],NO,開場,NO,NO
