,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,会計士,ものであり、それを次のように表現する。「私はサラリーマンだ」「私は会計士だ」「私は○○社の課長だ」など。彼らの自己イメージと自尊心は仕事,"['もの', 'で', 'あり', '、', 'それ', 'を', '次', 'の', 'よう', 'に', '表現', 'する', '。', '「', '私', 'は', 'サラリーマン', 'だ', '」', '「', '私', 'は', '会計', '士', 'だ', '」', '「', '私', 'は', '○', '○', '社', 'の', '課長', 'だ', '」', 'など', '。', '彼', 'ら', 'の', '自己', 'イメージ', 'と', '自尊', '心', 'は', '仕事']","['会計', '士']",YES,会計士,NO,NO
1,会計士,のあとよく、マイクの父親の仕事机の横に座り、銀行の人や弁護士、会計士、株のブローカー、投資家、店や会社をまかせているマネジャーやそこで働く従業員など,"['の', 'あと', 'よく', '、', 'マイク', 'の', '父親', 'の', '仕事机', 'の', '横', 'に', '座り', '、', '銀行', 'の', '人', 'や', '弁護', '士', '、', '会計', '士', '、', '株', 'の', 'ブローカー', '、', '投資', '家', '、', '店', 'や', '会社', 'を', 'まかせ', 'て', 'いる', 'マネジャー', 'や', 'そこ', 'で', '働く', '従業', '員', 'など']","['会計', '士']",YES,会計士,NO,NO
2,会計士,彼女はさっきからへまばかりしている。マーシーは洗練された女性かもしれないし、優秀な会計士でもあり、魅力的な女性でさえあるかもしれない。それでもカイラの前に出ると、,"['彼女', 'は', 'さっき', 'から', 'へま', 'ばかり', 'し', 'て', 'いる', '。', 'マーシー', 'は', '洗練', 'さ', 'れ', 'た', '女性', 'か', 'も', 'しれ', 'ない', 'し', '、', '優秀', 'な', '会計', '士', 'で', 'も', 'あり', '、', '魅力', '的', 'な', '女性', 'で', 'さえ', 'ある', 'か', 'も', 'しれ', 'ない', '。', 'それ', 'で', 'も', 'カイラ', 'の', '前', 'に', '出る', 'と', '、']","['会計', '士']",YES,会計士,NO,NO
3,会計士,のです。どうしてもなら国家資格でしょう。医者や弁護士でも目指してください。理科系なら弁理士，また会計士も良いでしょう。でもなったからといって儲かるわけでもないのです。実力が,"['の', 'です', '。', 'どう', 'し', 'て', 'も', 'なら', '国家', '資格', 'でしょう', '。', '医者', 'や', '弁護', '士', 'で', 'も', '目指し', 'て', 'ください', '。', '理科', '系', 'なら', '弁理', '士', '，', 'また', '会計', '士', 'も', '良い', 'でしょう', '。', 'で', 'も', 'なっ', 'た', 'から', 'と', 'いっ', 'て', '儲かる', 'わけ', 'で', 'も', 'ない', 'の', 'です', '。', '実力', 'が']","['会計', '士']",YES,会計士,NO,NO
4,会計士,たり、カジノでひと晩遊んだりして、一万ポンドくらい使うこともあるさと、あの国の会計士はたぶん思っているのだろう。金持ちの若者はギャンブル好きだが、強いわけではない。そういう,"['たり', '、', 'カジノ', 'で', 'ひと', '晩', '遊ん', 'だり', 'し', 'て', '、', '一', '万', 'ポンド', 'くらい', '使う', 'こと', 'も', 'ある', 'さ', 'と', '、', 'あの', '国', 'の', '会計', '士', 'は', 'たぶん', '思っ', 'て', 'いる', 'の', 'だろう', '。', '金持ち', 'の', '若者', 'は', 'ギャンブル', '好き', 'だ', 'が', '、', '強い', 'わけ', 'で', 'は', 'ない', '。', 'そう', 'いう']","['会計', '士']",YES,会計士,NO,NO
5,会計士,に「株式会社」の側が、きれいな言葉で自社の業績を言い募っても、会計士によってきちんと監査された財務諸表を一定の技法で分析して得られた企業の実像は,"['に', '「', '株式', '会社', '」', 'の', '側', 'が', '、', 'きれい', 'な', '言葉', 'で', '自社', 'の', '業績', 'を', '言い募っ', 'て', 'も', '、', '会計', '士', 'に', 'よっ', 'て', 'きちんと', '監査', 'さ', 'れ', 'た', '財務', '諸表', 'を', '一定', 'の', '技法', 'で', '分析', 'し', 'て', '得', 'られ', 'た', '企業', 'の', '実像', 'は']","['会計', '士']",YES,会計士,NO,NO
6,会計士,様な決算書が出来ます。しかし、慣れるまでの入力作業は大変ですよ。経理事務所や会計士で検索してみて下さい。市販のソフトに対応した経理・会計指導等、ネットを利用して格安で受け,"['様', 'な', '決算', '書', 'が', '出来', 'ます', '。', 'しかし', '、', '慣れる', 'まで', 'の', '入力', '作業', 'は', '大変', 'です', 'よ', '。', '経理', '事務', '所', 'や', '会計', '士', 'で', '検索', 'し', 'て', 'み', 'て', '下さい', '。', '市販', 'の', 'ソフト', 'に', '対応', 'し', 'た', '経理', '・', '会計', '指導', '等', '、', 'ネット', 'を', '利用', 'し', 'て', '格安', 'で', '受け']","['会計', '士']",YES,会計士,NO,NO
7,会計士,ある処理だったのではなかったかと感じています。いまから思っても、当時の会計士の先生のご苦心、ご心労に対し、申し訳ない気持で一杯です。「連結会計」への思い,"['ある', '処理', 'だっ', 'た', 'の', 'で', 'は', 'なかっ', 'た', 'か', 'と', '感じ', 'て', 'い', 'ます', '。', 'いま', 'から', '思っ', 'て', 'も', '、', '当時', 'の', '会計', '士', 'の', '先生', 'の', 'ご', '苦心', '、', 'ご', '心労', 'に', '対し', '、', '申し訳', 'ない', '気持', 'で', '一杯', 'です', '。', '「', '連結', '会計', '」', 'へ', 'の', '思い']","['会計', '士']",YES,会計士,NO,NO
8,会計士,たという（日経金融新聞、二千四年三月五日）。手口があまりにも単純過ぎて、会計士が入れ知恵したとはとても思えない。しかし、同社を倒産にまで追い込んだ金額,"['た', 'と', 'いう', '（', '日経', '金融', '新聞', '、', '二千', '四', '年', '三', '月', '五', '日', '）', '。', '手口', 'が', 'あまり', 'に', 'も', '単純', '過ぎ', 'て', '、', '会計', '士', 'が', '入れ', '知恵', 'し', 'た', 'と', 'は', 'とても', '思え', 'ない', '。', 'しかし', '、', '同社', 'を', '倒産', 'に', 'まで', '追い込ん', 'だ', '金額']","['会計', '士']",YES,会計士,NO,NO
9,会計士,重要な仕事なので、「さおだけ屋はなぜ潰れないのか？」という謎は、会計士としてとても興味深い。ぜひ一度、さおだけ屋の決算書を見てみたい。企業の大前提は「,"['重要', 'な', '仕事', 'な', 'の', 'で', '、', '「', 'さおだけ', '屋', 'は', 'なぜ', '潰れ', 'ない', 'の', 'か', '？', '」', 'と', 'いう', '謎', 'は', '、', '会計', '士', 'と', 'し', 'て', 'とても', '興味', '深い', '。', 'ぜひ', '一', '度', '、', 'さおだけ', '屋', 'の', '決算', '書', 'を', '見', 'て', 'み', 'たい', '。', '企業', 'の', '大', '前提', 'は', '「']","['会計', '士']",YES,会計士,NO,NO
