,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,入院,そうで・・でも、おばちゃんに怒られてました・・夏入院も黙ってろって言ってて二人しか残ってない兄弟だからなんかあったら電話しなさい！,"['そう', 'で', '・', '・', 'で', 'も', '、', 'おば', 'ちゃん', 'に', '怒ら', 'れ', 'て', 'まし', 'た', '・', '・', '夏', '入院', 'も', '黙っ', 'てろ', 'って', '言っ', 'て', 'て', '二人', 'しか', '残っ', 'て', 'ない', '兄弟', 'だ', 'から', 'なんか', 'あっ', 'たら', '電話', 'し', 'なさい', '！']",['入院'],NO,入院,NO,NO
1,入院,に行く。日が暮れて着く。診察を受け、入院絶対必要なりとの診断にて入院と決定す。小生、保証人として用紙に記名し爪印を捺す。病室に太宰を置い,"['に', '行く', '。', '日', 'が', '暮れ', 'て', '着く', '。', '診察', 'を', '受け', '、', '入院', '絶対', '必要', 'なり', 'と', 'の', '診断', 'にて', '入院', 'と', '決定', 'す', '。', '小生', '、', '保証', '人', 'と', 'し', 'て', '用紙', 'に', '記名', 'し', '爪印', 'を', '捺す', '。', '病室', 'に', '太宰', 'を', '置い']",['入院'],NO,入院,NO,NO
2,入院,に行く。日が暮れて着く。診察を受け、入院絶対必要なりとの診断にて入院と決定す。小生、保証人として用紙に記名し爪印を捺す。病室に太宰を置い,"['に', '行く', '。', '日', 'が', '暮れ', 'て', '着く', '。', '診察', 'を', '受け', '、', '入院', '絶対', '必要', 'なり', 'と', 'の', '診断', 'にて', '入院', 'と', '決定', 'す', '。', '小生', '、', '保証', '人', 'と', 'し', 'て', '用紙', 'に', '記名', 'し', '爪印', 'を', '捺す', '。', '病室', 'に', '太宰', 'を', '置い']",['入院'],NO,入院,NO,NO
3,入院,そこからの紹介でくるのですか。梅園そうです。渡辺かかりつけの医師が入院の診療にもこられるわけですか。梅園そうです。ただ病院には病院,"['そこ', 'から', 'の', '紹介', 'で', 'くる', 'の', 'です', 'か', '。', '梅園', 'そう', 'です', '。', '渡辺', 'かかり', 'つけ', 'の', '医師', 'が', '入院', 'の', '診療', 'に', 'も', 'こ', 'られる', 'わけ', 'です', 'か', '。', '梅園', 'そう', 'です', '。', 'ただ', '病院', 'に', 'は', '病院']",['入院'],NO,入院,NO,NO
4,入院,てこの法律による医療を受けさせる必要があると認める場合医療を受けさせるために入院をさせる旨の決定二前号の場合を除き、対象行為を行った際の,"['て', 'この', '法律', 'に', 'よる', '医療', 'を', '受け', 'させる', '必要', 'が', 'ある', 'と', '認める', '場合', '医療', 'を', '受け', 'させる', 'ため', 'に', '入院', 'を', 'さ', 'せる', '旨', 'の', '決定', '二', '前号', 'の', '場合', 'を', '除き', '、', '対象', '行為', 'を', '行っ', 'た', '際', 'の']",['入院'],NO,入院,NO,NO
5,入院,である。図表４‐八入院料と看護配置基準１）入院基本料平成十二年４月より、入院の機能分化を進め、医療の質の向上と医療提供の効率化を図るため、入院環境料、,"['で', 'ある', '。', '図表', '４', '‐', '八', '入院', '料', 'と', '看護', '配置', '基準', '１', '）', '入院', '基本', '料', '平成', '十', '二', '年', '４', '月', 'より', '、', '入院', 'の', '機能', '分化', 'を', '進め', '、', '医療', 'の', '質', 'の', '向上', 'と', '医療', '提供', 'の', '効率', '化', 'を', '図る', 'ため', '、', '入院', '環境', '料', '、']",['入院'],NO,入院,NO,NO
6,入院,である。図表４‐八入院料と看護配置基準１）入院基本料平成十二年４月より、入院の機能分化を進め、医療の質の向上と医療提供の効率化を図るため、入院環境料、,"['で', 'ある', '。', '図表', '４', '‐', '八', '入院', '料', 'と', '看護', '配置', '基準', '１', '）', '入院', '基本', '料', '平成', '十', '二', '年', '４', '月', 'より', '、', '入院', 'の', '機能', '分化', 'を', '進め', '、', '医療', 'の', '質', 'の', '向上', 'と', '医療', '提供', 'の', '効率', '化', 'を', '図る', 'ため', '、', '入院', '環境', '料', '、']",['入院'],NO,入院,NO,NO
7,入院,である。図表４‐八入院料と看護配置基準１）入院基本料平成十二年４月より、入院の機能分化を進め、医療の質の向上と医療提供の効率化を図るため、入院環境料、,"['で', 'ある', '。', '図表', '４', '‐', '八', '入院', '料', 'と', '看護', '配置', '基準', '１', '）', '入院', '基本', '料', '平成', '十', '二', '年', '４', '月', 'より', '、', '入院', 'の', '機能', '分化', 'を', '進め', '、', '医療', 'の', '質', 'の', '向上', 'と', '医療', '提供', 'の', '効率', '化', 'を', '図る', 'ため', '、', '入院', '環境', '料', '、']",['入院'],NO,入院,NO,NO
8,入院,である。図表４‐八入院料と看護配置基準１）入院基本料平成十二年４月より、入院の機能分化を進め、医療の質の向上と医療提供の効率化を図るため、入院環境料、,"['で', 'ある', '。', '図表', '４', '‐', '八', '入院', '料', 'と', '看護', '配置', '基準', '１', '）', '入院', '基本', '料', '平成', '十', '二', '年', '４', '月', 'より', '、', '入院', 'の', '機能', '分化', 'を', '進め', '、', '医療', 'の', '質', 'の', '向上', 'と', '医療', '提供', 'の', '効率', '化', 'を', '図る', 'ため', '、', '入院', '環境', '料', '、']",['入院'],NO,入院,NO,NO
9,入院,「よかったら入院させるようはからってもいいよ。小さな病室なら用意してあげられる」「入院はどうしてもいやだと言うんです」「いつ亡くなっても不思議はない。さもなけれ,"['「', 'よかっ', 'たら', '入院', 'さ', 'せる', 'よう', 'はからっ', 'て', 'も', 'いい', 'よ', '。', '小さな', '病室', 'なら', '用意', 'し', 'て', 'あげ', 'られる', '」', '「', '入院', 'は', 'どう', 'し', 'て', 'も', 'いや', 'だ', 'と', '言う', 'ん', 'です', '」', '「', 'いつ', '亡くなっ', 'て', 'も', '不思議', 'は', 'ない', '。', 'さも', 'なけれ']",['入院'],NO,入院,NO,NO
10,入院,「よかったら入院させるようはからってもいいよ。小さな病室なら用意してあげられる」「入院はどうしてもいやだと言うんです」「いつ亡くなっても不思議はない。さもなけれ,"['「', 'よかっ', 'たら', '入院', 'さ', 'せる', 'よう', 'はからっ', 'て', 'も', 'いい', 'よ', '。', '小さな', '病室', 'なら', '用意', 'し', 'て', 'あげ', 'られる', '」', '「', '入院', 'は', 'どう', 'し', 'て', 'も', 'いや', 'だ', 'と', '言う', 'ん', 'です', '」', '「', 'いつ', '亡くなっ', 'て', 'も', '不思議', 'は', 'ない', '。', 'さも', 'なけれ']",['入院'],NO,入院,NO,NO
11,入院,や、病変部の周囲の皮膚を引きのばしてカバーしなければならなかったのです。そのため、長期の入院や長時間の手術が必要でした。しかし、現在では、日帰り治療が可能な,"['や', '、', '病変', '部', 'の', '周囲', 'の', '皮膚', 'を', '引きのばし', 'て', 'カバー', 'し', 'なけれ', 'ば', 'なら', 'なかっ', 'た', 'の', 'です', '。', 'その', 'ため', '、', '長期', 'の', '入院', 'や', '長', '時間', 'の', '手術', 'が', '必要', 'でし', 'た', '。', 'しかし', '、', '現在', 'で', 'は', '、', '日帰り', '治療', 'が', '可能', 'な']",['入院'],NO,入院,NO,NO
12,入院,中小企業で働く従業員のための制度です。月々わずかな掛金で、死亡、障害、入院、住宅災害などの事態に対してセットで保障し、さらに結婚、出産、銀婚、小・中・高校入学祝にも,"['中', '小', '企業', 'で', '働く', '従業', '員', 'の', 'ため', 'の', '制度', 'です', '。', '月々', 'わずか', 'な', '掛金', 'で', '、', '死亡', '、', '障害', '、', '入院', '、', '住宅', '災害', 'など', 'の', '事態', 'に', '対し', 'て', 'セット', 'で', '保障', 'し', '、', 'さらに', '結婚', '、', '出産', '、', '銀婚', '、', '小', '・', '中', '・', '高校', '入学', '祝', 'に', 'も']",['入院'],NO,入院,NO,NO
13,入院,８月の始めから子供が入院をしずっと付き添いで病院にいました。今日退院してきてビックリ！！体重,"['８', '月', 'の', '始め', 'から', '子供', 'が', '入院', 'を', 'し', 'ずっと', '付き添い', 'で', '病院', 'に', 'い', 'まし', 'た', '。', '今日', '退院', 'し', 'て', 'き', 'て', 'ビックリ', '！', '！', '体重']",['入院'],NO,入院,NO,NO
14,入院,を終了するまでに、一か月以上かかることも珍しくありません。そしてガンとわかってから入院の予約をして入院待ちの期間がさらに一か月以上かかる、こんなことは日常茶飯事なのです。,"['を', '終了', 'する', 'まで', 'に', '、', '一', 'か月', '以上', 'かかる', 'こと', 'も', '珍しく', 'あり', 'ませ', 'ん', '。', 'そして', 'ガン', 'と', 'わかっ', 'て', 'から', '入院', 'の', '予約', 'を', 'し', 'て', '入院', '待ち', 'の', '期間', 'が', 'さらに', '一', 'か月', '以上', 'かかる', '、', 'こんな', 'こと', 'は', '日常', '茶飯', '事', 'な', 'の', 'です', '。']",['入院'],NO,入院,NO,NO
15,入院,を終了するまでに、一か月以上かかることも珍しくありません。そしてガンとわかってから入院の予約をして入院待ちの期間がさらに一か月以上かかる、こんなことは日常茶飯事なのです。,"['を', '終了', 'する', 'まで', 'に', '、', '一', 'か月', '以上', 'かかる', 'こと', 'も', '珍しく', 'あり', 'ませ', 'ん', '。', 'そして', 'ガン', 'と', 'わかっ', 'て', 'から', '入院', 'の', '予約', 'を', 'し', 'て', '入院', '待ち', 'の', '期間', 'が', 'さらに', '一', 'か月', '以上', 'かかる', '、', 'こんな', 'こと', 'は', '日常', '茶飯', '事', 'な', 'の', 'です', '。']",['入院'],NO,入院,NO,NO
16,入院,に伴う家族の付添い、面会のあり方はどうあるべきなのだろうか。小児の入院は、短期間のことが多い。一部、腎臓病や白血病など長期となるものもある,"['に', '伴う', '家族', 'の', '付添い', '、', '面会', 'の', 'あり', '方', 'は', 'どう', 'ある', 'べき', 'な', 'の', 'だろう', 'か', '。', '小児', 'の', '入院', 'は', '、', '短', '期間', 'の', 'こと', 'が', '多い', '。', '一部', '、', '腎臓', '病', 'や', '白血', '病', 'など', '長期', 'と', 'なる', 'もの', 'も', 'ある']",['入院'],NO,入院,NO,NO
17,入院,「おおむね５日以内に入院」というように明確にするべきではないか。事故と入院との因果関係においては，単に事故発生からの一律の時間をもってその関係の有無を判断する,"['「', 'おおむね', '５', '日', '以内', 'に', '入院', '」', 'と', 'いう', 'よう', 'に', '明確', 'に', 'する', 'べき', 'で', 'は', 'ない', 'か', '。', '事故', 'と', '入院', 'と', 'の', '因果', '関係', 'に', 'おい', 'て', 'は', '，', '単に', '事故', '発生', 'から', 'の', '一律', 'の', '時間', 'を', 'もっ', 'て', 'その', '関係', 'の', '有無', 'を', '判断', 'する']",['入院'],NO,入院,NO,NO
18,入院,「おおむね５日以内に入院」というように明確にするべきではないか。事故と入院との因果関係においては，単に事故発生からの一律の時間をもってその関係の有無を判断する,"['「', 'おおむね', '５', '日', '以内', 'に', '入院', '」', 'と', 'いう', 'よう', 'に', '明確', 'に', 'する', 'べき', 'で', 'は', 'ない', 'か', '。', '事故', 'と', '入院', 'と', 'の', '因果', '関係', 'に', 'おい', 'て', 'は', '，', '単に', '事故', '発生', 'から', 'の', '一律', 'の', '時間', 'を', 'もっ', 'て', 'その', '関係', 'の', '有無', 'を', '判断', 'する']",['入院'],NO,入院,NO,NO
19,入院,この頃の癖になっていた。俊輔の熱は、今から一週間ほど前、入院から約一月目で、初めて落着いた。あの日、俊輔は、この病室の隅で、,"['この頃', 'の', '癖', 'に', 'なっ', 'て', 'い', 'た', '。', '俊輔', 'の', '熱', 'は', '、', '今', 'から', '一', '週間', 'ほど', '前', '、', '入院', 'から', '約', '一', '月', '目', 'で', '、', '初めて', '落着い', 'た', '。', 'あの', '日', '、', '俊輔', 'は', '、', 'この', '病室', 'の', '隅', 'で', '、']",['入院'],NO,入院,NO,NO
20,入院,ます。まず、わが家にとって二つの大事件がありました。一つは、父の入院です。この頃、父はオートバイに乗っていて、車に衝突され大ケガをし,"['ます', '。', 'まず', '、', 'わが家', 'に', 'とっ', 'て', '二', 'つ', 'の', '大', '事件', 'が', 'あり', 'まし', 'た', '。', '一', 'つ', 'は', '、', '父', 'の', '入院', 'です', '。', 'この頃', '、', '父', 'は', 'オートバイ', 'に', '乗っ', 'て', 'い', 'て', '、', '車', 'に', '衝突', 'さ', 'れ', '大', 'ケガ', 'を', 'し']",['入院'],NO,入院,NO,NO
21,入院,こと。（５）安易に警察官の応援を求めたこと。（６）入院に至る経過において，精神科ソーシャルワーカーの行為は，当時の精神衛生法に照らして違法性はないこと,"['こと', '。', '（', '５', '）', '安易', 'に', '警察', '官', 'の', '応援', 'を', '求め', 'た', 'こと', '。', '（', '６', '）', '入院', 'に', '至る', '経過', 'に', 'おい', 'て', '，', '精神', '科', 'ソーシャル', 'ワーカー', 'の', '行為', 'は', '，', '当時', 'の', '精神', '衛生', '法', 'に', '照らし', 'て', '違法', '性', 'は', 'ない', 'こと']",['入院'],NO,入院,NO,NO
