,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,劇場,ような、そんな素敵な映画でした。【ランク】★★★★☆⇒劇場で歌いたくなっちゃった！【価値】（今回は千円で鑑賞）,"['よう', 'な', '、', 'そんな', '素敵', 'な', '映画', 'でし', 'た', '。', '【', 'ランク', '】', '★', '★', '★', '★', '☆', '⇒', '劇場', 'で', '歌い', 'たく', 'なっ', 'ちゃっ', 'た', '！', '【', '価値', '】', '（', '今回', 'は', '千', '円', 'で', '鑑賞', '）']",['劇場'],NO,劇場,NO,NO
1,劇場,埼玉まで範囲を広げて考えようと、劇場探しに奔走しているとき、「いっそ仮設の劇場を作っては」と思いもかけない提案があった。こんなに嬉しいことは,"['埼玉', 'まで', '範囲', 'を', '広げ', 'て', '考えよう', 'と', '、', '劇場', '探し', 'に', '奔走', 'し', 'て', 'いる', 'とき', '、', '「', 'いっそ', '仮設', 'の', '劇場', 'を', '作っ', 'て', 'は', '」', 'と', '思い', 'も', 'かけ', 'ない', '提案', 'が', 'あっ', 'た', '。', 'こんな', 'に', '嬉しい', 'こと', 'は']",['劇場'],NO,劇場,NO,NO
2,劇場,埼玉まで範囲を広げて考えようと、劇場探しに奔走しているとき、「いっそ仮設の劇場を作っては」と思いもかけない提案があった。こんなに嬉しいことは,"['埼玉', 'まで', '範囲', 'を', '広げ', 'て', '考えよう', 'と', '、', '劇場', '探し', 'に', '奔走', 'し', 'て', 'いる', 'とき', '、', '「', 'いっそ', '仮設', 'の', '劇場', 'を', '作っ', 'て', 'は', '」', 'と', '思い', 'も', 'かけ', 'ない', '提案', 'が', 'あっ', 'た', '。', 'こんな', 'に', '嬉しい', 'こと', 'は']",['劇場'],NO,劇場,NO,NO
3,劇場,温まる手紙がね。お芝居の切符まで添えてあったのよ。今夜は夫婦そろって劇場にお出かけ―」「ママ！警察に連絡して」「え？なに,"['温まる', '手紙', 'が', 'ね', '。', 'お', '芝居', 'の', '切符', 'まで', '添え', 'て', 'あっ', 'た', 'の', 'よ', '。', '今夜', 'は', '夫婦', 'そろっ', 'て', '劇場', 'に', 'お', '出かけ', '―」「', 'ママ', '！', '警察', 'に', '連絡', 'し', 'て', '」', '「', 'え', '？', 'なに']",['劇場'],NO,劇場,NO,NO
4,劇場,２階の「ヒストリーゾーン」からエスカレーターを上がると、劇場の扉が待ち受けていました。ガイドの誘導で、扉を開けて中に入る,"['２', '階', 'の', '「', 'ヒストリー', 'ゾーン', '」', 'から', 'エスカレーター', 'を', '上がる', 'と', '、', '劇場', 'の', '扉', 'が', '待ち受け', 'て', 'い', 'まし', 'た', '。', 'ガイド', 'の', '誘導', 'で', '、', '扉', 'を', '開け', 'て', '中', 'に', '入る']",['劇場'],NO,劇場,NO,NO
5,劇場,。「タンホイザー」はすでに今から四年前の千八百五十七年に宮廷歌劇場ではなく、民衆的なターリア劇場で上演された。これに引き続いて、ジングシュピールの作家ヨハン・ネストロイがカール劇場で「タンホイザー」,"['。', '「', 'タンホイザー', '」', 'は', 'すでに', '今', 'から', '四', '年', '前', 'の', '千', '八百', '五十', '七', '年', 'に', '宮廷', '歌劇', '場', 'で', 'は', 'なく', '、', '民衆', '的', 'な', 'ターリア', '劇場', 'で', '上演', 'さ', 'れ', 'た', '。', 'これ', 'に', '引き続い', 'て', '、', 'ジングシュピール', 'の', '作家', 'ヨハン', '・', 'ネス', 'トロイ', 'が', 'カール', '劇場', 'で', '「', 'タンホイザー', '」']","['歌劇', '場']",YES,劇場,NO,YES
6,劇場,。「タンホイザー」はすでに今から四年前の千八百五十七年に宮廷歌劇場ではなく、民衆的なターリア劇場で上演された。これに引き続いて、ジングシュピールの作家ヨハン・ネストロイがカール劇場で「タンホイザー」,"['。', '「', 'タンホイザー', '」', 'は', 'すでに', '今', 'から', '四', '年', '前', 'の', '千', '八百', '五十', '七', '年', 'に', '宮廷', '歌劇', '場', 'で', 'は', 'なく', '、', '民衆', '的', 'な', 'ターリア', '劇場', 'で', '上演', 'さ', 'れ', 'た', '。', 'これ', 'に', '引き続い', 'て', '、', 'ジングシュピール', 'の', '作家', 'ヨハン', '・', 'ネス', 'トロイ', 'が', 'カール', '劇場', 'で', '「', 'タンホイザー', '」']",['劇場'],NO,劇場,NO,NO
7,劇場,。「タンホイザー」はすでに今から四年前の千八百五十七年に宮廷歌劇場ではなく、民衆的なターリア劇場で上演された。これに引き続いて、ジングシュピールの作家ヨハン・ネストロイがカール劇場で「タンホイザー」,"['。', '「', 'タンホイザー', '」', 'は', 'すでに', '今', 'から', '四', '年', '前', 'の', '千', '八百', '五十', '七', '年', 'に', '宮廷', '歌劇', '場', 'で', 'は', 'なく', '、', '民衆', '的', 'な', 'ターリア', '劇場', 'で', '上演', 'さ', 'れ', 'た', '。', 'これ', 'に', '引き続い', 'て', '、', 'ジングシュピール', 'の', '作家', 'ヨハン', '・', 'ネス', 'トロイ', 'が', 'カール', '劇場', 'で', '「', 'タンホイザー', '」']",['劇場'],NO,劇場,NO,NO
8,劇場,も、このかわいそうな母のために尽さなければならないと思っていた。そのためには劇場を継ぐのは当然のことであった。子どもというのはもっとのんきであるはずで、,"['も', '、', 'この', 'かわいそう', 'な', '母', 'の', 'ため', 'に', '尽さ', 'なけれ', 'ば', 'なら', 'ない', 'と', '思っ', 'て', 'い', 'た', '。', 'その', 'ため', 'に', 'は', '劇場', 'を', '継ぐ', 'の', 'は', '当然', 'の', 'こと', 'で', 'あっ', 'た', '。', '子ども', 'と', 'いう', 'の', 'は', 'もっと', 'のんき', 'で', 'ある', 'はず', 'で', '、']",['劇場'],NO,劇場,NO,NO
9,劇場,た場所は、まさに産業社会、プティ・ブル社会の文化であった―即ち、サロンでの会話、劇場、ポスター、版画、装幀、印刷芸術等々―芸術のメディアとしては大方新しいものであり、芸術,"['た', '場所', 'は', '、', 'まさに', '産業', '社会', '、', 'プティ', '・', 'ブル', '社会', 'の', '文化', 'で', 'あっ', 'た', '―', '即ち', '、', 'サロン', 'で', 'の', '会話', '、', '劇場', '、', 'ポスター', '、', '版画', '、', '装幀', '、', '印刷', '芸術', '等', '々―', '芸術', 'の', 'メディア', 'と', 'し', 'て', 'は', '大方', '新しい', 'もの', 'で', 'あり', '、', '芸術']",['劇場'],NO,劇場,NO,NO
10,劇場,なことを言ってもたいていは認めてくれた。ただ、わたしが嫌がっている家業の劇場をわたしに継がせようとしていることだけが不満であったが、わたしとしても、,"['な', 'こと', 'を', '言っ', 'て', 'も', 'たいてい', 'は', '認め', 'て', 'くれ', 'た', '。', 'ただ', '、', 'わたし', 'が', '嫌', 'がっ', 'て', 'いる', '家業', 'の', '劇場', 'を', 'わたし', 'に', '継が', 'せよう', 'と', 'し', 'て', 'いる', 'こと', 'だけ', 'が', '不満', 'で', 'あっ', 'た', 'が', '、', 'わたし', 'と', 'し', 'て', 'も', '、']",['劇場'],NO,劇場,NO,NO
11,劇場,を始めたところ、彼の名はコリン・キンロス、スコットランドの領主だとわかった。数日後、劇場で再びコリンを見かけたシンジャンは、知り合いになろうと近づいてある話を耳にし,"['を', '始め', 'た', 'ところ', '、', '彼', 'の', '名', 'は', 'コリン', '・', 'キン', 'ロス', '、', 'スコットランド', 'の', '領主', 'だ', 'と', 'わかっ', 'た', '。', '数', '日', '後', '、', '劇場', 'で', '再び', 'コリン', 'を', '見かけ', 'た', 'シン', 'ジャン', 'は', '、', '知り合い', 'に', 'なろう', 'と', '近づい', 'て', 'ある', '話', 'を', '耳', 'に', 'し']",['劇場'],NO,劇場,NO,NO
12,劇場,。おかげで、あなた方をあてにするのは間違いだということを教わりました。劇場の同僚の皆さん、かつて一緒にドゥルジッチやモリエールやツルゲーネフやショーを上演した仲間の,"['。', 'おかげ', 'で', '、', 'あなた', '方', 'を', 'あて', 'に', 'する', 'の', 'は', '間違い', 'だ', 'と', 'いう', 'こと', 'を', '教わり', 'まし', 'た', '。', '劇場', 'の', '同僚', 'の', '皆', 'さん', '、', 'かつて', '一緒', 'に', 'ドゥルジッチ', 'や', 'モリエール', 'や', 'ツルゲーネフ', 'や', 'ショー', 'を', '上演', 'し', 'た', '仲間', 'の']",['劇場'],NO,劇場,NO,NO
13,劇場,大好きでＤＶＤも購入）と、恋愛睡眠のすすめをＤＶＤで鑑賞していたのだけど、劇場で鑑賞するのは初めて。映画の始まりは二十年代？のアメリカ。モノクロの画面にこの,"['大好き', 'で', 'ＤＶＤ', 'も', '購入', '）', 'と', '、', '恋愛', '睡眠', 'の', 'すすめ', 'を', 'ＤＶＤ', 'で', '鑑賞', 'し', 'て', 'い', 'た', 'の', 'だ', 'けど', '、', '劇場', 'で', '鑑賞', 'する', 'の', 'は', '初めて', '。', '映画', 'の', '始まり', 'は', '二十', '年', '代', '？', 'の', 'アメリカ', '。', 'モノクロ', 'の', '画面', 'に', 'この']",['劇場'],NO,劇場,NO,NO
14,劇場,た。それにしても、二千五百人も観客が入ったといわれる天井のない円形の劇場で、マイクもなしで、よく台詞がとおったものだ。昔の人は,"['た', '。', 'それ', 'に', 'し', 'て', 'も', '、', '二千', '五百', '人', 'も', '観客', 'が', '入っ', 'た', 'と', 'いわ', 'れる', '天井', 'の', 'ない', '円形', 'の', '劇場', 'で', '、', 'マイク', 'も', 'なし', 'で', '、', 'よく', '台詞', 'が', 'とおっ', 'た', 'もの', 'だ', '。', '昔', 'の', '人', 'は']",['劇場'],NO,劇場,NO,NO
15,劇場,その日も劇場に感謝するために『アデュー千ｄａｙｓ劇場』を催した。劇場には劇場の神が宿っていると信じている。それを感じるのは舞台稽古の日だ。誰,"['その', '日', 'も', '劇場', 'に', '感謝', 'する', 'ため', 'に', '『', 'アデュー', '千', 'ｄａｙｓ', '劇場', '』', 'を', '催し', 'た', '。', '劇場', 'に', 'は', '劇場', 'の', '神', 'が', '宿っ', 'て', 'いる', 'と', '信じ', 'て', 'いる', '。', 'それ', 'を', '感じる', 'の', 'は', '舞台', '稽古', 'の', '日', 'だ', '。', '誰']",['劇場'],NO,劇場,NO,NO
16,劇場,その日も劇場に感謝するために『アデュー千ｄａｙｓ劇場』を催した。劇場には劇場の神が宿っていると信じている。それを感じるのは舞台稽古の日だ。誰,"['その', '日', 'も', '劇場', 'に', '感謝', 'する', 'ため', 'に', '『', 'アデュー', '千', 'ｄａｙｓ', '劇場', '』', 'を', '催し', 'た', '。', '劇場', 'に', 'は', '劇場', 'の', '神', 'が', '宿っ', 'て', 'いる', 'と', '信じ', 'て', 'いる', '。', 'それ', 'を', '感じる', 'の', 'は', '舞台', '稽古', 'の', '日', 'だ', '。', '誰']",['劇場'],NO,劇場,NO,NO
17,劇場,その日も劇場に感謝するために『アデュー千ｄａｙｓ劇場』を催した。劇場には劇場の神が宿っていると信じている。それを感じるのは舞台稽古の日だ。誰,"['その', '日', 'も', '劇場', 'に', '感謝', 'する', 'ため', 'に', '『', 'アデュー', '千', 'ｄａｙｓ', '劇場', '』', 'を', '催し', 'た', '。', '劇場', 'に', 'は', '劇場', 'の', '神', 'が', '宿っ', 'て', 'いる', 'と', '信じ', 'て', 'いる', '。', 'それ', 'を', '感じる', 'の', 'は', '舞台', '稽古', 'の', '日', 'だ', '。', '誰']",['劇場'],NO,劇場,NO,NO
18,劇場,その日も劇場に感謝するために『アデュー千ｄａｙｓ劇場』を催した。劇場には劇場の神が宿っていると信じている。それを感じるのは舞台稽古の日だ。誰,"['その', '日', 'も', '劇場', 'に', '感謝', 'する', 'ため', 'に', '『', 'アデュー', '千', 'ｄａｙｓ', '劇場', '』', 'を', '催し', 'た', '。', '劇場', 'に', 'は', '劇場', 'の', '神', 'が', '宿っ', 'て', 'いる', 'と', '信じ', 'て', 'いる', '。', 'それ', 'を', '感じる', 'の', 'は', '舞台', '稽古', 'の', '日', 'だ', '。', '誰']",['劇場'],NO,劇場,NO,NO
19,劇場,遅くありません。取り付く島のない冷たい態度に豹変することです。玄関や電話を劇場と見立てて、演技力を磨いてください。「一郎君いますか」と親しげな電話,"['遅く', 'あり', 'ませ', 'ん', '。', '取り付く', '島', 'の', 'ない', '冷たい', '態度', 'に', '豹変', 'する', 'こと', 'です', '。', '玄関', 'や', '電話', 'を', '劇場', 'と', '見立て', 'て', '、', '演技', '力', 'を', '磨い', 'て', 'ください', '。', '「', '一', '郎君', 'い', 'ます', 'か', '」', 'と', '親し', 'げ', 'な', '電話']",['劇場'],NO,劇場,NO,NO
20,劇場,不動産の広告が多く、売薬の広告を拒否していること、（２）広告紙には劇場の広告と競売の広告が多いこと、そして（３）大衆紙には売薬の広告,"['不', '動産', 'の', '広告', 'が', '多く', '、', '売薬', 'の', '広告', 'を', '拒否', 'し', 'て', 'いる', 'こと', '、', '（', '２', '）', '広告', '紙', 'に', 'は', '劇場', 'の', '広告', 'と', '競売', 'の', '広告', 'が', '多い', 'こと', '、', 'そして', '（', '３', '）', '大衆', '紙', 'に', 'は', '売薬', 'の', '広告']",['劇場'],NO,劇場,NO,NO
21,劇場,何もないこと』を確認してくれるのを待つだけでいい。犯人の狙いどおり、薄暗い劇場の電灯とあの網のおかげで、おれたちは死体を隠している鏡の存在にまったく,"['何', 'も', 'ない', 'こと', '』', 'を', '確認', 'し', 'て', 'くれる', 'の', 'を', '待つ', 'だけ', 'で', 'いい', '。', '犯人', 'の', '狙い', 'どおり', '、', '薄暗い', '劇場', 'の', '電灯', 'と', 'あの', '網', 'の', 'おかげ', 'で', '、', 'おれ', 'たち', 'は', '死体', 'を', '隠し', 'て', 'いる', '鏡', 'の', '存在', 'に', 'まったく']",['劇場'],NO,劇場,NO,NO
22,劇場,。それとも廃墟でしたか。２劇場の夢を見ました。あなたはその劇場の中に入りましたか。入れずに外で立ちすくんでいましたか。それとも,"['。', 'それ', 'と', 'も', '廃墟', 'でし', 'た', 'か', '。', '２', '劇場', 'の', '夢', 'を', '見', 'まし', 'た', '。', 'あなた', 'は', 'その', '劇場', 'の', '中', 'に', '入り', 'まし', 'た', 'か', '。', '入れ', 'ず', 'に', '外', 'で', '立ちすくん', 'で', 'い', 'まし', 'た', 'か', '。', 'それ', 'と', 'も']",['劇場'],NO,劇場,NO,NO
23,劇場,。それとも廃墟でしたか。２劇場の夢を見ました。あなたはその劇場の中に入りましたか。入れずに外で立ちすくんでいましたか。それとも,"['。', 'それ', 'と', 'も', '廃墟', 'でし', 'た', 'か', '。', '２', '劇場', 'の', '夢', 'を', '見', 'まし', 'た', '。', 'あなた', 'は', 'その', '劇場', 'の', '中', 'に', '入り', 'まし', 'た', 'か', '。', '入れ', 'ず', 'に', '外', 'で', '立ちすくん', 'で', 'い', 'まし', 'た', 'か', '。', 'それ', 'と', 'も']",['劇場'],NO,劇場,NO,NO
