,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,区役所,８６１‐１１０１（代表）〒６１６‐８５１１右京区太秦下刑部町十二ｈｔｔｐ：／／ｗｗｗ．ｃｉｔｙ．ｋｙｏｔｏ．ｌｇ．ｊｐ／ｕｋｙｏ／ご来庁の際は、公共交通機関をご利用ください。区役所開庁延長日９／十八十／２十／十六第１、第３木曜日は、一部業務を午後７時まで延長してい,"['８６１', '‐', '１１０１', '（', '代表', '）', '〒', '６１６', '‐', '８５１１', '右京', '区', '太秦', '下', '刑部', '町', '十', '二', 'ｈｔｔｐ：／／', 'ｗｗｗ．', 'ｃｉｔｙ', '．', 'ｋｙｏｔｏ', '．', 'ｌｇ', '．ｊｐ', '／', 'ｕｋｙｏ', '／', 'ご', '来庁', 'の', '際', 'は', '、', '公共', '交通', '機関', 'を', 'ご', '利用', 'ください', '。', '区', '役所', '開庁', '延長', '日', '９', '／', '十', '八十', '／', '２', '十', '／', '十', '六', '第', '１', '、', '第', '３', '木曜', '日', 'は', '、', '一部', '業務', 'を', '午後', '７', '時', 'まで', '延長', 'し', 'て', 'い']","['区', '役所']",YES,区役所,YES,NO
1,区役所,（東区保育・子育て支援センター）〒０６５‐０００７北９条東７丁目☎７１１‐７８０７※間違い電話が多くなっています。区役所などに電話をかける場合は電話番号を確認のうえ、確実におかけください。東区役所から■,"['（', '東', '区', '保育', '・', '子育て', '支援', 'センター', '）', '〒', '０６５', '‐', '０００７', '北', '９', '条', '東', '７', '丁目', '☎', '７１１', '‐', '７８０７', '※', '間違い', '電話', 'が', '多く', 'なっ', 'て', 'い', 'ます', '。', '区', '役所', 'など', 'に', '電話', 'を', 'かける', '場合', 'は', '電話', '番号', 'を', '確認', 'の', 'うえ', '、', '確実', 'に', 'お', 'かけ', 'ください', '。', '東', '区', '役所', 'から', '■']","['区', '役所']",YES,区役所,YES,NO
2,区役所,（東区保育・子育て支援センター）〒０６５‐０００７北９条東７丁目☎７１１‐７８０７※間違い電話が多くなっています。区役所などに電話をかける場合は電話番号を確認のうえ、確実におかけください。東区役所から■,"['（', '東', '区', '保育', '・', '子育て', '支援', 'センター', '）', '〒', '０６５', '‐', '０００７', '北', '９', '条', '東', '７', '丁目', '☎', '７１１', '‐', '７８０７', '※', '間違い', '電話', 'が', '多く', 'なっ', 'て', 'い', 'ます', '。', '区', '役所', 'など', 'に', '電話', 'を', 'かける', '場合', 'は', '電話', '番号', 'を', '確認', 'の', 'うえ', '、', '確実', 'に', 'お', 'かけ', 'ください', '。', '東', '区', '役所', 'から', '■']","['区', '役所']",YES,区役所,YES,NO
3,区役所,１４５は教育文化会館２３はアートガーデンかわさきに搬入。問市文化財団☎２２２‐８８２１、ＦＡＸ２２２‐８８１７。※募集要項・申込書は区役所、市民館、図書館などで配布中。講座◇応急手当普及員講習会８月７日（木）〜９日（,"['１４５', 'は', '教育', '文化', '会館', '２３', 'は', 'アート', 'ガーデン', 'かわさき', 'に', '搬入', '。', '問', '市', '文化', '財団', '☎', '２２２', '‐', '８８２１', '、', 'ＦＡＸ', '２２２', '‐', '８８１７', '。', '※', '募集', '要項', '・', '申込', '書', 'は', '区', '役所', '、', '市民', '館', '、', '図書', '館', 'など', 'で', '配布', '中', '。', '講座', '◇', '応急', '手当', '普及', '員', '講習', '会', '８', '月', '７', '日', '（', '木', '）', '〜', '９', '日', '（']","['区', '役所']",YES,区役所,YES,NO
4,区役所,９／９（火）から受付申込方法利用者登録後、電話、携帯電話、インターネット、または各スポーツセンターおよび区役所１階にある利用者端末機で申し込みます。なお、下記の日程は施設の整備・区民体育大会等の開催により,"['９', '／', '９', '（', '火', '）', 'から', '受付', '申込', '方法', '利用', '者', '登録', '後', '、', '電話', '、', '携帯', '電話', '、', 'インターネット', '、', 'また', 'は', '各', 'スポーツ', 'センター', 'および', '区', '役所', '１', '階', 'に', 'ある', '利用', '者', '端末', '機', 'で', '申し込み', 'ます', '。', 'なお', '、', '下記', 'の', '日程', 'は', '施設', 'の', '整備', '・', '区民', '体育', '大会', '等', 'の', '開催', 'に', 'より']","['区', '役所']",YES,区役所,YES,NO
5,区役所,進めています。ぜひ訪ねてください。※灘百選モニュメントの位置が分かる「灘百選マップ」を区役所まちづくり課で配布しています問区役所まちづくり課☎８４３‐７００１内二百二十四ＦＡＸ８４３‐７０３４“ちょっとした気配りで住みよい,"['進め', 'て', 'い', 'ます', '。', 'ぜひ', '訪ね', 'て', 'ください', '。', '※', '灘', '百', '選', 'モニュメント', 'の', '位置', 'が', '分かる', '「', '灘', '百', '選', 'マップ', '」', 'を', '区', '役所', 'まちづくり', '課', 'で', '配布', 'し', 'て', 'い', 'ます', '問', '区', '役所', 'まちづくり', '課', '☎', '８４３', '‐', '７００１', '内', '二百', '二十', '四', 'ＦＡＸ', '８４３', '‐', '７０３４', '“', 'ちょっと', 'し', 'た', '気配り', 'で', '住み', 'よい']","['区', '役所']",YES,区役所,YES,NO
6,区役所,進めています。ぜひ訪ねてください。※灘百選モニュメントの位置が分かる「灘百選マップ」を区役所まちづくり課で配布しています問区役所まちづくり課☎８４３‐７００１内二百二十四ＦＡＸ８４３‐７０３４“ちょっとした気配りで住みよい,"['進め', 'て', 'い', 'ます', '。', 'ぜひ', '訪ね', 'て', 'ください', '。', '※', '灘', '百', '選', 'モニュメント', 'の', '位置', 'が', '分かる', '「', '灘', '百', '選', 'マップ', '」', 'を', '区', '役所', 'まちづくり', '課', 'で', '配布', 'し', 'て', 'い', 'ます', '問', '区', '役所', 'まちづくり', '課', '☎', '８４３', '‐', '７００１', '内', '二百', '二十', '四', 'ＦＡＸ', '８４３', '‐', '７０３４', '“', 'ちょっと', 'し', 'た', '気配り', 'で', '住み', 'よい']","['区', '役所']",YES,区役所,YES,NO
7,区役所,のを今でもちゃんと送ってくるそうです。彼が死んだロンドンのどこどこの区役所みたいなところへ、生年月日を書いて、死亡年月日を書いて、名前を書いて、,"['の', 'を', '今', 'で', 'も', 'ちゃんと', '送っ', 'て', 'くる', 'そう', 'です', '。', '彼', 'が', '死ん', 'だ', 'ロンドン', 'の', 'どこどこ', 'の', '区', '役所', 'みたい', 'な', 'ところ', 'へ', '、', '生', '年', '月', '日', 'を', '書い', 'て', '、', '死亡', '年', '月', '日', 'を', '書い', 'て', '、', '名前', 'を', '書い', 'て', '、']","['区', '役所']",YES,区役所,YES,NO
8,区役所,の投票日です投票時間…朝７時〜夜８時までさあ投票選挙の主役はあなたです期日前投票は区役所１階ロビーで１月十一日〜１月二十六日の土日祝日を含む毎日朝８時三十分〜夜８時まで,"['の', '投票', '日', 'です', '投票', '時間', '…', '朝', '７', '時', '〜', '夜', '８', '時', 'まで', 'さあ', '投票', '選挙', 'の', '主役', 'は', 'あなた', 'です', '期日', '前', '投票', 'は', '区', '役所', '１', '階', 'ロビー', 'で', '１', '月', '十', '一', '日', '〜', '１', '月', '二十', '六', '日', 'の', '土日', '祝日', 'を', '含む', '毎日', '朝', '８', '時', '三十', '分', '〜', '夜', '８', '時', 'まで']","['区', '役所']",YES,区役所,YES,NO
9,区役所,、二枚くらいよく余分にとるでしょう。そういうのが入っていたんじゃないかしら。わざわざ区役所へ行って、そういうものをとるっていうことなんかできない人だもの。吉行,"['、', '二', '枚', 'くらい', 'よく', '余分', 'に', 'とる', 'でしょう', '。', 'そう', 'いう', 'の', 'が', '入っ', 'て', 'い', 'た', 'ん', 'じゃ', 'ない', 'かしら', '。', 'わざわざ', '区', '役所', 'へ', '行っ', 'て', '、', 'そう', 'いう', 'もの', 'を', 'とる', 'って', 'いう', 'こと', 'なんか', 'でき', 'ない', '人', 'だ', 'もの', '。', '吉行']","['区', '役所']",YES,区役所,YES,NO
