,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,医師,精神保健福祉相談員が配置されている。精神保健指定医一定の実務経験があり、法律などに関する研修を終了した医師のなかから選ばれた、職務に必要な知識と技能をもつと認められた,"['精神', '保健', '福祉', '相談', '員', 'が', '配置', 'さ', 'れ', 'て', 'いる', '。', '精神', '保健', '指定', '医', '一定', 'の', '実務', '経験', 'が', 'あり', '、', '法律', 'など', 'に', '関する', '研修', 'を', '終了', 'し', 'た', '医師', 'の', 'なか', 'から', '選ば', 'れ', 'た', '、', '職務', 'に', '必要', 'な', '知識', 'と', '技能', 'を', 'もつ', 'と', '認め', 'られ', 'た']",['医師'],NO,医師,NO,NO
1,医師,だけに頼って診断を下す医師は、決して「良医」ではありません。医師を選ぶ条件は、学歴ではない！医療に関してつねに真摯な医師は、ラーブ教授ばかり,"['だけ', 'に', '頼っ', 'て', '診断', 'を', '下す', '医師', 'は', '、', '決して', '「', '良医', '」', 'で', 'は', 'あり', 'ませ', 'ん', '。', '医師', 'を', '選ぶ', '条件', 'は', '、', '学歴', 'で', 'は', 'ない', '！', '医療', 'に', '関し', 'て', 'つね', 'に', '真摯', 'な', '医師', 'は', '、', 'ラーブ', '教授', 'ばかり']",['医師'],NO,医師,NO,NO
2,医師,だけに頼って診断を下す医師は、決して「良医」ではありません。医師を選ぶ条件は、学歴ではない！医療に関してつねに真摯な医師は、ラーブ教授ばかり,"['だけ', 'に', '頼っ', 'て', '診断', 'を', '下す', '医師', 'は', '、', '決して', '「', '良医', '」', 'で', 'は', 'あり', 'ませ', 'ん', '。', '医師', 'を', '選ぶ', '条件', 'は', '、', '学歴', 'で', 'は', 'ない', '！', '医療', 'に', '関し', 'て', 'つね', 'に', '真摯', 'な', '医師', 'は', '、', 'ラーブ', '教授', 'ばかり']",['医師'],NO,医師,NO,NO
3,医師,だけに頼って診断を下す医師は、決して「良医」ではありません。医師を選ぶ条件は、学歴ではない！医療に関してつねに真摯な医師は、ラーブ教授ばかり,"['だけ', 'に', '頼っ', 'て', '診断', 'を', '下す', '医師', 'は', '、', '決して', '「', '良医', '」', 'で', 'は', 'あり', 'ませ', 'ん', '。', '医師', 'を', '選ぶ', '条件', 'は', '、', '学歴', 'で', 'は', 'ない', '！', '医療', 'に', '関し', 'て', 'つね', 'に', '真摯', 'な', '医師', 'は', '、', 'ラーブ', '教授', 'ばかり']",['医師'],NO,医師,NO,NO
4,医師,重要な人物が政策決定に対して正常な決断や行動ができなくなったときにも、医師は守秘義務によって個人のプライバシーを守るべきなのか、それとも公共の、あるいは大衆の,"['重要', 'な', '人物', 'が', '政策', '決定', 'に', '対し', 'て', '正常', 'な', '決断', 'や', '行動', 'が', 'でき', 'なく', 'なっ', 'た', 'とき', 'に', 'も', '、', '医師', 'は', '守秘', '義務', 'に', 'よっ', 'て', '個人', 'の', 'プライバシー', 'を', '守る', 'べき', 'な', 'の', 'か', '、', 'それ', 'と', 'も', '公共', 'の', '、', 'あるいは', '大衆', 'の']",['医師'],NO,医師,NO,NO
5,医師,（必要に応じ、心因性要素に関わる検査を加えること。）ｃ腰椎のＸ線検査（医師が必要と認める者について行うこと。）ｄ運動機能テスト（医師が必要と認める者,"['（', '必要', 'に', '応じ', '、', '心因', '性', '要素', 'に', '関わる', '検査', 'を', '加える', 'こと', '。', '）', 'ｃ', '腰椎', 'の', 'Ｘ', '線', '検査', '（', '医師', 'が', '必要', 'と', '認める', '者', 'に', 'つい', 'て', '行う', 'こと', '。', '）', 'ｄ', '運動', '機能', 'テスト', '（', '医師', 'が', '必要', 'と', '認める', '者']",['医師'],NO,医師,NO,NO
6,医師,（必要に応じ、心因性要素に関わる検査を加えること。）ｃ腰椎のＸ線検査（医師が必要と認める者について行うこと。）ｄ運動機能テスト（医師が必要と認める者,"['（', '必要', 'に', '応じ', '、', '心因', '性', '要素', 'に', '関わる', '検査', 'を', '加える', 'こと', '。', '）', 'ｃ', '腰椎', 'の', 'Ｘ', '線', '検査', '（', '医師', 'が', '必要', 'と', '認める', '者', 'に', 'つい', 'て', '行う', 'こと', '。', '）', 'ｄ', '運動', '機能', 'テスト', '（', '医師', 'が', '必要', 'と', '認める', '者']",['医師'],NO,医師,NO,NO
7,医師,キャサリンはほっとすると同時に不安になった。牧場にいるほうが快適だが、医師が一定時間ごとに診てくれないとなると心配になる。だが、ルールは順調に回復し,"['キャサリン', 'は', 'ほっと', 'する', 'と', '同時', 'に', '不安', 'に', 'なっ', 'た', '。', '牧場', 'に', 'いる', 'ほう', 'が', '快適', 'だ', 'が', '、', '医師', 'が', '一定', '時間', 'ごと', 'に', '診', 'て', 'くれ', 'ない', 'と', 'なる', 'と', '心配', 'に', 'なる', '。', 'だ', 'が', '、', 'ルール', 'は', '順調', 'に', '回復', 'し']",['医師'],NO,医師,NO,NO
8,医師,「法律婚」を迫った時に使った「倫理規定のようなもの」は、すでに医師から手に入れていました。でもすぐには、それを見る気には,"['「', '法律', '婚', '」', 'を', '迫っ', 'た', '時', 'に', '使っ', 'た', '「', '倫理', '規定', 'の', 'よう', 'な', 'もの', '」', 'は', '、', 'すでに', '医師', 'から', '手', 'に', '入れ', 'て', 'い', 'まし', 'た', '。', 'で', 'も', 'すぐ', 'に', 'は', '、', 'それ', 'を', '見る', '気', 'に', 'は']",['医師'],NO,医師,NO,NO
9,医師,取ってあげることを今日は優先してもし困ったことがあれば明日にでも病院の医師に相談を。,"['取っ', 'て', 'あげる', 'こと', 'を', '今日', 'は', '優先', 'し', 'て', 'もし', '困っ', 'た', 'こと', 'が', 'あれ', 'ば', '明日', 'に', 'で', 'も', '病院', 'の', '医師', 'に', '相談', 'を', '。']",['医師'],NO,医師,NO,NO
10,医師,ています。医療機関、福祉機関との連携の例を挙げれば、救急隊員の研修や医師の指示体制の確立に役立てるため、市立病院にワークステーションを置くとともに、救急活動においてはワークステーションから,"['て', 'い', 'ます', '。', '医療', '機関', '、', '福祉', '機関', 'と', 'の', '連携', 'の', '例', 'を', '挙げれ', 'ば', '、', '救急', '隊', '員', 'の', '研修', 'や', '医師', 'の', '指示', '体制', 'の', '確立', 'に', '役立てる', 'ため', '、', '市立', '病院', 'に', 'ワークステーション', 'を', '置く', 'と', 'とも', 'に', '、', '救急', '活動', 'に', 'おい', 'て', 'は', 'ワークステーション', 'から']",['医師'],NO,医師,NO,NO
11,医師,てくれましたか。いままでのことを思いだして，とのような医師かよい医師といえるのかを，グループで話しあってみましょう。,"['て', 'くれ', 'まし', 'た', 'か', '。', 'いま', 'まで', 'の', 'こと', 'を', '思いだし', 'て', '，', 'と', 'の', 'よう', 'な', '医師', 'か', 'よい', '医師', 'と', 'いえる', 'の', 'か', 'を', '，', 'グループ', 'で', '話しあっ', 'て', 'み', 'ましょう', '。']",['医師'],NO,医師,NO,NO
12,医師,てくれましたか。いままでのことを思いだして，とのような医師かよい医師といえるのかを，グループで話しあってみましょう。,"['て', 'くれ', 'まし', 'た', 'か', '。', 'いま', 'まで', 'の', 'こと', 'を', '思いだし', 'て', '，', 'と', 'の', 'よう', 'な', '医師', 'か', 'よい', '医師', 'と', 'いえる', 'の', 'か', 'を', '，', 'グループ', 'で', '話しあっ', 'て', 'み', 'ましょう', '。']",['医師'],NO,医師,NO,NO
13,医師,はすぐにケイタイで国立病院に電話をかけた。そして友人だというその器械を使える医師に連絡を入れた。あれから二ヶ月。胸に爆弾でも抱えたような,"['は', 'すぐ', 'に', 'ケイタイ', 'で', '国立', '病院', 'に', '電話', 'を', 'かけ', 'た', '。', 'そして', '友人', 'だ', 'と', 'いう', 'その', '器械', 'を', '使える', '医師', 'に', '連絡', 'を', '入れ', 'た', '。', 'あれ', 'から', '二', 'ヶ月', '。', '胸', 'に', '爆弾', 'で', 'も', '抱え', 'た', 'よう', 'な']",['医師'],NO,医師,NO,NO
14,医師,ことなのかと考えてしまいます。安倍以前の医療現場は、そこに従事している医師や看護師が必死になって患者を助けよう、救おうとする緊張感や必死な姿勢が,"['こと', 'な', 'の', 'か', 'と', '考え', 'て', 'しまい', 'ます', '。', '安倍', '以前', 'の', '医療', '現場', 'は', '、', 'そこ', 'に', '従事', 'し', 'て', 'いる', '医師', 'や', '看護', '師', 'が', '必死', 'に', 'なっ', 'て', '患者', 'を', '助けよう', '、', '救おう', 'と', 'する', '緊張', '感', 'や', '必死', 'な', '姿勢', 'が']",['医師'],NO,医師,NO,NO
15,医師,た内容になるだろうと考えたからである。それで私は《普通の》医師、《普通の》医学を求めて出発した。マントヒヒの肝臓の移植、生命倫理の,"['た', '内容', 'に', 'なる', 'だろう', 'と', '考え', 'た', 'から', 'で', 'ある', '。', 'それ', 'で', '私', 'は', '《', '普通', 'の', '》', '医師', '、', '《', '普通', 'の', '》', '医学', 'を', '求め', 'て', '出発', 'し', 'た', '。', 'マント', 'ヒヒ', 'の', '肝臓', 'の', '移植', '、', '生命', '倫理', 'の']",['医師'],NO,医師,NO,NO
16,医師,については、紹介状がなくても診療することになったのである。その体制を作るため、医師四名、レジデント六名、看護師八名、薬剤師三名を増員した。また、救急医療のための,"['に', 'つい', 'て', 'は', '、', '紹介', '状', 'が', 'なく', 'て', 'も', '診療', 'する', 'こと', 'に', 'なっ', 'た', 'の', 'で', 'ある', '。', 'その', '体制', 'を', '作る', 'ため', '、', '医師', '四', '名', '、', 'レジデント', '六', '名', '、', '看護', '師', '八', '名', '、', '薬剤', '師', '三', '名', 'を', '増員', 'し', 'た', '。', 'また', '、', '救急', '医療', 'の', 'ため', 'の']",['医師'],NO,医師,NO,NO
17,医師,。だから、医師との相性ってかなり大切だと思います。自分がたまたまかかった医師でも「合わないな」とか「たいして知識がないな」と思ったら医師,"['。', 'だ', 'から', '、', '医師', 'と', 'の', '相性', 'って', 'かなり', '大切', 'だ', 'と', '思い', 'ます', '。', '自分', 'が', 'たまたま', 'かかっ', 'た', '医師', 'で', 'も', '「', '合わ', 'ない', 'な', '」', 'と', 'か', '「', 'たいして', '知識', 'が', 'ない', 'な', '」', 'と', '思っ', 'たら', '医師']",['医師'],NO,医師,NO,NO
18,医師,。だから、医師との相性ってかなり大切だと思います。自分がたまたまかかった医師でも「合わないな」とか「たいして知識がないな」と思ったら医師,"['。', 'だ', 'から', '、', '医師', 'と', 'の', '相性', 'って', 'かなり', '大切', 'だ', 'と', '思い', 'ます', '。', '自分', 'が', 'たまたま', 'かかっ', 'た', '医師', 'で', 'も', '「', '合わ', 'ない', 'な', '」', 'と', 'か', '「', 'たいして', '知識', 'が', 'ない', 'な', '」', 'と', '思っ', 'たら', '医師']",['医師'],NO,医師,NO,NO
19,医師,。だから、医師との相性ってかなり大切だと思います。自分がたまたまかかった医師でも「合わないな」とか「たいして知識がないな」と思ったら医師,"['。', 'だ', 'から', '、', '医師', 'と', 'の', '相性', 'って', 'かなり', '大切', 'だ', 'と', '思い', 'ます', '。', '自分', 'が', 'たまたま', 'かかっ', 'た', '医師', 'で', 'も', '「', '合わ', 'ない', 'な', '」', 'と', 'か', '「', 'たいして', '知識', 'が', 'ない', 'な', '」', 'と', '思っ', 'たら', '医師']",['医師'],NO,医師,NO,NO
20,医師,ている。そのうえでなおかつ、死にゆく人の自己決定、「ドナーの自己決定権」を行政や医師が声高にいうのは、欺瞞ではないかと私は思う。全然自己決定していない、,"['て', 'いる', '。', 'その', 'うえ', 'で', 'なおかつ', '、', '死に', 'ゆく', '人', 'の', '自己', '決定', '、', '「', 'ドナー', 'の', '自己', '決定', '権', '」', 'を', '行政', 'や', '医師', 'が', '声高', 'に', 'いう', 'の', 'は', '、', '欺瞞', 'で', 'は', 'ない', 'か', 'と', '私', 'は', '思う', '。', '全然', '自己', '決定', 'し', 'て', 'い', 'ない', '、']",['医師'],NO,医師,NO,NO
21,医師,把握することが非常に重要だと思う。人間は間違いを犯すものであるから、医師の間で、レジデントとスタッフの間で処方をダブルチェック、トリプルチェックする。投与量はこれで,"['把握', 'する', 'こと', 'が', '非常', 'に', '重要', 'だ', 'と', '思う', '。', '人間', 'は', '間違い', 'を', '犯す', 'もの', 'で', 'ある', 'から', '、', '医師', 'の', '間', 'で', '、', 'レジデント', 'と', 'スタッフ', 'の', '間', 'で', '処方', 'を', 'ダブル', 'チェック', '、', 'トリプル', 'チェック', 'する', '。', '投与', '量', 'は', 'これ', 'で']",['医師'],NO,医師,NO,NO
22,医師,）までに参加費を添えて区役所まちづくり推進室へ福祉会館☎７９３‐６３３０ＦＡＸ７９２‐６０９４◆健康相談【内容】医師による健康相談【日時】５／十三（火）、二十七（火）、６／十（火）十三：００,"['）', 'まで', 'に', '参加', '費', 'を', '添え', 'て', '区', '役所', 'まちづくり', '推進', '室', 'へ', '福祉', '会館', '☎', '７９３', '‐', '６３３０', 'ＦＡＸ', '７９２', '‐', '６０９４', '◆', '健康', '相談', '【', '内容', '】', '医師', 'に', 'よる', '健康', '相談', '【', '日時', '】', '５', '／', '十', '三', '（', '火', '）', '、', '二十', '七', '（', '火', '）', '、', '６', '／', '十', '（', '火', '）', '十', '三', '：', '００']",['医師'],NO,医師,NO,NO
23,医師,たおかげで、この日をさかいに痛みは和らぎ、普段の生活へと。しかし医師からは経過が大切だとのことで、毎日通院しました。その後、痛み,"['た', 'おかげ', 'で', '、', 'この', '日', 'を', 'さかい', 'に', '痛み', 'は', '和らぎ', '、', '普段', 'の', '生活', 'へ', 'と', '。', 'しかし', '医師', 'から', 'は', '経過', 'が', '大切', 'だ', 'と', 'の', 'こと', 'で', '、', '毎日', '通院', 'し', 'まし', 'た', '。', 'その', '後', '、', '痛み']",['医師'],NO,医師,NO,NO
24,医師,。特に東北・北海道においては医師不足のこともあって大学から交代で送られてくる医師を面接もせず「ありがたくお受けする」姿勢の病院が多い。しかし、医師に,"['。', '特に', '東北', '・', '北海道', 'に', 'おい', 'て', 'は', '医師', '不足', 'の', 'こと', 'も', 'あっ', 'て', '大学', 'から', '交代', 'で', '送ら', 'れ', 'て', 'くる', '医師', 'を', '面接', 'も', 'せ', 'ず', '「', 'ありがたく', 'お', '受け', 'する', '」', '姿勢', 'の', '病院', 'が', '多い', '。', 'しかし', '、', '医師', 'に']",['医師'],NO,医師,NO,NO
25,医師,。特に東北・北海道においては医師不足のこともあって大学から交代で送られてくる医師を面接もせず「ありがたくお受けする」姿勢の病院が多い。しかし、医師に,"['。', '特に', '東北', '・', '北海道', 'に', 'おい', 'て', 'は', '医師', '不足', 'の', 'こと', 'も', 'あっ', 'て', '大学', 'から', '交代', 'で', '送ら', 'れ', 'て', 'くる', '医師', 'を', '面接', 'も', 'せ', 'ず', '「', 'ありがたく', 'お', '受け', 'する', '」', '姿勢', 'の', '病院', 'が', '多い', '。', 'しかし', '、', '医師', 'に']",['医師'],NO,医師,NO,NO
26,医師,。特に東北・北海道においては医師不足のこともあって大学から交代で送られてくる医師を面接もせず「ありがたくお受けする」姿勢の病院が多い。しかし、医師に,"['。', '特に', '東北', '・', '北海道', 'に', 'おい', 'て', 'は', '医師', '不足', 'の', 'こと', 'も', 'あっ', 'て', '大学', 'から', '交代', 'で', '送ら', 'れ', 'て', 'くる', '医師', 'を', '面接', 'も', 'せ', 'ず', '「', 'ありがたく', 'お', '受け', 'する', '」', '姿勢', 'の', '病院', 'が', '多い', '。', 'しかし', '、', '医師', 'に']",['医師'],NO,医師,NO,NO
27,医師,思われます。公設民営化することで、医師を派遣できる法人が病院運営を行うため、将来にわたり医師を確保することが期待できます。問４公設民営化後、市民病院の診療科はどうなりますか,"['思わ', 'れ', 'ます', '。', '公設', '民営', '化', 'する', 'こと', 'で', '、', '医師', 'を', '派遣', 'できる', '法人', 'が', '病院', '運営', 'を', '行う', 'ため', '、', '将来', 'に', 'わたり', '医師', 'を', '確保', 'する', 'こと', 'が', '期待', 'でき', 'ます', '。', '問', '４', '公設', '民営', '化', '後', '、', '市民', '病院', 'の', '診療', '科', 'は', 'どう', 'なり', 'ます', 'か']",['医師'],NO,医師,NO,NO
28,医師,思われます。公設民営化することで、医師を派遣できる法人が病院運営を行うため、将来にわたり医師を確保することが期待できます。問４公設民営化後、市民病院の診療科はどうなりますか,"['思わ', 'れ', 'ます', '。', '公設', '民営', '化', 'する', 'こと', 'で', '、', '医師', 'を', '派遣', 'できる', '法人', 'が', '病院', '運営', 'を', '行う', 'ため', '、', '将来', 'に', 'わたり', '医師', 'を', '確保', 'する', 'こと', 'が', '期待', 'でき', 'ます', '。', '問', '４', '公設', '民営', '化', '後', '、', '市民', '病院', 'の', '診療', '科', 'は', 'どう', 'なり', 'ます', 'か']",['医師'],NO,医師,NO,NO
29,医師,て治療を受けたいものです。ですから説明や相談に対して積極的な態度で接してくれる医師を選ぶことも、ひとつのポイントといえるでしょう。「対症療法」で症状を抑える,"['て', '治療', 'を', '受け', 'たい', 'もの', 'です', '。', 'です', 'から', '説明', 'や', '相談', 'に', '対し', 'て', '積極', '的', 'な', '態度', 'で', '接し', 'て', 'くれる', '医師', 'を', '選ぶ', 'こと', 'も', '、', 'ひと', 'つ', 'の', 'ポイント', 'と', 'いえる', 'でしょう', '。', '「', '対症', '療法', '」', 'で', '症状', 'を', '抑える']",['医師'],NO,医師,NO,NO
30,医師,も学会に出張する。それも外科学会、内科学会など大きな学会になると、その科の医師のほとんどが一週間不在ということがおこる。そんな時に看護師長が入退院の権限を持っている,"['も', '学会', 'に', '出張', 'する', '。', 'それ', 'も', '外科', '学会', '、', '内科', '学会', 'など', '大きな', '学会', 'に', 'なる', 'と', '、', 'その', '科', 'の', '医師', 'の', 'ほとんど', 'が', '一', '週間', '不在', 'と', 'いう', 'こと', 'が', 'おこる', '。', 'そんな', '時', 'に', '看護', '師長', 'が', '入退院', 'の', '権限', 'を', '持っ', 'て', 'いる']",['医師'],NO,医師,NO,NO
31,医師,見せなさい」と、楽しみにしていた旅行を無理のない範囲で後押ししてくれるような医師に出会えたら最高です。患者であるあなたは、医師にかかった「その後」を,"['見せ', 'なさい', '」', 'と', '、', '楽しみ', 'に', 'し', 'て', 'い', 'た', '旅行', 'を', '無理', 'の', 'ない', '範囲', 'で', '後押し', 'し', 'て', 'くれる', 'よう', 'な', '医師', 'に', '出会え', 'たら', '最高', 'です', '。', '患者', 'で', 'ある', 'あなた', 'は', '、', '医師', 'に', 'かかっ', 'た', '「', 'その', '後', '」', 'を']",['医師'],NO,医師,NO,NO
32,医師,見せなさい」と、楽しみにしていた旅行を無理のない範囲で後押ししてくれるような医師に出会えたら最高です。患者であるあなたは、医師にかかった「その後」を,"['見せ', 'なさい', '」', 'と', '、', '楽しみ', 'に', 'し', 'て', 'い', 'た', '旅行', 'を', '無理', 'の', 'ない', '範囲', 'で', '後押し', 'し', 'て', 'くれる', 'よう', 'な', '医師', 'に', '出会え', 'たら', '最高', 'です', '。', '患者', 'で', 'ある', 'あなた', 'は', '、', '医師', 'に', 'かかっ', 'た', '「', 'その', '後', '」', 'を']",['医師'],NO,医師,NO,NO
33,医師,ていたが、がん患者を担当して「医師はぜんぶ治せない。患者は死んでいく。医師は敗者である」と無力感にとらわれて退職し、八十九年８月三十一日、オウム真理教に出家する。,"['て', 'い', 'た', 'が', '、', 'がん', '患者', 'を', '担当', 'し', 'て', '「', '医師', 'は', 'ぜんぶ', '治せ', 'ない', '。', '患者', 'は', '死ん', 'で', 'いく', '。', '医師', 'は', '敗者', 'で', 'ある', '」', 'と', '無', '力感', 'に', 'とらわれ', 'て', '退職', 'し', '、', '八十', '九', '年', '８', '月', '三十', '一', '日', '、', 'オウム', '真理', '教', 'に', '出家', 'する', '。']",['医師'],NO,医師,NO,NO
34,医師,ていたが、がん患者を担当して「医師はぜんぶ治せない。患者は死んでいく。医師は敗者である」と無力感にとらわれて退職し、八十九年８月三十一日、オウム真理教に出家する。,"['て', 'い', 'た', 'が', '、', 'がん', '患者', 'を', '担当', 'し', 'て', '「', '医師', 'は', 'ぜんぶ', '治せ', 'ない', '。', '患者', 'は', '死ん', 'で', 'いく', '。', '医師', 'は', '敗者', 'で', 'ある', '」', 'と', '無', '力感', 'に', 'とらわれ', 'て', '退職', 'し', '、', '八十', '九', '年', '８', '月', '三十', '一', '日', '、', 'オウム', '真理', '教', 'に', '出家', 'する', '。']",['医師'],NO,医師,NO,NO
