,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,商家,いうことがあったか、ということではなくて、そのときに、道修町の、ある商家の丁稚が、どういう悲しい思いをしたか、であって、その悲しい思いの,"['いう', 'こと', 'が', 'あっ', 'た', 'か', '、', 'と', 'いう', 'こと', 'で', 'は', 'なく', 'て', '、', 'その', 'とき', 'に', '、', '道修町', 'の', '、', 'ある', '商家', 'の', '丁稚', 'が', '、', 'どう', 'いう', '悲しい', '思い', 'を', 'し', 'た', 'か', '、', 'で', 'あっ', 'て', '、', 'その', '悲しい', '思い', 'の']",['商家'],NO,商家,NO,NO
1,商家,てつくった作品なのである。煎茶に魅せられて売茶翁という名を聞くと、商家の出身のように思いがちだが、そうではない。彼は武家の出身であっ,"['て', 'つくっ', 'た', '作品', 'な', 'の', 'で', 'ある', '。', '煎茶', 'に', '魅せ', 'られ', 'て', '売茶', '翁', 'と', 'いう', '名', 'を', '聞く', 'と', '、', '商家', 'の', '出身', 'の', 'よう', 'に', '思い', 'がち', 'だ', 'が', '、', 'そう', 'で', 'は', 'ない', '。', '彼', 'は', '武家', 'の', '出身', 'で', 'あっ']",['商家'],NO,商家,NO,NO
2,商家,た。徳川家を始めとして武家の経済は崩壊し始めていた。力を持ち始めたのは商家だった。約束の五年後の文政五年（千八百二十二）、金次郎は服部家の全ての,"['た', '。', '徳川', '家', 'を', '始め', 'と', 'し', 'て', '武家', 'の', '経済', 'は', '崩壊', 'し', '始め', 'て', 'い', 'た', '。', '力', 'を', '持ち', '始め', 'た', 'の', 'は', '商家', 'だっ', 'た', '。', '約束', 'の', '五', '年', '後', 'の', '文政', '五', '年', '（', '千', '八百', '二十', '二', '）', '、', '金次郎', 'は', '服部', '家', 'の', '全て', 'の']",['商家'],NO,商家,NO,NO
3,商家,によって支えられてきた庶民信仰を感じるんです。平城京の元興寺は他の寺院や門前町の商家によって侵蝕され、没落してゆくのですが、法隆寺の方は幹線の意味が失われると,"['に', 'よっ', 'て', '支え', 'られ', 'て', 'き', 'た', '庶民', '信仰', 'を', '感じる', 'ん', 'です', '。', '平城', '京', 'の', '元興', '寺', 'は', '他', 'の', '寺院', 'や', '門前', '町', 'の', '商家', 'に', 'よっ', 'て', '侵蝕', 'さ', 'れ', '、', '没落', 'し', 'て', 'ゆく', 'の', 'です', 'が', '、', '法隆', '寺', 'の', '方', 'は', '幹線', 'の', '意味', 'が', '失わ', 'れる', 'と']",['商家'],NO,商家,NO,NO
4,商家,日本では、血の繫がりのない与之介も「竹島」を名乗ることで、この商家の一族となるのである。十月末、幕府使番馬場宮内尚恒、斎藤左源太利紀両名が赤穂に来着、永井伊賀守家の入封,"['日本', 'で', 'は', '、', '血', 'の', '繫がり', 'の', 'ない', '与之介', 'も', '「', '竹島', '」', 'を', '名乗る', 'こと', 'で', '、', 'この', '商家', 'の', '一族', 'と', 'なる', 'の', 'で', 'ある', '。', '十', '月', '末', '、', '幕府', '使番', '馬場', '宮内', '尚恒', '、', '斎藤', '左源太', '利', '紀', '両名', 'が', '赤穂', 'に', '来着', '、', '永井', '伊賀', '守', '家', 'の', '入封']",['商家'],NO,商家,NO,NO
5,商家,」に対して「蝮の吉次」の異名を取る岡っ引き、吉次。十手をちらつかせて商家をゆすったりするタチの悪い岡っ引きですが、これがケチでひねくれていて、でも,"['」', 'に', '対し', 'て', '「', '蝮', 'の', '吉次', '」', 'の', '異名', 'を', '取る', '岡っ引き', '、', '吉次', '。', '十手', 'を', 'ちらつか', 'せ', 'て', '商家', 'を', 'ゆすっ', 'たり', 'する', 'タチ', 'の', '悪い', '岡っ引き', 'です', 'が', '、', 'これ', 'が', 'ケチ', 'で', 'ひねくれ', 'て', 'い', 'て', '、', 'で', 'も']",['商家'],NO,商家,NO,NO
6,商家,ノ辻を中心にして、南北に十町半。南町と北町とに分けられ、商家が軒を連ねて商いは旺盛であった。その城下町がいま灰塵に帰そうとし,"['ノ', '辻', 'を', '中心', 'に', 'し', 'て', '、', '南北', 'に', '十', '町', '半', '。', '南町', 'と', '北町', 'と', 'に', '分け', 'られ', '、', '商家', 'が', '軒', 'を', '連ね', 'て', '商い', 'は', '旺盛', 'で', 'あっ', 'た', '。', 'その', '城下', '町', 'が', 'いま', '灰塵', 'に', '帰そう', 'と', 'し']",['商家'],NO,商家,NO,NO
7,商家,言われるベルゲンは、中世ハンザ同盟の時代に発展した街で、三角屋根が連なる木造の商家が残っている。世界遺産に登録されたのも、そんなドイツ人商館の家々が美しく立ち並ぶブリッゲン地区,"['言わ', 'れる', 'ベルゲン', 'は', '、', '中世', 'ハンザ', '同盟', 'の', '時代', 'に', '発展', 'し', 'た', '街', 'で', '、', '三角', '屋根', 'が', '連なる', '木造', 'の', '商家', 'が', '残っ', 'て', 'いる', '。', '世界', '遺産', 'に', '登録', 'さ', 'れ', 'た', 'の', 'も', '、', 'そんな', 'ドイツ', '人', '商館', 'の', '家々', 'が', '美しく', '立ち並ぶ', 'ブリッゲン', '地区']",['商家'],NO,商家,NO,NO
8,商家,教養人で、林吉もその影響から読書好きの少年として育った。ところが祖父が「商家に学問はいらない」という考えだったため、高等小学校を卒業後は家業に従事させ,"['教養', '人', 'で', '、', '林吉', 'も', 'その', '影響', 'から', '読書', '好き', 'の', '少年', 'と', 'し', 'て', '育っ', 'た', '。', 'ところ', 'が', '祖父', 'が', '「', '商家', 'に', '学問', 'は', 'いら', 'ない', '」', 'と', 'いう', '考え', 'だっ', 'た', 'ため', '、', '高等', '小', '学校', 'を', '卒業', '後', 'は', '家業', 'に', '従事', 'さ', 'せ']",['商家'],NO,商家,NO,NO
9,商家,、おきみは母親のたもとを摑んだ。表通りを永代橋に向けて歩いた。商家の軒には、雪が薄く積もっている。真っ白な雪と、茶色の軒と,"['、', 'お', 'きみ', 'は', '母親', 'の', 'たもと', 'を', '摑ん', 'だ', '。', '表通り', 'を', '永代', '橋', 'に', '向け', 'て', '歩い', 'た', '。', '商家', 'の', '軒', 'に', 'は', '、', '雪', 'が', '薄く', '積もっ', 'て', 'いる', '。', '真っ白', 'な', '雪', 'と', '、', '茶色', 'の', '軒', 'と']",['商家'],NO,商家,NO,NO
