,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,図書室,が５ｃｍの長方形の面は，いくつありますか。十六みどりさんたちは，先週，図書室の本を読んだ３年生の人数を調べて，下の表のようにまとめまし,"['が', '５', 'ｃｍ', 'の', '長', '方形', 'の', '面', 'は', '，', 'いく', 'つ', 'あり', 'ます', 'か', '。', '十', '六', 'みどり', 'さん', 'たち', 'は', '，', '先週', '，', '図書', '室', 'の', '本', 'を', '読ん', 'だ', '３', '年', '生', 'の', '人数', 'を', '調べ', 'て', '，', '下', 'の', '表', 'の', 'よう', 'に', 'まとめ', 'まし']","['図書', '室']",YES,図書室,NO,NO
1,図書室,群がった報道陣から、亡命と帰国について質問を浴びせかけられるのではないかと想像し、船の図書室に閉じこもって、亡命について想定質問をつくり、まったく相反する二通りの答を用意した。一つ,"['群がっ', 'た', '報道', '陣', 'から', '、', '亡命', 'と', '帰国', 'に', 'つい', 'て', '質問', 'を', '浴びせかけ', 'られる', 'の', 'で', 'は', 'ない', 'か', 'と', '想像', 'し', '、', '船', 'の', '図書', '室', 'に', '閉じこもっ', 'て', '、', '亡命', 'に', 'つい', 'て', '想定', '質問', 'を', 'つくり', '、', 'まったく', '相', '反する', '二', '通り', 'の', '答', 'を', '用意', 'し', 'た', '。', '一', 'つ']","['図書', '室']",YES,図書室,NO,NO
2,図書室,一万九千九百九十五米ドル〜、比較的高額なツアーである。船は全室バスルームつき、他にはラウンジ、プール、図書室などの完備した上級クラスのものを使用している。食事も飽きが来ないよう、国際色,"['一', '万', '九千', '九百', '九十', '五', '米', 'ドル', '〜', '、', '比較', '的', '高額', 'な', 'ツアー', 'で', 'ある', '。', '船', 'は', '全室', 'バスルーム', 'つき', '、', '他', 'に', 'は', 'ラウンジ', '、', 'プール', '、', '図書', '室', 'など', 'の', '完備', 'し', 'た', '上級', 'クラス', 'の', 'もの', 'を', '使用', 'し', 'て', 'いる', '。', '食事', 'も', '飽き', 'が', '来', 'ない', 'よう', '、', '国際', '色']","['図書', '室']",YES,図書室,NO,NO
3,図書室,、文化祭でクラスが何を催すか、具体的に決めなくてはならない。ネタを探しに図書室に向かいながら、頭を抱えたくなってきた。手伝ってやる、と永田は言っ,"['、', '文化', '祭', 'で', 'クラス', 'が', '何', 'を', '催す', 'か', '、', '具体', '的', 'に', '決め', 'なく', 'て', 'は', 'なら', 'ない', '。', 'ネタ', 'を', '探し', 'に', '図書', '室', 'に', '向かい', 'ながら', '、', '頭', 'を', '抱え', 'たく', 'なっ', 'て', 'き', 'た', '。', '手伝っ', 'て', 'やる', '、', 'と', '永田', 'は', '言っ']","['図書', '室']",YES,図書室,NO,NO
4,図書室,近づく三人の距離。地下には、宿泊客が置いていく様々な本が収められた図書室がある。本に挟まっていたという一枚の写真を探すため、ある夜、三人,"['近づく', '三', '人', 'の', '距離', '。', '地下', 'に', 'は', '、', '宿泊', '客', 'が', '置い', 'て', 'いく', '様々', 'な', '本', 'が', '収め', 'られ', 'た', '図書', '室', 'が', 'ある', '。', '本', 'に', '挟まっ', 'て', 'い', 'た', 'と', 'いう', '一', '枚', 'の', '写真', 'を', '探す', 'ため', '、', 'ある', '夜', '、', '三', '人']","['図書', '室']",YES,図書室,NO,NO
5,図書室,あります。詳しくは▼秋の有田陶磁器まつり実行委員会イベント部会（有田商工会議所）☎四十二．四一一一図書室からこんにちは十月の図書室の開館時間・休館日・生涯学習センター図書室（☎四十三．二三二七）火〜金曜十時〜十八時土・日曜十時〜十七時,"['あり', 'ます', '。', '詳しく', 'は', '▼', '秋', 'の', '有田', '陶磁器', 'まつり', '実行', '委員', '会', 'イベント', '部会', '（', '有田', '商工', '会議', '所', '）', '☎', '四十', '二', '．', '四', '一', '一', '一', '図書', '室', 'から', 'こんにちは', '十', '月', 'の', '図書', '室', 'の', '開館', '時間', '・', '休館', '日', '・', '生涯', '学習', 'センター', '図書', '室', '（', '☎', '四十', '三', '．', '二', '三', '二', '七', '）', '火', '〜', '金曜', '十', '時', '〜', '十', '八', '時', '土・日曜', '十', '時', '〜', '十', '七', '時']","['図書', '室']",YES,図書室,NO,NO
6,図書室,あります。詳しくは▼秋の有田陶磁器まつり実行委員会イベント部会（有田商工会議所）☎四十二．四一一一図書室からこんにちは十月の図書室の開館時間・休館日・生涯学習センター図書室（☎四十三．二三二七）火〜金曜十時〜十八時土・日曜十時〜十七時,"['あり', 'ます', '。', '詳しく', 'は', '▼', '秋', 'の', '有田', '陶磁器', 'まつり', '実行', '委員', '会', 'イベント', '部会', '（', '有田', '商工', '会議', '所', '）', '☎', '四十', '二', '．', '四', '一', '一', '一', '図書', '室', 'から', 'こんにちは', '十', '月', 'の', '図書', '室', 'の', '開館', '時間', '・', '休館', '日', '・', '生涯', '学習', 'センター', '図書', '室', '（', '☎', '四十', '三', '．', '二', '三', '二', '七', '）', '火', '〜', '金曜', '十', '時', '〜', '十', '八', '時', '土・日曜', '十', '時', '〜', '十', '七', '時']","['図書', '室']",YES,図書室,NO,NO
7,図書室,あります。詳しくは▼秋の有田陶磁器まつり実行委員会イベント部会（有田商工会議所）☎四十二．四一一一図書室からこんにちは十月の図書室の開館時間・休館日・生涯学習センター図書室（☎四十三．二三二七）火〜金曜十時〜十八時土・日曜十時〜十七時,"['あり', 'ます', '。', '詳しく', 'は', '▼', '秋', 'の', '有田', '陶磁器', 'まつり', '実行', '委員', '会', 'イベント', '部会', '（', '有田', '商工', '会議', '所', '）', '☎', '四十', '二', '．', '四', '一', '一', '一', '図書', '室', 'から', 'こんにちは', '十', '月', 'の', '図書', '室', 'の', '開館', '時間', '・', '休館', '日', '・', '生涯', '学習', 'センター', '図書', '室', '（', '☎', '四十', '三', '．', '二', '三', '二', '七', '）', '火', '〜', '金曜', '十', '時', '〜', '十', '八', '時', '土・日曜', '十', '時', '〜', '十', '七', '時']","['図書', '室']",YES,図書室,NO,NO
8,図書室,を代表するもう一つの島だった。フラウ・フォン・ガルリッツの部屋付きメイドという地位を利用して、アンナは図書室の中を気楽に歩きまわった。今では、これが彼女の正当な相続分だ,"['を', '代表', 'する', 'もう', '一', 'つ', 'の', '島', 'だっ', 'た', '。', 'フラウ', '・', 'フォン', '・', 'ガル', 'リッツ', 'の', '部屋', '付き', 'メイド', 'と', 'いう', '地位', 'を', '利用', 'し', 'て', '、', 'アンナ', 'は', '図書', '室', 'の', '中', 'を', '気楽', 'に', '歩きまわっ', 'た', '。', '今', 'で', 'は', '、', 'これ', 'が', '彼女', 'の', '正当', 'な', '相続', '分', 'だ']","['図書', '室']",YES,図書室,NO,NO
9,図書室,クリストファーとジャマイマ、それにこの夜の主人役のマウントバッテンの三人はブロードランドの東棟にある図書室に入った。千冊以上の本が三方の壁を埋めている。残りの一方の壁,"['クリスト', 'ファー', 'と', 'ジャマイマ', '、', 'それ', 'に', 'この', '夜', 'の', '主人', '役', 'の', 'マウントバッテン', 'の', '三', '人', 'は', 'ブロード', 'ランド', 'の', '東棟', 'に', 'ある', '図書', '室', 'に', '入っ', 'た', '。', '千', '冊', '以上', 'の', '本', 'が', '三', '方', 'の', '壁', 'を', '埋め', 'て', 'いる', '。', '残り', 'の', '一方', 'の', '壁']","['図書', '室']",YES,図書室,NO,NO
