,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,委員,んですが、大臣の御見解をお尋ねします。○国務大臣（中村正三郎君）当番弁護士制度そのものについて、委員は専門家でいらっしゃってよくおわかりの上で御質問ですが、私は通告もいただかなかっ,"['ん', 'です', 'が', '、', '大臣', 'の', '御', '見解', 'を', 'お', '尋ね', 'し', 'ます', '。', '○', '国務', '大臣', '（', '中村', '正三郎', '君', '）', '当番', '弁護', '士', '制度', 'その', 'もの', 'に', 'つい', 'て', '、', '委員', 'は', '専門', '家', 'で', 'いらっしゃっ', 'て', 'よく', 'お', 'わかり', 'の', '上', 'で', '御', '質問', 'です', 'が', '、', '私', 'は', '通告', 'も', 'いただか', 'なかっ']",['委員'],NO,委員,NO,NO
1,委員,逓信委員会を開会いたします。まず、委員の異動について御報告いたします。去る八月十五日、佐藤昭夫君が委員を辞任され、その補欠として安武洋子君が選任されました。また、去る九月十日、,"['逓信', '委員', '会', 'を', '開会', 'いたし', 'ます', '。', 'まず', '、', '委員', 'の', '異動', 'に', 'つい', 'て', '御', '報告', 'いたし', 'ます', '。', '去る', '八', '月', '十', '五', '日', '、', '佐藤', '昭夫', '君', 'が', '委員', 'を', '辞任', 'さ', 'れ', '、', 'その', '補欠', 'と', 'し', 'て', '安武', '洋子', '君', 'が', '選任', 'さ', 'れ', 'まし', 'た', '。', 'また', '、', '去る', '九', '月', '十', '日', '、']",['委員'],NO,委員,NO,NO
2,委員,逓信委員会を開会いたします。まず、委員の異動について御報告いたします。去る八月十五日、佐藤昭夫君が委員を辞任され、その補欠として安武洋子君が選任されました。また、去る九月十日、,"['逓信', '委員', '会', 'を', '開会', 'いたし', 'ます', '。', 'まず', '、', '委員', 'の', '異動', 'に', 'つい', 'て', '御', '報告', 'いたし', 'ます', '。', '去る', '八', '月', '十', '五', '日', '、', '佐藤', '昭夫', '君', 'が', '委員', 'を', '辞任', 'さ', 'れ', '、', 'その', '補欠', 'と', 'し', 'て', '安武', '洋子', '君', 'が', '選任', 'さ', 'れ', 'まし', 'た', '。', 'また', '、', '去る', '九', '月', '十', '日', '、']",['委員'],NO,委員,NO,NO
3,委員,逓信委員会を開会いたします。まず、委員の異動について御報告いたします。去る八月十五日、佐藤昭夫君が委員を辞任され、その補欠として安武洋子君が選任されました。また、去る九月十日、,"['逓信', '委員', '会', 'を', '開会', 'いたし', 'ます', '。', 'まず', '、', '委員', 'の', '異動', 'に', 'つい', 'て', '御', '報告', 'いたし', 'ます', '。', '去る', '八', '月', '十', '五', '日', '、', '佐藤', '昭夫', '君', 'が', '委員', 'を', '辞任', 'さ', 'れ', '、', 'その', '補欠', 'と', 'し', 'て', '安武', '洋子', '君', 'が', '選任', 'さ', 'れ', 'まし', 'た', '。', 'また', '、', '去る', '九', '月', '十', '日', '、']",['委員'],NO,委員,NO,NO
4,委員,ております。○蓮舫君外務省からお出しいただいた三回にわたる、全部で四時間半の審議、五人の委員が外人審で在勤手当が適当かどうかを議論されておられますが、審議内容はＡ,"['て', 'おり', 'ます', '。', '○', '蓮舫', '君', '外務', '省', 'から', 'お', '出し', 'いただい', 'た', '三', '回', 'に', 'わたる', '、', '全部', 'で', '四', '時間', '半', 'の', '審議', '、', '五', '人', 'の', '委員', 'が', '外人', '審', 'で', '在勤', '手当', 'が', '適当', 'か', 'どう', 'か', 'を', '議論', 'さ', 'れ', 'て', 'おら', 'れ', 'ます', 'が', '、', '審議', '内容', 'は', 'Ａ']",['委員'],NO,委員,NO,NO
5,委員,の領海に侵入しているわけであります。海上における治安の維持につきましては、委員がよく御承知のとおり、第一義的には海上保安庁が担当することとなっておりまして、これらの艦船,"['の', '領海', 'に', '侵入', 'し', 'て', 'いる', 'わけ', 'で', 'あり', 'ます', '。', '海上', 'に', 'おけ', 'る', '治安', 'の', '維持', 'に', 'つき', 'まし', 'て', 'は', '、', '委員', 'が', 'よく', '御', '承知', 'の', 'とおり', '、', '第', '一', '義', '的', 'に', 'は', '海上', '保安', '庁', 'が', '担当', 'する', 'こと', 'と', 'なっ', 'て', 'おり', 'まし', 'て', '、', 'これ', 'ら', 'の', '艦船']",['委員'],NO,委員,NO,NO
6,委員,をとって対処していこうということを確認した次第でございます。○佐藤（茂）委員きょう最後の質問を、外務大臣、済みません、お待たせをいたしました。先週一週間、ＡＳＥＡＮの方,"['を', 'とっ', 'て', '対処', 'し', 'て', 'いこう', 'と', 'いう', 'こと', 'を', '確認', 'し', 'た', '次第', 'で', 'ござい', 'ます', '。', '○', '佐藤', '（', '茂', '）', '委員', 'きょう', '最後', 'の', '質問', 'を', '、', '外務', '大臣', '、', '済み', 'ませ', 'ん', '、', 'お', '待た', 'せ', 'を', 'いたし', 'まし', 'た', '。', '先週', '一', '週間', '、', 'ＡＳＥＡＮ', 'の', '方']",['委員'],NO,委員,NO,NO
7,委員,従って措置をとる、そのように私どもは考えております。○太田（誠）委員いや、だからその法律が、各国の法律が、ガットというのは包括的な関税化という,"['従っ', 'て', '措置', 'を', 'とる', '、', 'その', 'よう', 'に', '私', 'ども', 'は', '考え', 'て', 'おり', 'ます', '。', '○', '太田', '（', '誠', '）', '委員', 'いや', '、', 'だ', 'から', 'その', '法律', 'が', '、', '各国', 'の', '法律', 'が', '、', 'ガット', 'と', 'いう', 'の', 'は', '包括', '的', 'な', '関税', '化', 'と', 'いう']",['委員'],NO,委員,NO,NO
8,委員,ましては我が国の立場と中国の立場とは違います。それだけに、委員は今こじれるという言葉をお使いになりましたけれども、この問題の取り扱いいかんにおきまして,"['まし', 'て', 'は', '我が', '国', 'の', '立場', 'と', '中国', 'の', '立場', 'と', 'は', '違い', 'ます', '。', 'それ', 'だけ', 'に', '、', '委員', 'は', '今', 'こじれる', 'と', 'いう', '言葉', 'を', 'お', '使い', 'に', 'なり', 'まし', 'た', 'けれど', 'も', '、', 'この', '問題', 'の', '取り扱い', 'いかん', 'に', 'おき', 'まし', 'て']",['委員'],NO,委員,NO,NO
9,委員,１日、第１回天理市総合計画審議会（会長：■■■■■奈良県立大学教授）が聞かれました。二十人の委員には新しく公募による市民２人も含まれ、二十一年度前半まで数回議論を交わしていただくことになります。,"['１日', '、', '第', '１', '回', '天理', '市', '総合', '計画', '審議', '会', '（', '会長', '：', '■', '■', '■', '■', '■', '奈良', '県', '立', '大学', '教授', '）', 'が', '聞か', 'れ', 'まし', 'た', '。', '二十', '人', 'の', '委員', 'に', 'は', '新しく', '公募', 'に', 'よる', '市民', '２人', 'も', '含ま', 'れ', '、', '二十', '一', '年度', '前半', 'まで', '数', '回', '議論', 'を', '交わし', 'て', 'いただく', 'こと', 'に', 'なり', 'ます', '。']",['委員'],NO,委員,NO,NO
