,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,学者,論理になるのか、これは大いに論戦をさせるべきであって、この二人の学者が右と左でけんかをする、そういうことに拍車をかけることはできない,"['論理', 'に', 'なる', 'の', 'か', '、', 'これ', 'は', '大いに', '論戦', 'を', 'さ', 'せる', 'べき', 'で', 'あっ', 'て', '、', 'この', '二人', 'の', '学者', 'が', '右', 'と', '左', 'で', 'けんか', 'を', 'する', '、', 'そう', 'いう', 'こと', 'に', '拍車', 'を', 'かける', 'こと', 'は', 'でき', 'ない']",['学者'],NO,学者,NO,NO
1,学者,、先生の必要に応じてお貸しする事、だったろうと推量されます。前田さんは、学者として頭抜けて俊英、その上に柔和な風貌で、誰にも叮嚀な池田先生を,"['、', '先生', 'の', '必要', 'に', '応じ', 'て', 'お', '貸し', 'する', '事', '、', 'だっ', 'たろう', 'と', '推量', 'さ', 'れ', 'ます', '。', '前田', 'さん', 'は', '、', '学者', 'と', 'し', 'て', '頭抜け', 'て', '俊英', '、', 'その', '上', 'に', '柔和', 'な', '風貌', 'で', '、', '誰', 'に', 'も', '叮嚀', 'な', '池田', '先生', 'を']",['学者'],NO,学者,NO,NO
2,学者,、その年譜をもとに、自分のひじょうに影響をうけました先生や同時代の学者の方々、そういう人々とのつながりを明らかにしようと思いつきました。これは,"['、', 'その', '年譜', 'を', 'もと', 'に', '、', '自分', 'の', 'ひじょう', 'に', '影響', 'を', 'うけ', 'まし', 'た', '先生', 'や', '同', '時代', 'の', '学者', 'の', '方々', '、', 'そう', 'いう', '人々', 'と', 'の', 'つながり', 'を', '明らか', 'に', 'しよう', 'と', '思いつき', 'まし', 'た', '。', 'これ', 'は']",['学者'],NO,学者,NO,NO
3,学者,のできる高分子（＝プラスチック素材）のことである。導電性高分子を発明したのは日本の学者で、筑波大学名誉教授の白川英樹博士。白川博士は千九百七十七年の夏、高分子化合物の一種のポリアセチレンを使って,"['の', 'できる', '高', '分子', '（', '＝', 'プラスチック', '素材', '）', 'の', 'こと', 'で', 'ある', '。', '導電', '性', '高', '分子', 'を', '発明', 'し', 'た', 'の', 'は', '日本', 'の', '学者', 'で', '、', '筑波', '大学', '名誉', '教授', 'の', '白川', '英樹', '博士', '。', '白川', '博士', 'は', '千', '九百', '七十', '七', '年', 'の', '夏', '、', '高', '分子', '化合', '物', 'の', '一種', 'の', 'ポリアセチレン', 'を', '使っ', 'て']",['学者'],NO,学者,NO,NO
4,学者,教師であるヨークのアルクインを筆頭として、アイルランド、ノーサンブリア、スペイン、イタリアからも著名な学者を呼びあつめた。シャルルマーニュ自身もこの学校の最も重要な生徒となった。アルクインから王,"['教師', 'で', 'ある', 'ヨーク', 'の', 'アルク', 'イン', 'を', '筆頭', 'と', 'し', 'て', '、', 'アイルランド', '、', 'ノーサンブリア', '、', 'スペイン', '、', 'イタリア', 'から', 'も', '著名', 'な', '学者', 'を', '呼びあつめ', 'た', '。', 'シャルルマーニュ', '自身', 'も', 'この', '学校', 'の', '最も', '重要', 'な', '生徒', 'と', 'なっ', 'た', '。', 'アルク', 'イン', 'から', '王']",['学者'],NO,学者,NO,NO
5,学者,比べれば―と判断した。だが地人種族には変わった風習があることに、学者は気づいた。月に一度、真夜中から広場に大勢が集まり、いっせいに殴り合いを,"['比べれ', 'ば', '―', 'と', '判断', 'し', 'た', '。', 'だ', 'が', '地人', '種族', 'に', 'は', '変わっ', 'た', '風習', 'が', 'ある', 'こと', 'に', '、', '学者', 'は', '気づい', 'た', '。', '月', 'に', '一', '度', '、', '真', '夜中', 'から', '広場', 'に', '大勢', 'が', '集まり', '、', 'いっせい', 'に', '殴り合い', 'を']",['学者'],NO,学者,NO,NO
6,学者,複雑な構造をもつ個体がどのようにしてできるのか，古くから多くの学者によって論議されてきた。１前成説と後成説十七〜十八世紀ごろには，卵や精子の,"['複雑', 'な', '構造', 'を', 'もつ', '個体', 'が', 'どの', 'よう', 'に', 'し', 'て', 'できる', 'の', 'か', '，', '古く', 'から', '多く', 'の', '学者', 'に', 'よっ', 'て', '論議', 'さ', 'れ', 'て', 'き', 'た', '。', '１', '前成', '説', 'と', '後成', '説', '十', '七', '〜', '十', '八', '世紀', 'ごろ', 'に', 'は', '，', '卵', 'や', '精子', 'の']",['学者'],NO,学者,NO,NO
7,学者,のジハードに共通性があると主張する専門家もいる。その一方で、イスラーム起源説を否定する学者もいる。この立場をとる学者は、騎士修道会は古代ローマを起源とすると考えている,"['の', 'ジハード', 'に', '共通', '性', 'が', 'ある', 'と', '主張', 'する', '専門', '家', 'も', 'いる', '。', 'その', '一方', 'で', '、', 'イスラーム', '起源', '説', 'を', '否定', 'する', '学者', 'も', 'いる', '。', 'この', '立場', 'を', 'とる', '学者', 'は', '、', '騎士', '修道', '会', 'は', '古代', 'ローマ', 'を', '起源', 'と', 'する', 'と', '考え', 'て', 'いる']",['学者'],NO,学者,NO,NO
8,学者,のジハードに共通性があると主張する専門家もいる。その一方で、イスラーム起源説を否定する学者もいる。この立場をとる学者は、騎士修道会は古代ローマを起源とすると考えている,"['の', 'ジハード', 'に', '共通', '性', 'が', 'ある', 'と', '主張', 'する', '専門', '家', 'も', 'いる', '。', 'その', '一方', 'で', '、', 'イスラーム', '起源', '説', 'を', '否定', 'する', '学者', 'も', 'いる', '。', 'この', '立場', 'を', 'とる', '学者', 'は', '、', '騎士', '修道', '会', 'は', '古代', 'ローマ', 'を', '起源', 'と', 'する', 'と', '考え', 'て', 'いる']",['学者'],NO,学者,NO,NO
9,学者,ヤシロを悼む」と題した追悼文の中で「（前略）古い世代のイタリア美術の学者や愛好家には彼がボティチェリについて著した豪華なる三冊本が一番よく記憶に残っている,"['ヤシロ', 'を', '悼む', '」', 'と', '題し', 'た', '追悼', '文', 'の', '中', 'で', '「', '（', '前略', '）', '古い', '世代', 'の', 'イタリア', '美術', 'の', '学者', 'や', '愛好', '家', 'に', 'は', '彼', 'が', 'ボティチェリ', 'に', 'つい', 'て', '著し', 'た', '豪華', 'なる', '三', '冊', '本', 'が', '一番', 'よく', '記憶', 'に', '残っ', 'て', 'いる']",['学者'],NO,学者,NO,NO
