,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,式場,ご逝去のご連絡‥記載は通夜：８／３十八：００〜告別式：８／四百十一：００〜セレネという式場大切な事は人生悔いを残さない人生だったかどうかです『鉄筋マンション完成して一年』,"['ご', '逝去', 'の', 'ご', '連絡', '‥', '記載', 'は', '通夜', '：', '８', '／', '３', '十', '八', '：', '００', '〜', '告別', '式', '：', '８', '／', '四百', '十', '一', '：', '００', '〜', 'セレネ', 'と', 'いう', '式場', '大切', 'な', '事', 'は', '人生', '悔い', 'を', '残さ', 'ない', '人生', 'だっ', 'た', 'か', 'どう', 'か', 'です', '『', '鉄筋', 'マンション', '完成', 'し', 'て', '一', '年', '』']",['式場'],NO,式場,NO,NO
1,式場,ました。全部で、、、十人かな？・？翌朝は、９時までに式場へ。森山直太郎くんに似た新郎が甥っ子で、彼にはもったいないくらいに綺麗な花嫁さん,"['まし', 'た', '。', '全部', 'で', '、', '、', '、', '十', '人', 'か', 'な', '？', '・', '？', '翌朝', 'は', '、', '９', '時', 'まで', 'に', '式場', 'へ', '。', '森山', '直太郎', 'くん', 'に', '似', 'た', '新郎', 'が', '甥っ子', 'で', '、', '彼', 'に', 'は', 'もったい', 'ない', 'くらい', 'に', '綺麗', 'な', '花嫁', 'さん']",['式場'],NO,式場,NO,NO
2,式場,が決まると、なぜ貸衣装屋・家具屋などから案内や電話が殺到するか、知ってますか？式場の宴会の係が、名簿を売ってるからですよ！現金での取引じゃなくて,"['が', '決まる', 'と', '、', 'なぜ', '貸', '衣装', '屋', '・', '家具', '屋', 'など', 'から', '案内', 'や', '電話', 'が', '殺到', 'する', 'か', '、', '知っ', 'て', 'ます', 'か', '？', '式場', 'の', '宴会', 'の', '係', 'が', '、', '名簿', 'を', '売っ', 'てる', 'から', 'です', 'よ', '！', '現金', 'で', 'の', '取引', 'じゃ', 'なく', 'て']",['式場'],NO,式場,NO,NO
3,式場,外交官村井倉松氏が上海総領事だった時期である。また、このころ、上海での天皇誕生日祝賀式の式場で朝鮮人による爆破事件が発生した。村井氏も出席していた式場で、白川義則陸軍大将が爆死し、,"['外交', '官', '村井', '倉松', '氏', 'が', '上海', '総', '領事', 'だっ', 'た', '時期', 'で', 'ある', '。', 'また', '、', 'この', 'ころ', '、', '上海', 'で', 'の', '天皇', '誕生', '日', '祝賀', '式', 'の', '式場', 'で', '朝鮮', '人', 'に', 'よる', '爆破', '事件', 'が', '発生', 'し', 'た', '。', '村井', '氏', 'も', '出席', 'し', 'て', 'い', 'た', '式場', 'で', '、', '白川', '義則', '陸軍', '大将', 'が', '爆死', 'し', '、']",['式場'],NO,式場,NO,NO
4,式場,外交官村井倉松氏が上海総領事だった時期である。また、このころ、上海での天皇誕生日祝賀式の式場で朝鮮人による爆破事件が発生した。村井氏も出席していた式場で、白川義則陸軍大将が爆死し、,"['外交', '官', '村井', '倉松', '氏', 'が', '上海', '総', '領事', 'だっ', 'た', '時期', 'で', 'ある', '。', 'また', '、', 'この', 'ころ', '、', '上海', 'で', 'の', '天皇', '誕生', '日', '祝賀', '式', 'の', '式場', 'で', '朝鮮', '人', 'に', 'よる', '爆破', '事件', 'が', '発生', 'し', 'た', '。', '村井', '氏', 'も', '出席', 'し', 'て', 'い', 'た', '式場', 'で', '、', '白川', '義則', '陸軍', '大将', 'が', '爆死', 'し', '、']",['式場'],NO,式場,NO,NO
5,式場,アトラクションは後者というふうに、自分たちの考えで振り分けてください。なお、費用については式場が決めるものではなく、前述したことを参照にしながら自分たちで意思決定してください。ただで,"['アトラクション', 'は', '後者', 'と', 'いう', 'ふう', 'に', '、', '自分', 'たち', 'の', '考え', 'で', '振り分け', 'て', 'ください', '。', 'なお', '、', '費用', 'に', 'つい', 'て', 'は', '式場', 'が', '決める', 'もの', 'で', 'は', 'なく', '、', '前述', 'し', 'た', 'こと', 'を', '参照', 'に', 'し', 'ながら', '自分', 'たち', 'で', '意思', '決定', 'し', 'て', 'ください', '。', 'ただ', 'で']",['式場'],NO,式場,NO,NO
6,式場,しっていたのですが招待状もきてないし、メールもしてません。式場も日時も知りません。優しい人だし嫌いじゃないけど、、学校も別れ住まいも,"['しっ', 'て', 'い', 'た', 'の', 'です', 'が', '招待', '状', 'も', 'き', 'て', 'ない', 'し', '、', 'メール', 'も', 'し', 'て', 'ませ', 'ん', '。', '式場', 'も', '日時', 'も', '知り', 'ませ', 'ん', '。', '優しい', '人', 'だ', 'し', '嫌い', 'じゃ', 'ない', 'けど', '、', '、', '学校', 'も', '別れ', '住まい', 'も']",['式場'],NO,式場,NO,NO
7,式場,４人は、第１回レースに出場していたが、残り６人は四輪レースの経験がなかった。式場の友人で同じ成蹊大学出身の杉江博愛は、後に徳大寺有恒のペンネームで自動車評論家として活躍するように,"['４', '人', 'は', '、', '第', '１', '回', 'レース', 'に', '出場', 'し', 'て', 'い', 'た', 'が', '、', '残り', '６', '人', 'は', '四', '輪', 'レース', 'の', '経験', 'が', 'なかっ', 'た', '。', '式場', 'の', '友人', 'で', '同じ', '成蹊', '大学', '出身', 'の', '杉江', '博愛', 'は', '、', '後', 'に', '徳大寺', '有恒', 'の', 'ペン', 'ネーム', 'で', '自動', '車', '評論', '家', 'と', 'し', 'て', '活躍', 'する', 'よう', 'に']",['式場'],NO,式場,NO,NO
8,式場,大阪でおすすめの式場を教えてください。費用は五十人くらいで二百五十万円くらいで考えています。教会式と人前式どちら,"['大阪', 'で', 'お', 'すすめ', 'の', '式場', 'を', '教え', 'て', 'ください', '。', '費用', 'は', '五十', '人', 'くらい', 'で', '二百', '五十', '万', '円', 'くらい', 'で', '考え', 'て', 'い', 'ます', '。', '教会', '式', 'と', '人前', '式', 'どちら']",['式場'],NO,式場,NO,NO
9,式場,ました。でも二人でもよかったかなって思いましたよ。なぜなら、式場の手の開いた（？）方が皆さん祝福に出て来てくれるから全然寂しく,"['まし', 'た', '。', 'で', 'も', '二人', 'で', 'も', 'よかっ', 'た', 'か', 'な', 'って', '思い', 'まし', 'た', 'よ', '。', 'なぜ', 'なら', '、', '式場', 'の', '手', 'の', '開い', 'た', '（', '？', '）', '方', 'が', '皆', 'さん', '祝福', 'に', '出', 'て', '来', 'て', 'くれる', 'から', '全然', '寂しく']",['式場'],NO,式場,NO,NO
10,式場,ソ連のタス通信をはじめとする二十社におよぶ特派員が詰めかけていた。稲原は、式場の正門前に立ち止った。樒を中心に草花でアーチが設けられている。上中央,"['ソ連', 'の', 'タス', '通信', 'を', 'はじめ', 'と', 'する', '二十', '社', 'に', 'およぶ', '特派', '員', 'が', '詰めかけ', 'て', 'い', 'た', '。', '稲原', 'は', '、', '式場', 'の', '正門', '前', 'に', '立ち止っ', 'た', '。', '樒', 'を', '中心', 'に', '草花', 'で', 'アーチ', 'が', '設け', 'られ', 'て', 'いる', '。', '上', '中央']",['式場'],NO,式場,NO,NO
11,式場,し。お金のことより、子供達の喚き、泣き声。これがどうしても嫌なのです。式場は、子供を預ける部屋、部署は、ないそうです。お断りの言葉、円滑に,"['し', '。', 'お', '金', 'の', 'こと', 'より', '、', '子供', '達', 'の', '喚き', '、', '泣き声', '。', 'これ', 'が', 'どう', 'し', 'て', 'も', '嫌', 'な', 'の', 'です', '。', '式場', 'は', '、', '子供', 'を', '預ける', '部屋', '、', '部署', 'は', '、', 'ない', 'そう', 'です', '。', 'お', '断り', 'の', '言葉', '、', '円滑', 'に']",['式場'],NO,式場,NO,NO
12,式場,かもしれませんが幸せそうでない花嫁もみっともないもんです。しかめっ面で入場したくないですから。式場からも「誰と歩きますか？」って聞かれましたよ。だから父親と,"['か', 'も', 'しれ', 'ませ', 'ん', 'が', '幸せ', 'そう', 'で', 'ない', '花嫁', 'も', 'みっともない', 'もん', 'です', '。', 'しかめっ面', 'で', '入場', 'し', 'たく', 'ない', 'です', 'から', '。', '式場', 'から', 'も', '「', '誰', 'と', '歩き', 'ます', 'か', '？', '」', 'って', '聞か', 'れ', 'まし', 'た', 'よ', '。', 'だ', 'から', '父親', 'と']",['式場'],NO,式場,NO,NO
13,式場,。ブーケを作り慣れてて、持ち込む際のノウハウもあるでしょうし。そして、適度に式場から近いこと。宅配便なので、遠いとなんとなく心配。長距離だとお花も,"['。', 'ブーケ', 'を', '作り', '慣れ', 'て', 'て', '、', '持ち込む', '際', 'の', 'ノウハウ', 'も', 'ある', 'でしょう', 'し', '。', 'そして', '、', '適度', 'に', '式場', 'から', '近い', 'こと', '。', '宅配', '便', 'な', 'の', 'で', '、', '遠い', 'と', 'なん', 'と', 'なく', '心配', '。', '長', '距離', 'だ', 'と', 'お', '花', 'も']",['式場'],NO,式場,NO,NO
14,式場,日本で改めて披露宴を行なったりしているのでしょうか？私は彼の家の事情で式場も神前式ということも決まっていたので、二人だけで勝手に海外に行きました,"['日本', 'で', '改めて', '披露', '宴', 'を', '行なっ', 'たり', 'し', 'て', 'いる', 'の', 'でしょう', 'か', '？', '私', 'は', '彼', 'の', '家', 'の', '事情', 'で', '式場', 'も', '神前', '式', 'と', 'いう', 'こと', 'も', '決まっ', 'て', 'い', 'た', 'の', 'で', '、', '二人', 'だけ', 'で', '勝手', 'に', '海外', 'に', '行き', 'まし', 'た']",['式場'],NO,式場,NO,NO
15,式場,か？）あれはやってくれるところとやってくれないところがありますね。（安い式場だったからかしら？）後で写真で見てみるとベールをつけた状態の方,"['か', '？', '）', 'あれ', 'は', 'やっ', 'て', 'くれる', 'ところ', 'と', 'やっ', 'て', 'くれ', 'ない', 'ところ', 'が', 'あり', 'ます', 'ね', '。', '（', '安い', '式場', 'だっ', 'た', 'から', 'かしら', '？', '）', '後', 'で', '写真', 'で', '見', 'て', 'みる', 'と', 'ベール', 'を', 'つけ', 'た', '状態', 'の', '方']",['式場'],NO,式場,NO,NO
16,式場,の名前が書いてあり、奥様は、新郎と面識なく、子は４才と２歳。式場は、九州で夕方。その新郎のゲストは、関西在住。当初、お車代と宿泊ホテル（,"['の', '名前', 'が', '書い', 'て', 'あり', '、', '奥', '様', 'は', '、', '新郎', 'と', '面識', 'なく', '、', '子', 'は', '４', '才', 'と', '２', '歳', '。', '式場', 'は', '、', '九州', 'で', '夕方', '。', 'その', '新郎', 'の', 'ゲスト', 'は', '、', '関西', '在住', '。', '当初', '、', 'お', '車代', 'と', '宿泊', 'ホテル', '（']",['式場'],NO,式場,NO,NO
17,式場,来年の秋に結婚する予定で、式場も日取りも何も決まって無い状態で、まだ一年もあるんだから焦らなくてもいい,"['来年', 'の', '秋', 'に', '結婚', 'する', '予定', 'で', '、', '式場', 'も', '日取り', 'も', '何', 'も', '決まっ', 'て', '無い', '状態', 'で', '、', 'まだ', '一', '年', 'も', 'ある', 'ん', 'だ', 'から', '焦ら', 'なく', 'て', 'も', 'いい']",['式場'],NO,式場,NO,NO
18,式場,高いパンプス履いてッたカらもう地獄です明日は地元の式場で１回だけありますやぱ接客好きなンで頑張りますパワー,"['高い', 'パンプス', '履い', 'て', 'ッ', 'た', 'カ', 'ら', 'もう', '地獄', 'です', '明日', 'は', '地元', 'の', '式場', 'で', '１', '回', 'だけ', 'あり', 'ます', 'やぱ', '接客', '好き', 'な', 'ン', 'で', '頑張り', 'ます', 'パワー']",['式場'],NO,式場,NO,NO
19,式場,に鼻をかんでいる先生のことも、きょうはだれもとがめない。みんなで式場にむかった。（だけど、わたしは、しんみりなんかしてやらんよ。）,"['に', '鼻', 'を', 'かん', 'で', 'いる', '先生', 'の', 'こと', 'も', '、', 'きょう', 'は', 'だれ', 'も', 'とがめ', 'ない', '。', 'みんな', 'で', '式場', 'に', 'むかっ', 'た', '。', '（', 'だ', 'けど', '、', 'わたし', 'は', '、', 'しんみり', 'なんか', 'し', 'て', 'やら', 'ん', 'よ', '。', '）']",['式場'],NO,式場,NO,NO
